ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,13,2,2,3,1.472
1,13,2,2,3,1.472
1,13,2,2,3,1.472
1,13,2,2,3,1.472
1,19,2,2,4,5.193
1,19,2,2,4,5.193
1,19,2,2,4,5.193
1,19,2,2,4,5.193
1,108,2,2,3,2.786
1,108,2,2,3,2.786
1,108,2,2,3,2.786
1,108,2,2,3,2.786
11,78,2,2,7,7.71
11,78,2,2,7,7.71
11,78,2,2,7,7.71
11,78,2,2,7,7.71
11,78,2,2,7,7.71
11,78,2,2,7,7.71
12,39,2,2,3,2.324
12,39,2,2,3,2.324
12,39,2,2,3,2.324
12,39,2,2,3,2.324
12,69,2,2,3,2.158
12,69,2,2,3,2.158
12,69,2,2,3,2.158
12,69,2,2,3,2.158
13,1,2,2,4,1.472
13,1,2,2,4,1.472
13,1,2,2,4,1.472
13,1,2,2,4,1.472
13,89,2,2,3,2.749
13,89,2,2,3,2.749
13,89,2,2,3,2.749
13,89,2,2,3,2.749
19,1,2,2,3,5.193
19,1,2,2,3,5.193
19,1,2,2,3,5.193
19,1,2,2,3,5.193
19,108,2,2,3,2.417
19,108,2,2,3,2.417
19,108,2,2,3,2.417
19,108,2,2,3,2.417
23,87,2,2,6,6.588
23,87,2,2,6,6.588
23,87,2,2,6,6.588
23,87,2,2,6,6.588
23,88,2,2,4,4.265
23,88,2,2,4,4.265
23,88,2,2,4,4.265
23,88,2,2,4,4.265
23,100,2,2,9,13.862
23,100,2,2,9,13.862
23,100,2,2,9,13.862
23,100,2,2,9,13.862
28,38,2,2,7,4.295
28,38,2,2,7,4.295
28,38,2,2,7,4.295
28,38,2,2,7,4.295
38,28,2,2,7,4.295
38,28,2,2,7,4.295
38,28,2,2,7,4.295
38,28,2,2,7,4.295
38,89,2,2,3,2.325
38,89,2,2,3,2.325
38,89,2,2,3,2.325
38,89,2,2,3,2.325
39,12,2,2,4,2.324
39,12,2,2,4,2.324
39,12,2,2,4,2.324
39,12,2,2,4,2.324
69,12,2,2,3,2.158
69,12,2,2,3,2.158
69,12,2,2,3,2.158
69,12,2,2,3,2.158
69,79,2,2,4,4.738
69,79,2,2,4,4.738
69,79,2,2,4,4.738
69,79,2,2,4,4.738
69,100,2,2,8,11.753
69,100,2,2,8,11.753
69,100,2,2,8,11.753
69,100,2,2,8,11.753
78,11,2,2,6,7.71
78,11,2,2,6,7.71
78,11,2,2,6,7.71
78,11,2,2,6,7.71
78,11,2,2,6,7.71
78,11,2,2,6,7.71
79,69,2,2,5,4.738
79,69,2,2,5,4.738
79,69,2,2,5,4.738
79,69,2,2,5,4.738
79,100,2,2,5,7.539
79,100,2,2,5,7.539
79,100,2,2,5,7.539
79,100,2,2,5,7.539
87,23,2,2,5,6.588
87,23,2,2,5,6.588
87,23,2,2,5,6.588
87,23,2,2,5,6.588
87,88,2,2,3,2.515
87,88,2,2,3,2.515
87,88,2,2,3,2.515
87,88,2,2,3,2.515
87,100,2,2,5,7.291
87,100,2,2,5,7.291
87,100,2,2,5,7.291
87,100,2,2,5,7.291
88,23,2,2,4,4.265
88,23,2,2,4,4.265
88,23,2,2,4,4.265
88,23,2,2,4,4.265
88,87,2,2,3,2.515
88,87,2,2,3,2.515
88,87,2,2,3,2.515
88,87,2,2,3,2.515
89,13,2,2,3,2.749
89,13,2,2,3,2.749
89,13,2,2,3,2.749
89,13,2,2,3,2.749
89,38,2,2,4,2.325
89,38,2,2,4,2.325
89,38,2,2,4,2.325
89,38,2,2,4,2.325
100,23,2,2,9,13.862
100,23,2,2,9,13.862
100,23,2,2,9,13.862
100,23,2,2,9,13.862
100,69,2,2,9,11.753
100,69,2,2,9,11.753
100,69,2,2,9,11.753
100,69,2,2,9,11.753
100,79,2,2,6,7.539
100,79,2,2,6,7.539
100,79,2,2,6,7.539
100,79,2,2,6,7.539
100,87,2,2,6,7.291
100,87,2,2,6,7.291
100,87,2,2,6,7.291
100,87,2,2,6,7.291
100,88,2,2,8,9.765
100,88,2,2,8,9.765
100,88,2,2,8,9.765
100,88,2,2,8,9.765
108,1,2,2,3,2.786
108,1,2,2,3,2.786
108,1,2,2,3,2.786
108,1,2,2,3,2.786
108,19,2,2,1,2.417
108,19,2,2,1,2.417
108,19,2,2,1,2.417
108,19,2,2,1,2.417
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,46,5,5,1,0.679
1,46,5,5,1,0.679
1,60,5,5,1,0.607
1,60,5,5,1,0.607
1,67,5,5,2,1.191
1,67,5,5,2,1.191
1,68,5,5,1,0.796
1,68,5,5,1,0.796
1,73,5,5,1,0.87
1,73,5,5,1,0.87
1,717,5,5,18,7.185
1,717,5,5,18,7.185
1,910,5,5,17,7.154
1,910,5,5,17,7.154
1,990,5,5,1,0.313
1,990,5,5,1,0.313
2,25,5,5,1,0.372
3,26,5,5,1,0.236
3,418,5,5,1,0.101
4,5,5,5,1,0.138
4,19,5,5,1,0.613
4,19,5,5,1,0.613
4,34,5,5,1,0.401
5,4,5,5,1,0.138
5,80,5,5,1,0.145
6,161,5,5,1,0.184
6,230,5,5,1,0.238
6,1167,5,5,1,0.102
7,8,5,5,1,0.312
7,10,5,5,1,0.223
8,7,5,5,1,0.312
8,106,5,5,1,0.202
9,10,5,5,1,0.249
9,89,5,5,1,0.713
9,89,5,5,1,0.713
10,7,5,5,1,0.223
10,9,5,5,1,0.249
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,478,5,5,4,1.753
11,478,5,5,4,1.753
11,531,5,5,1,0.592
11,531,5,5,1,0.592
11,789,5,5,6,0.567
11,789,5,5,6,0.567
11,1097,5,5,1,0.389
11,1097,5,5,1,0.389
11,1099,5,5,1,1.071
11,1099,5,5,1,1.071
11,1153,5,5,1,0.607
11,1153,5,5,1,0.607
12,864,5,5,1,0.632
12,864,5,5,1,0.632
12,865,5,5,2,0.459
12,865,5,5,2,0.459
13,13,5,5,1,0.0
13,13,5,5,1,0.0
13,13,5,5,1,0.0
13,13,5,5,1,0.0
13,42,5,5,2,0.727
13,42,5,5,2,0.727
13,46,5,5,2,0.884
13,46,5,5,2,0.884
13,47,5,5,1,0.664
13,47,5,5,1,0.664
13,94,5,5,1,0.614
13,94,5,5,1,0.614
13,110,5,5,2,0.659
13,110,5,5,2,0.659
13,488,5,5,1,0.34
13,488,5,5,1,0.34
13,489,5,5,1,0.362
13,489,5,5,1,0.362
13,738,5,5,1,0.475
13,738,5,5,1,0.475
13,973,5,5,1,0.493
13,973,5,5,1,0.493
14,15,5,5,1,0.157
14,62,5,5,1,0.336
15,14,5,5,1,0.157
15,64,5,5,1,0.257
16,48,5,5,1,0.5
16,72,5,5,1,0.292
16,75,5,5,1,0.29
16,109,5,5,1,0.246
17,18,5,5,1,0.251
17,97,5,5,1,0.42
17,442,5,5,1,0.142
18,17,5,5,1,0.251
18,97,5,5,1,0.175
19,4,5,5,1,0.613
19,4,5,5,1,0.613
19,19,5,5,1,0.0
19,19,5,5,1,0.0
19,19,5,5,1,0.0
19,19,5,5,1,0.0
19,22,5,5,1,0.832
19,22,5,5,1,0.832
19,44,5,5,1,0.959
19,44,5,5,1,0.959
19,45,5,5,1,0.742
19,45,5,5,1,0.742
19,55,5,5,1,0.584
19,55,5,5,1,0.584
19,82,5,5,1,0.557
19,82,5,5,1,0.557
19,254,5,5,1,0.703
19,254,5,5,1,0.703
20,29,5,5,1,0.325
20,112,5,5,1,0.208
21,33,5,5,1,0.406
21,72,5,5,1,0.68
21,74,5,5,1,0.242
22,19,5,5,1,0.832
22,19,5,5,1,0.832
22,77,5,5,1,0.428
23,23,5,5,1,0.0
23,23,5,5,1,0.0
23,23,5,5,1,0.0
23,23,5,5,1,0.0
23,197,5,5,1,0.27
23,197,5,5,1,0.27
23,776,5,5,1,0.274
23,776,5,5,1,0.274
24,25,5,5,1,0.196
24,26,5,5,1,0.533
25,2,5,5,1,0.372
25,27,5,5,1,0.67
26,3,5,5,1,0.236
26,24,5,5,2,0.533
27,24,5,5,2,0.775
27,25,5,5,1,0.67
28,28,5,5,1,0.0
28,28,5,5,1,0.0
28,28,5,5,1,0.0
28,28,5,5,1,0.0
28,50,5,5,5,1.064
28,50,5,5,5,1.064
28,801,5,5,1,0.736
28,801,5,5,1,0.736
28,816,5,5,5,2.055
28,816,5,5,5,2.055
28,821,5,5,2,0.183
28,821,5,5,2,0.183
28,1061,5,5,1,0.549
28,1061,5,5,1,0.549
28,1084,5,5,2,0.443
28,1084,5,5,2,0.443
28,1118,5,5,3,0.945
28,1118,5,5,3,0.945
28,1169,5,5,1,0.573
28,1169,5,5,1,0.573
28,1404,5,5,2,1.12
28,1404,5,5,2,1.12
29,20,5,5,2,0.325
29,32,5,5,2,0.346
30,31,5,5,1,0.243
31,30,5,5,1,0.243
31,98,5,5,1,0.274
32,29,5,5,1,0.346
32,53,5,5,1,0.129
33,21,5,5,1,0.406
33,73,5,5,1,0.364
34,4,5,5,1,0.401
34,35,5,5,1,0.341
34,57,5,5,1,0.5
35,34,5,5,1,0.341
35,37,5,5,1,0.271
36,77,5,5,1,0.578
36,105,5,5,1,0.143
37,35,5,5,1,0.271
37,65,5,5,1,0.447
38,38,5,5,1,0.0
38,38,5,5,1,0.0
38,38,5,5,1,0.0
38,38,5,5,1,0.0
38,1111,5,5,3,2.218
38,1111,5,5,3,2.218
38,1162,5,5,1,0.598
38,1162,5,5,1,0.598
38,1222,5,5,1,0.383
38,1222,5,5,1,0.383
38,1270,5,5,1,0.257
38,1270,5,5,1,0.257
38,1333,5,5,1,0.539
38,1333,5,5,1,0.539
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,959,5,5,1,0.501
39,959,5,5,1,0.501
39,1204,5,5,1,0.42
39,1204,5,5,1,0.42
39,1262,5,5,1,1.05
39,1262,5,5,1,1.05
40,263,5,5,2,0.997
41,111,5,5,7,1.589
41,111,5,5,7,1.589
41,567,5,5,1,0.235
41,600,5,5,1,0.33
41,643,5,5,5,0.631
41,739,5,5,1,0.639
41,742,5,5,3,1.182
41,929,5,5,5,0.597
41,1021,5,5,3,1.484
42,13,5,5,1,0.727
42,13,5,5,1,0.727
42,47,5,5,1,0.173
42,59,5,5,1,0.499
42,94,5,5,1,0.258
43,53,5,5,1,0.346
43,1216,5,5,1,0.268
44,19,5,5,2,0.959
44,19,5,5,2,0.959
44,873,5,5,2,0.663
45,19,5,5,2,0.742
45,19,5,5,2,0.742
45,384,5,5,1,0.157
46,1,5,5,1,0.679
46,1,5,5,1,0.679
46,13,5,5,1,0.884
46,13,5,5,1,0.884
47,13,5,5,1,0.664
47,13,5,5,1,0.664
47,96,5,5,6,1.548
47,505,5,5,1,0.271
48,72,5,5,1,0.245
48,75,5,5,1,0.785
48,91,5,5,1,0.149
48,614,5,5,1,0.21
48,802,5,5,1,0.197
49,385,5,5,1,0.27
50,28,5,5,6,1.064
50,28,5,5,6,1.064
50,51,5,5,1,0.325
50,493,5,5,2,0.676
51,50,5,5,1,0.325
51,107,5,5,4,1.982
52,53,5,5,1,0.538
52,81,5,5,1,0.348
53,32,5,5,1,0.129
53,43,5,5,1,0.346
53,52,5,5,1,0.538
53,54,5,5,1,0.297
54,53,5,5,1,0.297
54,98,5,5,1,0.252
54,99,5,5,1,0.446
55,19,5,5,1,0.584
55,19,5,5,1,0.584
55,57,5,5,1,0.222
56,585,5,5,1,0.537
56,665,5,5,1,0.221
56,666,5,5,1,0.202
57,34,5,5,1,0.5
57,55,5,5,1,0.222
57,519,5,5,1,0.263
57,706,5,5,2,0.478
57,1059,5,5,1,0.29
58,89,5,5,2,0.826
58,89,5,5,2,0.826
58,817,5,5,2,0.744
59,42,5,5,2,0.499
59,61,5,5,1,0.545
59,75,5,5,4,1.126
59,655,5,5,1,0.351
60,1,5,5,1,0.607
60,1,5,5,1,0.607
60,110,5,5,1,0.283
61,47,5,5,3,0.983
61,48,5,5,3,0.754
61,59,5,5,1,0.545
61,910,5,5,11,5.159
62,14,5,5,1,0.336
62,43,5,5,1,0.351
62,65,5,5,1,0.565
63,64,5,5,1,0.25
63,699,5,5,1,0.117
64,15,5,5,1,0.257
64,63,5,5,1,0.25
65,37,5,5,1,0.447
65,417,5,5,1,0.335
65,699,5,5,1,0.402
66,106,5,5,1,1.157
66,788,5,5,1,0.249
67,1,5,5,1,1.191
67,1,5,5,1,1.191
67,68,5,5,1,0.422
67,867,5,5,1,0.544
68,1,5,5,1,0.796
68,1,5,5,1,0.796
68,67,5,5,1,0.422
68,296,5,5,1,0.112
68,536,5,5,9,1.515
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,473,5,5,1,0.296
69,473,5,5,1,0.296
69,1134,5,5,1,0.372
69,1134,5,5,1,0.372
69,1314,5,5,1,0.923
69,1314,5,5,1,0.923
69,1321,5,5,1,0.393
69,1321,5,5,1,0.393
69,1369,5,5,1,0.682
69,1369,5,5,1,0.682
70,70,5,5,1,0.0
70,443,5,5,1,0.925
70,448,5,5,1,0.481
70,549,5,5,1,0.564
70,550,5,5,1,0.523
71,1,5,5,1,1.199
71,1,5,5,1,1.199
71,21,5,5,1,0.516
72,16,5,5,1,0.292
72,48,5,5,1,0.245
72,61,5,5,3,0.867
73,1,5,5,2,0.87
73,1,5,5,2,0.87
73,33,5,5,1,0.364
73,71,5,5,1,0.378
73,73,5,5,1,0.0
73,74,5,5,1,0.885
74,17,5,5,1,0.251
74,59,5,5,5,0.954
74,75,5,5,1,0.181
75,16,5,5,1,0.29
75,21,5,5,1,0.114
75,71,5,5,1,0.631
75,74,5,5,1,0.181
76,77,5,5,1,0.291
76,86,5,5,1,0.475
77,22,5,5,1,0.428
77,36,5,5,1,0.578
77,76,5,5,1,0.291
77,386,5,5,3,0.74
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,78,5,5,1,0.0
78,165,5,5,1,0.285
78,165,5,5,1,0.285
78,165,5,5,1,0.285
78,167,5,5,1,0.466
78,167,5,5,1,0.466
78,167,5,5,1,0.466
78,168,5,5,1,0.444
78,168,5,5,1,0.444
78,168,5,5,1,0.444
78,422,5,5,1,0.416
78,422,5,5,1,0.416
78,422,5,5,1,0.416
78,1297,5,5,1,0.623
78,1297,5,5,1,0.623
78,1297,5,5,1,0.623
78,1420,5,5,4,1.087
78,1420,5,5,4,1.087
78,1420,5,5,4,1.087
79,1317,5,5,1,0.434
79,1317,5,5,1,0.434
80,5,5,5,1,0.145
80,104,5,5,1,0.225
81,52,5,5,1,0.348
81,53,5,5,2,0.885
81,755,5,5,1,0.438
82,19,5,5,1,0.557
82,19,5,5,1,0.557
82,83,5,5,2,0.445
83,82,5,5,1,0.445
83,84,5,5,1,0.414
84,83,5,5,1,0.414
84,85,5,5,1,0.332
85,84,5,5,1,0.332
86,76,5,5,1,0.475
86,98,5,5,1,0.189
87,87,5,5,1,0.0
87,87,5,5,1,0.0
87,87,5,5,1,0.0
87,87,5,5,1,0.0
87,496,5,5,1,0.5
87,496,5,5,1,0.5
87,595,5,5,1,0.414
87,595,5,5,1,0.414
87,807,5,5,3,1.367
87,807,5,5,3,1.367
87,935,5,5,1,0.35
87,935,5,5,1,0.35
88,452,5,5,1,0.668
88,452,5,5,1,0.668
88,698,5,5,1,0.791
88,698,5,5,1,0.791
88,1082,5,5,3,1.011
88,1082,5,5,3,1.011
89,9,5,5,1,0.713
89,9,5,5,1,0.713
89,58,5,5,2,0.826
89,58,5,5,2,0.826
89,89,5,5,1,0.0
89,89,5,5,1,0.0
89,89,5,5,1,0.0
89,89,5,5,1,0.0
89,162,5,5,1,0.279
89,162,5,5,1,0.279
89,299,5,5,1,0.473
89,299,5,5,1,0.473
90,91,5,5,1,0.165
90,93,5,5,1,0.318
91,48,5,5,1,0.149
91,90,5,5,1,0.165
92,95,5,5,3,0.93
92,107,5,5,2,0.502
93,90,5,5,1,0.318
93,109,5,5,1,0.35
94,42,5,5,1,0.258
94,66,5,5,1,0.336
95,92,5,5,4,0.93
95,96,5,5,6,1.325
96,47,5,5,6,1.548
96,95,5,5,5,1.325
97,18,5,5,1,0.175
97,596,5,5,1,0.19
98,31,5,5,1,0.274
98,54,5,5,1,0.252
98,86,5,5,1,0.189
99,54,5,5,1,0.446
100,100,5,5,1,0.0
100,100,5,5,1,0.0
100,100,5,5,1,0.0
100,100,5,5,1,0.0
100,171,5,5,1,0.478
100,171,5,5,1,0.478
100,486,5,5,1,0.49
100,486,5,5,1,0.49
