nodeid,lat,lon,layer
1,51.52051,-0.7214,5
1,51.52051,-0.7214,2
2,51.61684,-0.51242,5
3,51.62001,-0.51504,5
4,51.52887,-0.64846,5
5,51.53003,-0.64773,5
6,51.63917,-0.7785,5
7,51.55295,-0.73092,5
8,51.55197,-0.72667,5
9,51.5571,-0.7324,5
10,51.55488,-0.73186,5
11,51.70352,-0.70914,5
11,51.70352,-0.70914,2
12,51.73577,-0.82933,2
12,51.73577,-0.82933,5
13,51.53302,-0.72847,5
13,51.53302,-0.72847,2
14,51.53369,-0.62417,5
15,51.53486,-0.62547,5
16,51.52533,-0.7498,5
17,51.52687,-0.74113,5
18,51.52659,-0.73752,5
19,51.5235,-0.64637,5
19,51.5235,-0.64637,2
20,51.52858,-0.60562,5
21,51.52426,-0.74437,5
22,51.5237,-0.63433,5
23,51.58902,-0.55527,5
23,51.58902,-0.55527,2
24,51.61473,-0.51102,5
25,51.61351,-0.51308,5
26,51.61952,-0.5117,5
27,51.60777,-0.51005,5
28,51.57282,-0.77234,5
28,51.57282,-0.77234,2
29,51.5282,-0.61029,5
30,51.52267,-0.60945,5
31,51.5225,-0.61296,5
32,51.52774,-0.61525,5
33,51.52317,-0.73875,5
34,51.5322,-0.6462,5
35,51.53214,-0.64125,5
36,51.52774,-0.62926,5
37,51.53218,-0.63732,5
38,51.57712,-0.71047,5
38,51.57712,-0.71047,2
39,51.75224,-0.80845,2
39,51.75224,-0.80845,5
40,51.53984,-0.83184,5
41,51.61746,-0.76221,5
42,51.53649,-0.7374,5
43,51.52933,-0.61879,5
44,51.5205,-0.65939,5
45,51.51719,-0.64992,5
46,51.52662,-0.72085,5
47,51.53493,-0.73759,5
48,51.5271,-0.75647,5
49,51.51444,-0.63014,5
50,51.56329,-0.77402,5
51,51.56593,-0.77198,5
52,51.53146,-0.61759,5
53,51.5267,-0.6161,5
54,51.52406,-0.61539,5
55,51.528,-0.65076,5
56,51.52779,-0.65991,5
57,51.52976,-0.6523,5
58,51.55984,-0.71074,5
59,51.53502,-0.74423,5
60,51.52506,-0.72629,5
61,51.53316,-0.75154,5
62,51.5307,-0.62338,5
63,51.53724,-0.62947,5
64,51.53717,-0.62584,5
65,51.53272,-0.6309,5
66,51.54024,-0.73234,5
67,51.52384,-0.705,5
68,51.52374,-0.71111,5
69,51.71757,-0.84036,5
69,51.71757,-0.84036,2
70,51.60239,-0.6374,5
71,51.5212,-0.73873,5
72,51.5255,-0.75402,5
73,51.52242,-0.73362,5
74,51.52643,-0.7447,5
75,51.52491,-0.74565,5
76,51.52158,-0.6245,5
77,51.52256,-0.62841,5
78,51.67421,-0.60759,2
78,51.67421,-0.60759,5
78,51.67421,-0.60759,3
79,51.6759,-0.82547,2
79,51.6759,-0.82547,5
80,51.53,-0.64563,5
