ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,9,2,2,3,2.174
1,9,2,2,3,2.174
1,9,2,2,3,2.174
1,9,2,2,3,2.174
1,9,2,2,3,2.174
1,9,2,2,3,2.174
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,14,2,2,3,0.914
1,22,2,2,9,13.867
1,22,2,2,9,13.867
1,22,2,2,9,13.867
1,22,2,2,9,13.867
1,22,2,2,9,13.867
1,22,2,2,9,13.867
1,25,2,2,3,2.118
1,25,2,2,3,2.118
1,25,2,2,3,2.118
1,25,2,2,3,2.118
1,25,2,2,3,2.118
1,25,2,2,3,2.118
1,27,2,2,8,10.62
1,27,2,2,8,10.62
1,27,2,2,8,10.62
1,27,2,2,8,10.62
1,27,2,2,8,10.62
1,27,2,2,8,10.62
2,10,2,2,2,1.464
2,10,2,2,2,1.464
2,10,2,2,2,1.464
2,10,2,2,2,1.464
2,10,2,2,2,1.464
2,10,2,2,2,1.464
9,1,2,2,4,2.174
9,1,2,2,4,2.174
9,1,2,2,4,2.174
9,1,2,2,4,2.174
9,1,2,2,4,2.174
9,1,2,2,4,2.174
9,12,2,2,6,7.084
9,12,2,2,6,7.084
9,12,2,2,6,7.084
9,12,2,2,6,7.084
9,12,2,2,6,7.084
9,12,2,2,6,7.084
9,22,2,2,10,13.485
9,22,2,2,10,13.485
9,22,2,2,10,13.485
9,22,2,2,10,13.485
9,25,2,2,4,1.613
9,25,2,2,4,1.613
9,25,2,2,4,1.613
9,25,2,2,4,1.613
9,27,2,2,9,10.076
9,27,2,2,9,10.076
9,27,2,2,9,10.076
9,27,2,2,9,10.076
9,38,2,2,2,0.748
9,38,2,2,2,0.748
9,38,2,2,2,0.748
9,38,2,2,2,0.748
9,39,2,2,3,2.428
9,39,2,2,3,2.428
9,39,2,2,3,2.428
9,39,2,2,3,2.428
10,2,2,2,3,1.464
10,2,2,2,3,1.464
10,2,2,2,3,1.464
10,2,2,2,3,1.464
10,2,2,2,3,1.464
10,2,2,2,3,1.464
10,26,2,2,3,2.477
10,26,2,2,3,2.477
10,26,2,2,3,2.477
10,26,2,2,3,2.477
10,26,2,2,3,2.477
10,26,2,2,3,2.477
11,1,2,2,18,15.032
11,1,2,2,18,15.032
11,1,2,2,18,15.032
11,1,2,2,18,15.032
11,1,2,2,18,15.032
11,1,2,2,18,15.032
11,22,2,2,2,1.228
11,22,2,2,2,1.228
11,22,2,2,2,1.228
11,22,2,2,2,1.228
12,9,2,2,6,7.084
12,9,2,2,6,7.084
12,9,2,2,6,7.084
12,9,2,2,6,7.084
12,9,2,2,6,7.084
12,9,2,2,6,7.084
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,34,2,2,3,2.438
12,39,2,2,4,4.657
12,39,2,2,4,4.657
12,39,2,2,4,4.657
12,39,2,2,4,4.657
12,39,2,2,4,4.657
12,39,2,2,4,4.657
12,41,2,2,4,3.694
12,41,2,2,4,3.694
12,41,2,2,4,3.694
12,41,2,2,4,3.694
12,41,2,2,4,3.694
12,41,2,2,4,3.694
14,1,2,2,3,0.914
14,1,2,2,3,0.914
14,1,2,2,3,0.914
14,1,2,2,3,0.914
14,1,2,2,3,0.914
14,1,2,2,3,0.914
14,1,2,2,3,0.914
14,1,2,2,3,0.914
