nodeid,lat,lon,layer
1,50.829,-0.14128,2
1,50.829,-0.14128,5
1,50.829,-0.14128,4
2,50.77284,0.10014,5
2,50.77284,0.10014,2
2,50.77284,0.10014,4
3,50.82386,-0.14547,5
4,50.86508,-0.15244,4
4,50.86508,-0.15244,5
5,50.79146,-0.00225,4
5,50.79146,-0.00225,5
6,50.82809,-0.17067,5
7,50.78784,0.01863,4
7,50.78784,0.01863,5
8,50.96853,-0.19461,4
8,50.96853,-0.19461,5
9,50.83521,-0.17069,2
9,50.83521,-0.17069,5
10,50.78014,0.08276,5
10,50.78014,0.08276,2
11,50.96378,-0.12084,2
11,50.96378,-0.12084,5
12,50.83442,-0.27171,2
12,50.83442,-0.27171,5
12,50.83442,-0.27171,4
13,50.80325,-0.05822,4
13,50.80325,-0.05822,5
14,50.83666,-0.1365,2
14,50.83666,-0.1365,5
14,50.83666,-0.1365,4
15,50.82797,-0.28748,5
16,50.82127,-0.32297,4
16,50.82127,-0.32297,5
17,50.85875,-0.13295,5
18,50.85835,-0.131,5
19,50.8375,-0.15844,5
20,50.8433,-0.1346,5
21,50.82538,-0.1214,5
22,50.95361,-0.12777,2
22,50.95361,-0.12777,5
23,50.86212,-0.08738,2
23,50.86212,-0.08738,5
24,50.83917,-0.14839,4
24,50.83917,-0.14839,5
25,50.84594,-0.15517,2
25,50.84594,-0.15517,5
26,50.79389,0.05496,5
26,50.79389,0.05496,2
26,50.79389,0.05496,4
27,50.92461,-0.14595,2
27,50.92461,-0.14595,5
28,50.83423,-0.21941,5
28,50.83423,-0.21941,2
29,50.82087,-0.13716,4
29,50.82087,-0.13716,5
30,50.85765,-0.14158,5
31,50.82549,-0.17854,4
31,50.82549,-0.17854,5
32,50.83705,-0.07602,5
33,50.83205,-0.17777,5
34,50.83248,-0.23707,4
34,50.83248,-0.23707,2
34,50.83248,-0.23707,5
35,50.85656,-0.15313,4
35,50.85656,-0.15313,5
36,50.84672,-0.11884,2
36,50.84672,-0.11884,5
37,50.80048,-0.03993,4
37,50.80048,-0.03993,5
38,50.83636,-0.18121,2
38,50.83636,-0.18121,5
39,50.83568,-0.20532,5
39,50.83568,-0.20532,2
40,50.84396,-0.19742,5
41,50.82708,-0.3231,2
41,50.82708,-0.3231,5
42,50.8297,-0.20932,4
42,50.8297,-0.20932,5
43,50.83839,-0.16907,5
44,50.83908,-0.17306,5
45,50.83586,-0.16064,5
46,50.83735,-0.16549,5
47,50.83445,-0.15453,5
48,50.83479,-0.15677,5
49,50.83155,-0.14773,5
50,50.83322,-0.14966,5
51,50.83904,-0.17662,5
52,50.92185,-0.13118,5
53,50.78907,0.04657,5
54,50.79031,0.04532,5
55,50.79428,0.03896,5
56,50.78683,0.05175,5
57,50.78424,0.04579,5
58,50.78942,0.04197,5
59,50.79596,0.04148,5
60,50.87817,-0.2918,5
61,50.77496,0.15304,5
62,51.02932,-0.21806,5
63,50.81927,-0.1321,5
64,50.81694,-0.12004,5
65,50.81634,-0.11701,5
66,50.8184,-0.12777,5
67,50.81779,-0.12442,5
68,50.81575,-0.11422,5
69,50.84252,-0.09665,5
70,50.82852,-0.16198,5
71,50.82954,-0.16357,5
72,50.8303,-0.16845,5
73,50.91317,-0.15433,5
74,50.86748,-0.14431,5
75,50.86801,-0.14156,5
76,50.86134,-0.15079,5
77,50.83205,-0.14528,5
78,50.85723,-0.14848,5
79,50.86029,-0.14565,5
80,50.86211,-0.14549,5
81,50.86435,-0.14543,5
82,50.84011,-0.27961,5
83,50.84025,-0.27976,5
84,50.83984,-0.28519,5
85,50.83179,-0.27573,5
86,50.83159,-0.27528,5
87,50.83509,-0.27644,5
88,50.83999,-0.27255,5
89,50.84023,-0.27361,5
90,50.95334,-0.36398,5
91,50.96365,-0.35665,5
92,50.96283,-0.35719,5
93,50.83149,-0.2322,5
94,50.8539,-0.1444,5
95,50.86096,-0.14004,5
96,50.85962,-0.14251,5
97,50.85301,-0.14034,5
98,50.85603,-0.16631,5
99,50.85728,-0.16893,5
100,50.83805,-0.32803,5
101,50.83777,-0.32828,5
102,50.84493,-0.27045,5
103,50.83566,-0.32195,5
104,50.83556,-0.324,5
105,50.83605,-0.32714,5
106,50.84007,-0.32717,5
107,50.83965,-0.32746,5
108,50.82897,-0.27523,5
109,50.82999,-0.26776,5
110,50.92257,-0.32214,5
111,50.92777,-0.32305,5
112,50.92778,-0.32292,5
113,50.93735,-0.31845,5
114,50.93735,-0.31831,5
115,50.94142,-0.31502,5
116,50.9414,-0.31492,5
117,50.94461,-0.30991,5
118,50.94455,-0.30981,5
119,50.94852,-0.30669,5
120,51.0081,-0.30643,5
121,50.86304,-0.12395,5
122,50.86065,-0.12361,5
123,50.8667,-0.13533,5
124,50.8633,-0.1264,5
125,50.86586,-0.13697,5
126,50.86538,-0.14017,5
127,50.94552,-0.09473,5
128,50.92072,-0.11438,5
129,50.82901,-0.12204,5
130,50.83813,-0.24416,5
131,50.84038,-0.24381,5
132,50.82411,-0.14883,5
