ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
55,577,2,2,5,3.28
55,577,2,2,5,3.28
55,577,2,2,5,3.28
55,577,2,2,5,3.28
55,649,2,2,2,1.345
55,649,2,2,2,1.345
55,649,2,2,2,1.345
55,649,2,2,2,1.345
59,255,2,2,4,3.094
59,255,2,2,4,3.094
59,255,2,2,4,3.094
59,255,2,2,4,3.094
59,255,2,2,4,3.094
59,255,2,2,4,3.094
77,255,2,2,4,1.86
77,255,2,2,4,1.86
77,255,2,2,4,1.86
77,255,2,2,4,1.86
77,255,2,2,4,1.86
77,255,2,2,4,1.86
77,673,2,2,2,1.596
77,673,2,2,2,1.596
77,673,2,2,2,1.596
77,673,2,2,2,1.596
255,59,2,2,3,3.094
255,59,2,2,3,3.094
255,59,2,2,3,3.094
255,59,2,2,3,3.094
255,59,2,2,3,3.094
255,59,2,2,3,3.094
255,77,2,2,3,1.86
255,77,2,2,3,1.86
255,77,2,2,3,1.86
255,77,2,2,3,1.86
255,77,2,2,3,1.86
255,77,2,2,3,1.86
255,540,2,2,7,6.941
255,540,2,2,7,6.941
255,540,2,2,7,6.941
255,540,2,2,7,6.941
255,540,2,2,7,6.941
255,540,2,2,7,6.941
255,987,2,2,9,5.527
255,987,2,2,9,5.527
255,987,2,2,9,5.527
255,987,2,2,9,5.527
255,987,2,2,9,5.527
255,987,2,2,9,5.527
540,255,2,2,6,6.941
540,255,2,2,6,6.941
540,255,2,2,6,6.941
540,255,2,2,6,6.941
540,255,2,2,6,6.941
540,255,2,2,6,6.941
540,1531,2,2,5,3.967
540,1531,2,2,5,3.967
540,1531,2,2,5,3.967
540,1531,2,2,5,3.967
543,673,2,2,2,1.641
543,673,2,2,2,1.641
543,673,2,2,2,1.641
543,673,2,2,2,1.641
543,1437,2,2,2,1.453
543,1437,2,2,2,1.453
543,1437,2,2,2,1.453
543,1437,2,2,2,1.453
572,987,2,2,9,5.488
572,987,2,2,9,5.488
572,987,2,2,9,5.488
572,987,2,2,9,5.488
572,1538,2,2,6,3.801
572,1538,2,2,6,3.801
572,1538,2,2,6,3.801
572,1538,2,2,6,3.801
577,55,2,2,4,3.28
577,55,2,2,4,3.28
577,55,2,2,4,3.28
577,55,2,2,4,3.28
649,55,2,2,2,1.345
649,55,2,2,2,1.345
649,55,2,2,2,1.345
649,55,2,2,2,1.345
649,1437,2,2,3,3.076
649,1437,2,2,3,3.076
649,1437,2,2,3,3.076
649,1437,2,2,3,3.076
673,77,2,2,2,1.596
673,77,2,2,2,1.596
673,77,2,2,2,1.596
673,77,2,2,2,1.596
673,543,2,2,3,1.641
673,543,2,2,3,1.641
673,543,2,2,3,1.641
673,543,2,2,3,1.641
987,255,2,2,12,5.527
987,255,2,2,12,5.527
987,255,2,2,12,5.527
987,255,2,2,12,5.527
987,255,2,2,12,5.527
987,255,2,2,12,5.527
987,572,2,2,9,5.488
987,572,2,2,9,5.488
987,572,2,2,9,5.488
987,572,2,2,9,5.488
987,1538,2,2,10,8.453
987,1538,2,2,10,8.453
987,1538,2,2,10,8.453
987,1538,2,2,10,8.453
1437,543,2,2,2,1.453
1437,543,2,2,2,1.453
1437,543,2,2,2,1.453
1437,543,2,2,2,1.453
1437,649,2,2,4,3.076
1437,649,2,2,4,3.076
1437,649,2,2,4,3.076
1437,649,2,2,4,3.076
1531,255,2,2,11,10.853
1531,255,2,2,11,10.853
1531,255,2,2,11,10.853
1531,255,2,2,11,10.853
1531,255,2,2,11,10.853
1531,255,2,2,11,10.853
1531,540,2,2,4,3.967
1531,540,2,2,4,3.967
1531,540,2,2,4,3.967
1531,540,2,2,4,3.967
1538,572,2,2,6,3.801
1538,572,2,2,6,3.801
1538,572,2,2,6,3.801
1538,572,2,2,6,3.801
1538,987,2,2,8,8.453
1538,987,2,2,8,8.453
1538,987,2,2,8,8.453
1538,987,2,2,8,8.453
255,714,4,4,20,9.777
255,714,4,4,20,9.777
255,714,4,4,20,9.777
255,714,4,4,20,9.777
255,714,4,4,20,9.777
255,714,4,4,20,9.777
255,1299,4,4,10,5.999
255,1299,4,4,10,5.999
255,1299,4,4,10,5.999
255,1299,4,4,10,5.999
255,1299,4,4,10,5.999
255,1299,4,4,10,5.999
712,255,4,4,35,13.65
712,255,4,4,35,13.65
712,255,4,4,35,13.65
712,255,4,4,35,13.65
712,255,4,4,35,13.65
712,255,4,4,35,13.65
712,714,4,4,25,8.372
712,714,4,4,25,8.372
712,714,4,4,25,8.372
712,714,4,4,25,8.372
714,255,4,4,20,9.777
714,255,4,4,20,9.777
714,255,4,4,20,9.777
714,255,4,4,20,9.777
714,255,4,4,20,9.777
