nodeid,lat,lon,layer
1,53.6604,-1.95155,5
2,53.59856,-1.92862,5
3,53.65921,-1.86715,5
4,53.76289,-1.77745,5
5,53.63655,-1.75304,5
6,53.6394,-1.76005,5
7,53.71252,-1.99012,5
8,53.77182,-1.78673,5
9,53.77049,-1.78467,5
10,53.67476,-1.75378,5
11,53.65186,-1.75796,5
12,53.62213,-1.71814,5
13,53.62476,-1.71872,5
14,53.62748,-1.71988,5
15,53.7073,-1.85053,5
16,53.71025,-1.85318,5
17,53.69893,-1.81368,5
18,53.69808,-1.8233,5
19,53.70335,-1.79714,5
20,53.70195,-1.80154,5
21,53.70009,-1.8088,5
22,53.71471,-1.88556,5
23,53.61035,-1.907,5
24,53.61734,-1.8517,5
25,53.7212,-1.81027,5
26,53.77104,-1.78951,5
27,53.77164,-1.79066,5
28,53.77219,-1.79221,5
29,53.65527,-1.83538,5
30,53.65398,-1.78205,5
31,53.75505,-1.83444,5
32,53.62996,-1.80112,5
33,53.62783,-1.80464,5
34,53.62419,-1.80665,5
35,53.59228,-1.77047,5
36,53.65973,-1.79287,5
37,53.72511,-1.86948,5
38,53.71907,-1.89949,5
39,53.63895,-1.75649,5
40,53.6634,-1.79108,5
41,53.66268,-1.79434,5
42,53.63935,-1.74015,5
43,53.63965,-1.73572,5
44,53.74736,-1.87121,5
45,53.74305,-1.87056,5
46,53.73578,-1.88609,5
47,53.72561,-1.79833,5
48,53.72476,-1.80226,5
49,53.63814,-1.80928,5
50,53.63208,-1.7934,5
51,53.63123,-1.78951,5
52,53.69966,-1.78925,5
53,53.69944,-1.79172,5
54,53.62807,-1.85234,5
55,53.58875,-1.70493,2
55,53.58875,-1.70493,5
56,53.63061,-1.78894,5
57,53.63064,-1.78753,5
58,53.63088,-1.78711,5
59,53.6685,-1.7519,5
59,53.6685,-1.7519,2
60,53.71173,-1.88315,5
61,53.70115,-1.86254,5
62,53.70107,-1.85942,5
63,53.72343,-1.87316,5
64,53.72351,-1.86941,5
65,53.72141,-1.86634,5
66,53.56986,-1.64683,5
67,53.56785,-1.64197,5
68,53.64887,-1.79287,5
69,53.65006,-1.7957,5
70,53.65108,-1.79843,5
71,53.6515,-1.80192,5
72,53.65151,-1.8051,5
73,53.7815,-1.7588,5
74,53.7829,-1.757,5
75,53.77709,-1.76039,5
76,53.77993,-1.76033,5
77,53.63475,-1.80079,2
77,53.63475,-1.80079,5
78,53.75806,-1.79784,5
79,53.7585,-1.79438,5
80,53.76853,-1.78132,5
81,53.76697,-1.77864,5
82,53.6124,-1.69659,5
83,53.64132,-1.74242,5
84,53.61044,-1.70215,5
85,53.69327,-1.8504,5
86,53.72092,-1.73234,5
87,53.71262,-1.86385,5
88,53.6825,-1.80229,5
89,53.67912,-1.79044,5
90,53.67686,-1.79074,5
91,53.68273,-1.80055,5
92,53.65203,-1.81342,5
93,53.77226,-1.76326,5
94,53.77659,-1.76923,5
95,53.77446,-1.76672,5
96,53.60833,-1.89381,5
97,53.67793,-1.82346,5
98,53.68306,-1.86282,5
99,53.6853,-1.85859,5
100,53.65828,-1.87828,5
101,53.65875,-1.88109,5
102,53.66117,-1.88072,5
103,53.67549,-1.86727,5
104,53.67787,-1.86769,5
105,53.55573,-1.82201,5
106,53.55866,-1.81576,5
107,53.55718,-1.81911,5
108,53.5652,-1.80313,5
109,53.56048,-1.81115,5
110,53.66683,-1.8305,5
111,53.60002,-1.95737,5
112,53.74037,-1.8892,5
113,53.74149,-1.88219,5
114,53.74036,-1.88541,5
115,53.63649,-1.72749,5
116,53.63883,-1.73028,5
117,53.63059,-1.72124,5
118,53.63423,-1.72433,5
119,53.71919,-1.87051,5
120,53.62999,-1.63987,5
121,53.64515,-1.84544,5
122,53.6447,-1.84238,5
123,53.64254,-1.84063,5
124,53.56264,-1.76709,5
125,53.59839,-1.8629,5
126,53.61805,-1.89068,5
127,53.5881,-1.84425,5
128,53.55906,-1.7789,5
129,53.66696,-1.95773,5
130,53.66729,-1.95458,5
131,53.67305,-1.94546,5
132,53.70498,-1.93044,5
133,53.67606,-1.85823,5
134,53.67479,-1.86138,5
135,53.67437,-1.86487,5
136,53.6745,-1.86789,5
137,53.67382,-1.87186,5
138,53.67383,-1.87322,5
139,53.67364,-1.87489,5
140,53.72565,-1.88759,5
141,53.71788,-1.86035,5
142,53.72529,-1.88416,5
143,53.7253,-1.88128,5
144,53.70661,-1.91547,5
145,53.64954,-1.92992,5
146,53.70721,-1.91678,5
147,53.74777,-1.82628,5
148,53.64231,-1.73857,5
149,53.74709,-1.82323,5
150,53.62535,-1.82987,5
151,53.62656,-1.83333,5
152,53.71055,-1.7338,5
153,53.63035,-1.84335,5
154,53.63311,-1.83912,5
155,53.62914,-1.84484,5
156,53.73997,-1.73087,5
157,53.63139,-1.8468,5
158,53.7069,-1.91538,5
159,53.72817,-1.82792,5
160,53.72639,-1.8209,5
161,53.72523,-1.81194,5
162,53.72917,-1.8306,5
163,53.63716,-1.8299,5
164,53.68959,-1.95453,5
165,53.75315,-1.75821,5
166,53.7074,-1.91966,5
167,53.70733,-1.92131,5
168,53.71124,-1.9002,5
169,53.73445,-1.88191,5
170,53.71275,-1.89974,5
171,53.63245,-1.69458,5
172,53.63219,-1.70317,5
173,53.63151,-1.70505,5
174,53.66142,-1.72397,5
175,53.71641,-1.85293,5
176,53.75948,-1.75958,5
177,53.67986,-1.95357,5
178,53.62438,-1.80045,5
179,53.63963,-1.80792,5
180,53.6376,-1.81976,5
181,53.64008,-1.79965,5
182,53.60089,-1.92174,5
183,53.59441,-1.70158,5
184,53.76394,-1.79575,5
185,53.68412,-1.93459,5
186,53.67531,-1.94061,5
187,53.67154,-1.94846,5
188,53.56952,-1.69985,5
189,53.62034,-1.85052,5
190,53.59156,-1.65224,5
191,53.59145,-1.65439,5
192,53.59241,-1.66133,5
193,53.59343,-1.66532,5
194,53.59654,-1.67621,5
195,53.59724,-1.68382,5
196,53.59039,-1.64523,5
197,53.66021,-1.78095,5
198,53.72796,-1.85369,5
199,53.69635,-1.79091,5
200,53.69962,-1.90136,5
201,53.68502,-1.88388,5
202,53.6887,-1.89162,5
203,53.68844,-1.89408,5
204,53.58863,-1.7995,5
205,53.58957,-1.79693,5
206,53.59125,-1.79358,5
207,53.63915,-1.82488,5
208,53.70049,-1.76855,5
209,53.70181,-1.77353,5
210,53.69706,-1.75948,5
211,53.7058,-1.78581,5
212,53.71267,-1.87911,5
213,53.66783,-1.82553,5
214,53.64253,-1.82993,5
215,53.57061,-1.78636,5
216,53.70685,-1.72761,5
217,53.70181,-1.71432,5
218,53.61294,-1.69468,5
219,53.6107,-1.69965,5
220,53.69906,-1.86895,5
221,53.58867,-1.76981,5
222,53.61915,-1.77761,5
223,53.7809,-1.76272,5
224,53.77293,-1.77591,5
225,53.66163,-1.78777,5
226,53.73123,-1.7537,5
227,53.73205,-1.75639,5
228,53.73284,-1.7648,5
229,53.73366,-1.75947,5
230,53.73317,-1.76804,5
231,53.73624,-1.76783,5
232,53.73935,-1.76114,5
233,53.63897,-1.80471,5
234,53.60758,-1.91533,5
235,53.61238,-1.90211,5
236,53.70599,-1.93578,5
237,53.70721,-1.86261,5
238,53.7151,-1.88828,5
239,53.71762,-1.89579,5
240,53.71985,-1.90277,5
241,53.6423,-1.80272,5
242,53.57211,-1.70165,5
243,53.74845,-1.81951,5
244,53.68118,-1.71132,5
245,53.64162,-1.7655,5
246,53.64176,-1.76889,5
247,53.64251,-1.77076,5
248,53.6405,-1.76073,5
249,53.67413,-1.86924,5
250,53.69281,-1.79452,5
251,53.73515,-1.91059,5
252,53.69108,-1.79356,5
253,53.73711,-1.87437,5
254,53.58159,-1.78135,5
255,53.64852,-1.78469,2
255,53.64852,-1.78469,5
255,53.64852,-1.78469,4
256,53.65872,-1.70259,5
257,53.71634,-1.73408,5
258,53.71544,-1.72676,5
259,53.65659,-1.70592,5
260,53.65903,-1.71362,5
261,53.74438,-1.73506,5
262,53.63542,-1.83905,5
263,53.73162,-1.864,5
264,53.72563,-1.81402,5
265,53.66883,-1.97556,5
266,53.72497,-1.87684,5
267,53.70404,-1.76596,5
268,53.70234,-1.75839,5
269,53.70117,-1.7551,5
270,53.69775,-1.85561,5
271,53.6138,-1.71373,5
272,53.66821,-1.76298,5
273,53.73963,-1.86828,5
274,53.65595,-1.80622,5
275,53.56875,-1.79219,5
276,53.74046,-1.89534,5
277,53.65777,-1.80919,5
278,53.6568,-1.80779,5
279,53.58253,-1.81571,5
280,53.70455,-1.84885,5
281,53.70636,-1.84958,5
282,53.67371,-1.84249,5
283,53.67831,-1.85088,5
284,53.67591,-1.84707,5
285,53.58234,-1.71715,5
286,53.74588,-1.73632,5
287,53.63697,-1.83443,5
288,53.73892,-1.77146,5
289,53.73684,-1.77522,5
290,53.64105,-1.86558,5
291,53.72907,-1.86169,5
292,53.72668,-1.72458,5
293,53.67445,-1.78928,5
294,53.67121,-1.78467,5
295,53.67229,-1.78648,5
296,53.6673,-1.79036,5
297,53.75728,-1.8044,5
298,53.72514,-1.80655,5
299,53.61364,-1.64399,5
300,53.69195,-1.80001,5
301,53.69435,-1.79238,5
302,53.70598,-1.93242,5
303,53.65671,-1.78274,5
304,53.71588,-1.84194,5
305,53.68677,-1.96233,5
306,53.66139,-1.91787,5
307,53.67838,-1.96261,5
308,53.67806,-1.95819,5
309,53.72463,-1.94785,5
310,53.66095,-1.94927,5
311,53.64437,-1.77857,5
312,53.63781,-1.76604,5
313,53.75826,-1.80508,5
314,53.68805,-1.81599,5
315,53.69434,-1.69906,5
316,53.63794,-1.80843,5
317,53.70596,-1.91462,5
318,53.73816,-1.84062,5
319,53.71475,-1.80146,5
320,53.71522,-1.79735,5
321,53.7681,-1.75183,5
322,53.7037,-1.78695,5
323,53.70537,-1.78855,5
324,53.70704,-1.79,5
325,53.71256,-1.79677,5
326,53.7136,-1.79957,5
327,53.63046,-1.86035,5
328,53.62709,-1.87032,5
