ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,4,2,2,3,3.116
1,4,2,2,3,3.116
1,4,2,2,3,3.116
1,4,2,2,3,3.116
2,4,2,2,4,3.283
2,4,2,2,4,3.283
2,4,2,2,4,3.283
2,4,2,2,4,3.283
2,5,2,2,1,1.498
2,5,2,2,1,1.498
2,5,2,2,1,1.498
2,5,2,2,1,1.498
3,4,2,2,1,0.857
3,4,2,2,1,0.857
3,4,2,2,1,0.857
3,4,2,2,1,0.857
4,1,2,2,3,3.116
4,1,2,2,3,3.116
4,1,2,2,3,3.116
4,1,2,2,3,3.116
4,2,2,2,4,3.283
4,2,2,2,4,3.283
4,2,2,2,4,3.283
4,2,2,2,4,3.283
4,3,2,2,2,0.857
4,3,2,2,2,0.857
4,3,2,2,2,0.857
4,3,2,2,2,0.857
5,2,2,2,2,1.498
5,2,2,2,2,1.498
5,2,2,2,2,1.498
5,2,2,2,2,1.498
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,14,5,5,1,0.434
1,14,5,5,1,0.434
1,84,5,5,1,0.361
1,84,5,5,1,0.361
1,158,5,5,1,0.394
1,158,5,5,1,0.394
1,346,5,5,1,0.526
1,346,5,5,1,0.526
1,526,5,5,1,0.39
1,526,5,5,1,0.39
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,305,5,5,1,0.494
2,305,5,5,1,0.494
2,473,5,5,1,0.439
2,473,5,5,1,0.439
2,594,5,5,1,0.422
2,594,5,5,1,0.422
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,163,5,5,1,0.614
3,163,5,5,1,0.614
3,618,5,5,1,0.594
3,618,5,5,1,0.594
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,273,5,5,1,0.39
4,273,5,5,1,0.39
4,311,5,5,1,0.778
4,311,5,5,1,0.778
4,404,5,5,1,0.473
4,404,5,5,1,0.473
4,405,5,5,1,0.479
4,405,5,5,1,0.479
4,407,5,5,1,1.042
4,407,5,5,1,1.042
4,597,5,5,1,0.531
4,597,5,5,1,0.531
4,603,5,5,1,0.991
4,603,5,5,1,0.991
4,616,5,5,1,0.473
4,616,5,5,1,0.473
4,617,5,5,1,0.339
4,617,5,5,1,0.339
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,492,5,5,1,0.512
5,492,5,5,1,0.512
5,632,5,5,1,0.361
5,632,5,5,1,0.361
5,635,5,5,1,0.356
5,635,5,5,1,0.356
6,254,5,5,1,0.227
6,304,5,5,1,0.308
7,519,5,5,1,0.372
8,36,5,5,1,0.319
9,155,5,5,1,0.279
12,659,5,5,1,0.327
13,434,5,5,1,0.402
14,192,5,5,1,0.301
14,661,5,5,1,0.283
15,663,5,5,1,0.241
16,615,5,5,1,0.204
17,16,5,5,1,0.166
17,664,5,5,1,0.426
18,664,5,5,1,0.311
18,675,5,5,1,0.415
19,601,5,5,1,0.508
20,280,5,5,1,0.227
21,367,5,5,1,0.243
21,545,5,5,1,0.136
22,2,5,5,1,0.522
22,2,5,5,1,0.522
22,272,5,5,1,0.196
23,292,5,5,1,0.263
23,451,5,5,1,0.127
24,312,5,5,1,0.26
25,215,5,5,1,0.288
26,38,5,5,1,0.096
27,581,5,5,1,0.422
28,127,5,5,1,0.469
29,309,5,5,1,0.219
29,680,5,5,1,0.264
30,67,5,5,1,0.281
31,125,5,5,1,0.301
31,643,5,5,1,0.254
32,68,5,5,1,0.365
32,334,5,5,1,0.358
33,627,5,5,1,0.197
34,682,5,5,1,0.189
35,384,5,5,1,0.313
36,61,5,5,1,0.48
36,581,5,5,2,0.321
36,678,5,5,1,0.315
37,7,5,5,1,0.283
37,390,5,5,1,0.328
40,393,5,5,1,0.248
40,575,5,5,1,0.173
41,649,5,5,1,0.252
42,147,5,5,1,0.261
43,136,5,5,1,0.186
44,74,5,5,1,0.176
45,76,5,5,1,0.385
46,138,5,5,1,0.435
47,117,5,5,1,0.136
48,15,5,5,1,0.525
48,348,5,5,2,0.465
49,589,5,5,1,0.245
50,263,5,5,1,0.254
51,21,5,5,1,0.174
52,131,5,5,1,0.318
53,145,5,5,1,0.784
53,165,5,5,1,0.623
53,259,5,5,1,0.486
55,86,5,5,1,0.212
56,87,5,5,1,0.211
58,593,5,5,1,0.171
58,595,5,5,1,0.245
59,320,5,5,1,0.368
59,356,5,5,1,0.553
59,375,5,5,1,0.437
59,670,5,5,1,0.309
60,328,5,5,1,0.08
62,233,5,5,1,0.499
62,581,5,5,1,0.235
62,658,5,5,1,0.266
62,677,5,5,1,0.332
62,678,5,5,1,0.279
63,528,5,5,1,0.223
64,11,5,5,2,1.144
66,29,5,5,1,0.319
67,554,5,5,1,0.429
68,203,5,5,1,0.601
69,31,5,5,1,0.27
69,666,5,5,1,0.279
70,9,5,5,1,0.152
70,10,5,5,1,0.191
71,103,5,5,1,0.201
72,64,5,5,1,0.587
72,483,5,5,1,0.753
73,43,5,5,1,0.272
74,583,5,5,1,0.358
75,46,5,5,1,0.395
76,83,5,5,1,0.459
76,660,5,5,1,0.554
77,48,5,5,1,0.223
78,48,5,5,1,0.341
79,174,5,5,1,0.26
80,586,5,5,1,0.174
81,52,5,5,1,0.378
82,278,5,5,2,0.33
82,410,5,5,1,0.306
83,1,5,5,2,0.365
83,1,5,5,2,0.365
84,75,5,5,1,0.416
85,168,5,5,1,0.151
86,530,5,5,1,0.325
87,244,5,5,1,0.36
89,357,5,5,1,0.165
89,358,5,5,1,0.146
89,533,5,5,1,0.401
90,220,5,5,1,0.554
90,268,5,5,1,0.649
92,606,5,5,1,0.167
93,415,5,5,1,0.197
94,221,5,5,1,0.16
95,441,5,5,1,0.169
96,126,5,5,1,0.194
98,33,5,5,1,0.315
99,196,5,5,1,0.283
100,4,5,5,1,0.877
100,4,5,5,1,0.877
101,631,5,5,1,0.359
101,642,5,5,1,0.237
102,128,5,5,1,0.356
103,100,5,5,1,0.523
103,130,5,5,1,0.212
104,455,5,5,1,0.314
105,135,5,5,1,0.253
105,636,5,5,1,0.285
106,78,5,5,1,0.382
107,209,5,5,1,0.417
107,525,5,5,1,0.369
108,139,5,5,1,0.301
109,140,5,5,1,0.227
110,610,5,5,1,0.236
111,154,5,5,1,0.43
111,241,5,5,1,0.263
111,544,5,5,1,0.108
112,143,5,5,1,0.21
114,337,5,5,1,0.932
115,217,5,5,1,0.151
116,462,5,5,1,0.258
117,120,5,5,1,0.242
117,190,5,5,1,0.26
118,24,5,5,1,0.313
119,542,5,5,1,0.314
119,582,5,5,1,0.08
121,227,5,5,1,0.252
121,570,5,5,1,0.995
122,316,5,5,1,0.393
122,555,5,5,1,0.407
123,173,5,5,1,0.153
124,573,5,5,1,0.262
125,97,5,5,1,0.348
126,32,5,5,1,0.361
126,285,5,5,1,0.058
127,101,5,5,1,0.307
128,27,5,5,1,0.361
129,100,5,5,1,0.314
129,598,5,5,1,0.247
130,578,5,5,1,0.248
131,673,5,5,1,0.278
133,539,5,5,1,0.262
134,104,5,5,1,0.272
135,44,5,5,1,0.255
136,612,5,5,1,0.323
137,161,5,5,1,0.234
138,107,5,5,1,0.212
139,45,5,5,1,0.355
140,395,5,5,1,0.3
141,110,5,5,1,0.252
142,111,5,5,1,0.236
143,175,5,5,1,0.328
144,96,5,5,1,0.275
145,198,5,5,1,0.189
146,166,5,5,1,0.294
146,437,5,5,1,0.421
148,231,5,5,1,0.227
149,41,5,5,1,0.295
149,490,5,5,1,0.113
150,368,5,5,2,0.221
152,223,5,5,1,0.208
152,570,5,5,1,0.859
153,152,5,5,1,0.117
154,459,5,5,1,0.27
155,241,5,5,1,0.331
155,544,5,5,2,0.286
156,91,5,5,1,0.205
157,491,5,5,1,0.098
158,179,5,5,1,0.213
158,506,5,5,1,0.399
160,463,5,5,2,0.211
161,194,5,5,1,0.152
161,329,5,5,1,0.278
162,124,5,5,1,0.179
163,315,5,5,1,0.664
164,3,5,5,1,0.609
164,3,5,5,1,0.609
165,145,5,5,1,0.2
166,54,5,5,1,0.542
167,202,5,5,1,0.164
168,204,5,5,1,0.362
170,14,5,5,1,0.125
171,270,5,5,1,0.36
172,369,5,5,1,0.372
173,80,5,5,1,0.328
173,142,5,5,1,0.402
173,397,5,5,1,0.56
174,175,5,5,1,0.14
175,123,5,5,1,0.14
175,212,5,5,1,0.276
175,428,5,5,1,0.469
177,563,5,5,1,0.338
177,672,5,5,1,0.128
178,214,5,5,1,0.336
179,25,5,5,1,0.067
179,215,5,5,1,0.351
179,343,5,5,1,0.297
180,499,5,5,1,0.146
181,159,5,5,1,0.234
182,638,5,5,2,0.547
184,324,5,5,1,0.214
185,220,5,5,1,0.274
185,303,5,5,1,0.206
186,95,5,5,1,0.153
186,571,5,5,1,0.325
187,645,5,5,1,0.227
188,176,5,5,1,0.976
