nodeid,lat,lon,layer
1,53.41388,-2.79643,2
1,53.41388,-2.79643,5
2,53.42357,-2.79917,2
2,53.42357,-2.79917,5
3,53.41005,-2.85594,2
3,53.41005,-2.85594,5
4,53.40969,-2.84299,5
4,53.40969,-2.84299,2
5,53.4308,-2.78004,5
5,53.4308,-2.78004,2
6,53.42892,-2.80606,5
7,53.42037,-2.85171,5
8,53.42008,-2.85096,5
9,53.46835,-2.74313,5
10,53.46871,-2.74252,5
11,53.40917,-2.82518,5
12,53.48185,-2.75373,5
13,53.48212,-2.75387,5
14,53.41141,-2.80152,5
15,53.41484,-2.87786,5
16,53.4475,-2.75955,5
17,53.44601,-2.75989,5
18,53.44718,-2.7591,5
19,53.4469,-2.75789,5
20,53.4553,-2.76426,5
21,53.53936,-2.68481,5
22,53.4206,-2.79305,5
23,53.413,-2.84731,5
24,53.40609,-2.83379,5
25,53.41854,-2.80188,5
26,53.54203,-2.67825,5
27,53.42356,-2.85359,5
28,53.4235,-2.85425,5
29,53.41569,-2.82612,5
30,53.416,-2.82694,5
31,53.45268,-2.76307,5
32,53.45268,-2.76236,5
33,53.42145,-2.84074,5
34,53.42143,-2.84176,5
35,53.50852,-2.70749,5
36,53.42062,-2.85571,5
37,53.421,-2.85587,5
38,53.54164,-2.67694,5
39,53.47357,-2.73869,5
40,53.47398,-2.73966,5
41,53.53699,-2.68794,5
42,53.54858,-2.67203,5
43,53.43701,-2.77678,5
44,53.43761,-2.77636,5
45,53.41018,-2.78528,5
46,53.40988,-2.78533,5
47,53.53843,-2.68326,5
48,53.41277,-2.87071,5
49,53.42679,-2.79169,5
50,53.42687,-2.79168,5
51,53.54089,-2.68419,5
52,53.41374,-2.85202,5
53,53.43541,-2.85222,5
54,53.43544,-2.85244,5
55,53.51548,-2.71011,5
56,53.42623,-2.86767,5
57,53.52782,-2.70433,5
58,53.4259,-2.79542,5
59,53.42567,-2.79528,5
60,53.42656,-2.79619,5
61,53.42129,-2.86289,5
62,53.42158,-2.86297,5
63,53.52789,-2.70422,5
64,53.40115,-2.81432,5
65,53.45001,-2.75246,5
66,53.4176,-2.82974,5
67,53.4177,-2.8301,5
68,53.45252,-2.76788,5
69,53.45259,-2.76716,5
70,53.46699,-2.74279,5
71,53.40456,-2.82111,5
72,53.40465,-2.82098,5
73,53.4388,-2.77397,5
74,53.43871,-2.77444,5
75,53.4092,-2.79119,5
76,53.40912,-2.79082,5
77,53.4146,-2.8693,5
78,53.41539,-2.86802,5
79,53.46126,-2.76221,5
80,53.46106,-2.76255,5
81,53.41434,-2.85765,5
82,53.41412,-2.8557,5
83,53.41063,-2.79728,5
84,53.41064,-2.797,5
85,53.4496,-2.77674,5
86,53.5138,-2.70857,5
87,53.42494,-2.86531,5
88,53.4252,-2.86634,5
89,53.43147,-2.80119,5
90,53.43166,-2.80115,5
91,53.53636,-2.68366,5
92,53.436,-2.77225,5
93,53.43606,-2.77284,5
94,53.43036,-2.79426,5
95,53.42782,-2.81411,5
96,53.45232,-2.75398,5
97,53.45248,-2.75335,5
98,53.41899,-2.83835,5
99,53.41874,-2.83824,5
100,53.40846,-2.82989,5
101,53.42543,-2.84297,5
102,53.42531,-2.84315,5
103,53.40572,-2.82345,5
104,53.46626,-2.76881,5
105,53.43504,-2.78208,5
106,53.41455,-2.86241,5
107,53.4157,-2.78606,5
108,53.41608,-2.78596,5
109,53.43558,-2.7709,5
110,53.43538,-2.77134,5
