ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
53,99,2,2,10,10.414
53,99,2,2,10,10.414
53,99,2,2,10,10.414
53,99,2,2,10,10.414
53,141,2,2,5,3.566
53,141,2,2,5,3.566
53,141,2,2,5,3.566
53,141,2,2,5,3.566
53,183,2,2,7,3.678
53,183,2,2,7,3.678
53,183,2,2,7,3.678
53,183,2,2,7,3.678
99,53,2,2,10,10.414
99,53,2,2,10,10.414
99,53,2,2,10,10.414
99,53,2,2,10,10.414
99,103,2,2,4,2.089
99,103,2,2,4,2.089
99,103,2,2,4,2.089
99,103,2,2,4,2.089
103,99,2,2,4,2.089
103,99,2,2,4,2.089
103,99,2,2,4,2.089
103,99,2,2,4,2.089
141,53,2,2,5,3.566
141,53,2,2,5,3.566
141,53,2,2,5,3.566
141,53,2,2,5,3.566
183,53,2,2,6,3.678
183,53,2,2,6,3.678
183,53,2,2,6,3.678
183,53,2,2,6,3.678
1,191,5,5,1,0.216
1,252,5,5,1,0.178
2,544,5,5,1,0.167
2,686,5,5,1,0.202
3,560,5,5,1,0.221
3,586,5,5,1,0.213
4,282,5,5,1,0.215
4,603,5,5,1,0.234
5,5,5,5,1,0.0
5,11,5,5,1,0.299
5,11,5,5,1,0.299
5,26,5,5,1,0.203
5,183,5,5,1,0.723
5,183,5,5,1,0.723
5,218,5,5,1,0.896
5,412,5,5,1,0.146
6,281,5,5,1,0.392
6,294,5,5,1,0.252
7,8,5,5,1,0.292
7,120,5,5,1,0.219
7,143,5,5,1,0.185
7,225,5,5,1,0.259
8,7,5,5,1,0.292
8,281,5,5,1,0.298
8,658,5,5,1,0.421
9,202,5,5,1,0.109
9,253,5,5,2,0.478
9,579,5,5,1,0.385
9,616,5,5,1,0.541
10,10,5,5,1,0.0
10,53,5,5,1,0.954
10,53,5,5,1,0.954
10,128,5,5,1,0.271
10,174,5,5,1,0.407
10,194,5,5,1,0.35
11,5,5,5,1,0.299
11,5,5,5,1,0.299
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,38,5,5,1,0.449
11,38,5,5,1,0.449
11,41,5,5,1,0.441
11,41,5,5,1,0.441
11,53,5,5,5,2.933
11,53,5,5,5,2.933
11,53,5,5,5,2.933
11,53,5,5,5,2.933
11,105,5,5,1,0.609
11,105,5,5,1,0.609
11,162,5,5,1,0.64
11,162,5,5,1,0.64
11,171,5,5,1,0.499
11,171,5,5,1,0.499
11,183,5,5,3,0.892
11,183,5,5,3,0.892
11,183,5,5,3,0.892
11,183,5,5,3,0.892
11,208,5,5,1,0.23
11,208,5,5,1,0.23
11,218,5,5,1,1.147
11,218,5,5,1,1.147
11,311,5,5,2,0.477
11,311,5,5,2,0.477
11,411,5,5,1,0.799
11,411,5,5,1,0.799
11,413,5,5,1,0.193
11,413,5,5,1,0.193
11,414,5,5,1,0.218
11,414,5,5,1,0.218
11,415,5,5,1,0.417
11,415,5,5,1,0.417
11,638,5,5,3,0.554
