nodeid,lat,lon,layer
1,52.04831,1.13163,5
2,52.04951,1.13115,5
3,52.0752,1.11873,5
4,52.04219,1.18358,5
5,52.05594,1.15053,5
6,52.05808,1.2239,5
7,52.06136,1.23343,5
8,52.05874,1.23381,5
9,52.09607,1.32206,5
10,52.07244,1.16464,5
11,52.05547,1.15485,4
11,52.05547,1.15485,5
12,52.06873,1.19174,5
13,52.06659,1.19117,5
14,52.07186,1.19118,5
15,52.06136,1.17327,5
16,52.05572,1.19149,5
17,52.08438,1.12708,5
18,52.08176,1.1277,5
19,52.06114,1.19799,5
20,52.06524,1.27329,5
21,52.08393,1.29954,5
22,52.02692,1.21017,5
23,52.03767,1.21246,5
24,52.04961,1.16646,5
25,52.05038,1.22721,5
26,52.0549,1.14808,5
27,52.06379,1.26897,5
28,52.04628,1.11396,5
29,52.05795,1.17745,5
30,52.0613,1.18561,5
31,52.0456,1.15482,5
32,52.0563,1.11789,5
33,52.10357,1.32854,5
34,52.05661,1.12786,5
35,52.02731,1.19327,5
36,52.0447,1.1801,5
37,52.05812,1.12562,5
38,52.05804,1.15993,5
39,52.04915,1.17417,5
40,52.05588,1.13349,5
41,52.05852,1.15069,5
42,52.02962,1.19953,5
43,52.0317,1.18636,5
44,52.03218,1.18807,5
45,52.04518,1.12702,5
46,52.04306,1.12213,5
47,52.08307,1.14618,5
48,52.08005,1.15029,5
49,52.08495,1.14925,5
50,52.04216,1.10536,5
51,52.05448,1.15975,5
52,52.04232,1.10777,5
53,52.081,1.16592,2
53,52.081,1.16592,5
54,52.08678,1.29646,5
55,52.06823,1.12125,5
56,52.06301,1.11305,5
57,52.06502,1.11929,5
58,52.06589,1.1232,5
59,52.06755,1.12491,5
60,52.02792,1.20076,5
61,52.05636,1.16921,5
62,52.0577,1.17511,5
63,52.07726,1.10032,5
64,52.03408,1.12654,5
65,52.03288,1.13388,5
66,52.03644,1.13608,5
67,52.04592,1.20011,5
68,52.03868,1.09028,5
69,52.05027,1.09658,5
70,52.06317,1.23943,5
71,52.04627,1.14176,5
72,52.06825,1.1822,5
73,52.0693,1.18259,5
74,52.06846,1.18351,5
75,52.05948,1.19009,5
76,52.06357,1.1909,5
77,52.0416,1.14652,5
78,52.04403,1.14815,5
79,52.06637,1.1288,5
80,52.07734,1.09605,5
81,52.04416,1.11763,5
82,52.03868,1.11643,5
83,52.07219,1.21281,5
84,52.03274,1.1841,5
85,52.03155,1.18004,5
86,52.03224,1.17899,5
87,52.03476,1.17939,5
88,52.05585,1.18239,5
89,52.06536,1.22773,5
90,52.06684,1.25036,5
91,52.06648,1.24508,5
92,52.08457,1.13419,5
93,52.03709,1.18074,5
94,52.03612,1.18296,5
95,52.03655,1.18493,5
96,52.01832,1.23555,5
97,52.03429,1.23897,5
98,52.02264,1.13835,5
99,52.09046,1.31779,2
99,52.09046,1.31779,5
100,52.07928,1.12174,5
101,52.05239,1.16557,5
102,52.04814,1.16672,5
103,52.10446,1.33826,2
103,52.10446,1.33826,5
104,52.07268,1.1402,5
105,52.05957,1.14892,5
106,52.0795,1.13919,5
107,52.0743,1.14691,5
108,52.06172,1.19553,5
109,52.06101,1.2684,5
110,52.06036,1.27845,5
111,52.06314,1.16169,5
112,52.06522,1.15968,5
113,52.02799,1.23066,5
114,52.08058,1.13916,5
115,52.03452,1.14974,5
116,52.07144,1.13313,5
117,52.05918,1.24069,5
118,52.06237,1.25321,5
119,52.06008,1.25047,5
120,52.0619,1.23652,5
121,52.05253,1.12999,5
122,52.06029,1.1939,5
123,52.05807,1.20067,5
124,52.04117,1.13956,5
125,52.03616,1.17935,5
126,52.06,1.24558,5
127,52.07157,1.17172,5
128,52.07026,1.16283,5
129,52.06667,1.2005,5
130,52.06453,1.1945,5
131,52.04532,1.16588,5
132,52.04482,1.17204,5
133,52.10626,1.33131,5
134,52.09325,1.2992,5
135,52.04931,1.20826,5
136,52.05068,1.2126,5
137,52.0419,1.14317,5
138,52.07632,1.10665,5
139,52.06185,1.18151,5
140,52.03723,1.18803,5
141,52.05057,1.18266,2
141,52.05057,1.18266,5
142,52.09044,1.30062,5
143,52.06224,1.23112,5
144,52.11425,1.09235,5
145,52.1288,1.0818,5
146,52.05934,1.1685,5
147,52.04772,1.10492,5
148,52.03408,1.18728,5
149,52.06903,1.11802,5
150,52.07002,1.17842,5
151,52.05684,1.19542,5
152,52.0558,1.18893,5
153,52.06319,1.18721,5
154,52.0262,1.19688,5
155,52.06275,1.09517,5
156,52.03978,1.10224,5
157,52.04047,1.1039,5
158,52.04049,1.10864,5
159,52.04294,1.11078,5
160,52.04396,1.11362,5
161,52.05934,1.1588,5
162,52.05914,1.14761,5
163,52.03097,1.19347,5
164,52.02982,1.19502,5
165,52.08461,1.13841,5
166,52.08475,1.14242,5
167,52.05264,1.21366,5
168,52.05646,1.21761,5
169,52.05552,1.21714,5
170,52.04936,1.15567,5
171,52.05098,1.1545,5
172,52.046,1.13401,5
173,52.0615,1.08615,5
174,52.07216,1.17059,5
175,52.07067,1.17036,5
176,52.01415,1.23283,5
177,52.05647,1.1993,5
178,52.06344,1.18807,5
179,52.06669,1.18794,5
180,52.0683,1.26464,5
181,52.06455,1.27924,5
182,52.08462,1.12347,5
183,52.05061,1.14444,5
183,52.05061,1.14444,2
184,52.04499,1.12042,5
185,52.041,1.11613,5
186,52.10568,1.11161,5
187,52.04558,1.20488,5
188,52.033,1.17653,5
189,52.04656,1.13381,5
190,52.04671,1.12331,5
191,52.04745,1.12879,5
192,52.05055,1.2032,5
193,52.05042,1.20115,5
194,52.0711,1.16929,5
195,52.04108,1.17361,5
196,52.04232,1.1728,5
197,52.04199,1.18047,5
198,52.06288,1.2172,5
199,52.06321,1.21358,5
200,52.06007,1.21824,5
201,52.06466,1.22206,5
202,52.09661,1.32072,5
203,52.10543,1.32599,5
204,52.03791,1.17175,5
205,52.03797,1.18847,5
206,52.0718,1.19579,5
207,52.07512,1.18476,5
208,52.05568,1.15821,5
209,52.0569,1.27576,5
210,52.09196,1.29797,5
211,52.07185,1.14933,5
212,52.07221,1.13665,5
213,52.07098,1.14228,5
214,52.02483,1.13966,5
215,52.03352,1.20523,5
216,52.031,1.20237,5
217,52.06404,1.14719,5
218,52.06194,1.14175,5
219,52.04295,1.15312,5
220,52.04753,1.1519,5
221,52.06471,1.19159,5
222,52.06604,1.23368,5
223,52.09413,1.31324,5
224,52.06289,1.24342,5
225,52.06363,1.23431,5
226,52.10304,1.31437,5
227,52.09618,1.30496,5
228,52.10821,1.11065,5
229,52.05485,1.12767,5
230,52.02473,1.24199,5
231,52.0782,1.28579,5
232,52.05109,1.20004,5
233,52.07,1.27304,5
234,52.02121,1.23768,5
235,52.06892,1.21832,5
236,52.04371,1.12418,5
237,52.07545,1.15173,5
238,52.09627,1.30014,5
239,52.03297,1.18965,5
240,52.11892,1.10494,5
241,52.06632,1.09451,5
242,52.07062,1.15234,5
243,52.05321,1.17501,5
244,52.06081,1.18828,5
245,52.05536,1.20207,5
246,52.06203,1.20373,5
247,52.03661,1.17543,5
248,52.04794,1.11794,5
249,52.06225,1.16027,5
250,52.04332,1.12597,5
251,52.05098,1.16865,5
252,52.04836,1.13425,5
253,52.09807,1.31584,5
254,52.06636,1.16577,5
255,52.06109,1.16505,5
256,52.07839,1.14553,5
257,52.07851,1.09511,5
258,52.05911,1.18373,5
259,52.06797,1.17554,5
260,52.05851,1.18242,5
261,52.05644,1.18242,5
262,52.05075,1.12004,5
263,52.03685,1.1124,5
264,52.03821,1.10918,5
265,52.03591,1.11752,5
266,52.03761,1.11599,5
267,52.03335,1.12036,5
268,52.12629,1.34844,5
269,52.11582,1.3421,5
270,52.04287,1.19865,5
271,52.03649,1.18918,5
272,52.06047,1.23887,5
273,52.07392,1.1351,5
274,52.07598,1.13735,5
275,52.05844,1.13125,5
276,52.06801,1.25948,5
277,52.06464,1.25091,5
278,52.06755,1.25571,5
279,52.01671,1.06986,5
280,52.04495,1.18966,5
281,52.05793,1.22964,5
282,52.04381,1.18183,5
283,52.064,1.17956,5
284,52.06154,1.17597,5
285,52.06182,1.17928,5
286,52.05488,1.2711,5
287,52.05491,1.27538,5
288,52.0565,1.26628,5
289,52.03582,1.20947,5
290,52.03554,1.21308,5
291,52.03533,1.21554,5
292,52.03339,1.21832,5
293,52.05661,1.16501,5
294,52.05787,1.22022,5
295,52.03206,1.19913,5
296,52.02883,1.21235,5
297,52.02977,1.20862,5
298,52.03556,1.13172,5
299,52.03498,1.12956,5
300,52.03638,1.1294,5
301,52.10432,1.307,5
302,52.06124,1.14514,5
303,52.06332,1.1466,5
304,52.06295,1.14931,5
305,52.08447,1.14536,5
306,52.06823,1.17773,5
307,52.06737,1.17419,5
308,52.03599,1.13296,5
309,52.0492,1.20172,5
310,52.04791,1.20505,5
311,52.05937,1.15779,5
312,52.0416,1.1283,5
313,52.03679,1.13466,5
