ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
29,111,2,2,3,3.862
29,111,2,2,3,3.862
29,111,2,2,3,3.862
29,111,2,2,3,3.862
29,111,2,2,3,3.862
29,111,2,2,3,3.862
29,576,2,2,1,1.2
29,576,2,2,1,1.2
29,576,2,2,1,1.2
29,576,2,2,1,1.2
29,576,2,2,1,1.2
29,576,2,2,1,1.2
47,111,2,2,3,4.54
47,111,2,2,3,4.54
47,111,2,2,3,4.54
47,111,2,2,3,4.54
47,111,2,2,3,4.54
47,111,2,2,3,4.54
47,405,2,2,3,4.751
47,405,2,2,3,4.751
47,405,2,2,3,4.751
47,405,2,2,3,4.751
51,304,2,2,2,2.108
51,304,2,2,2,2.108
51,304,2,2,2,2.108
51,304,2,2,2,2.108
51,1029,2,2,3,2.258
51,1029,2,2,3,2.258
51,1029,2,2,3,2.258
51,1029,2,2,3,2.258
111,29,2,2,2,3.862
111,29,2,2,2,3.862
111,29,2,2,2,3.862
111,29,2,2,2,3.862
111,29,2,2,2,3.862
111,29,2,2,2,3.862
111,47,2,2,3,4.54
111,47,2,2,3,4.54
111,47,2,2,3,4.54
111,47,2,2,3,4.54
111,47,2,2,3,4.54
111,47,2,2,3,4.54
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,576,2,2,4,4.728
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
111,631,2,2,7,9.245
211,307,2,2,7,8.971
211,307,2,2,7,8.971
211,307,2,2,7,8.971
211,307,2,2,7,8.971
241,384,2,2,2,1.611
241,384,2,2,2,1.611
241,384,2,2,2,1.611
241,384,2,2,2,1.611
266,419,2,2,3,2.807
266,419,2,2,3,2.807
266,419,2,2,3,2.807
266,419,2,2,3,2.807
266,631,2,2,5,4.23
266,631,2,2,5,4.23
266,631,2,2,5,4.23
266,631,2,2,5,4.23
266,631,2,2,5,4.23
266,631,2,2,5,4.23
304,51,2,2,3,2.108
304,51,2,2,3,2.108
304,51,2,2,3,2.108
304,51,2,2,3,2.108
304,384,2,2,3,3.479
304,384,2,2,3,3.479
304,384,2,2,3,3.479
304,384,2,2,3,3.479
307,211,2,2,7,8.971
307,211,2,2,7,8.971
307,211,2,2,7,8.971
307,211,2,2,7,8.971
324,531,2,2,3,2.049
324,531,2,2,3,2.049
324,531,2,2,3,2.049
324,531,2,2,3,2.049
384,241,2,2,5,1.611
384,241,2,2,5,1.611
384,241,2,2,5,1.611
384,241,2,2,5,1.611
384,304,2,2,5,3.479
384,304,2,2,5,3.479
384,304,2,2,5,3.479
384,304,2,2,5,3.479
405,47,2,2,4,4.751
405,47,2,2,4,4.751
405,47,2,2,4,4.751
405,47,2,2,4,4.751
419,266,2,2,5,2.807
419,266,2,2,5,2.807
419,266,2,2,5,2.807
419,266,2,2,5,2.807
419,631,2,2,3,1.438
419,631,2,2,3,1.438
419,631,2,2,3,1.438
419,631,2,2,3,1.438
419,631,2,2,3,1.438
419,631,2,2,3,1.438
531,324,2,2,3,2.049
531,324,2,2,3,2.049
531,324,2,2,3,2.049
531,324,2,2,3,2.049
560,631,2,2,3,2.308
560,631,2,2,3,2.308
560,631,2,2,3,2.308
560,631,2,2,3,2.308
560,631,2,2,3,2.308
560,631,2,2,3,2.308
560,1029,2,2,5,3.81
560,1029,2,2,5,3.81
560,1029,2,2,5,3.81
560,1029,2,2,5,3.81
572,576,2,2,3,3.267
572,576,2,2,3,3.267
572,576,2,2,3,3.267
572,576,2,2,3,3.267
572,576,2,2,3,3.267
572,576,2,2,3,3.267
572,631,2,2,2,1.266
572,631,2,2,2,1.266
572,631,2,2,2,1.266
572,631,2,2,2,1.266
572,631,2,2,2,1.266
572,631,2,2,2,1.266
576,29,2,2,1,1.2
576,29,2,2,1,1.2
576,29,2,2,1,1.2
576,29,2,2,1,1.2
576,29,2,2,1,1.2
576,29,2,2,1,1.2
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
576,111,2,2,5,4.728
