nodeid,lat,lon,layer
1,53.80258,-1.80051,5
2,53.80355,-1.80414,5
3,53.82915,-1.72419,5
4,53.82761,-1.7239,5
5,53.82598,-1.72263,5
6,53.82301,-1.72397,5
7,53.82139,-1.72377,5
8,53.81894,-1.72084,5
9,53.80096,-1.79615,5
10,53.85432,-1.91594,5
11,53.82747,-1.73024,5
12,53.82469,-1.7219,5
13,53.8456,-1.85009,5
14,53.76622,-1.85133,5
15,53.79823,-1.73062,5
16,53.89762,-1.72015,5
17,53.77543,-1.79254,5
18,53.77379,-1.78971,5
19,53.80534,-1.75065,5
20,53.84503,-1.77305,5
21,53.84279,-1.77303,5
22,53.84639,-1.77155,5
23,53.84769,-1.77004,5
24,53.74675,-1.88501,5
25,53.90187,-1.70633,5
26,53.81623,-1.72089,5
27,53.91659,-1.93443,5
28,53.83458,-1.65105,5
29,53.85848,-1.84489,2
29,53.85848,-1.84489,5
30,53.86023,-1.92311,5
31,53.85216,-1.93243,5
32,53.79703,-1.73623,5
33,53.87583,-1.70572,5
34,53.86739,-1.68784,5
35,53.87353,-1.698,5
36,53.90608,-1.68848,5
37,53.90539,-1.65252,5
38,53.90975,-1.66533,5
39,53.9085,-1.67391,5
40,53.90776,-1.67926,5
41,53.89595,-1.96167,5
42,53.89626,-1.96941,5
43,53.86914,-1.8632,5
44,53.87473,-1.8761,5
45,53.86997,-1.69001,5
46,53.87672,-1.88545,5
47,53.90005,-1.94472,5
47,53.90005,-1.94472,2
48,53.83688,-1.75055,5
49,53.74846,-1.92794,5
50,53.81658,-1.87372,5
51,53.89235,-1.73551,5
51,53.89235,-1.73551,2
52,53.85036,-1.93517,5
53,53.82205,-1.76138,5
54,53.91433,-1.95131,5
55,53.8507,-1.76744,5
56,53.84086,-1.76719,5
57,53.84918,-1.76527,5
58,53.84965,-1.76156,5
59,53.812,-1.79383,5
60,53.79614,-1.76689,5
61,53.85314,-1.6026,5
62,53.84483,-1.95217,5
63,53.84576,-1.95325,5
64,53.86583,-1.6819,5
65,53.865,-1.67666,5
66,53.85989,-1.9154,5
67,53.87137,-1.69414,5
68,53.81215,-1.74789,5
69,53.83733,-1.75636,5
70,53.81251,-1.74564,5
71,53.85722,-1.67955,5
72,53.8408,-1.73252,5
73,53.84258,-1.73576,5
74,53.8289,-1.94951,5
75,53.80643,-1.72014,5
76,53.80526,-1.71852,5
77,53.76352,-2.00711,5
78,53.76671,-2.01073,5
79,53.76484,-2.00994,5
80,53.78315,-1.76486,5
81,53.80706,-1.78078,5
82,53.80828,-1.77699,5
83,53.82657,-1.68067,5
84,53.82778,-1.6838,5
85,53.82872,-1.7511,5
86,53.75426,-2.05234,5
87,53.75027,-2.05881,5
88,53.74915,-2.05954,5
89,53.74502,-2.06391,5
90,53.91522,-1.94472,5
91,53.87164,-1.86624,5
92,53.77213,-1.89748,5
93,53.83562,-1.78305,5
94,53.83355,-1.78315,5
95,53.83555,-1.7502,5
96,53.92975,-1.80312,5
97,53.81871,-1.69563,5
98,53.86761,-1.94694,5
99,53.87013,-1.94346,5
100,53.81436,-1.69672,5
101,53.86598,-1.92518,5
102,53.81555,-1.81019,5
103,53.81526,-1.80604,5
104,53.81588,-1.81528,5
105,53.84256,-1.78537,5
106,53.79828,-1.79259,5
107,53.79151,-1.82754,5
108,53.79115,-1.8332,5
109,53.79096,-1.83689,5
110,53.87113,-1.86629,5
111,53.86798,-1.90165,2
111,53.86798,-1.90165,5
111,53.86798,-1.90165,4
112,53.87307,-1.8709,5
113,53.86602,-1.69013,5
114,53.82422,-1.89243,5
115,53.82293,-1.89463,5
116,53.82103,-1.95212,5
117,53.81869,-1.95653,5
118,53.77462,-1.8603,5
119,53.77229,-1.85446,5
120,53.77501,-1.87249,5
121,53.81596,-1.95497,5
122,53.84174,-1.72844,5
123,53.82724,-1.72735,5
124,53.75171,-1.91494,5
125,53.94505,-1.90379,5
126,53.75996,-1.88093,5
127,53.80069,-1.76981,5
128,53.79969,-1.76696,5
129,53.85679,-1.60149,5
130,53.79109,-1.7496,2
130,53.79109,-1.7496,5
130,53.79109,-1.7496,4
131,53.86979,-1.91382,5
132,53.87284,-1.93087,5
133,53.8139,-1.73931,5
134,53.8125,-1.74203,5
135,53.81661,-1.73346,5
136,53.8132,-1.7316,5
137,53.81112,-1.73081,5
138,53.80637,-1.7272,5
139,53.80886,-1.72952,5
140,53.81026,-1.75736,5
141,53.81233,-1.75949,5
142,53.90841,-1.72274,5
143,53.80834,-1.75555,5
