ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,5,5,1,0.246
1,17,5,5,1,0.274
2,1,5,5,1,0.246
2,31,5,5,1,0.289
3,58,5,5,1,0.274
3,76,5,5,1,0.31
3,81,5,5,1,0.3
3,146,5,5,1,0.307
4,5,5,5,1,0.193
4,39,5,5,1,0.312
5,4,5,5,1,0.193
5,50,5,5,1,0.333
6,79,5,5,1,0.315
6,80,5,5,1,0.414
6,147,5,5,1,0.183
7,8,5,5,1,0.269
8,7,5,5,1,0.269
8,9,5,5,1,0.284
9,8,5,5,1,0.284
9,30,5,5,1,0.63
9,30,5,5,1,0.63
10,12,5,5,1,0.126
10,64,5,5,1,0.226
11,30,5,5,1,0.513
11,30,5,5,1,0.513
11,38,5,5,1,0.209
11,65,5,5,2,0.384
12,10,5,5,1,0.126
12,67,5,5,1,0.258
13,14,5,5,1,0.216
13,59,5,5,1,0.357
14,13,5,5,1,0.216
14,15,5,5,1,0.224
15,14,5,5,1,0.224
15,50,5,5,2,0.444
16,46,5,5,1,0.179
16,55,5,5,1,0.722
16,60,5,5,3,2.471
17,1,5,5,2,0.274
17,60,5,5,4,0.427
18,24,5,5,1,0.471
18,32,5,5,1,0.856
18,54,5,5,1,1.066
19,20,5,5,1,0.251
19,22,5,5,1,0.321
20,19,5,5,1,0.251
20,49,5,5,1,0.224
21,22,5,5,1,0.288
21,87,5,5,1,0.321
22,19,5,5,1,0.321
22,21,5,5,1,0.288
23,25,5,5,1,0.308
23,98,5,5,1,0.287
24,18,5,5,1,0.471
24,20,5,5,1,0.616
24,49,5,5,1,0.543
25,23,5,5,1,0.308
25,24,5,5,2,0.695
26,3,5,5,2,0.701
26,28,5,5,1,0.129
26,81,5,5,1,0.445
26,100,5,5,1,0.213
27,28,5,5,1,0.262
27,29,5,5,1,0.341
28,26,5,5,1,0.129
28,27,5,5,1,0.262
29,23,5,5,1,0.559
29,27,5,5,1,0.341
30,9,5,5,1,0.63
30,9,5,5,1,0.63
30,11,5,5,1,0.513
30,11,5,5,1,0.513
30,51,5,5,1,0.82
30,51,5,5,1,0.82
30,62,5,5,4,1.002
30,62,5,5,4,1.002
30,66,5,5,1,0.606
30,66,5,5,1,0.606
30,75,5,5,1,0.606
30,75,5,5,1,0.606
30,78,5,5,1,0.547
30,78,5,5,1,0.547
30,102,5,5,1,0.303
30,102,5,5,1,0.303
31,2,5,5,1,0.289
31,95,5,5,1,0.281
32,18,5,5,1,0.856
33,40,5,5,2,0.731
33,60,5,5,1,0.551
33,61,5,5,1,0.707
34,37,5,5,1,0.484
34,83,5,5,1,0.402
35,36,5,5,1,0.183
35,63,5,5,2,0.302
36,35,5,5,1,0.183
36,77,5,5,2,0.271
37,34,5,5,1,0.484
