nodeid,lat,lon,layer
1,52.40848,-0.7413,5
2,52.40937,-0.73797,5
3,52.39546,-0.71225,5
4,52.41196,-0.70808,5
5,52.41166,-0.71089,5
6,52.40867,-0.70609,5
7,52.39145,-0.74578,5
8,52.38967,-0.74307,5
9,52.39011,-0.73893,5
10,52.38265,-0.7206,5
11,52.39706,-0.73653,5
12,52.38311,-0.7189,5
13,52.41643,-0.7223,5
14,52.41684,-0.71918,5
15,52.41588,-0.71627,5
16,52.42473,-0.7314,5
17,52.4066,-0.74393,5
18,52.38178,-0.68665,5
19,52.38204,-0.69862,5
20,52.38428,-0.69803,5
21,52.37688,-0.69561,5
22,52.3794,-0.69667,5
23,52.39166,-0.69416,5
24,52.38572,-0.68924,5
25,52.39198,-0.68963,5
26,52.39709,-0.70224,5
27,52.39371,-0.70191,5
28,52.39605,-0.70137,5
29,52.39064,-0.70225,5
30,52.39357,-0.73156,5
30,52.39357,-0.73156,2
31,52.41037,-0.74192,5
32,52.37997,-0.67437,5
33,52.40527,-0.7483,5
34,52.4088,-0.72856,5
35,52.38839,-0.72393,5
36,52.38996,-0.72308,5
37,52.40458,-0.72676,5
38,52.39819,-0.73901,5
39,52.41223,-0.70348,5
40,52.39958,-0.74285,5
41,52.38173,-0.71817,5
42,52.36603,-0.67982,5
43,52.36818,-0.67147,5
44,52.41741,-0.69754,5
45,52.37589,-0.7178,5
46,52.42373,-0.72931,5
47,52.35925,-0.67634,5
48,52.39258,-0.71992,5
49,52.38624,-0.69722,5
50,52.41189,-0.7158,5
51,52.40052,-0.73566,5
52,52.36369,-0.67853,5
53,52.36658,-0.67231,5
54,52.37237,-0.68351,5
55,52.41838,-0.72905,5
56,52.36516,-0.67753,5
57,52.36079,-0.67914,5
58,52.393,-0.71266,5
59,52.4157,-0.72744,5
60,52.40323,-0.74088,5
61,52.39931,-0.74459,5
62,52.40191,-0.72588,5
63,52.38568,-0.72348,5
64,52.38352,-0.72363,5
65,52.39474,-0.74075,5
66,52.39728,-0.72498,5
67,52.38494,-0.71655,5
68,52.38692,-0.71451,5
69,52.38186,-0.71761,5
70,52.38409,-0.71587,5
71,52.38953,-0.71689,5
72,52.39169,-0.72037,5
73,52.38771,-0.71236,5
74,52.38889,-0.71012,5
75,52.39527,-0.72306,5
76,52.39267,-0.71199,5
77,52.39231,-0.72421,5
78,52.39421,-0.72354,5
79,52.40642,-0.70893,5
80,52.41185,-0.70288,5
81,52.39717,-0.70882,5
82,52.40322,-0.71483,5
83,52.41232,-0.72999,5
84,52.41546,-0.72997,5
85,52.37015,-0.67115,5
86,52.37897,-0.68621,5
87,52.37797,-0.69122,5
88,52.37852,-0.71988,5
89,52.40518,-0.71914,5
90,52.40153,-0.72823,5
91,52.3928,-0.71669,5
92,52.4103,-0.71098,5
93,52.39597,-0.69493,5
94,52.39672,-0.69166,5
95,52.40871,-0.74506,5
96,52.41303,-0.72848,5
97,52.41081,-0.71896,5
98,52.39055,-0.69799,5
99,52.40146,-0.70944,5
100,52.39687,-0.69911,5
101,52.402,-0.70728,5
102,52.39241,-0.7275,5
103,52.35659,-0.68297,5
104,52.41317,-0.7706,5
105,52.40925,-0.749,5
106,52.3936,-0.68896,5
107,52.38219,-0.71468,5
108,52.37963,-0.71469,5
109,52.3829,-0.7161,5
110,52.40764,-0.71339,5
111,52.39902,-0.72603,5
112,52.41362,-0.7262,5
113,52.40855,-0.71639,5
114,52.38877,-0.71594,5
115,52.37748,-0.71658,5
116,52.40216,-0.71949,5
117,52.40584,-0.70507,5
118,52.3591,-0.68026,5
119,52.39451,-0.68955,5
120,52.41083,-0.72203,5
121,52.41445,-0.72146,5
122,52.36566,-0.6849,5
123,52.39285,-0.71466,5
124,52.40792,-0.71771,5
125,52.40133,-0.73382,5
126,52.40459,-0.70763,5
127,52.4017,-0.72152,5
128,52.40954,-0.7075,5
129,52.41538,-0.72887,5
130,52.41342,-0.71871,5
131,52.37543,-0.71393,5
132,52.37692,-0.72009,5
133,52.37827,-0.6852,5
134,52.39632,-0.68918,5
135,52.3852,-0.72342,5
136,52.36081,-0.68427,5
137,52.40874,-0.75132,5
138,52.4122,-0.71888,5
139,52.38016,-0.71687,5
140,52.4218,-0.73397,5
141,52.36239,-0.68592,5
142,52.35876,-0.68396,5
143,52.36495,-0.68855,5
144,52.4004,-0.72285,5
145,52.40348,-0.71221,5
146,52.39809,-0.71369,5
147,52.40765,-0.70395,5
