ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,3,2,2,10,14.006
1,3,2,2,10,14.006
1,3,2,2,10,14.006
1,3,2,2,10,14.006
2,3,2,2,4,4.848
2,3,2,2,4,4.848
2,3,2,2,4,4.848
2,3,2,2,4,4.848
3,1,2,2,10,14.006
3,1,2,2,10,14.006
3,1,2,2,10,14.006
3,1,2,2,10,14.006
3,2,2,2,5,4.848
3,2,2,2,5,4.848
3,2,2,2,5,4.848
3,2,2,2,5,4.848
1,114,5,5,2,0.63
1,114,5,5,2,0.63
1,159,5,5,1,0.391
1,159,5,5,1,0.391
1,208,5,5,2,0.394
1,208,5,5,2,0.394
1,209,5,5,2,0.393
1,209,5,5,2,0.393
1,219,5,5,1,0.968
1,219,5,5,1,0.968
1,418,5,5,2,1.101
1,418,5,5,2,1.101
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,48,5,5,1,0.258
2,48,5,5,1,0.258
2,98,5,5,2,1.281
2,98,5,5,2,1.281
2,141,5,5,2,1.348
2,141,5,5,2,1.348
2,453,5,5,1,0.362
2,453,5,5,1,0.362
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,106,5,5,6,4.517
3,106,5,5,6,4.517
3,129,5,5,6,1.542
3,129,5,5,6,1.542
3,290,5,5,1,0.469
3,290,5,5,1,0.469
3,298,5,5,1,0.581
3,298,5,5,1,0.581
3,315,5,5,1,0.594
3,315,5,5,1,0.594
3,340,5,5,1,0.474
3,340,5,5,1,0.474
3,375,5,5,2,0.838
3,375,5,5,2,0.838
3,376,5,5,3,0.731
3,376,5,5,3,0.731
3,397,5,5,1,0.385
3,397,5,5,1,0.385
4,116,5,5,3,1.258
5,444,5,5,1,0.363
6,77,5,5,1,0.156
7,393,5,5,1,0.321
8,86,5,5,1,0.326
9,262,5,5,1,0.204
10,146,5,5,1,0.232
10,197,5,5,1,0.183
11,427,5,5,1,0.284
12,298,5,5,1,0.186
12,375,5,5,5,1.017
13,15,5,5,1,0.325
13,216,5,5,1,0.322
13,440,5,5,1,0.597
14,17,5,5,1,0.549
15,14,5,5,1,0.218
15,273,5,5,2,0.876
15,440,5,5,1,0.378
16,87,5,5,2,0.832
16,88,5,5,2,0.797
17,3,5,5,6,1.679
17,3,5,5,6,1.679
17,16,5,5,1,0.318
17,129,5,5,1,0.137
18,19,5,5,1,0.283
18,78,5,5,2,1.622
19,148,5,5,1,0.102
19,296,5,5,1,0.282
20,23,5,5,2,0.615
21,266,5,5,2,0.534
22,296,5,5,1,0.426
23,74,5,5,1,0.354
24,232,5,5,1,0.355
25,163,5,5,1,0.618
26,27,5,5,1,0.083
27,413,5,5,1,0.272
27,416,5,5,2,0.772
28,26,5,5,1,0.155
28,189,5,5,2,0.392
29,180,5,5,2,0.464
30,339,5,5,1,0.678
30,341,5,5,1,0.314
31,32,5,5,1,0.231
32,398,5,5,2,0.532
32,399,5,5,2,0.519
33,12,5,5,1,0.193
33,34,5,5,1,0.297
34,3,5,5,1,0.358
34,3,5,5,1,0.358
35,251,5,5,2,0.516
36,336,5,5,1,0.263
37,38,5,5,1,0.445
37,66,5,5,1,0.167
38,206,5,5,2,0.807
39,421,5,5,1,0.12
40,302,5,5,1,0.456
41,399,5,5,1,0.436
43,188,5,5,1,0.262
44,211,5,5,1,0.096
45,173,5,5,1,0.304
45,418,5,5,1,0.3
46,3,5,5,1,0.496
46,3,5,5,1,0.496
46,12,5,5,2,0.706
46,25,5,5,1,0.829
46,88,5,5,1,0.384
46,201,5,5,3,0.853
46,309,5,5,1,0.513
46,348,5,5,1,0.708
46,376,5,5,1,0.239
47,157,5,5,1,0.206
48,2,5,5,1,0.258
48,2,5,5,1,0.258
48,269,5,5,4,0.872
50,51,5,5,1,0.187
51,52,5,5,1,0.129
52,151,5,5,1,0.285
53,390,5,5,1,0.475
54,76,5,5,1,0.477
55,56,5,5,1,0.37
56,94,5,5,2,0.48
57,372,5,5,1,0.254
58,61,5,5,1,0.303
59,58,5,5,1,0.208
60,63,5,5,1,0.214
61,60,5,5,1,0.271
62,65,5,5,1,0.267
63,64,5,5,1,0.13
64,62,5,5,1,0.518
65,30,5,5,1,0.225
66,103,5,5,1,0.366
67,170,5,5,1,0.481
68,436,5,5,1,0.313
69,118,5,5,1,0.371
70,190,5,5,1,0.123
71,377,5,5,1,0.161
72,400,5,5,1,0.267
73,20,5,5,1,0.294
73,266,5,5,1,0.332
74,21,5,5,1,0.397
74,255,5,5,1,0.247
74,256,5,5,3,0.189
75,83,5,5,1,0.252
76,187,5,5,1,0.27
77,5,5,5,1,0.124
78,148,5,5,3,1.848
78,215,5,5,6,1.621
78,226,5,5,1,0.358
78,258,5,5,8,2.947
79,81,5,5,1,0.354
80,59,5,5,1,0.388
81,80,5,5,1,1.103
81,82,5,5,1,0.372
82,80,5,5,2,0.771
83,256,5,5,7,1.046
83,410,5,5,1,0.181
83,423,5,5,1,0.265
84,193,5,5,1,0.424
84,218,5,5,1,1.908
84,394,5,5,2,1.004
85,255,5,5,2,0.502
85,256,5,5,3,0.463
85,292,5,5,1,0.528
86,85,5,5,1,0.523
87,375,5,5,2,0.423
87,404,5,5,1,0.207
88,201,5,5,1,0.72
88,205,5,5,1,1.121
88,277,5,5,1,0.383
88,309,5,5,1,0.359
88,401,5,5,1,0.797
89,90,5,5,1,0.247
89,249,5,5,1,0.016
90,89,5,5,1,0.247
90,92,5,5,1,0.234
91,174,5,5,1,0.224
91,256,5,5,3,1.006
91,257,5,5,1,0.531
92,93,5,5,1,0.282
93,174,5,5,1,0.151
94,16,5,5,1,0.291
95,411,5,5,1,0.202
96,147,5,5,1,0.162
97,35,5,5,1,0.94
97,91,5,5,1,0.551
97,165,5,5,1,0.449
97,166,5,5,1,0.548
97,364,5,5,1,1.109
98,2,5,5,1,1.281
98,2,5,5,1,1.281
98,140,5,5,1,0.391
99,143,5,5,1,0.429
100,134,5,5,1,0.143
100,420,5,5,1,0.366
101,26,5,5,1,0.394
101,28,5,5,1,0.239
102,437,5,5,2,0.379
103,436,5,5,1,0.336
104,126,5,5,1,0.157
105,213,5,5,1,0.215
105,299,5,5,4,1.725
105,368,5,5,1,0.102
106,2,5,5,1,0.37
106,2,5,5,1,0.37
107,108,5,5,1,0.119
107,301,5,5,2,0.758
108,321,5,5,1,0.323
109,343,5,5,1,0.16
110,112,5,5,1,0.136
111,110,5,5,1,0.145
111,117,5,5,2,0.286
112,185,5,5,1,0.152
112,293,5,5,1,0.387
113,228,5,5,1,0.132
113,387,5,5,1,0.265
114,116,5,5,1,0.668
115,228,5,5,2,0.567
115,365,5,5,1,0.213
116,6,5,5,1,0.28
117,111,5,5,1,0.286
118,175,5,5,1,0.214
118,385,5,5,1,0.401
119,410,5,5,1,0.505
120,104,5,5,1,0.338
