nodeid,lat,lon,layer
1,52.26822,-2.15837,2
1,52.26822,-2.15837,5
2,52.40618,-2.17636,2
2,52.40618,-2.17636,5
3,52.38449,-2.23848,5
3,52.38449,-2.23848,2
4,52.26054,-2.17118,5
5,52.27681,-2.16828,5
6,52.27434,-2.16916,5
7,52.35065,-2.285,5
8,52.34944,-2.28539,5
9,52.38422,-2.30196,5
10,52.45607,-2.23613,5
11,52.38318,-2.22398,5
12,52.38793,-2.23582,5
13,52.38407,-2.26911,5
14,52.38401,-2.27074,5
15,52.3833,-2.27375,5
16,52.38702,-2.25893,5
17,52.38579,-2.26317,5
18,52.35573,-2.29619,5
19,52.3535,-2.29416,5
20,52.34666,-2.29145,5
21,52.34289,-2.28558,5
22,52.3478,-2.296,5
23,52.34281,-2.28492,5
24,52.28472,-2.17136,5
25,52.37999,-2.25353,5
26,52.34089,-2.26308,5
27,52.34111,-2.26191,5
28,52.34064,-2.26534,5
29,52.3399,-2.27081,5
30,52.37902,-2.22749,5
31,52.39607,-2.22811,5
32,52.39597,-2.23153,5
33,52.38854,-2.23314,5
34,52.38588,-2.2337,5
35,52.33192,-2.29628,5
36,52.44681,-2.22217,5
37,52.2566,-2.1572,5
38,52.2601,-2.154,5
39,52.26824,-2.14566,5
40,52.39255,-2.23176,5
41,52.39507,-2.23535,5
42,52.33011,-2.26243,5
43,52.39859,-2.27508,5
44,52.39129,-2.27477,5
45,52.27524,-2.16119,5
46,52.38565,-2.24555,5
47,52.27094,-2.15351,5
48,52.408,-2.17873,5
49,52.40339,-2.22882,5
50,52.39673,-2.27108,5
51,52.3952,-2.27225,5
52,52.395,-2.27413,5
53,52.35885,-2.23429,5
54,52.3919,-2.27254,5
55,52.3918,-2.27023,5
56,52.39031,-2.26534,5
57,52.36966,-2.24695,5
58,52.36664,-2.23226,5
59,52.36807,-2.23426,5
60,52.36989,-2.22628,5
61,52.36772,-2.22814,5
62,52.37471,-2.22908,5
63,52.36995,-2.22945,5
64,52.37024,-2.23131,5
65,52.377,-2.22783,5
66,52.25804,-2.15795,5
67,52.25858,-2.16305,5
68,52.25762,-2.16697,5
69,52.25606,-2.16539,5
70,52.25593,-2.1652,5
71,52.45242,-2.24054,5
72,52.35336,-2.29402,5
73,52.34777,-2.29539,5
74,52.34118,-2.28043,5
75,52.34951,-2.2807,5
76,52.38765,-2.27363,5
77,52.27573,-2.16879,5
78,52.36997,-2.30159,5
79,52.3823,-2.22508,5
80,52.37125,-2.23664,5
81,52.37945,-2.22743,5
82,52.37617,-2.22861,5
83,52.34869,-2.27722,5
84,52.36419,-2.27633,5
85,52.34334,-2.27785,5
86,52.34696,-2.28279,5
87,52.38942,-2.24729,5
88,52.38889,-2.24757,5
89,52.32608,-2.28864,5
90,52.32672,-2.28515,5
91,52.3318,-2.28834,5
92,52.32741,-2.28188,5
93,52.32941,-2.28445,5
94,52.38622,-2.26302,5
95,52.45302,-2.23306,5
96,52.45306,-2.23337,5
97,52.33608,-2.2842,5
98,52.41068,-2.15894,5
99,52.39917,-2.18834,5
100,52.40151,-2.24039,5
101,52.34049,-2.26886,5
102,52.25923,-2.17083,5
103,52.25847,-2.1633,5
104,52.37692,-2.30985,5
105,52.37115,-2.24427,5
106,52.40343,-2.17946,5
107,52.40254,-2.2627,5
108,52.40147,-2.2629,5
109,52.40139,-2.26328,5
110,52.4003,-2.265,5
111,52.40137,-2.26623,5
112,52.39928,-2.26388,5
113,52.3172,-2.28992,5
114,52.26606,-2.16696,5
115,52.32247,-2.29534,5
116,52.27184,-2.16974,5
117,52.39952,-2.26917,5
118,52.25348,-2.16191,5
119,52.34402,-2.27593,5
120,52.37616,-2.31469,5
121,52.38003,-2.30117,5
122,52.3804,-2.29995,5
123,52.38065,-2.2978,5
124,52.38086,-2.29728,5
125,52.37693,-2.30851,5
126,52.37793,-2.30821,5
127,52.37855,-2.30608,5
128,52.379,-2.30512,5
129,52.38578,-2.26114,5
130,52.38612,-2.26295,5
131,52.38584,-2.2628,5
132,52.30724,-2.27903,5
133,52.35174,-2.29091,5
134,52.40064,-2.23883,5
135,52.38908,-2.22127,5
136,52.39971,-2.26184,5
137,52.40114,-2.25466,5
138,52.39905,-2.25537,5
139,52.4133,-2.15283,5
140,52.41263,-2.15412,5
141,52.41117,-2.1582,5
142,52.40156,-2.18352,5
143,52.40172,-2.18357,5
144,52.39873,-2.18874,5
145,52.3838,-2.26217,5
146,52.45412,-2.23487,5
147,52.45408,-2.23509,5
148,52.35415,-2.29308,5
149,52.37484,-2.30769,5
150,52.3748,-2.30795,5
151,52.3946,-2.27829,5
152,52.3677,-2.2649,5
153,52.37544,-2.25979,5
154,52.33051,-2.29395,5
155,52.35038,-2.25876,5
156,52.45057,-2.22995,5
157,52.26917,-2.15442,5
158,52.26477,-2.15888,5
159,52.2647,-2.15862,5
160,52.40948,-2.26118,5
161,52.39662,-2.1998,5
162,52.4494,-2.22938,5
163,52.37575,-2.25945,5
164,52.3147,-2.29474,5
165,52.33295,-2.28841,5
166,52.3317,-2.28794,5
167,52.37513,-2.27002,5
168,52.37502,-2.32649,5
169,52.26082,-2.15307,5
170,52.25716,-2.15635,5
171,52.25134,-2.16027,5
172,52.25173,-2.16159,5
173,52.2733,-2.15803,5
174,52.33049,-2.28582,5
175,52.25164,-2.16096,5
176,52.35824,-2.23355,5
177,52.3249,-2.29224,5
178,52.39187,-2.26019,5
179,52.38377,-2.22521,5
180,52.33593,-2.26863,5
181,52.39738,-2.26021,5
182,52.3973,-2.25997,5
183,52.39825,-2.25903,5
184,52.40098,-2.25911,5
185,52.40033,-2.26533,5
186,52.39193,-2.27179,5
187,52.38697,-2.27747,5
188,52.39899,-2.27126,5
189,52.33716,-2.26433,5
190,52.25616,-2.16698,5
191,52.34146,-2.27647,5
192,52.36826,-2.27273,5
193,52.36147,-2.27194,5
194,52.36758,-2.26504,5
195,52.361,-2.27114,5
196,52.45472,-2.23734,5
197,52.45461,-2.2374,5
198,52.41391,-2.1513,5
199,52.41563,-2.14794,5
200,52.37629,-2.24064,5
201,52.38727,-2.25787,5
202,52.37307,-2.26841,5
203,52.38086,-2.26755,5
204,52.38001,-2.26675,5
205,52.39464,-2.26118,5
206,52.26708,-2.15067,5
207,52.26679,-2.14928,4
207,52.26679,-2.14928,5
208,52.26721,-2.1528,5
209,52.26731,-2.15278,5
210,52.34251,-2.26924,5
211,52.39216,-2.27476,5
212,52.37222,-2.24385,5
213,52.36976,-2.24649,5
214,52.3085,-2.29322,5
215,52.38118,-2.28625,5
216,52.38345,-2.27376,5
217,52.3444,-2.27561,5
218,52.34702,-2.27493,5
219,52.26138,-2.16722,5
220,52.37602,-2.31733,5
221,52.37461,-2.32912,5
222,52.37676,-2.3283,5
223,52.37583,-2.32231,5
224,52.37563,-2.32829,5
225,52.45698,-2.24,5
226,52.37279,-2.30416,5
227,52.38306,-2.2492,5
228,52.31836,-2.29036,5
229,52.4105,-2.25536,5
230,52.3771,-2.32825,5
231,52.37536,-2.32864,5
232,52.28512,-2.16617,5
233,52.4116,-2.26306,5
234,52.37837,-2.26617,5
235,52.38134,-2.26473,5
236,52.38118,-2.26698,5
237,52.37282,-2.26109,5
238,52.37738,-2.25959,5
239,52.38023,-2.2534,5
240,52.39034,-2.25932,5
241,52.26559,-2.16213,5
242,52.3829,-2.29905,5
243,52.38437,-2.30189,5
244,52.38931,-2.28047,5
245,52.389,-2.28013,5
246,52.38716,-2.27721,5
247,52.39119,-2.28208,5
248,52.3909,-2.28133,5
249,52.32593,-2.2886,5
250,52.33254,-2.29473,5
251,52.3274,-2.29808,5
252,52.38642,-2.2462,5
253,52.37028,-2.26309,5
254,52.36918,-2.27012,5
255,52.33898,-2.27983,5
256,52.33947,-2.28042,5
257,52.33601,-2.2846,5
258,52.34834,-2.27639,5
259,52.39044,-2.26605,5
260,52.45919,-2.2387,5
261,52.37194,-2.32979,5
262,52.38362,-2.30482,5
263,52.37968,-2.30499,5
264,52.35282,-2.29207,5
265,52.4469,-2.22435,5
266,52.34634,-2.29108,5
267,52.32665,-2.2848,5
268,52.4138,-2.15987,5
269,52.41519,-2.17354,5
270,52.32429,-2.29466,5
271,52.40196,-2.23928,5
272,52.26039,-2.15175,5
273,52.38081,-2.28603,5
274,52.39654,-2.24333,5
275,52.39664,-2.24286,5
276,52.39221,-2.24613,5
277,52.39226,-2.24631,5
278,52.44821,-2.22917,5
279,52.25419,-2.16285,5
280,52.39343,-2.21914,5
281,52.38511,-2.22714,5
282,52.39382,-2.21848,5
283,52.39481,-2.21092,5
284,52.39725,-2.27667,5
285,52.455,-2.23923,5
286,52.45508,-2.23904,5
287,52.45064,-2.2228,5
288,52.44991,-2.2232,5
289,52.34952,-2.28624,5
290,52.38498,-2.24536,5
291,52.37691,-2.3211,5
292,52.34694,-2.28295,5
293,52.39599,-2.26198,5
294,52.35506,-2.29044,5
295,52.45734,-2.24131,5
296,52.3516,-2.29693,5
297,52.38816,-2.23017,5
298,52.3887,-2.23337,5
299,52.35686,-2.25428,5
300,52.35745,-2.25404,5
301,52.39762,-2.27046,5
302,52.39265,-2.22503,5
303,52.39453,-2.21073,5
304,52.39188,-2.23449,5
305,52.39219,-2.2256,5
306,52.38962,-2.2431,5
307,52.39042,-2.23948,5
308,52.3914,-2.23738,5
309,52.38989,-2.24253,5
310,52.40271,-2.22524,5
311,52.35527,-2.29042,5
312,52.35308,-2.28771,5
313,52.32739,-2.28159,5
314,52.41235,-2.26574,5
315,52.37918,-2.23961,5
316,52.40331,-2.22864,5
317,52.37654,-2.24046,5
318,52.39055,-2.23318,5
319,52.39228,-2.23227,5
320,52.45047,-2.22983,5
321,52.39917,-2.25996,5
322,52.36751,-2.27422,5
323,52.36859,-2.27241,5
324,52.3695,-2.2694,5
325,52.36905,-2.26598,5
326,52.36468,-2.27675,5
327,52.36724,-2.27427,5
328,52.46162,-2.24065,5
329,52.4616,-2.2404,5
330,52.37635,-2.32566,5
331,52.37708,-2.32586,5
332,52.37555,-2.32851,5
333,52.41627,-2.25157,5
334,52.25752,-2.1668,5
335,52.32825,-2.29715,5
336,52.4468,-2.22606,5
337,52.44696,-2.22619,5
338,52.38348,-2.22531,5
339,52.3839,-2.23352,5
340,52.38359,-2.23164,5
341,52.38171,-2.22603,5
342,52.40966,-2.25809,5
343,52.40273,-2.2624,5
344,52.39409,-2.26347,5
345,52.39478,-2.26437,5
346,52.39762,-2.26677,5
347,52.39772,-2.26713,5
348,52.37934,-2.24397,5
349,52.3799,-2.24401,5
350,52.3772,-2.24433,5
351,52.37518,-2.24424,5
352,52.37507,-2.24399,5
353,52.37249,-2.24363,5
354,52.34389,-2.27861,5
355,52.40038,-2.23374,5
356,52.44764,-2.22775,5
357,52.41063,-2.26221,5
358,52.37735,-2.24457,5
359,52.37346,-2.33108,5
360,52.37399,-2.33205,5
361,52.35124,-2.25484,5
362,52.32503,-2.29227,5
363,52.32713,-2.29274,5
364,52.32744,-2.29243,5
365,52.32438,-2.29494,5
366,52.32974,-2.29211,5
367,52.32892,-2.2839,5
368,52.37024,-2.2445,5
369,52.36255,-2.2366,5
370,52.32985,-2.29654,5
371,52.32656,-2.29588,5
372,52.37136,-2.24444,5
373,52.37961,-2.23967,5
374,52.39705,-2.19925,5
375,52.38617,-2.25055,5
376,52.38666,-2.24867,5
377,52.45382,-2.23991,5
378,52.40199,-2.25725,5
379,52.37587,-2.31477,5
380,52.37737,-2.26735,5
381,52.37347,-2.2717,5
382,52.25396,-2.15931,5
383,52.25478,-2.15886,5
384,52.34058,-2.27363,5
385,52.25001,-2.16359,5
386,52.24896,-2.1654,5
387,52.31533,-2.29235,5
388,52.37,-2.24473,5
389,52.36602,-2.23964,5
390,52.3628,-2.237,5
391,52.44943,-2.22954,5
392,52.35102,-2.2849,5
393,52.35298,-2.28782,5
394,52.35592,-2.27032,5
395,52.40046,-2.23408,5
396,52.39978,-2.236,5
397,52.38649,-2.23383,5
398,52.39963,-2.23662,5
399,52.39139,-2.23308,5
400,52.35158,-2.29668,5
401,52.38994,-2.25921,5
402,52.39581,-2.26161,5
403,52.45257,-2.22051,5
404,52.38788,-2.24556,5
405,52.37751,-2.32395,5
406,52.37715,-2.32276,5
407,52.37466,-2.33163,5
408,52.37776,-2.32463,5
409,52.40285,-2.22538,5
410,52.3485,-2.27456,5
411,52.45188,-2.23073,5
412,52.45177,-2.23087,5
413,52.34343,-2.26058,5
414,52.3561,-2.27054,5
415,52.35086,-2.25831,5
416,52.34797,-2.25999,5
417,52.34803,-2.25972,5
418,52.27792,-2.16179,5
419,52.27825,-2.16167,5
420,52.39912,-2.23665,5
421,52.26915,-2.14663,5
422,52.37631,-2.31184,5
423,52.34938,-2.28097,5
424,52.37208,-2.3031,5
425,52.38666,-2.22283,5
426,52.38532,-2.22255,5
427,52.38469,-2.22058,5
428,52.38676,-2.21974,5
429,52.27787,-2.16205,5
430,52.34066,-2.26287,5
431,52.26721,-2.15253,5
432,52.26721,-2.153,5
433,52.26219,-2.16285,5
434,52.262,-2.16314,5
435,52.25966,-2.16604,5
436,52.26044,-2.16706,5
437,52.26173,-2.16702,5
438,52.38306,-2.26182,5
439,52.38157,-2.26192,5
440,52.37995,-2.27478,5
441,52.37586,-2.26647,5
442,52.39398,-2.26068,5
443,52.33048,-2.28629,5
444,52.27931,-2.16483,5
445,52.35078,-2.25859,5
446,52.36993,-2.263,5
447,52.366,-2.26424,5
448,52.37338,-2.26052,5
449,52.3668,-2.2642,5
450,52.36077,-2.26807,5
451,52.36067,-2.26866,5
452,52.36895,-2.26623,5
453,52.40338,-2.17911,5
