ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
172,509,2,2,4,4.828
172,509,2,2,4,4.828
172,509,2,2,4,4.828
172,509,2,2,4,4.828
172,801,2,2,9,8.502
172,801,2,2,9,8.502
172,801,2,2,9,8.502
172,801,2,2,9,8.502
444,801,2,2,8,7.543
444,801,2,2,8,7.543
444,801,2,2,8,7.543
444,801,2,2,8,7.543
509,172,2,2,4,4.828
509,172,2,2,4,4.828
509,172,2,2,4,4.828
509,172,2,2,4,4.828
509,801,2,2,5,5.495
509,801,2,2,5,5.495
509,801,2,2,5,5.495
509,801,2,2,5,5.495
801,172,2,2,8,8.502
801,172,2,2,8,8.502
801,172,2,2,8,8.502
801,172,2,2,8,8.502
801,444,2,2,7,7.543
801,444,2,2,7,7.543
801,444,2,2,7,7.543
801,444,2,2,7,7.543
801,509,2,2,5,5.495
801,509,2,2,5,5.495
801,509,2,2,5,5.495
801,509,2,2,5,5.495
246,406,4,4,5,3.208
246,406,4,4,5,3.208
246,406,4,4,5,3.208
246,406,4,4,5,3.208
407,246,4,4,10,3.294
407,246,4,4,10,3.294
407,246,4,4,10,3.294
407,246,4,4,10,3.294
1,1,5,5,1,0.0
1,191,5,5,1,0.539
1,315,5,5,1,0.472
2,3,5,5,1,0.325
2,1178,5,5,1,0.257
3,2,5,5,2,0.325
3,4,5,5,1,0.349
4,3,5,5,1,0.349
4,7,5,5,1,0.273
5,7,5,5,2,0.808
5,306,5,5,1,0.642
5,583,5,5,2,1.46
6,7,5,5,1,0.2
6,871,5,5,1,0.397
7,4,5,5,1,0.273
7,5,5,5,1,0.808
7,6,5,5,1,0.2
7,8,5,5,1,0.283
7,812,5,5,9,3.144
8,6,5,5,1,0.446
8,7,5,5,1,0.283
8,132,5,5,1,0.819
8,288,5,5,5,2.556
9,13,5,5,1,0.649
10,12,5,5,1,0.234
10,14,5,5,1,0.3
11,12,5,5,1,0.287
11,49,5,5,1,0.151
12,10,5,5,1,0.234
12,11,5,5,1,0.287
13,9,5,5,1,0.649
13,14,5,5,1,0.142
14,10,5,5,1,0.3
14,13,5,5,1,0.142
15,816,5,5,1,0.192
15,1208,5,5,1,0.13
16,267,5,5,1,0.385
16,437,5,5,1,0.299
17,260,5,5,1,0.264
17,309,5,5,1,0.313
17,345,5,5,2,0.858
17,944,5,5,3,0.446
18,51,5,5,1,0.363
18,307,5,5,1,0.36
18,309,5,5,1,0.146
19,20,5,5,1,0.167
19,246,5,5,1,0.538
19,246,5,5,1,0.538
19,936,5,5,1,0.209
19,1261,5,5,1,0.254
20,19,5,5,1,0.167
20,22,5,5,1,0.286
21,679,5,5,1,0.543
21,1261,5,5,2,0.375
22,20,5,5,1,0.286
22,257,5,5,1,0.362
22,938,5,5,2,0.363
23,821,5,5,1,0.423
23,1158,5,5,1,0.079
24,720,5,5,3,0.552
24,1084,5,5,1,0.672
25,604,5,5,2,0.635
25,606,5,5,1,0.369
26,156,5,5,1,0.914
26,194,5,5,1,0.466
26,607,5,5,1,0.408
27,28,5,5,1,0.328
27,567,5,5,1,0.221
28,27,5,5,1,0.328
28,1033,5,5,1,0.342
