nodeid,lat,lon,layer
1,52.65001,-1.20541,5
2,52.65091,-1.20372,5
3,52.65304,-1.20039,5
4,52.65537,-1.1969,5
5,52.65966,-1.20463,5
6,52.65858,-1.19403,5
7,52.65679,-1.19359,5
8,52.65533,-1.19013,5
9,52.69723,-1.18964,5
10,52.69471,-1.17764,5
11,52.69822,-1.17247,5
12,52.69629,-1.17533,5
13,52.69283,-1.18327,5
14,52.69307,-1.18119,5
15,52.66783,-1.09931,5
16,52.64976,-1.17606,5
17,52.6339,-1.14753,5
18,52.63258,-1.14405,5
19,52.64008,-1.13801,5
20,52.63956,-1.14034,5
21,52.64157,-1.13847,5
22,52.64152,-1.14311,5
23,52.56962,-1.16562,5
24,52.64828,-1.08777,5
25,52.60993,-1.08789,5
26,52.60464,-1.09061,5
27,52.62557,-1.0926,5
28,52.6252,-1.09744,5
29,52.62476,-1.1057,5
30,52.6305,-1.08793,5
31,52.63234,-1.08967,5
32,52.65331,-1.14787,5
33,52.65411,-1.14951,5
34,52.65212,-1.1475,5
35,52.652,-1.15139,5
36,52.6568,-1.13614,5
37,52.6525,-1.1453,5
38,52.66563,-1.12937,5
39,52.62769,-1.06614,5
40,52.64763,-1.15987,5
41,52.6409,-1.15153,5
42,52.64162,-1.15225,5
43,52.64226,-1.15761,5
44,52.63544,-1.1524,5
45,52.63875,-1.15259,5
46,52.67185,-1.16099,5
47,52.66555,-1.169,5
48,52.67099,-1.16858,5
49,52.69753,-1.17053,5
50,52.66497,-1.10298,5
51,52.63114,-1.1489,5
52,52.6451,-1.15049,5
53,52.6351,-1.1556,5
54,52.63566,-1.15902,5
55,52.6329,-1.16826,5
56,52.63329,-1.17174,5
57,52.64046,-1.18778,5
58,52.64311,-1.17017,5
59,52.6397,-1.19549,5
60,52.64802,-1.1533,5
61,52.64564,-1.15741,5
62,52.63049,-1.18187,5
63,52.63177,-1.17836,5
64,52.64252,-1.16014,5
65,52.59279,-1.12795,5
66,52.59612,-1.17876,5
67,52.59908,-1.17846,5
68,52.61658,-1.19265,5
69,52.60204,-1.191,5
70,52.70488,-1.06035,5
71,52.68374,-1.12585,5
72,52.67838,-1.12288,5
73,52.67694,-1.12606,5
74,52.68003,-1.12571,5
75,52.66915,-1.12921,5
76,52.67239,-1.12813,5
77,52.67388,-1.12709,5
78,52.61258,-1.13686,5
79,52.59807,-1.1589,5
80,52.59578,-1.14136,5
81,52.5932,-1.12827,5
82,52.60567,-1.14277,5
83,52.59972,-1.14767,5
84,52.60507,-1.13836,5
85,52.642,-1.12894,5
86,52.63816,-1.1216,5
87,52.64401,-1.12707,5
88,52.6405,-1.12229,5
89,52.63939,-1.11916,5
90,52.64257,-1.12268,5
91,52.5949,-1.12198,5
92,52.59152,-1.12131,5
93,52.58851,-1.11548,5
94,52.58959,-1.11869,5
95,52.58703,-1.12055,5
96,52.58574,-1.11751,5
97,52.58707,-1.11564,5
98,52.5867,-1.11185,5
99,52.63151,-1.07867,5
100,52.65908,-1.22651,5
101,52.66096,-1.23322,5
102,52.65661,-1.12237,5
103,52.6803,-1.13123,5
104,52.64743,-1.12447,5
105,52.64574,-1.12561,5
106,52.65777,-1.12248,5
107,52.65974,-1.1236,5
108,52.65164,-1.12201,5
109,52.65459,-1.12245,5
110,52.66146,-1.12524,5
111,52.65712,-1.13442,5
112,52.70494,-1.16004,5
113,52.60289,-1.18333,5
114,52.58533,-1.10366,5
115,52.62325,-1.23005,5
116,52.68003,-1.09816,5
117,52.65812,-1.0708,5
118,52.71386,-1.04944,5
119,52.66246,-1.15414,5
120,52.58097,-1.15815,5
121,52.57905,-1.14506,5
122,52.5612,-1.17862,5
123,52.62918,-1.23073,5
124,52.62648,-1.2238,5
125,52.6372,-1.22972,5
126,52.63615,-1.23223,5
127,52.63511,-1.23433,5
128,52.63645,-1.24824,5
129,52.63554,-1.23984,5
130,52.6337,-1.23745,5
131,52.63203,-1.23514,5
132,52.65334,-1.17841,5
133,52.56157,-1.18273,5
