ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
101,135,2,2,10,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
135,101,2,2,7,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
101,135,4,4,15,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
135,101,4,4,10,5.161
1,224,5,5,1,0.113
1,292,5,5,1,0.341
1,336,5,5,1,0.458
2,220,5,5,1,0.324
2,314,5,5,1,0.304
3,105,5,5,2,1.047
3,206,5,5,1,0.429
3,212,5,5,1,0.393
4,5,5,5,1,0.194
4,125,5,5,1,0.392
5,4,5,5,1,0.194
6,14,5,5,1,0.26
6,99,5,5,1,0.097
6,125,5,5,1,0.461
6,296,5,5,2,0.631
7,14,5,5,1,0.436
7,50,5,5,1,1.298
8,65,5,5,1,0.636
9,10,5,5,1,0.193
9,43,5,5,2,0.312
10,9,5,5,1,0.193
10,154,5,5,1,0.164
11,37,5,5,1,0.375
11,133,5,5,1,0.331
11,207,5,5,1,0.257
12,13,5,5,1,0.17
12,256,5,5,1,0.384
13,12,5,5,1,0.17
13,159,5,5,1,0.313
14,6,5,5,1,0.26
14,7,5,5,1,0.436
15,58,5,5,2,1.007
15,157,5,5,1,0.29
15,184,5,5,1,0.891
16,96,5,5,1,0.287
16,157,5,5,1,0.3
17,20,5,5,1,0.373
17,299,5,5,1,0.477
18,62,5,5,1,0.73
18,93,5,5,1,0.565
18,114,5,5,1,0.412
18,117,5,5,1,0.106
18,131,5,5,1,1.008
18,180,5,5,1,0.74
18,189,5,5,1,0.179
19,21,5,5,1,0.355
19,123,5,5,1,0.416
20,17,5,5,1,0.373
20,21,5,5,1,0.199
21,19,5,5,1,0.355
21,20,5,5,1,0.199
21,237,5,5,1,0.128
22,121,5,5,1,0.48
22,148,5,5,1,0.269
22,274,5,5,2,0.365
23,193,5,5,1,0.265
23,229,5,5,1,0.06
23,329,5,5,1,0.23
24,49,5,5,1,0.297
24,52,5,5,1,0.494
24,53,5,5,1,0.277
24,112,5,5,1,0.245
24,158,5,5,2,1.928
25,72,5,5,2,0.807
25,135,5,5,2,0.923
25,135,5,5,2,0.923
25,135,5,5,2,0.923
25,185,5,5,1,0.319
25,304,5,5,1,0.673
26,126,5,5,1,0.137
26,141,5,5,1,0.228
27,44,5,5,1,0.135
27,130,5,5,1,0.217
28,116,5,5,1,0.272
28,188,5,5,1,0.207
28,339,5,5,1,0.406
29,174,5,5,1,0.232
29,191,5,5,1,0.281
30,59,5,5,1,0.351
31,112,5,5,3,1.617
32,33,5,5,1,0.172
32,109,5,5,1,0.113
32,337,5,5,1,0.118
33,32,5,5,1,0.172
33,191,5,5,1,0.157
33,192,5,5,1,0.241
34,107,5,5,1,0.289
34,247,5,5,1,0.236
35,66,5,5,1,0.34
35,67,5,5,1,0.285
35,196,5,5,10,2.866
35,215,5,5,3,0.916
36,108,5,5,1,0.251
36,145,5,5,1,0.287
36,200,5,5,2,0.785
