nodeid,lat,lon,layer
1,53.24783,-0.52331,5
2,53.19902,-0.57379,5
3,53.17363,-0.5531,5
4,53.16266,-0.54016,5
5,53.16091,-0.54034,5
6,53.17031,-0.53935,5
7,53.17657,-0.53867,5
8,53.17863,-0.59524,5
9,53.21672,-0.60653,5
10,53.21815,-0.60819,5
11,53.20203,-0.55429,5
12,53.20928,-0.5811,5
13,53.20984,-0.57872,5
14,53.17266,-0.53942,5
15,53.21505,-0.5444,5
16,53.21558,-0.54606,5
17,53.2307,-0.5301,5
18,53.24285,-0.5095,5
19,53.23032,-0.51618,5
20,53.23083,-0.52448,5
21,53.2307,-0.52149,5
22,53.19269,-0.57309,5
23,53.24098,-0.54635,5
24,53.19657,-0.53494,5
25,53.22403,-0.55338,5
26,53.18507,-0.55493,5
27,53.17975,-0.55553,5
28,53.2512,-0.5167,5
29,53.20619,-0.60164,5
30,53.22,-0.51639,5
31,53.21159,-0.52276,5
32,53.21013,-0.60574,5
33,53.20867,-0.60664,5
34,53.20956,-0.59918,5
35,53.23381,-0.55882,5
36,53.20537,-0.57491,5
37,53.20491,-0.55132,5
38,53.20761,-0.55004,5
39,53.22195,-0.54432,5
40,53.20551,-0.60578,5
41,53.20368,-0.59831,5
42,53.16219,-0.54218,5
43,53.21468,-0.6033,5
44,53.17937,-0.55747,5
45,53.18235,-0.5572,5
46,53.21524,-0.5554,5
47,53.2137,-0.55855,5
48,53.19128,-0.52896,5
49,53.19399,-0.53616,5
50,53.18815,-0.53597,5
51,53.19134,-0.53648,5
52,53.19301,-0.53046,5
53,53.19882,-0.53675,5
54,53.20292,-0.53821,5
55,53.19013,-0.55677,5
56,53.25048,-0.50754,5
57,53.2487,-0.50285,5
58,53.22198,-0.53461,5
59,53.21961,-0.52163,5
60,53.23518,-0.52275,5
61,53.2524,-0.53991,5
62,53.24605,-0.4999,5
63,53.24635,-0.50425,5
64,53.24615,-0.51407,5
65,53.18304,-0.58913,5
66,53.23527,-0.55432,5
67,53.23272,-0.55493,5
68,53.23272,-0.54744,5
69,53.23395,-0.55097,5
70,53.25068,-0.52493,5
71,53.23171,-0.55192,5
72,53.23087,-0.54927,5
73,53.23243,-0.54624,5
74,53.21891,-0.54662,5
75,53.21693,-0.59722,5
76,53.23993,-0.54831,5
77,53.23345,-0.6202,5
78,53.20832,-0.56579,5
79,53.20192,-0.56858,5
80,53.21835,-0.60065,5
81,53.20953,-0.5951,5
82,53.2115,-0.5937,5
83,53.19488,-0.55276,5
84,53.17822,-0.56315,5
85,53.23268,-0.60974,5
86,53.2467,-0.51636,5
87,53.24251,-0.5295,5
88,53.23606,-0.52632,5
89,53.24232,-0.53514,5
90,53.23349,-0.50819,5
91,53.23267,-0.50994,5
92,53.23249,-0.51133,5
93,53.2378,-0.50843,5
94,53.2394,-0.53136,5
95,53.25046,-0.53134,5
96,53.21812,-0.54525,5
97,53.20479,-0.57779,5
98,53.2174,-0.61257,5
99,53.16975,-0.54047,5
100,53.22457,-0.5966,5
101,53.19537,-0.59816,4
101,53.19537,-0.59816,2
101,53.19537,-0.59816,5
102,53.21989,-0.54492,5
103,53.22045,-0.58944,5
104,53.20833,-0.54436,5
105,53.167,-0.5419,5
106,53.1859,-0.55889,5
107,53.20724,-0.59719,5
108,53.20639,-0.57154,5
109,53.21108,-0.60637,5
110,53.2112,-0.56695,5
111,53.23381,-0.61213,5
112,53.19874,-0.53423,5
113,53.18223,-0.55982,5
114,53.24086,-0.51475,5
115,53.23445,-0.51335,5
116,53.24893,-0.51826,5
117,53.24302,-0.51108,5
118,53.19993,-0.56125,5
119,53.24113,-0.55702,5
120,53.19805,-0.56424,5
121,53.19597,-0.56837,5
122,53.23435,-0.50793,5
123,53.23077,-0.50996,5
124,53.21222,-0.60333,5
125,53.16615,-0.5392,5
126,53.18391,-0.55422,5
127,53.18196,-0.59112,5
128,53.17956,-0.59428,5
129,53.18175,-0.59421,5
130,53.18168,-0.55493,5
131,53.24483,-0.49468,5
132,53.20119,-0.5637,5
133,53.20143,-0.55917,5
134,53.24223,-0.50023,5
135,53.22611,-0.53992,5
135,53.22611,-0.53992,2
135,53.22611,-0.53992,4
136,53.22104,-0.60076,5
137,53.2357,-0.53456,5
138,53.1887,-0.5788,5
139,53.21213,-0.56078,5
140,53.2312,-0.61909,5
141,53.18525,-0.55835,5
142,53.18,-0.55837,5
143,53.19716,-0.57489,5
144,53.23814,-0.54183,5
145,53.20318,-0.57261,5
146,53.20055,-0.58525,5
147,53.1852,-0.58378,5
148,53.19084,-0.57572,5
149,53.18736,-0.58073,5
150,53.17975,-0.58766,5
151,53.18248,-0.60976,5
152,53.18559,-0.59313,5
153,53.21944,-0.60376,5
154,53.21961,-0.60781,5
155,53.18975,-0.5273,5
156,53.18304,-0.5867,5
157,53.21292,-0.54693,5
158,53.21322,-0.52668,5
159,53.2123,-0.57641,5
160,53.23632,-0.61692,5
161,53.25022,-0.55281,5
162,53.25164,-0.54942,5
163,53.24582,-0.50692,5
164,53.24364,-0.52243,5
165,53.2406,-0.51966,5
166,53.2189,-0.55324,5
167,53.23806,-0.52426,5
168,53.23439,-0.53068,5
169,53.23145,-0.62222,5
170,53.23451,-0.51858,5
171,53.25193,-0.53304,5
172,53.21996,-0.60076,5
173,53.24388,-0.54296,5
174,53.20493,-0.59884,5
175,53.17963,-0.61656,5
176,53.19391,-0.58249,5
177,53.23827,-0.53829,5
178,53.21016,-0.54859,5
179,53.21012,-0.56239,5
180,53.24477,-0.52018,5
181,53.24321,-0.52705,5
182,53.23926,-0.52073,5
183,53.21968,-0.59824,5
184,53.21816,-0.53204,5
185,53.22166,-0.55611,5
186,53.21706,-0.55453,5
187,53.19129,-0.53585,5
188,53.25128,-0.51358,5
189,53.24444,-0.50899,5
190,53.25296,-0.51534,5
191,53.20754,-0.60522,5
192,53.20689,-0.60873,5
193,53.24315,-0.54803,5
194,53.24732,-0.55119,5
195,53.21292,-0.6092,5
196,53.22643,-0.60016,5
197,53.21504,-0.61295,5
198,53.19152,-0.53301,5
199,53.2141,-0.59358,5
200,53.21244,-0.57442,5
201,53.25146,-0.5419,5
202,53.25166,-0.5371,5
203,53.24215,-0.53801,5
204,53.24505,-0.53838,5
205,53.24984,-0.54013,5
206,53.17066,-0.54897,5
207,53.1998,-0.5532,5
208,53.19712,-0.55191,5
209,53.18824,-0.55766,5
210,53.19195,-0.55539,5
211,53.18351,-0.56037,5
212,53.17557,-0.55805,5
213,53.24219,-0.52116,5
214,53.22084,-0.59533,5
215,53.2307,-0.54604,5
216,53.23326,-0.51275,5
217,53.23048,-0.61616,5
218,53.23291,-0.50695,5
219,53.20038,-0.56698,5
220,53.1996,-0.56901,5
221,53.17738,-0.62206,5
222,53.24083,-0.50629,5
223,53.24731,-0.53103,5
224,53.2483,-0.52482,5
225,53.24887,-0.5352,5
226,53.24944,-0.53839,5
227,53.21435,-0.58115,5
228,53.22307,-0.59404,5
229,53.24125,-0.54714,5
230,53.20083,-0.56557,5
231,53.20276,-0.55802,5
232,53.23964,-0.51649,5
233,53.25207,-0.5456,5
234,53.23492,-0.508,5
235,53.24135,-0.51009,5
236,53.21612,-0.59454,5
237,53.23061,-0.51956,5
238,53.22372,-0.54328,5
239,53.18739,-0.55517,5
240,53.25018,-0.53625,5
241,53.24753,-0.53381,5
242,53.23816,-0.54432,5
243,53.21773,-0.5303,5
244,53.22289,-0.53133,5
245,53.23398,-0.51799,5
246,53.24129,-0.54167,5
247,53.21021,-0.60256,5
248,53.23566,-0.54887,5
249,53.23464,-0.5478,5
250,53.20809,-0.54491,5
251,53.19319,-0.59921,5
252,53.18954,-0.59762,5
253,53.24215,-0.49639,5
254,53.18073,-0.56172,5
255,53.22186,-0.60355,5
256,53.21264,-0.58253,5
257,53.2436,-0.55885,5
258,53.23558,-0.61867,5
259,53.24297,-0.49521,5
260,53.18841,-0.58019,5
261,53.22409,-0.54248,5
262,53.18133,-0.55781,5
263,53.23726,-0.52516,5
264,53.24678,-0.53097,5
265,53.23513,-0.5256,5
266,53.2353,-0.52844,5
267,53.19085,-0.58964,5
268,53.22003,-0.60608,5
269,53.23056,-0.61278,5
270,53.22953,-0.54355,5
271,53.21128,-0.58289,5
272,53.23176,-0.61025,5
273,53.23551,-0.52508,5
274,53.19477,-0.56884,5
275,53.24597,-0.55879,5
276,53.23001,-0.53582,5
277,53.22995,-0.6116,5
278,53.23086,-0.61115,5
279,53.22812,-0.61232,5
280,53.24005,-0.51856,5
281,53.23045,-0.53724,5
282,53.24557,-0.5381,5
283,53.21847,-0.60971,5
284,53.2363,-0.54199,5
285,53.21406,-0.61081,5
286,53.22968,-0.53951,5
287,53.24594,-0.54007,5
288,53.18038,-0.56168,5
289,53.19031,-0.58745,5
290,53.1888,-0.58429,5
291,53.24367,-0.52306,5
292,53.2448,-0.52421,5
293,53.24517,-0.52608,5
294,53.25209,-0.52812,5
295,53.25208,-0.52749,5
296,53.1661,-0.53298,5
297,53.18535,-0.60315,5
298,53.18474,-0.60421,5
299,53.22863,-0.5364,5
300,53.22792,-0.61437,5
301,53.2507,-0.53737,5
302,53.24786,-0.52903,5
303,53.24805,-0.53199,5
304,53.22976,-0.55006,5
305,53.22621,-0.54723,5
306,53.2364,-0.61456,5
307,53.18189,-0.55796,5
308,53.19333,-0.55455,5
309,53.2136,-0.60882,5
310,53.22891,-0.53767,5
311,53.23092,-0.53499,5
312,53.20004,-0.58331,5
313,53.19964,-0.5813,5
314,53.19911,-0.57837,5
315,53.19105,-0.55181,5
316,53.18849,-0.55265,5
317,53.19299,-0.55217,5
318,53.24466,-0.53879,5
319,53.20479,-0.56036,5
320,53.24245,-0.54611,5
321,53.18716,-0.59322,5
322,53.22125,-0.59626,5
323,53.21315,-0.60509,5
324,53.18656,-0.60023,5
325,53.1928,-0.58502,5
326,53.19168,-0.58799,5
327,53.2217,-0.59335,5
328,53.22918,-0.61532,5
329,53.23911,-0.54483,5
330,53.23509,-0.61943,5
331,53.22182,-0.59158,5
332,53.23801,-0.54852,5
333,53.23691,-0.54859,5
334,53.23392,-0.54676,5
335,53.22462,-0.54307,5
336,53.25081,-0.51853,5
337,53.21076,-0.60431,5
338,53.24474,-0.52518,5
339,53.24852,-0.52086,5
340,53.24615,-0.52401,5
341,53.19533,-0.57938,5
342,53.25161,-0.51078,5
343,53.18738,-0.59578,5
344,53.18705,-0.59559,5
345,53.19473,-0.57949,5
346,53.19822,-0.5721,5
347,53.22353,-0.53773,5
348,53.18654,-0.59538,5
349,53.24488,-0.49789,5
