ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,3,2,2,2,1.299
1,3,2,2,2,1.299
1,3,2,2,2,1.299
1,3,2,2,2,1.299
1,5,2,2,5,5.467
1,5,2,2,5,5.467
1,5,2,2,5,5.467
1,5,2,2,5,5.467
1,10,2,2,4,2.478
1,10,2,2,4,2.478
1,10,2,2,4,2.478
1,10,2,2,4,2.478
1,19,2,2,2,1.516
1,19,2,2,2,1.516
1,19,2,2,2,1.516
1,19,2,2,2,1.516
1,19,2,2,2,1.516
1,19,2,2,2,1.516
3,1,2,2,2,1.299
3,1,2,2,2,1.299
3,1,2,2,2,1.299
3,1,2,2,2,1.299
3,4,2,2,13,10.773
3,4,2,2,13,10.773
3,4,2,2,13,10.773
3,4,2,2,13,10.773
3,4,2,2,13,10.773
3,4,2,2,13,10.773
3,10,2,2,2,1.179
3,10,2,2,2,1.179
3,10,2,2,2,1.179
3,10,2,2,2,1.179
4,5,2,2,8,4.035
4,5,2,2,8,4.035
4,5,2,2,8,4.035
4,5,2,2,8,4.035
4,5,2,2,8,4.035
4,5,2,2,8,4.035
4,10,2,2,13,11.95
4,10,2,2,13,11.95
4,10,2,2,13,11.95
4,10,2,2,13,11.95
4,10,2,2,13,11.95
4,10,2,2,13,11.95
4,11,2,2,4,3.147
4,11,2,2,4,3.147
4,11,2,2,4,3.147
4,11,2,2,4,3.147
4,11,2,2,4,3.147
4,11,2,2,4,3.147
5,1,2,2,6,5.467
5,1,2,2,6,5.467
5,1,2,2,6,5.467
5,1,2,2,6,5.467
5,4,2,2,8,4.035
5,4,2,2,8,4.035
5,4,2,2,8,4.035
5,4,2,2,8,4.035
5,4,2,2,8,4.035
5,4,2,2,8,4.035
5,10,2,2,7,7.945
5,10,2,2,7,7.945
5,10,2,2,7,7.945
5,10,2,2,7,7.945
5,11,2,2,6,6.422
5,11,2,2,6,6.422
5,11,2,2,6,6.422
5,11,2,2,6,6.422
5,19,2,2,4,3.952
5,19,2,2,4,3.952
5,19,2,2,4,3.952
5,19,2,2,4,3.952
5,19,2,2,4,3.952
5,19,2,2,4,3.952
7,4,2,2,7,4.23
7,4,2,2,7,4.23
7,4,2,2,7,4.23
7,4,2,2,7,4.23
7,4,2,2,7,4.23
7,4,2,2,7,4.23
7,9,2,2,9,12.295
7,9,2,2,9,12.295
7,9,2,2,9,12.295
7,9,2,2,9,12.295
7,11,2,2,5,3.075
7,11,2,2,5,3.075
7,11,2,2,5,3.075
7,11,2,2,5,3.075
7,12,2,2,5,5.389
7,12,2,2,5,5.389
7,12,2,2,5,5.389
7,12,2,2,5,5.389
9,7,2,2,9,12.295
9,7,2,2,9,12.295
9,7,2,2,9,12.295
9,7,2,2,9,12.295
9,12,2,2,6,6.968
9,12,2,2,6,6.968
9,12,2,2,6,6.968
9,12,2,2,6,6.968
9,16,2,2,6,7.918
9,16,2,2,6,7.918
9,16,2,2,6,7.918
9,16,2,2,6,7.918
10,1,2,2,3,2.478
10,1,2,2,3,2.478
10,1,2,2,3,2.478
