nodeid,lat,lon,layer
1,50.81752,-0.41146,2
1,50.81752,-0.41146,5
2,50.8131,-0.40528,4
2,50.8131,-0.40528,5
3,50.81835,-0.39298,5
3,50.81835,-0.39298,2
4,50.8101,-0.54599,2
4,50.8101,-0.54599,5
4,50.8101,-0.54599,4
5,50.81657,-0.48939,2
5,50.81657,-0.48939,5
6,50.81053,-0.50828,4
6,50.81053,-0.50828,5
7,50.8482,-0.54617,2
7,50.8482,-0.54617,5
8,50.80995,-0.36757,4
8,50.80995,-0.36757,5
9,50.95735,-0.51655,2
9,50.95735,-0.51655,5
10,50.81849,-0.37616,5
10,50.81849,-0.37616,2
11,50.82956,-0.57862,2
11,50.82956,-0.57862,5
12,50.89667,-0.54199,2
12,50.89667,-0.54199,5
13,50.85313,-0.55232,4
13,50.85313,-0.55232,5
14,50.8604,-0.40345,4
14,50.8604,-0.40345,5
15,50.84952,-0.39858,4
15,50.84952,-0.39858,5
16,51.0152,-0.4503,2
16,51.0152,-0.4503,5
17,50.82748,-0.37413,4
17,50.82748,-0.37413,5
18,50.82164,-0.35489,2
18,50.82164,-0.35489,5
19,50.81772,-0.43308,4
19,50.81772,-0.43308,2
19,50.81772,-0.43308,5
20,50.96392,-0.55911,5
21,50.93913,-0.43338,5
22,50.94187,-0.43103,5
23,50.94187,-0.43079,5
24,51.01905,-0.45255,5
25,51.01768,-0.45105,5
26,51.0215,-0.4553,5
27,51.019,-0.45278,5
28,50.81378,-0.39722,5
29,50.83801,-0.3885,5
30,50.83808,-0.38923,5
31,50.80246,-0.52202,5
32,50.80253,-0.52563,5
33,50.83806,-0.4092,5
34,50.83782,-0.40887,5
35,50.83935,-0.40683,5
36,50.83919,-0.40084,5
37,50.83943,-0.40441,5
38,50.92043,-0.47406,5
39,50.92033,-0.47434,5
40,50.8127,-0.44388,5
41,50.80911,-0.44276,5
42,50.8095,-0.44313,5
43,50.80792,-0.44531,5
44,50.81271,-0.44402,5
45,50.86458,-0.4104,5
46,50.86857,-0.41054,5
47,50.85242,-0.56474,5
48,50.94583,-0.45877,5
49,50.94293,-0.45745,5
50,50.94278,-0.4576,5
51,50.9355,-0.45214,5
52,50.93959,-0.45607,5
53,50.93108,-0.43441,5
54,50.81665,-0.4752,5
55,50.81736,-0.47315,5
56,50.81737,-0.47111,5
57,50.81753,-0.47099,5
58,50.8151,-0.48594,5
59,50.8152,-0.486,5
60,50.82866,-0.54456,5
61,50.82386,-0.54281,5
62,50.81683,-0.55312,5
63,50.81907,-0.41865,5
64,50.82508,-0.41105,5
65,50.82607,-0.41127,5
66,50.82061,-0.41051,5
67,50.82384,-0.41081,5
68,50.81928,-0.41552,5
69,50.82311,-0.3796,5
70,50.92008,-0.46693,5
71,50.92001,-0.46779,5
72,50.95222,-0.48182,5
73,50.94861,-0.4757,5
74,50.91935,-0.45939,5
75,50.91931,-0.45962,5
76,50.9182,-0.45652,5
77,50.91831,-0.45652,5
78,51.01964,-0.4579,5
79,51.02119,-0.4574,5
80,51.01846,-0.45616,5
81,50.85397,-0.57184,5
82,50.85239,-0.56853,5
83,50.85351,-0.57226,5
84,50.85192,-0.56248,5
85,50.85183,-0.56234,5
86,50.84961,-0.56779,5
87,50.84924,-0.56769,5
88,50.91866,-0.4521,5
89,51.01929,-0.45763,5
90,51.01847,-0.45576,5
91,50.95386,-0.43509,5
92,50.95707,-0.43033,5
93,50.94845,-0.42975,5
94,50.9537,-0.427,5
95,50.95938,-0.42392,5
96,50.95345,-0.45303,5
97,50.96093,-0.49499,5
98,50.961,-0.49491,5
99,50.96045,-0.49837,5
