ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,33,2,2,2,1.436
1,33,2,2,2,1.436
1,33,2,2,2,1.436
1,33,2,2,2,1.436
1,38,2,2,5,4.393
1,38,2,2,5,4.393
1,38,2,2,5,4.393
1,38,2,2,5,4.393
3,26,2,2,3,0.878
3,26,2,2,3,0.878
3,26,2,2,3,0.878
3,26,2,2,3,0.878
3,29,2,2,2,1.15
3,29,2,2,2,1.15
3,29,2,2,2,1.15
3,29,2,2,2,1.15
4,6,2,2,20,9.545
4,6,2,2,20,9.545
4,6,2,2,20,9.545
4,6,2,2,20,9.545
4,25,2,2,2,1.754
4,25,2,2,2,1.754
4,25,2,2,2,1.754
4,25,2,2,2,1.754
4,39,2,2,3,2.23
4,39,2,2,3,2.23
4,39,2,2,3,2.23
4,39,2,2,3,2.23
5,6,2,2,10,3.676
5,6,2,2,10,3.676
5,6,2,2,10,3.676
5,6,2,2,10,3.676
5,13,2,2,3,1.952
5,13,2,2,3,1.952
5,13,2,2,3,1.952
5,13,2,2,3,1.952
5,36,2,2,2,1.586
5,36,2,2,2,1.586
5,36,2,2,2,1.586
5,36,2,2,2,1.586
6,5,2,2,5,3.676
6,5,2,2,5,3.676
6,5,2,2,5,3.676
6,5,2,2,5,3.676
6,6,2,2,1,0.0
6,6,2,2,1,0.0
6,6,2,2,1,0.0
6,6,2,2,1,0.0
6,7,2,2,2,0.806
6,7,2,2,2,0.806
6,7,2,2,2,0.806
6,7,2,2,2,0.806
6,7,2,2,2,0.806
6,7,2,2,2,0.806
6,14,2,2,8,5.129
6,14,2,2,8,5.129
6,14,2,2,8,5.129
6,14,2,2,8,5.129
6,23,2,2,3,2.525
6,23,2,2,3,2.525
6,23,2,2,3,2.525
6,23,2,2,3,2.525
6,36,2,2,4,2.147
6,36,2,2,4,2.147
6,36,2,2,4,2.147
6,36,2,2,4,2.147
6,39,2,2,9,7.975
6,39,2,2,9,7.975
6,39,2,2,9,7.975
6,39,2,2,9,7.975
7,6,2,2,2,0.806
7,6,2,2,2,0.806
7,6,2,2,2,0.806
7,6,2,2,2,0.806
7,6,2,2,2,0.806
7,6,2,2,2,0.806
7,7,2,2,1,0.0
7,7,2,2,1,0.0
7,7,2,2,1,0.0
7,7,2,2,1,0.0
