nodeid,lat,lon,layer
1,53.54282,-2.90449,2
1,53.54282,-2.90449,5
2,53.40817,-2.96429,4
2,53.40817,-2.96429,5
3,53.4375,-2.98752,5
3,53.4375,-2.98752,2
4,53.36073,-2.85586,5
4,53.36073,-2.85586,2
5,53.4052,-2.92291,5
5,53.4052,-2.92291,2
6,53.40596,-2.97845,5
6,53.40596,-2.97845,2
7,53.40667,-2.99057,2
7,53.40667,-2.99057,5
7,53.40667,-2.99057,1
8,53.55942,-2.69439,2
8,53.55942,-2.69439,5
9,53.44091,-2.98112,2
9,53.44091,-2.98112,5
10,53.46628,-3.00563,2
10,53.46628,-3.00563,5
11,53.457,-2.96403,2
11,53.457,-2.96403,5
12,53.40829,-2.94365,4
12,53.40829,-2.94365,5
13,53.40651,-2.89349,2
13,53.40651,-2.89349,5
14,53.37906,-2.91545,2
14,53.37906,-2.91545,5
15,53.51712,-2.78947,2
15,53.51712,-2.78947,5
16,53.4862,-2.90283,5
16,53.4862,-2.90283,2
17,53.35877,-2.91201,2
17,53.35877,-2.91201,5
18,53.40821,-2.90457,4
18,53.40821,-2.90457,5
19,53.4691,-2.93673,5
19,53.4691,-2.93673,2
20,53.3377,-2.85513,0
20,53.3377,-2.85513,4
20,53.3377,-2.85513,5
21,53.47392,-2.95629,2
21,53.47392,-2.95629,5
22,53.4534,-2.99475,5
22,53.4534,-2.99475,2
23,53.38326,-2.97608,2
23,53.38326,-2.97608,5
24,53.47497,-3.02554,5
24,53.47497,-3.02554,2
25,53.3645,-2.83014,5
25,53.3645,-2.83014,2
26,53.42995,-2.9915,5
26,53.42995,-2.9915,2
27,53.40201,-2.98811,5
28,53.39028,-2.86071,5
29,53.44663,-2.99574,5
29,53.44663,-2.99574,2
30,53.4877,-3.03987,2
30,53.4877,-3.03987,5
31,53.36914,-2.90697,5
31,53.36914,-2.90697,2
32,53.51702,-2.94044,4
32,53.51702,-2.94044,5
33,53.55449,-2.89508,2
33,53.55449,-2.89508,5
34,53.4975,-3.04964,2
34,53.4975,-3.04964,5
35,53.48691,-2.95108,4
35,53.48691,-2.95108,2
35,53.48691,-2.95108,5
36,53.40263,-2.94649,5
36,53.40263,-2.94649,2
37,53.37562,-2.9528,5
37,53.37562,-2.9528,2
38,53.50648,-2.93086,2
38,53.50648,-2.93086,5
39,53.35776,-2.88915,5
39,53.35776,-2.88915,2
40,53.46191,-2.96332,5
40,53.46191,-2.96332,2
41,53.53033,-2.70884,5
41,53.53033,-2.70884,2
42,53.57905,-2.71888,5
42,53.57905,-2.71888,2
43,53.41027,-2.92609,4
43,53.41027,-2.92609,5
44,53.5581,-2.66226,5
45,53.40131,-2.9328,5
46,53.40182,-2.93417,5
47,53.4777,-2.87175,5
48,53.47596,-2.86832,5
49,53.47589,-2.86662,5
50,53.38306,-2.96285,5
51,53.49665,-2.77884,5
52,53.49672,-2.77878,5
53,53.54062,-2.71524,5
54,53.46775,-2.97466,5
55,53.46788,-2.97492,5
56,53.4639,-2.88535,5
57,53.34885,-2.86587,5
58,53.41002,-2.98669,5
59,53.39726,-2.89814,5
60,53.39701,-2.89807,5
61,53.48209,-2.90593,5
62,53.47359,-2.97813,5
63,53.47385,-2.97879,5
64,53.39549,-2.91553,5
65,53.56249,-2.67503,5
66,53.37028,-2.85203,5
67,53.37104,-2.85231,5
68,53.48435,-3.03034,5
69,53.42344,-2.99144,5
70,53.39789,-2.93828,5
71,53.5027,-2.78895,5
72,53.50246,-2.78846,5
73,53.34947,-2.88187,5
74,53.35035,-2.88258,5
75,53.55796,-2.77796,5
76,53.5546,-2.79669,5
77,53.5548,-2.79692,5
78,53.55368,-2.7908,5
79,53.55246,-2.79147,5
80,53.56104,-2.77034,5
81,53.55164,-2.80273,5
82,53.54801,-2.80769,5
83,53.54826,-2.80831,5
84,53.41438,-2.87632,5
85,53.47905,-2.93469,5
86,53.47956,-2.93616,5
87,53.52533,-2.94102,5
88,53.34024,-2.85171,5
89,53.34027,-2.85203,5
90,53.46974,-2.92275,5
91,53.46939,-2.92369,5
92,53.57924,-2.71121,5
93,53.54803,-2.67881,5
94,53.34079,-2.84055,5
95,53.49785,-2.77583,5
