ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
3,10,2,2,2,3.278
3,10,2,2,2,3.278
3,10,2,2,2,3.278
3,10,2,2,2,3.278
8,12,2,2,2,4.535
8,12,2,2,2,4.535
8,12,2,2,2,4.535
8,12,2,2,2,4.535
10,3,2,2,2,3.278
10,3,2,2,2,3.278
10,3,2,2,2,3.278
10,3,2,2,2,3.278
10,14,2,2,5,6.019
10,14,2,2,5,6.019
10,14,2,2,5,6.019
10,14,2,2,5,6.019
12,8,2,2,2,4.535
12,8,2,2,2,4.535
12,8,2,2,2,4.535
12,8,2,2,2,4.535
14,10,2,2,4,6.019
14,10,2,2,4,6.019
14,10,2,2,4,6.019
14,10,2,2,4,6.019
1,4,5,5,1,0.931
1,7,5,5,1,0.856
1,81,5,5,2,1.12
1,83,5,5,1,0.627
1,391,5,5,1,1.875
2,2,5,5,1,0.0
2,142,5,5,2,0.852
2,227,5,5,1,0.298
2,321,5,5,1,0.632
2,358,5,5,1,1.127
2,383,5,5,1,0.342
3,453,5,5,1,0.467
3,453,5,5,1,0.467
3,480,5,5,1,1.914
3,480,5,5,1,1.914
3,483,5,5,1,0.891
3,483,5,5,1,0.891
4,1,5,5,1,0.931
4,53,5,5,2,0.527
4,395,5,5,2,1.005
4,533,5,5,4,1.45
5,290,5,5,1,0.303
5,549,5,5,1,0.749
5,550,5,5,1,0.668
5,564,5,5,1,0.24
5,578,5,5,1,0.582
5,617,5,5,1,0.231
6,180,5,5,6,3.059
6,294,5,5,1,0.281
6,296,5,5,1,0.211
6,381,5,5,1,0.711
7,1,5,5,1,0.856
7,26,5,5,2,1.535
7,118,5,5,2,1.789
7,239,5,5,2,0.636
7,284,5,5,1,0.858
8,470,5,5,1,0.257
8,470,5,5,1,0.257
8,603,5,5,2,0.711
8,603,5,5,2,0.711
9,237,5,5,1,0.438
9,241,5,5,1,0.411
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,26,5,5,1,0.733
10,26,5,5,1,0.733
10,359,5,5,1,0.57
10,359,5,5,1,0.57
10,360,5,5,1,0.257
10,360,5,5,1,0.257
11,170,5,5,1,0.388
11,267,5,5,1,0.411
11,323,5,5,1,0.453
12,513,5,5,1,0.444
12,513,5,5,1,0.444
12,551,5,5,1,0.535
12,551,5,5,1,0.535
13,150,5,5,1,0.36
13,205,5,5,1,0.241
13,283,5,5,1,0.465
13,375,5,5,1,0.786
13,395,5,5,1,0.451
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,14,5,5,1,0.0
14,85,5,5,1,0.346
14,85,5,5,1,0.346
14,152,5,5,2,1.317
14,152,5,5,2,1.317
14,208,5,5,1,0.487
14,208,5,5,1,0.487
14,366,5,5,1,0.253
14,366,5,5,1,0.253
14,367,5,5,1,0.367
14,367,5,5,1,0.367
14,623,5,5,1,0.383
14,623,5,5,1,0.383
14,624,5,5,1,0.537
14,624,5,5,1,0.537
15,143,5,5,1,0.294
15,602,5,5,1,0.198
16,422,5,5,1,0.202
17,47,5,5,1,0.19
18,34,5,5,1,0.154
18,69,5,5,1,0.129
19,308,5,5,1,0.091
20,567,5,5,1,0.198
21,68,5,5,1,0.113
22,230,5,5,1,0.207
22,277,5,5,1,0.31
22,605,5,5,1,0.274
23,299,5,5,1,0.218
24,508,5,5,1,0.218
25,28,5,5,1,0.524
25,372,5,5,1,0.504
26,121,5,5,1,0.539
26,372,5,5,1,0.17
26,614,5,5,1,0.243
27,478,5,5,1,0.298
28,7,5,5,4,1.555
28,10,5,5,1,0.723
28,10,5,5,1,0.723
28,170,5,5,1,1.199
28,252,5,5,2,0.779
29,28,5,5,1,0.075
29,121,5,5,1,0.51
30,178,5,5,1,0.532
31,132,5,5,1,0.625
32,30,5,5,1,0.598
33,14,5,5,1,0.308
33,14,5,5,1,0.308
33,318,5,5,1,0.282
34,69,5,5,1,0.184
34,74,5,5,1,0.176
35,211,5,5,1,0.749
35,551,5,5,1,0.616
36,515,5,5,1,0.258
37,145,5,5,1,0.031
38,73,5,5,1,0.12
39,319,5,5,1,0.147
40,41,5,5,1,0.092
41,443,5,5,1,0.159
42,466,5,5,1,0.346
42,485,5,5,1,0.317
43,45,5,5,1,0.268
44,176,5,5,1,0.411
45,368,5,5,1,0.223
45,525,5,5,1,0.491
46,175,5,5,1,0.091
46,287,5,5,1,0.209
47,20,5,5,1,0.178
47,216,5,5,1,0.526
48,7,5,5,3,1.764
48,182,5,5,1,0.472
48,284,5,5,3,0.966
49,417,5,5,1,0.157
49,420,5,5,1,0.035
49,591,5,5,1,0.125
49,622,5,5,1,0.091
50,560,5,5,1,0.347
51,256,5,5,1,0.271
52,259,5,5,1,0.064
52,539,5,5,1,0.808
53,55,5,5,1,0.423
54,191,5,5,1,0.312
55,56,5,5,1,0.375
56,58,5,5,1,0.301
57,54,5,5,1,0.494
58,59,5,5,1,0.098
59,385,5,5,1,0.383
60,62,5,5,1,0.172
60,63,5,5,1,0.338
60,489,5,5,1,0.448
60,556,5,5,3,6.231
61,66,5,5,1,0.23
62,139,5,5,3,0.984
62,171,5,5,2,0.696
62,556,5,5,8,6.143
63,171,5,5,1,1.036
64,67,5,5,1,0.5
65,60,5,5,1,0.328
66,64,5,5,1,0.309
67,99,5,5,1,0.381
67,164,5,5,1,0.24
67,165,5,5,1,0.329
67,529,5,5,1,0.688
67,530,5,5,3,0.701
68,309,5,5,1,0.196
69,327,5,5,1,0.188
70,71,5,5,1,0.305
71,21,5,5,1,0.237
72,34,5,5,1,0.412
72,74,5,5,1,0.542
73,190,5,5,1,0.04
74,70,5,5,1,0.15
75,78,5,5,1,0.295
76,227,5,5,1,0.884
77,1,5,5,1,1.212
77,25,5,5,1,0.369
77,79,5,5,1,0.187
77,81,5,5,1,0.147
77,83,5,5,2,1.479
77,238,5,5,1,0.465
77,240,5,5,2,0.913
77,340,5,5,1,1.758
77,559,5,5,1,0.918
78,77,5,5,1,0.206
78,81,5,5,1,0.336
78,581,5,5,1,0.384
79,317,5,5,1,0.338
79,432,5,5,1,0.373
79,619,5,5,1,0.391
80,81,5,5,1,0.649
80,238,5,5,1,0.436
81,77,5,5,1,0.147
81,238,5,5,1,0.372
82,89,5,5,1,0.259
83,91,5,5,1,0.318
84,312,5,5,1,0.233
85,124,5,5,1,0.238
86,14,5,5,1,0.56
86,14,5,5,1,0.56
86,123,5,5,1,0.3
87,44,5,5,1,0.177
88,526,5,5,1,0.888
89,90,5,5,1,0.164
90,192,5,5,1,0.275
91,82,5,5,1,0.197
92,1,5,5,1,0.603
92,81,5,5,1,1.323
92,238,5,5,2,1.025
92,340,5,5,1,0.345
93,92,5,5,1,0.228
94,335,5,5,1,0.144
95,98,5,5,1,0.169
95,521,5,5,3,0.607
96,95,5,5,1,0.103
97,516,5,5,1,0.25
98,502,5,5,1,0.114
99,101,5,5,1,0.403
99,326,5,5,1,0.879
100,262,5,5,1,0.368
101,161,5,5,1,0.485
102,356,5,5,1,0.324
102,394,5,5,1,1.329
102,401,5,5,1,0.228
103,487,5,5,1,0.344
103,604,5,5,1,0.115
104,52,5,5,1,0.545
104,258,5,5,1,0.605
104,539,5,5,1,0.576
105,109,5,5,1,0.177
105,111,5,5,1,0.33
106,104,5,5,1,0.217
106,615,5,5,1,0.32
107,126,5,5,1,0.399
107,187,5,5,1,0.108
108,112,5,5,1,0.743
108,113,5,5,1,0.307
109,94,5,5,1,0.297
109,292,5,5,1,1.563
109,296,5,5,2,2.023
109,334,5,5,1,0.241
109,382,5,5,1,1.219
110,105,5,5,1,0.112
110,111,5,5,1,0.439
111,114,5,5,1,0.265
112,105,5,5,1,0.244
112,109,5,5,1,0.421
113,112,5,5,1,0.438
114,107,5,5,1,0.389
115,412,5,5,1,0.387
117,136,5,5,1,0.324
118,465,5,5,1,0.338
119,129,5,5,3,0.502
119,546,5,5,1,0.216
120,610,5,5,1,0.409
121,81,5,5,1,0.477
121,581,5,5,1,0.293
122,106,5,5,1,0.262
123,14,5,5,1,0.264
123,14,5,5,1,0.264
124,125,5,5,1,0.299
125,108,5,5,1,0.378
125,187,5,5,1,0.382
126,86,5,5,1,0.316
127,146,5,5,1,1.473
128,556,5,5,1,0.819
129,352,5,5,1,0.201
129,598,5,5,1,0.424
130,410,5,5,1,0.614
130,550,5,5,1,0.511
132,133,5,5,1,0.383
133,297,5,5,1,1.025
134,32,5,5,1,0.445
135,322,5,5,1,0.264
136,2,5,5,1,0.611
136,227,5,5,1,0.317
136,320,5,5,1,0.309
137,461,5,5,1,0.297
138,362,5,5,1,0.513
139,563,5,5,1,0.15
140,14,5,5,1,0.862
140,14,5,5,1,0.862
140,207,5,5,1,0.291
141,14,5,5,3,1.308
141,14,5,5,3,1.308
141,140,5,5,1,0.478
142,76,5,5,1,0.15
143,468,5,5,1,0.216
144,427,5,5,1,0.191
145,424,5,5,1,0.096
145,625,5,5,2,0.522
