nodeid,lat,lon,layer
1,55.90165,-3.51263,5
2,55.90238,-3.57175,5
3,55.91904,-3.50211,2
3,55.91904,-3.50211,5
4,55.8941,-3.5061,5
5,55.87901,-3.52614,5
6,55.90718,-3.58023,5
7,55.9085,-3.51898,5
8,55.87169,-3.50156,5
8,55.87169,-3.50156,2
9,55.90132,-3.51235,5
10,55.90138,-3.54434,5
10,55.90138,-3.54434,2
11,55.90828,-3.51886,5
12,55.8538,-3.56701,5
12,55.8538,-3.56701,2
13,55.88895,-3.50924,5
14,55.89911,-3.64097,2
14,55.89911,-3.64097,5
15,55.87413,-3.62265,5
16,55.89894,-3.65988,5
17,55.89872,-3.65984,5
18,55.90013,-3.61276,5
19,55.89989,-3.6124,5
20,55.89663,-3.6615,5
21,55.90196,-3.60731,5
22,55.89824,-3.70323,5
23,55.89877,-3.69609,5
24,55.88955,-3.45832,5
25,55.89395,-3.52956,5
26,55.89775,-3.5345,5
27,55.89477,-3.53987,5
28,55.89765,-3.5348,5
29,55.89701,-3.53521,5
30,55.91785,-3.5489,5
31,55.91746,-3.54908,5
32,55.91526,-3.55734,5
33,55.89958,-3.64585,5
34,55.90109,-3.61456,5
35,55.85195,-3.57,5
36,55.85042,-3.57441,5
37,55.90814,-3.64615,5
38,55.90753,-3.64662,5
39,55.90427,-3.65298,5
40,55.90317,-3.65606,5
41,55.90337,-3.65751,5
42,55.929,-3.50897,5
43,55.89126,-3.65289,5
44,55.89348,-3.65188,5
45,55.89365,-3.65222,5
46,55.88857,-3.6553,5
47,55.89809,-3.66269,5
48,55.92367,-3.52746,5
49,55.89901,-3.6282,5
50,55.88125,-3.54031,5
51,55.88142,-3.53573,5
52,55.88164,-3.55083,5
53,55.89265,-3.49803,5
54,55.89349,-3.49411,5
55,55.8943,-3.49189,5
56,55.89714,-3.48861,5
57,55.89666,-3.48853,5
58,55.89959,-3.4907,5
59,55.89969,-3.49227,5
60,55.8797,-3.49945,5
61,55.8782,-3.49863,5
62,55.87878,-3.49721,5
63,55.87687,-3.50149,5
64,55.88306,-3.49891,5
65,55.88241,-3.49733,5
66,55.88027,-3.49885,5
67,55.88249,-3.50688,5
68,55.90193,-3.60913,5
69,55.90109,-3.61159,5
70,55.90121,-3.61494,5
71,55.90274,-3.61086,5
72,55.90281,-3.60868,5
73,55.90815,-3.6482,5
74,55.90171,-3.61718,5
75,55.89022,-3.53059,5
76,55.89783,-3.5829,5
77,55.89278,-3.52401,5
78,55.89151,-3.52644,5
79,55.89158,-3.52612,5
80,55.89534,-3.51216,5
81,55.89291,-3.52165,5
82,55.89735,-3.49956,5
83,55.8994,-3.50338,5
84,55.90003,-3.60559,5
