nodeid,lat,lon,layer
1,51.44995,-0.41833,5
2,51.45774,-0.129,5
3,51.4708,-0.27344,5
4,51.48817,-0.13813,5
5,51.44714,-0.47804,5
6,51.55503,-0.22885,5
7,51.40299,-0.20516,2
7,51.40299,-0.20516,5
8,51.61412,-0.14303,2
8,51.61412,-0.14303,5
9,51.51741,-0.12497,5
10,51.47554,-0.09672,5
11,51.49039,-0.45774,5
12,51.48966,-0.47452,5
13,51.51386,0.00822,5
13,51.51386,0.00822,3
14,51.48615,-0.29824,5
15,51.4663,-0.10218,5
15,51.4663,-0.10218,2
16,51.39789,-0.16264,5
17,51.59966,-0.14736,5
18,51.49935,-0.14803,5
19,51.48529,-0.0696,5
20,51.45372,-0.12035,5
21,51.46193,-0.20581,5
22,51.49677,-0.02581,5
23,51.46138,-0.1586,5
24,51.57092,-0.23214,5
25,51.40232,-0.15489,5
26,51.56085,-0.1503,5
27,51.58068,0.02145,5
27,51.58068,0.02145,3
28,51.55207,-0.20678,5
29,51.53263,-0.08718,5
30,51.55196,-0.23907,5
30,51.55196,-0.23907,3
31,51.48891,-0.07779,4
31,51.48891,-0.07779,5
32,51.46836,0.00267,5
33,51.52316,0.01227,5
34,51.47663,0.06352,5
35,51.46683,-0.05227,2
35,51.46683,-0.05227,5
36,51.52327,-0.14954,5
37,51.39343,-0.2532,5
38,51.52338,-0.07524,2
38,51.52338,-0.07524,5
39,51.43269,-0.45142,5
40,51.48571,-0.06434,5
41,51.41514,-0.21944,5
42,51.44482,-0.23994,5
43,51.41369,-0.11383,5
44,51.50807,-0.54175,5
44,51.50807,-0.54175,2
45,51.53415,-0.02674,5
46,51.54244,-0.23423,5
47,51.59349,0.00985,5
48,51.59327,-0.00088,5
49,51.45162,-0.05922,5
50,51.47948,0.02624,5
51,51.47941,0.00967,5
52,51.44711,-0.19878,5
53,51.5203,-0.10505,2
53,51.5203,-0.10505,5
53,51.5203,-0.10505,3
54,51.45016,-0.18172,5
55,51.45542,0.03979,5
56,51.58298,0.00419,5
57,51.44956,-0.47069,5
58,51.45106,0.04715,5
59,51.50671,-0.25198,5
60,51.49197,-0.06099,5
61,51.51461,-0.00836,5
62,51.48129,-0.13799,5
63,51.50056,-0.01903,5
63,51.50056,-0.01903,3
64,51.50536,-0.09834,5
65,51.56185,-0.0918,5
66,51.54927,-0.20617,5
67,51.48866,-0.15432,5
68,51.59946,0.01291,5
69,51.48018,-0.18964,5
70,51.41146,-0.17529,5
71,51.40336,-0.16589,5
72,51.52584,-0.48275,5
73,51.58991,-0.14596,5
74,51.52917,-0.10608,5
75,51.55126,-0.17589,5
76,51.53909,-0.2509,5
77,51.53622,-0.05975,5
78,51.535,-0.06607,5
79,51.45921,-0.05738,5
80,51.50441,-0.46031,5
81,51.54396,0.02614,5
82,51.47342,-0.09323,5
83,51.49797,-0.1257,5
84,51.46011,-0.12,5
85,51.48697,-0.25248,5
86,51.4434,-0.39492,5
87,51.43101,-0.30706,5
88,51.49762,-0.1674,5
89,51.51988,-0.25234,5
90,51.48611,-0.29965,5
91,51.42446,-0.08383,5
91,51.42446,-0.08383,2
92,51.39962,-0.26131,5
93,51.43184,-0.11535,5
94,51.46888,-0.42082,5
95,51.48098,-0.20161,5
96,51.52779,-0.4742,5
97,51.45112,-0.47454,5
98,51.52707,-0.0593,5
99,51.49905,-0.13081,5
100,51.42992,-0.16602,5
101,51.44981,-0.22278,5
102,51.4451,-0.00951,5
103,51.49948,-0.24044,5
104,51.46008,-0.04359,5
105,51.49285,-0.25327,5
106,51.48922,-0.14675,5
107,51.54618,-0.10376,2
107,51.54618,-0.10376,5
107,51.54618,-0.10376,3
108,51.47111,0.055,5
109,51.47441,0.01669,5
110,51.45414,-0.00853,5
111,51.45949,0.04741,5
112,51.40284,-0.22916,5
113,51.47711,-0.11244,5
114,51.45813,-0.19498,5
115,51.51382,-0.2494,5
116,51.52888,-0.27227,5
117,51.48537,-0.45381,5
118,51.45108,-0.06431,5
119,51.59074,-0.21294,5
120,51.54609,0.00582,2
120,51.54609,0.00582,5
121,51.5957,-0.14477,5
122,51.42846,-0.4226,5
123,51.6009,-0.00437,5
124,51.618,-0.17678,5
125,51.52331,0.04222,5
126,51.51104,-0.02089,5
127,51.50963,-0.57853,5
128,51.51686,0.03576,5
129,51.50842,-0.10445,5
130,51.47495,-0.18282,2
130,51.47495,-0.18282,5
130,51.47495,-0.18282,1
131,51.61839,-0.15904,5
132,51.39776,-0.15745,5
133,51.47793,-0.08261,5
134,51.4565,-0.44829,5
135,51.52826,-0.27715,5
136,51.50613,-0.03511,5
137,51.5138,-0.18811,5
138,51.50147,-0.29454,5
139,51.54336,-0.00608,4
139,51.54336,-0.00608,2
139,51.54336,-0.00608,3
139,51.54336,-0.00608,5
140,51.4516,-0.44106,5
141,51.43678,-0.03989,5
142,51.53685,0.02209,5
143,51.44486,-0.11151,5
144,51.53026,0.038,5
145,51.60093,-0.19252,5
145,51.60093,-0.19252,3
146,51.48891,-0.17632,5
147,51.483,-0.13367,5
148,51.43895,-0.03308,5
149,51.39427,-0.25539,5
150,51.45482,-0.20878,5
151,51.4826,-0.47641,5
152,51.40394,-0.11947,5
153,51.48019,-0.09433,5
154,51.52591,0.02934,5
