ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
15,64,2,2,9,2.871
15,64,2,2,9,2.871
15,64,2,2,9,2.871
15,64,2,2,9,2.871
15,64,2,2,9,2.871
15,64,2,2,9,2.871
64,15,2,2,6,2.871
64,15,2,2,6,2.871
64,15,2,2,6,2.871
64,15,2,2,6,2.871
64,15,2,2,6,2.871
64,15,2,2,6,2.871
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
64,69,2,2,4,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
69,64,2,2,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
64,69,4,4,5,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
69,64,4,4,10,2.328
1,21,5,5,1,0.342
1,62,5,5,1,0.299
2,5,5,5,2,0.903
2,227,5,5,2,1.165
3,4,5,5,1,0.064
3,234,5,5,3,1.802
3,270,5,5,1,0.212
4,73,5,5,3,1.151
4,285,5,5,1,0.383
5,2,5,5,2,0.903
5,280,5,5,1,0.29
5,283,5,5,1,0.312
6,6,5,5,1,0.0
6,37,5,5,1,0.35
6,41,5,5,1,0.52
6,88,5,5,2,0.933
7,15,5,5,1,0.609
7,15,5,5,1,0.609
7,310,5,5,1,0.126
7,311,5,5,1,0.119
8,308,5,5,1,0.173
8,309,5,5,1,0.165
8,326,5,5,1,0.158
9,95,5,5,1,0.308
9,115,5,5,1,0.077
10,42,5,5,1,0.5
10,81,5,5,1,0.682
11,235,5,5,3,1.582
11,236,5,5,2,1.574
11,270,5,5,2,0.705
11,271,5,5,2,0.714
12,55,5,5,1,0.466
12,174,5,5,1,0.754
12,217,5,5,1,0.845
12,233,5,5,1,0.317
13,64,5,5,10,0.924
13,64,5,5,10,0.924
13,64,5,5,10,0.924
13,105,5,5,1,0.175
13,138,5,5,1,0.218
13,196,5,5,2,0.395
14,110,5,5,1,0.211
14,111,5,5,1,0.181
14,186,5,5,1,0.342
14,300,5,5,1,0.428
15,7,5,5,1,0.609
15,7,5,5,1,0.609
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,69,5,5,1,1.034
15,69,5,5,1,1.034
15,69,5,5,1,1.034
15,69,5,5,1,1.034
15,69,5,5,1,1.034
15,69,5,5,1,1.034
15,84,5,5,4,1.934
15,84,5,5,4,1.934
15,209,5,5,1,1.246
15,209,5,5,1,1.246
15,212,5,5,1,0.388
15,212,5,5,1,0.388
15,276,5,5,1,0.558
15,276,5,5,1,0.558
15,296,5,5,1,0.41
15,296,5,5,1,0.41
15,322,5,5,1,0.41
15,322,5,5,1,0.41
15,333,5,5,1,0.477
15,333,5,5,1,0.477
16,88,5,5,1,0.257
16,177,5,5,1,0.276
16,279,5,5,1,0.183
16,295,5,5,3,0.585
17,44,5,5,1,0.457
17,195,5,5,1,0.268
17,216,5,5,1,0.494
17,218,5,5,1,0.584
18,18,5,5,1,0.0
18,25,5,5,2,0.316
18,208,5,5,1,0.255
19,19,5,5,1,0.0
19,21,5,5,1,0.409
19,64,5,5,1,0.711
19,64,5,5,1,0.711
19,64,5,5,1,0.711
19,185,5,5,1,0.398
19,256,5,5,1,0.137
20,68,5,5,1,0.605
20,71,5,5,1,0.372
21,1,5,5,1,0.342
21,19,5,5,1,0.409
21,21,5,5,1,0.0
21,47,5,5,1,0.257
21,62,5,5,1,0.641
22,58,5,5,1,0.264
22,61,5,5,1,0.154
22,284,5,5,1,0.243
23,72,5,5,1,0.885
23,133,5,5,3,1.286
23,162,5,5,1,0.569
23,168,5,5,1,0.384
24,13,5,5,1,0.546
24,49,5,5,1,0.25
24,302,5,5,1,0.337
25,18,5,5,1,0.316
25,59,5,5,1,0.216
26,68,5,5,1,0.393
26,175,5,5,1,0.263
26,183,5,5,1,0.234
27,20,5,5,1,0.318
27,36,5,5,2,0.134
28,85,5,5,1,0.228
28,252,5,5,1,0.154
28,320,5,5,1,0.394
29,30,5,5,2,0.522
29,223,5,5,1,1.333
30,29,5,5,2,0.522
30,32,5,5,1,0.956
31,223,5,5,1,0.229
31,224,5,5,1,0.274
32,30,5,5,1,0.956
32,33,5,5,1,0.68
33,5,5,5,1,0.407
33,32,5,5,1,0.68
33,193,5,5,1,0.427
33,194,5,5,1,0.229
33,228,5,5,1,0.162
34,68,5,5,1,0.123
34,96,5,5,1,0.201
35,62,5,5,1,0.301
35,78,5,5,1,0.191
36,27,5,5,1,0.134
36,145,5,5,1,0.314
37,6,5,5,1,0.35
37,88,5,5,1,0.698
37,178,5,5,1,0.391
38,222,5,5,1,0.18
38,303,5,5,3,0.821
39,259,5,5,1,0.285
39,261,5,5,1,0.43
40,54,5,5,1,0.543
40,61,5,5,1,0.785
40,70,5,5,1,1.119
40,166,5,5,1,0.691
40,253,5,5,1,0.282
41,6,5,5,1,0.52
41,80,5,5,1,0.25
41,293,5,5,1,0.674
41,294,5,5,1,0.669
42,10,5,5,1,0.5
43,168,5,5,1,0.721
43,227,5,5,1,0.344
44,17,5,5,1,0.457
44,60,5,5,1,0.753
44,216,5,5,1,0.28
44,218,5,5,1,0.217
45,46,5,5,1,0.278
45,57,5,5,1,0.222
45,93,5,5,1,0.409
46,45,5,5,1,0.278
46,47,5,5,1,0.307
46,301,5,5,2,0.176
47,21,5,5,1,0.257
47,46,5,5,1,0.307
48,50,5,5,1,0.072
48,92,5,5,1,0.257
48,207,5,5,1,0.192
49,24,5,5,1,0.25
49,50,5,5,1,0.199
50,48,5,5,1,0.072
50,49,5,5,1,0.199
50,98,5,5,1,0.15
50,207,5,5,1,0.166
51,249,5,5,1,0.285
51,263,5,5,1,0.167
52,132,5,5,1,0.464
53,16,5,5,1,0.319
53,125,5,5,1,0.317
54,40,5,5,1,0.543
54,54,5,5,1,0.0
54,70,5,5,2,1.454
54,158,5,5,1,0.477
54,166,5,5,1,0.259
55,12,5,5,1,0.466
55,219,5,5,1,0.311
56,131,5,5,1,0.301
56,209,5,5,1,0.287
57,45,5,5,1,0.222
57,203,5,5,1,0.23
58,22,5,5,1,0.264
58,220,5,5,1,0.108
59,25,5,5,1,0.216
59,277,5,5,1,0.142
60,44,5,5,1,0.753
60,112,5,5,1,0.333
60,114,5,5,1,0.524
60,187,5,5,1,0.149
61,22,5,5,1,0.154
61,40,5,5,1,0.785
61,61,5,5,2,0.0
61,70,5,5,1,0.333
61,74,5,5,2,0.841
61,86,5,5,2,0.969
62,1,5,5,1,0.299
62,21,5,5,1,0.641
62,35,5,5,1,0.301
63,84,5,5,1,0.387
63,184,5,5,1,0.349
63,255,5,5,1,0.146
64,13,5,5,5,0.924
64,13,5,5,5,0.924
64,13,5,5,5,0.924
64,19,5,5,1,0.711
64,19,5,5,1,0.711
64,19,5,5,1,0.711
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,64,5,5,1,0.0
64,70,5,5,2,1.987
64,70,5,5,2,1.987
64,70,5,5,2,1.987
64,71,5,5,5,2.581
64,71,5,5,5,2.581
64,71,5,5,5,2.581
64,74,5,5,1,1.615
64,74,5,5,1,1.615
64,74,5,5,1,1.615
64,84,5,5,3,0.989
64,84,5,5,3,0.989
64,84,5,5,3,0.989
64,89,5,5,1,0.655
64,89,5,5,1,0.655
64,89,5,5,1,0.655
64,90,5,5,1,0.842
64,90,5,5,1,0.842
64,90,5,5,1,0.842
64,102,5,5,1,0.927
64,102,5,5,1,0.927
64,102,5,5,1,0.927
64,185,5,5,1,0.324
64,185,5,5,1,0.324
64,185,5,5,1,0.324
64,330,5,5,2,0.249
64,330,5,5,2,0.249
64,330,5,5,2,0.249
65,191,5,5,1,0.292
65,323,5,5,1,0.254
66,67,5,5,1,0.3
66,325,5,5,1,0.203
67,66,5,5,1,0.3
67,324,5,5,1,0.252
68,20,5,5,1,0.605
68,182,5,5,1,0.217
68,187,5,5,1,0.162
69,15,5,5,1,1.034
69,15,5,5,1,1.034
69,15,5,5,1,1.034
69,15,5,5,1,1.034
69,15,5,5,1,1.034
69,15,5,5,1,1.034
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,69,5,5,1,0.0
69,86,5,5,2,1.67
69,86,5,5,2,1.67
69,86,5,5,2,1.67
69,192,5,5,2,0.832
69,192,5,5,2,0.832
69,192,5,5,2,0.832
69,204,5,5,1,0.403
69,204,5,5,1,0.403
69,204,5,5,1,0.403
69,296,5,5,1,0.628
69,296,5,5,1,0.628
69,296,5,5,1,0.628
69,308,5,5,1,0.464
69,308,5,5,1,0.464
69,308,5,5,1,0.464
69,309,5,5,1,0.47
69,309,5,5,1,0.47
69,309,5,5,1,0.47
70,40,5,5,1,1.119
70,54,5,5,3,1.454
70,61,5,5,1,0.333
70,64,5,5,4,1.987
70,64,5,5,4,1.987
70,64,5,5,4,1.987
70,70,5,5,1,0.0
70,74,5,5,1,0.511
70,229,5,5,1,0.354
70,231,5,5,1,0.171
71,20,5,5,1,0.372
71,35,5,5,1,0.541
71,64,5,5,5,2.581
71,64,5,5,5,2.581
71,64,5,5,5,2.581
71,68,5,5,3,0.977
71,78,5,5,1,0.35
71,97,5,5,1,0.409
71,202,5,5,1,0.339
71,271,5,5,8,4.065
72,23,5,5,1,0.885
72,77,5,5,1,0.712
72,82,5,5,1,0.556
73,39,5,5,2,0.545
73,260,5,5,1,0.401
73,288,5,5,1,0.49
74,61,5,5,2,0.841
74,64,5,5,3,1.615
74,64,5,5,3,1.615
74,64,5,5,3,1.615
74,70,5,5,1,0.511
74,74,5,5,1,0.0
74,76,5,5,4,0.265
74,142,5,5,1,0.792
74,232,5,5,1,0.42
75,118,5,5,1,0.062
75,136,5,5,1,0.272
76,74,5,5,2,0.265
76,142,5,5,1,0.53
76,230,5,5,1,0.174
77,72,5,5,1,0.712
77,141,5,5,1,0.973
78,35,5,5,1,0.191
78,71,5,5,1,0.35
79,109,5,5,2,0.663
79,300,5,5,2,0.217
80,41,5,5,1,0.25
80,135,5,5,1,0.089
80,298,5,5,1,0.276
81,10,5,5,2,0.682
81,82,5,5,2,0.062
82,72,5,5,1,0.556
82,81,5,5,1,0.062
82,142,5,5,3,2.24
82,173,5,5,1,0.075
83,87,5,5,1,0.154
83,278,5,5,1,0.121
84,63,5,5,1,0.387
84,64,5,5,3,0.989
84,64,5,5,3,0.989
84,64,5,5,3,0.989
84,84,5,5,3,0.0
84,150,5,5,3,0.441
84,151,5,5,1,0.438
85,28,5,5,1,0.228
85,86,5,5,1,0.197
85,94,5,5,2,0.248
86,61,5,5,2,0.969
86,69,5,5,2,1.67
86,69,5,5,2,1.67
86,69,5,5,2,1.67
86,85,5,5,1,0.197
86,86,5,5,1,0.0
86,94,5,5,1,0.38
86,221,5,5,2,0.575
86,248,5,5,1,0.223
87,83,5,5,1,0.154
87,150,5,5,1,0.358
88,6,5,5,2,0.933
88,16,5,5,1,0.257
88,37,5,5,1,0.698
88,178,5,5,1,0.332
89,74,5,5,1,1.061
89,102,5,5,1,0.555
89,104,5,5,1,0.519
90,74,5,5,1,0.793
90,91,5,5,1,0.379
90,169,5,5,1,0.305
91,64,5,5,1,0.624
91,64,5,5,1,0.624
91,64,5,5,1,0.624
92,85,5,5,1,0.226
92,86,5,5,1,0.362
93,108,5,5,2,0.363
94,48,5,5,1,0.236
95,57,5,5,1,0.232
96,36,5,5,1,0.29
97,27,5,5,1,0.267
98,171,5,5,1,0.859
99,317,5,5,1,0.075
100,64,5,5,2,1.019
100,64,5,5,2,1.019
100,64,5,5,2,1.019
101,9,5,5,1,0.073
102,13,5,5,1,0.405
102,106,5,5,1,0.198
103,91,5,5,1,0.61
104,265,5,5,1,0.11
105,196,5,5,1,0.22
106,13,5,5,1,0.207
107,45,5,5,1,0.494
108,107,5,5,1,0.289
109,140,5,5,1,0.341
110,15,5,5,1,1.332
110,15,5,5,1,1.332
110,116,5,5,1,0.143
110,335,5,5,3,1.116
111,114,5,5,1,0.391
111,186,5,5,1,0.184
112,14,5,5,1,0.181
112,110,5,5,1,0.292
113,112,5,5,1,0.35
113,186,5,5,1,0.364
114,101,5,5,1,0.399
115,113,5,5,1,0.449
116,56,5,5,1,0.237
116,186,5,5,2,0.56
117,75,5,5,1,0.092
117,148,5,5,2,0.282
118,119,5,5,1,0.498
119,147,5,5,1,0.209
120,181,5,5,1,0.4
121,33,5,5,1,0.167
122,69,5,5,2,0.736
122,69,5,5,2,0.736
122,69,5,5,2,0.736
122,204,5,5,1,0.463
123,293,5,5,1,0.306
123,331,5,5,1,0.119
124,336,5,5,1,0.213
125,235,5,5,2,0.763
126,137,5,5,1,0.17
127,238,5,5,1,0.127
128,127,5,5,1,0.222
129,128,5,5,1,0.208
130,129,5,5,1,0.232
131,18,5,5,1,0.335
132,23,5,5,2,1.118
132,168,5,5,1,1.2
133,52,5,5,1,0.31
134,121,5,5,1,0.111
135,291,5,5,1,0.303
136,5,5,5,1,0.216
137,130,5,5,1,0.188
138,24,5,5,1,0.335
139,314,5,5,2,0.349
140,211,5,5,1,0.724
140,275,5,5,1,0.176
140,329,5,5,1,0.984
141,76,5,5,1,0.533
142,74,5,5,1,0.792
142,77,5,5,1,0.976
142,82,5,5,3,2.24
143,91,5,5,1,0.422
143,169,5,5,1,0.402
143,170,5,5,1,0.192
144,22,5,5,1,0.314
145,34,5,5,1,0.182
146,117,5,5,1,0.603
147,159,5,5,1,0.3
148,100,5,5,2,1.737
149,82,5,5,1,0.078
150,84,5,5,1,0.441
150,184,5,5,1,1.132
151,87,5,5,1,0.353
151,211,5,5,1,0.794
151,328,5,5,1,0.42
152,98,5,5,1,1.019
152,207,5,5,1,0.926
153,65,5,5,1,0.285
154,155,5,5,1,0.213
155,156,5,5,1,0.177
156,157,5,5,1,0.209
157,126,5,5,1,0.153
158,146,5,5,1,0.191
159,40,5,5,1,0.466
159,54,5,5,2,0.409
160,149,5,5,1,0.231
161,23,5,5,1,0.581
162,164,5,5,1,0.136
163,161,5,5,1,0.118
164,160,5,5,1,0.254
165,40,5,5,1,0.681
165,54,5,5,1,0.243
166,167,5,5,1,0.254
167,23,5,5,1,0.392
167,43,5,5,1,0.72
167,133,5,5,1,1.381
168,165,5,5,1,0.27
169,64,5,5,1,0.553
169,64,5,5,1,0.553
169,64,5,5,1,0.553
170,64,5,5,2,0.773
170,64,5,5,2,0.773
170,64,5,5,2,0.773
171,118,5,5,1,0.269
171,120,5,5,1,0.208
172,51,5,5,1,0.146
173,163,5,5,1,0.439
174,242,5,5,1,0.333
174,246,5,5,1,0.205
175,26,5,5,1,0.263
175,282,5,5,1,0.164
176,26,5,5,1,0.321
177,198,5,5,1,0.265
178,199,5,5,1,0.24
179,177,5,5,1,0.379
180,306,5,5,1,0.265
181,280,5,5,1,0.133
182,26,5,5,1,0.183
183,20,5,5,2,0.775
183,34,5,5,1,0.29
183,112,5,5,1,0.253
183,187,5,5,1,0.094
184,15,5,5,3,2.643
184,15,5,5,3,2.643
184,64,5,5,1,0.321
184,64,5,5,1,0.321
184,64,5,5,1,0.321
185,63,5,5,1,0.351
185,64,5,5,1,0.324
185,64,5,5,1,0.324
185,64,5,5,1,0.324
185,184,5,5,1,0.009
186,60,5,5,1,0.159
186,68,5,5,1,0.165
186,182,5,5,1,0.207
187,112,5,5,1,0.185
188,197,5,5,1,0.185
189,188,5,5,1,0.183
190,40,5,5,1,0.604
190,61,5,5,1,0.185
191,122,5,5,1,0.313
191,192,5,5,1,0.339
192,121,5,5,1,0.454
192,134,5,5,1,0.343
193,122,5,5,1,0.29
193,153,5,5,1,0.466
194,266,5,5,1,0.239
195,71,5,5,1,0.252
196,64,5,5,3,0.932
196,64,5,5,3,0.932
196,64,5,5,3,0.932
196,90,5,5,1,0.323
197,178,5,5,1,0.382
198,201,5,5,1,0.194
199,53,5,5,1,0.288
200,290,5,5,1,0.191
201,281,5,5,1,0.235
202,17,5,5,1,0.173
203,9,5,5,1,0.305
204,48,5,5,2,0.657
204,206,5,5,1,0.458
205,69,5,5,1,0.364
205,69,5,5,1,0.364
205,69,5,5,1,0.364
206,48,5,5,1,0.199
206,50,5,5,1,0.18
206,92,5,5,2,0.453
206,98,5,5,1,0.15
206,100,5,5,1,0.901
207,205,5,5,1,0.505
208,56,5,5,1,0.381
209,14,5,5,1,0.297
209,186,5,5,1,0.54
210,150,5,5,1,0.783
211,215,5,5,1,0.17
212,214,5,5,1,0.249
213,15,5,5,1,0.353
213,15,5,5,1,0.353
213,296,5,5,1,0.202
214,210,5,5,1,0.168
215,213,5,5,1,0.263
216,12,5,5,1,0.824
217,17,5,5,1,0.479
217,44,5,5,1,0.249
218,55,5,5,1,0.334
219,17,5,5,1,0.612
219,44,5,5,1,0.239
220,251,5,5,1,0.529
221,58,5,5,1,0.103
222,29,5,5,1,1.341
222,31,5,5,1,0.219
223,38,5,5,1,0.173
224,226,5,5,1,0.608
