nodeid,lat,lon,layer
1,52.46255,1.74075,5
2,52.50194,1.72389,5
3,52.4196,1.70599,5
4,52.41904,1.70622,5
5,52.49415,1.72,5
6,52.45577,1.687,5
7,52.46507,1.70326,5
8,52.47867,1.70645,5
9,52.46045,1.72272,5
10,52.52104,1.73981,5
11,52.42265,1.69939,5
12,52.43866,1.72234,5
13,52.4817,1.74298,5
14,52.45592,1.70993,5
15,52.46975,1.70798,5
15,52.46975,1.70798,2
16,52.448,1.69502,5
17,52.44996,1.728,5
18,52.46434,1.71769,5
19,52.46861,1.74545,5
20,52.45387,1.72555,5
21,52.4651,1.74359,5
22,52.494,1.74103,5
23,52.50937,1.73598,5
24,52.483,1.73518,5
25,52.4656,1.72189,5
26,52.45224,1.7114,5
27,52.45127,1.72357,5
28,52.48893,1.73245,5
29,52.50577,1.70104,5
30,52.50124,1.70313,5
31,52.51566,1.70833,5
32,52.49353,1.70943,5
33,52.49063,1.7183,5
34,52.45363,1.71839,5
35,52.45825,1.73546,5
36,52.45019,1.72266,5
37,52.45264,1.68765,5
38,52.51877,1.70533,5
39,52.42049,1.72016,5
40,52.49851,1.73427,5
41,52.45863,1.6931,5
42,52.52537,1.73774,5
43,52.51041,1.72285,5
44,52.44782,1.72223,5
45,52.4639,1.73135,5
46,52.4646,1.73531,5
47,52.46468,1.73985,5
48,52.48344,1.72836,5
49,52.48283,1.73149,5
50,52.4828,1.72854,5
51,52.48524,1.74547,5
52,52.52111,1.72523,5
53,52.4459,1.6918,5
54,52.50333,1.73569,5
55,52.44286,1.72271,5
56,52.45902,1.7143,5
57,52.46381,1.72806,5
58,52.49162,1.74105,5
59,52.46742,1.72305,5
60,52.45325,1.71555,5
61,52.49407,1.74332,5
62,52.4602,1.73857,5
63,52.4707,1.74228,5
64,52.47446,1.74973,5
64,52.47446,1.74973,2
64,52.47446,1.74973,4
65,52.48362,1.70971,5
66,52.48123,1.69939,5
67,52.48341,1.70203,5
68,52.45383,1.7166,5
69,52.47778,1.71573,2
69,52.47778,1.71573,5
69,52.47778,1.71573,4
70,52.4923,1.74731,5
71,52.45419,1.73103,5
72,52.51112,1.74877,5
73,52.41576,1.72235,5
74,52.48892,1.75246,5
75,52.49379,1.72557,5
76,52.4913,1.75283,5
77,52.50482,1.75081,5
78,52.45681,1.73391,5
79,52.45752,1.7074,5
80,52.45915,1.69671,5
81,52.51653,1.74668,5
82,52.51597,1.7467,5
83,52.46837,1.7266,5
84,52.47058,1.73655,5
85,52.48688,1.73271,5
86,52.4867,1.73562,5
87,52.46965,1.72572,5
88,52.44998,1.697,5
89,52.47947,1.75485,5
90,52.48178,1.75299,5
91,52.47877,1.75566,5
92,52.48518,1.73087,5
93,52.46094,1.72774,5
94,52.48499,1.73075,5
95,52.46286,1.72499,5
96,52.45194,1.71946,5
97,52.45349,1.72509,5
98,52.48366,1.72681,5
99,52.49442,1.73329,5
100,52.47646,1.73502,5
101,52.45994,1.72203,5
102,52.48279,1.74871,5
103,52.48319,1.75028,5
104,52.48317,1.75015,5
105,52.48228,1.7454,5
106,52.48235,1.74586,5
107,52.46042,1.72678,5
108,52.45787,1.72586,5
109,52.46346,1.70848,5
110,52.45782,1.71013,5
111,52.45574,1.71259,5
112,52.45564,1.71257,5
113,52.45746,1.7168,5
