ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
26,97,2,2,3,4.103
26,97,2,2,3,4.103
26,97,2,2,3,4.103
26,97,2,2,3,4.103
97,26,2,2,4,4.103
97,26,2,2,4,4.103
97,26,2,2,4,4.103
97,26,2,2,4,4.103
1,97,5,5,1,0.516
1,97,5,5,1,0.516
1,119,5,5,1,0.378
1,156,5,5,1,0.382
1,170,5,5,1,0.193
2,11,5,5,2,0.596
2,111,5,5,1,0.274
3,38,5,5,1,0.329
3,55,5,5,1,0.378
3,134,5,5,1,0.316
4,97,5,5,1,0.762
4,97,5,5,1,0.762
4,106,5,5,1,0.141
5,24,5,5,1,0.31
5,28,5,5,1,0.325
5,136,5,5,1,0.246
6,82,5,5,3,1.019
6,125,5,5,1,0.396
7,82,5,5,1,0.291
7,125,5,5,2,1.061
8,9,5,5,1,0.37
8,97,5,5,1,0.658
8,97,5,5,1,0.658
8,206,5,5,1,0.325
9,8,5,5,1,0.37
9,42,5,5,1,0.458
9,92,5,5,2,0.458
9,180,5,5,1,0.212
10,84,5,5,3,1.022
10,139,5,5,1,0.345
10,144,5,5,1,0.276
11,2,5,5,2,0.596
11,50,5,5,1,0.263
11,187,5,5,2,0.669
12,67,5,5,3,0.433
12,174,5,5,1,0.29
13,48,5,5,2,0.902
13,72,5,5,1,0.095
13,76,5,5,1,0.51
13,97,5,5,6,2.662
13,97,5,5,6,2.662
13,146,5,5,1,0.1
14,67,5,5,2,0.449
14,97,5,5,1,0.613
14,97,5,5,1,0.613
15,121,5,5,1,0.588
15,122,5,5,1,0.258
16,29,5,5,1,0.253
17,25,5,5,1,0.196
17,102,5,5,1,0.293
18,71,5,5,1,0.359
18,135,5,5,2,0.568
19,24,5,5,1,0.582
19,109,5,5,1,0.219
20,45,5,5,1,0.2
20,129,5,5,1,0.255
21,22,5,5,1,0.494
21,102,5,5,2,0.842
21,172,5,5,1,0.573
22,21,5,5,1,0.494
22,23,5,5,1,0.424
23,22,5,5,1,0.424
23,78,5,5,1,0.212
24,5,5,5,1,0.31
24,112,5,5,1,0.195
24,132,5,5,1,0.518
24,161,5,5,1,0.335
25,17,5,5,1,0.196
25,29,5,5,1,0.395
26,26,5,5,1,0.0
26,26,5,5,1,0.0
26,26,5,5,1,0.0
26,26,5,5,1,0.0
26,30,5,5,1,0.655
26,30,5,5,1,0.655
26,198,5,5,2,0.528
26,198,5,5,2,0.528
27,36,5,5,1,0.571
27,81,5,5,1,0.434
28,5,5,5,1,0.325
