nodeid,lat,lon,layer
1,53.26369,-2.11853,5
2,53.26976,-2.15101,5
3,53.29216,-2.11412,5
4,53.26315,-2.13096,5
5,53.26275,-2.1596,5
6,53.30592,-2.08305,5
7,53.30054,-2.0894,5
8,53.26434,-2.12676,5
9,53.26749,-2.12859,5
10,53.28891,-2.12079,5
11,53.26742,-2.14292,5
12,53.2577,-2.11238,5
13,53.23555,-2.12618,5
14,53.25821,-2.11235,5
15,53.23639,-2.15909,5
16,53.28279,-2.07281,5
17,53.27726,-2.08103,5
18,53.26419,-2.17175,5
19,53.26322,-2.16727,5
20,53.25539,-2.15051,5
21,53.27171,-2.09367,5
22,53.26971,-2.10033,5
23,53.26693,-2.10471,5
24,53.26554,-2.15941,5
25,53.27892,-2.08,5
26,53.2934,-2.14548,5
26,53.2934,-2.14548,2
27,53.22294,-2.17241,5
28,53.25995,-2.16103,5
29,53.28099,-2.07516,5
30,53.2888,-2.15168,5
31,53.26024,-2.19291,5
32,53.25936,-2.16737,5
33,53.25954,-2.18322,5
34,53.21672,-2.17902,5
35,53.21415,-2.18198,5
36,53.22805,-2.17135,5
37,53.23609,-2.1099,5
38,53.29396,-2.11017,5
39,53.24815,-2.12226,5
40,53.23863,-2.10337,5
41,53.2406,-2.09028,5
42,53.27157,-2.12753,5
43,53.25917,-2.17685,5
44,53.26006,-2.14925,5
45,53.25364,-2.15128,5
46,53.29754,-2.10524,5
47,53.26311,-2.1413,5
48,53.23503,-2.11262,5
49,53.29593,-2.10854,5
50,53.26848,-2.13937,5
51,53.27991,-2.15292,5
52,53.2481,-2.14495,5
53,53.24807,-2.14843,5
54,53.25115,-2.14156,5
55,53.29165,-2.11976,5
56,53.25732,-2.15728,5
57,53.29319,-2.10347,5
58,53.25021,-2.12116,5
59,53.23184,-2.17005,5
60,53.25816,-2.15076,5
61,53.2909,-2.09816,5
62,53.26327,-2.14526,5
63,53.2631,-2.13784,5
64,53.27544,-2.12655,5
65,53.26368,-2.15039,5
66,53.27716,-2.12095,5
67,53.25671,-2.10607,5
68,53.27262,-2.15757,5
69,53.27432,-2.15744,5
70,53.25332,-2.13325,5
71,53.26176,-2.16818,5
72,53.23492,-2.12715,5
73,53.25262,-2.15056,5
74,53.25967,-2.13134,5
75,53.23913,-2.09807,5
76,53.24014,-2.1266,5
77,53.24221,-2.15037,5
78,53.266,-2.1075,5
79,53.25542,-2.16219,5
80,53.24814,-2.1435,5
81,53.21928,-2.17473,5
82,53.29866,-2.09247,5
83,53.28231,-2.12104,5
84,53.28045,-2.12687,5
85,53.28436,-2.12441,5
86,53.24568,-2.14625,5
87,53.27826,-2.12787,5
88,53.2515,-2.1435,5
89,53.25303,-2.13335,5
90,53.28848,-2.11429,5
91,53.29081,-2.11236,5
92,53.27141,-2.12642,5
93,53.28918,-2.1178,5
94,53.27331,-2.12244,5
95,53.2931,-2.09903,5
96,53.27454,-2.12556,5
97,53.25936,-2.12138,5
97,53.25936,-2.12138,2
98,53.26266,-2.21708,5
99,53.24841,-2.11913,5
100,53.29642,-2.13637,5
101,53.24547,-2.12413,5
102,53.27468,-2.082,5
103,53.27413,-2.12763,5
104,53.23537,-2.11971,5
105,53.23324,-2.1274,5
106,53.2643,-2.13189,5
107,53.25335,-2.11835,5
108,53.25786,-2.13182,5
109,53.26454,-2.16973,5
110,53.25822,-2.1623,5
111,53.26781,-2.15354,5
112,53.26721,-2.1585,5
113,53.28089,-2.12893,5
114,53.24405,-2.12546,5
115,53.25547,-2.15835,5
116,53.29803,-2.0963,5
117,53.29824,-2.09922,5
118,53.25368,-2.12955,5
119,53.26472,-2.11309,5
120,53.25925,-2.1723,5
121,53.23342,-2.16643,5
122,53.2381,-2.15646,5
123,53.25259,-2.13744,5
124,53.23986,-2.09524,5
125,53.30947,-2.08369,5
126,53.26015,-2.15586,5
127,53.26025,-2.1339,5
128,53.25979,-2.1397,5
129,53.25765,-2.14978,5
130,53.27843,-2.12484,5
131,53.25208,-2.12131,5
132,53.2702,-2.15984,5
133,53.25278,-2.16105,5
134,53.29349,-2.1099,5
135,53.26704,-2.17886,5
136,53.26358,-2.15616,5
137,53.27342,-2.13303,5
138,53.26722,-2.13635,5
139,53.28602,-2.12272,5
140,53.27619,-2.13584,5
141,53.31066,-2.08954,5
142,53.25954,-2.16171,5
143,53.24912,-2.12306,5
144,53.29139,-2.12113,5
145,53.29823,-2.10334,5
146,53.23543,-2.12468,5
147,53.25256,-2.16026,5
148,53.25049,-2.15975,5
149,53.25037,-2.15446,5
150,53.26099,-2.20568,5
151,53.24612,-2.12611,5
152,53.24719,-2.12797,5
153,53.24268,-2.12844,5
154,53.2546,-2.12514,5
155,53.2585,-2.16133,5
156,53.26317,-2.12422,5
157,53.26629,-2.10867,5
158,53.25403,-2.12074,5
159,53.26147,-2.12926,5
160,53.27079,-2.11681,5
161,53.26347,-2.16309,5
162,53.26287,-2.16472,5
163,53.23912,-2.11056,5
164,53.23938,-2.10971,5
165,53.23872,-2.10572,5
166,53.26835,-2.1135,5
167,53.26998,-2.11136,5
168,53.26681,-2.11109,5
169,53.26738,-2.1114,5
170,53.26488,-2.1164,5
171,53.2695,-2.11636,5
172,53.27261,-2.08516,5
173,53.29167,-2.11826,5
174,53.25528,-2.11405,5
175,53.25299,-2.11618,5
176,53.29396,-2.09914,5
177,53.24597,-2.12879,5
178,53.26232,-2.12251,5
179,53.28532,-2.15141,5
180,53.26939,-2.12816,5
181,53.25977,-2.14352,5
182,53.25692,-2.10234,5
183,53.284,-2.12279,5
184,53.25781,-2.10237,5
185,53.23494,-2.16307,5
186,53.24894,-2.14849,5
187,53.27058,-2.15151,5
188,53.2726,-2.15538,5
189,53.25328,-2.15869,5
190,53.28115,-2.12101,5
191,53.24535,-2.12554,5
192,53.25069,-2.12278,5
193,53.23887,-2.1068,5
194,53.2555,-2.12221,5
195,53.24282,-2.13124,5
196,53.25768,-2.15615,5
197,53.25742,-2.1586,5
198,53.29728,-2.15009,5
199,53.27277,-2.11328,5
200,53.27144,-2.11402,5
201,53.26887,-2.16,5
202,53.26353,-2.13793,5
203,53.26629,-2.14426,5
204,53.24786,-2.15531,5
205,53.24928,-2.15464,5
206,53.26141,-2.12689,5
207,53.26041,-2.16576,5
208,53.26318,-2.17093,5
