ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,10,2,2,4,4.787
2,10,2,2,4,4.787
2,10,2,2,4,4.787
2,10,2,2,4,4.787
4,13,2,2,5,3.915
4,13,2,2,5,3.915
4,13,2,2,5,3.915
4,13,2,2,5,3.915
4,13,2,2,5,3.915
4,13,2,2,5,3.915
5,13,2,2,5,4.631
5,13,2,2,5,4.631
5,13,2,2,5,4.631
5,13,2,2,5,4.631
5,13,2,2,5,4.631
5,13,2,2,5,4.631
5,271,2,2,2,1.513
5,271,2,2,2,1.513
6,7,2,2,2,1.03
6,7,2,2,2,1.03
6,7,2,2,2,1.03
6,7,2,2,2,1.03
6,10,2,2,4,1.849
6,10,2,2,4,1.849
6,10,2,2,4,1.849
6,10,2,2,4,1.849
7,6,2,2,2,1.03
7,6,2,2,2,1.03
7,6,2,2,2,1.03
7,6,2,2,2,1.03
7,12,2,2,4,1.407
7,12,2,2,4,1.407
7,12,2,2,4,1.407
7,12,2,2,4,1.407
8,12,2,2,4,3.662
8,12,2,2,4,3.662
8,12,2,2,4,3.662
8,12,2,2,4,3.662
8,17,2,2,3,2.65
8,17,2,2,3,2.65
8,17,2,2,3,2.65
8,17,2,2,3,2.65
10,2,2,2,4,4.787
10,2,2,2,4,4.787
10,2,2,2,4,4.787
10,2,2,2,4,4.787
10,6,2,2,4,1.849
10,6,2,2,4,1.849
10,6,2,2,4,1.849
10,6,2,2,4,1.849
12,7,2,2,4,1.407
12,7,2,2,4,1.407
12,7,2,2,4,1.407
12,7,2,2,4,1.407
12,8,2,2,4,3.662
12,8,2,2,4,3.662
12,8,2,2,4,3.662
12,8,2,2,4,3.662
13,4,2,2,5,3.915
13,4,2,2,5,3.915
13,4,2,2,5,3.915
13,4,2,2,5,3.915
13,4,2,2,5,3.915
13,4,2,2,5,3.915
13,5,2,2,5,4.631
13,5,2,2,5,4.631
13,5,2,2,5,4.631
13,5,2,2,5,4.631
13,5,2,2,5,4.631
13,5,2,2,5,4.631
13,15,2,2,2,0.903
13,15,2,2,2,0.903
13,15,2,2,2,0.903
13,15,2,2,2,0.903
13,15,2,2,2,0.903
13,15,2,2,2,0.903
13,20,2,2,5,3.043
13,20,2,2,5,3.043
13,20,2,2,5,3.043
13,20,2,2,5,3.043
13,20,2,2,5,3.043
13,20,2,2,5,3.043
13,22,2,2,7,7.299
13,22,2,2,7,7.299
13,22,2,2,7,7.299
13,22,2,2,7,7.299
13,22,2,2,7,7.299
13,22,2,2,7,7.299
15,13,2,2,2,0.903
15,13,2,2,2,0.903
15,13,2,2,2,0.903
15,13,2,2,2,0.903
15,13,2,2,2,0.903
15,13,2,2,2,0.903
15,21,2,2,3,2.74
15,21,2,2,3,2.74
15,21,2,2,3,2.74
15,21,2,2,3,2.74
17,8,2,2,3,2.65
17,8,2,2,3,2.65
17,8,2,2,3,2.65
17,8,2,2,3,2.65
17,53,2,2,3,2.481
17,53,2,2,3,2.481
20,13,2,2,4,3.043
20,13,2,2,4,3.043
20,13,2,2,4,3.043
20,13,2,2,4,3.043
20,13,2,2,4,3.043
20,13,2,2,4,3.043
20,22,2,2,4,4.261
20,22,2,2,4,4.261
20,22,2,2,4,4.261
20,22,2,2,4,4.261
20,23,2,2,3,2.757
20,23,2,2,3,2.757
20,23,2,2,3,2.757
20,23,2,2,3,2.757
21,15,2,2,4,2.74
21,15,2,2,4,2.74
21,15,2,2,4,2.74
21,15,2,2,4,2.74
22,13,2,2,7,7.299
22,13,2,2,7,7.299
22,13,2,2,7,7.299
22,13,2,2,7,7.299
22,13,2,2,7,7.299
22,13,2,2,7,7.299
22,23,2,2,3,1.589
22,23,2,2,3,1.589
22,23,2,2,3,1.589
22,23,2,2,3,1.589
23,20,2,2,3,2.757
23,20,2,2,3,2.757
23,20,2,2,3,2.757
23,20,2,2,3,2.757
23,22,2,2,2,1.589
23,22,2,2,2,1.589
23,22,2,2,2,1.589
23,22,2,2,2,1.589
53,17,2,2,3,2.481
53,17,2,2,3,2.481
53,271,2,2,3,1.968
271,5,2,2,2,1.513
271,5,2,2,2,1.513
271,53,2,2,3,1.968
1,1,5,5,1,0.0
1,26,5,5,1,0.442
1,193,5,5,1,0.485
1,352,5,5,1,0.258
1,662,5,5,1,0.257
1,684,5,5,2,0.82
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,18,5,5,1,0.662
2,18,5,5,1,0.662
2,99,5,5,3,1.03
2,99,5,5,3,1.03
2,337,5,5,3,0.854
2,337,5,5,3,0.854
2,425,5,5,1,0.537
2,425,5,5,1,0.537
2,460,5,5,1,0.277
2,460,5,5,1,0.277
2,1422,5,5,1,0.56
2,1422,5,5,1,0.56
3,342,5,5,2,1.747
3,572,5,5,1,0.891
3,762,5,5,3,0.853
3,1390,5,5,3,1.098
3,1418,5,5,1,0.379
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,455,5,5,1,0.386
4,455,5,5,1,0.386
4,476,5,5,1,0.59
4,476,5,5,1,0.59
5,77,5,5,1,0.273
5,77,5,5,1,0.273
5,806,5,5,5,0.819
5,806,5,5,5,0.819
6,6,5,5,1,0.0
6,6,5,5,1,0.0
