nodeid,lat,lon,layer
1,51.37267,0.5596,5
2,51.3663,0.61135,5
2,51.3663,0.61135,2
3,51.30696,0.42195,5
4,51.27582,0.57759,2
4,51.27582,0.57759,5
5,51.30132,0.46618,2
5,51.30132,0.46618,5
6,51.38289,0.52454,5
6,51.38289,0.52454,2
7,51.38555,0.51029,2
7,51.38555,0.51029,5
8,51.37393,0.46171,2
8,51.37393,0.46171,5
9,51.33684,0.4456,5
10,51.38672,0.55051,5
10,51.38672,0.55051,2
11,51.29191,0.48373,5
12,51.39655,0.50019,5
12,51.39655,0.50019,2
13,51.27783,0.5213,5
13,51.27783,0.5213,2
13,51.27783,0.5213,4
14,51.27525,0.49807,5
15,51.27046,0.51578,2
15,51.27046,0.51578,5
16,51.27254,0.52668,5
17,51.35248,0.44494,2
17,51.35248,0.44494,5
18,51.36464,0.60217,5
19,51.29841,0.41974,5
20,51.28489,0.47896,2
20,51.28489,0.47896,5
21,51.25523,0.48473,2
21,51.25523,0.48473,5
22,51.29202,0.41866,5
22,51.29202,0.41866,2
23,51.28581,0.43928,2
23,51.28581,0.43928,5
24,51.36778,0.58535,5
25,51.40253,0.47901,5
26,51.37355,0.55337,5
27,51.27906,0.55201,5
28,51.39269,0.54965,5
29,51.41168,0.50893,5
30,51.26036,0.50819,5
31,51.29972,0.42393,5
32,51.25797,0.54904,5
33,51.38344,0.52367,5
34,51.30034,0.49991,5
35,51.3456,0.56997,5
36,51.34755,0.57008,5
37,51.35837,0.54334,5
38,51.34562,0.56987,5
39,51.3522,0.57087,5
40,51.35313,0.57225,5
41,51.34791,0.57045,5
42,51.3519,0.57091,5
43,51.35959,0.54365,5
44,51.34989,0.56888,5
45,51.2886,0.51251,5
46,51.26441,0.51154,5
47,51.29967,0.44913,5
48,51.27488,0.55187,5
49,51.24732,0.55533,5
50,51.3228,0.43907,5
51,51.31084,0.43635,5
52,51.24459,0.55214,5
53,51.33023,0.44825,2
54,51.22766,0.58952,5
55,51.26644,0.47644,5
56,51.29391,0.42583,5
57,51.26363,0.47036,5
58,51.33664,0.44296,5
59,51.3514,0.45893,5
60,51.35951,0.51487,5
61,51.36167,0.51743,5
62,51.35854,0.51072,5
63,51.3593,0.51448,5
64,51.35985,0.50974,5
65,51.36169,0.50985,5
66,51.35731,0.50974,5
67,51.36217,0.51802,5
68,51.36431,0.51867,5
69,51.25503,0.52917,5
70,51.35787,0.54268,5
71,51.29626,0.46601,5
72,51.38112,0.50213,5
73,51.38206,0.50797,5
74,51.28579,0.53245,5
75,51.34434,0.52511,5
76,51.26471,0.49565,5
77,51.30088,0.47006,5
78,51.26048,0.52232,5
79,51.26151,0.51664,5
80,51.26769,0.47157,5
81,51.26772,0.4718,5
82,51.33725,0.50677,5
83,51.31118,0.44423,5
84,51.30981,0.44687,5
85,51.4077,0.49158,5
86,51.40767,0.49141,5
87,51.401,0.48091,5
88,51.4068,0.4877,5
89,51.40708,0.48794,5
90,51.40482,0.48284,5
91,51.4057,0.48457,5
92,51.26569,0.59659,5
93,51.26069,0.53539,5
94,51.33104,0.44306,5
95,51.26787,0.48999,5
96,51.36645,0.52202,5
97,51.33133,0.50475,5
98,51.37329,0.54222,5
99,51.35895,0.60228,5
100,51.37916,0.56699,5
101,51.35168,0.50877,5
102,51.27505,0.55142,5
103,51.29863,0.42154,5
104,51.34041,0.58726,5
105,51.34096,0.58766,5
106,51.33967,0.59198,5
107,51.33941,0.59184,5
108,51.34144,0.59513,5
109,51.34127,0.59512,5
110,51.34315,0.59774,5
111,51.34298,0.59744,5
112,51.34321,0.60056,5
113,51.34399,0.59948,5
114,51.29166,0.43815,5
115,51.26104,0.53539,5
116,51.36867,0.51984,5
117,51.25745,0.50355,5
118,51.24923,0.56021,5
119,51.27561,0.52033,5
120,51.35119,0.57515,5
121,51.35315,0.57197,5
122,51.35312,0.58483,5
123,51.35305,0.58164,5
124,51.35505,0.58453,5
125,51.35329,0.58468,5
126,51.34614,0.57443,5
127,51.35045,0.57493,5
128,51.35298,0.5812,5
129,51.34492,0.57452,5
130,51.26836,0.56603,5
131,51.28788,0.49031,5
132,51.24737,0.55556,5
133,51.30834,0.51428,5
134,51.25396,0.55211,5
135,51.35837,0.45956,5
136,51.35832,0.45925,5
137,51.26507,0.49177,5
138,51.24332,0.55125,5
139,51.40139,0.47397,5
140,51.28686,0.40191,5
141,51.35097,0.4586,5
142,51.23653,0.58511,5
143,51.29419,0.47205,5
144,51.32922,0.54706,5
145,51.27922,0.54047,5
146,51.27694,0.50485,5
147,51.26026,0.53826,5
148,51.38978,0.50569,5
149,51.39046,0.5007,5
150,51.39063,0.53702,5
151,51.39097,0.53629,5
152,51.38851,0.54476,5
153,51.38749,0.52487,5
154,51.39138,0.52684,5
155,51.31232,0.4275,5
156,51.37298,0.62946,5
157,51.27017,0.52913,5
158,51.3789,0.54761,5
159,51.23044,0.50489,5
160,51.30356,0.42875,5
161,51.34005,0.5248,5
162,51.34046,0.5253,5
163,51.34249,0.52591,5
164,51.34221,0.52552,5
165,51.34464,0.53037,5
166,51.26219,0.51693,5
167,51.26008,0.56623,5
168,51.26228,0.51275,5
169,51.27224,0.52107,5
170,51.34536,0.58879,5
171,51.34292,0.58899,5
172,51.35193,0.59062,5
173,51.34913,0.58881,5
174,51.34887,0.58891,5
175,51.3463,0.58861,5
176,51.35298,0.592,5
177,51.35294,0.59163,5
178,51.28282,0.50049,5
179,51.31354,0.51251,5
180,51.37344,0.59506,5
181,51.34457,0.53042,5
182,51.34692,0.53352,5
183,51.25915,0.5419,5
184,51.22952,0.52598,5
185,51.32821,0.54814,5
186,51.35622,0.58628,5
187,51.35656,0.5861,5
188,51.35767,0.58606,5
