ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
4,5,2,2,5,5.382
4,5,2,2,5,5.382
4,5,2,2,5,5.382
4,5,2,2,5,5.382
4,5,2,2,5,5.382
4,5,2,2,5,5.382
4,8,2,2,4,2.598
4,8,2,2,4,2.598
4,8,2,2,4,2.598
4,8,2,2,4,2.598
4,8,2,2,4,2.598
4,8,2,2,4,2.598
5,4,2,2,5,5.382
5,4,2,2,5,5.382
5,4,2,2,5,5.382
5,4,2,2,5,5.382
5,4,2,2,5,5.382
5,4,2,2,5,5.382
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,8,2,2,3,2.786
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
5,12,2,2,5,4.861
6,12,2,2,5,2.898
6,12,2,2,5,2.898
6,12,2,2,5,2.898
6,12,2,2,5,2.898
6,12,2,2,5,2.898
6,12,2,2,5,2.898
6,13,2,2,3,1.466
6,13,2,2,3,1.466
6,13,2,2,3,1.466
6,13,2,2,3,1.466
6,13,2,2,3,1.466
6,13,2,2,3,1.466
8,4,2,2,3,2.598
8,4,2,2,3,2.598
8,4,2,2,3,2.598
8,4,2,2,3,2.598
8,4,2,2,3,2.598
8,4,2,2,3,2.598
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
8,5,2,2,3,2.786
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,5,2,2,4,4.861
12,6,2,2,5,2.898
12,6,2,2,5,2.898
