nodeid,lat,lon,layer
1,51.3908,1.40116,4
1,51.3908,1.40116,5
2,51.36133,1.4221,5
3,51.38127,1.41384,4
3,51.38127,1.41384,5
4,51.3775,1.30142,2
4,51.3775,1.30142,5
5,51.38704,1.37758,2
5,51.38704,1.37758,5
5,51.38704,1.37758,4
6,51.34103,1.40606,2
6,51.34103,1.40606,5
7,51.38595,1.40878,4
7,51.38595,1.40878,5
8,51.38145,1.33838,5
8,51.38145,1.33838,2
8,51.38145,1.33838,4
9,51.32925,1.36595,5
10,51.37389,1.3074,4
10,51.37389,1.3074,5
11,51.32723,1.41412,5
12,51.36068,1.43358,5
12,51.36068,1.43358,2
12,51.36068,1.43358,4
13,51.34571,1.42584,4
13,51.34571,1.42584,2
13,51.34571,1.42584,5
14,51.33775,1.42312,5
15,51.33217,1.42036,4
15,51.33217,1.42036,5
16,51.36747,1.42357,4
16,51.36747,1.42357,5
17,51.35018,1.40063,5
18,51.38399,1.36277,5
19,51.33494,1.39287,5
20,51.36923,1.30024,5
21,51.37643,1.40262,5
22,51.37797,1.28901,5
23,51.35773,1.40879,5
24,51.34517,1.395,5
25,51.36563,1.41866,5
26,51.34392,1.43085,5
27,51.38027,1.38961,5
28,51.38728,1.38453,5
29,51.3919,1.39115,5
30,51.35147,1.43913,5
31,51.35848,1.43922,5
32,51.38126,1.39841,5
33,51.35337,1.40127,5
34,51.33833,1.42694,5
35,51.33578,1.39013,5
36,51.3664,1.30775,5
37,51.3787,1.40056,5
38,51.34627,1.39179,5
39,51.33202,1.41489,5
40,51.38024,1.34368,5
41,51.38307,1.34183,5
42,51.36013,1.40641,5
43,51.3711,1.30185,5
44,51.37436,1.41785,5
45,51.37772,1.29237,5
46,51.38295,1.40604,5
47,51.3408,1.40116,5
48,51.35765,1.40643,5
49,51.36053,1.41939,5
50,51.33087,1.41067,5
51,51.36826,1.2987,5
52,51.38055,1.4027,5
53,51.34353,1.43056,5
54,51.33235,1.41888,5
55,51.37656,1.31425,5
56,51.38434,1.42671,5
57,51.38308,1.42521,5
58,51.37054,1.42592,5
59,51.37461,1.41795,5
60,51.33791,1.40409,5
61,51.34592,1.39262,5
62,51.34231,1.39979,5
63,51.34123,1.41193,5
64,51.38699,1.41945,5
65,51.34508,1.39877,5
66,51.3308,1.41097,5
67,51.3506,1.40405,5
68,51.35752,1.40885,5
69,51.37055,1.30186,5
70,51.34236,1.39991,5
71,51.36149,1.41273,5
72,51.38514,1.42319,5
73,51.33213,1.40662,5
74,51.38307,1.35877,5
75,51.38212,1.41027,5
76,51.36156,1.41839,5
77,51.33765,1.40315,5
78,51.38897,1.42502,5
79,51.35806,1.41156,5
80,51.37031,1.30941,5
81,51.33007,1.39976,5
82,51.39071,1.41339,5
83,51.33487,1.42331,5
84,51.3359,1.42196,5
85,51.33474,1.42318,5
86,51.34659,1.39863,5
87,51.35162,1.42767,5
88,51.37764,1.31759,5
89,51.36983,1.40581,5
90,51.38752,1.39833,5
91,51.36107,1.41124,5
92,51.38481,1.42285,5
93,51.34522,1.39857,5
94,51.34446,1.39841,5
95,51.33626,1.40498,5
96,51.36808,1.43163,5
97,51.38097,1.39315,5
98,51.38217,1.40966,5
99,51.37597,1.41084,5
100,51.34738,1.42285,5
101,51.35777,1.41453,5
102,51.36362,1.42337,5
103,51.36344,1.29169,5
104,51.34764,1.40655,5
105,51.34062,1.40137,5
106,51.3828,1.35433,5
107,51.33019,1.39731,5
108,51.37257,1.38884,5
109,51.33419,1.42054,5
110,51.38671,1.4018,5
111,51.35644,1.43871,5
112,51.36474,1.41891,5
113,51.37013,1.43383,5
114,51.3773,1.39254,5
115,51.36282,1.39467,5
116,51.38573,1.383,5
117,51.3562,1.40389,5
118,51.38007,1.35604,5
119,51.38956,1.39116,5
120,51.36083,1.44289,5
121,51.36092,1.41023,5
122,51.33559,1.40001,5
123,51.33599,1.40005,5
124,51.36259,1.4154,5
125,51.36281,1.41546,5
126,51.36138,1.41287,5
127,51.3374,1.42107,5
128,51.37241,1.32599,5
129,51.39188,1.39215,5
130,51.3636,1.29164,5
131,51.36279,1.42744,5
132,51.36136,1.42915,5
133,51.36112,1.42958,5
134,51.35695,1.39813,5
135,51.33,1.3996,5
136,51.35407,1.40352,5
137,51.38142,1.36043,5
138,51.3884,1.39473,5
139,51.35399,1.43148,5
140,51.35866,1.44215,5
141,51.34625,1.38935,5
142,51.34807,1.42815,5
143,51.32553,1.36564,5
144,51.37352,1.32694,5
145,51.33617,1.3679,5
146,51.39208,1.38922,5
147,51.33044,1.40783,5
148,51.35631,1.41792,5
149,51.35497,1.42537,5
150,51.35596,1.4211,5
151,51.35482,1.42538,5
152,51.36823,1.2984,5
153,51.38764,1.38368,5
154,51.37598,1.38872,5
155,51.38704,1.39196,5
156,51.35361,1.44013,5
157,51.36079,1.4103,5
158,51.35909,1.39793,5
159,51.35858,1.40625,5
160,51.33112,1.39237,5
161,51.35761,1.40676,5
162,51.37872,1.33204,5
163,51.38963,1.39132,5
164,51.36528,1.44329,5
165,51.33997,1.42564,5
166,51.33304,1.42387,5
167,51.33033,1.37224,5
168,51.38018,1.38965,5
169,51.37111,1.30246,5
170,51.3787,1.41279,5
171,51.38669,1.42388,5
172,51.35765,1.41399,5
173,51.33275,1.41743,5
174,51.33328,1.39407,5
175,51.3563,1.40446,5
176,51.37181,1.41855,5
177,51.38653,1.38787,5
178,51.38999,1.38698,5
179,51.37475,1.4289,5
180,51.36244,1.44253,5
181,51.34711,1.38647,5
182,51.34284,1.42699,5
183,51.33822,1.42702,5
184,51.33325,1.39416,5
185,51.34895,1.39741,5
186,51.3338,1.4243,5
187,51.3765,1.33083,5
188,51.33031,1.37293,5
189,51.37939,1.40974,5
190,51.38852,1.42677,5
191,51.34954,1.40338,5
192,51.33267,1.41823,5
193,51.3752,1.42922,5
194,51.35893,1.407,5
195,51.35907,1.40682,5
196,51.3473,1.42308,5
197,51.38431,1.38335,5
198,51.36941,1.42284,5
199,51.38307,1.34545,5
200,51.38662,1.38787,5
201,51.36339,1.44272,5
202,51.34871,1.3911,5
203,51.385,1.36746,5
204,51.36026,1.39462,5
205,51.36033,1.3946,5
206,51.32902,1.37253,5
207,51.34748,1.40313,5
208,51.36474,1.42998,5
209,51.35857,1.39605,5
210,51.37977,1.40757,5
211,51.33188,1.41454,5
212,51.38409,1.38065,5
213,51.33057,1.39955,5
214,51.38039,1.4197,5
215,51.37038,1.42547,5
216,51.36338,1.41691,5
217,51.38453,1.39578,5
218,51.35684,1.41707,5
219,51.37462,1.38755,5
220,51.34291,1.40067,5
221,51.34654,1.40374,5
222,51.35924,1.39778,5
223,51.36432,1.4147,5
224,51.38043,1.40469,5
225,51.33847,1.40578,5
226,51.33908,1.41354,5
227,51.37865,1.38304,5
228,51.35755,1.39774,5
229,51.37661,1.33081,5
230,51.38115,1.42846,5
231,51.3793,1.28443,5
232,51.37329,1.42738,5
233,51.38338,1.36323,5
234,51.38693,1.3918,5
235,51.38653,1.42929,5
