ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
62,199,2,2,7,4.666
62,199,2,2,7,4.666
62,199,2,2,7,4.666
62,199,2,2,7,4.666
71,368,2,2,8,7.997
71,368,2,2,8,7.997
71,368,2,2,8,7.997
71,368,2,2,8,7.997
109,137,2,2,2,1.769
109,137,2,2,2,1.769
109,137,2,2,2,1.769
109,137,2,2,2,1.769
109,364,2,2,2,0.848
109,364,2,2,2,0.848
109,364,2,2,2,0.848
109,364,2,2,2,0.848
137,109,2,2,3,1.769
137,109,2,2,3,1.769
137,109,2,2,3,1.769
137,109,2,2,3,1.769
137,571,2,2,6,4.508
137,571,2,2,6,4.508
137,571,2,2,6,4.508
137,571,2,2,6,4.508
137,571,2,2,6,4.508
137,571,2,2,6,4.508
138,267,2,2,1,1.076
138,267,2,2,1,1.076
138,267,2,2,1,1.076
138,267,2,2,1,1.076
166,571,2,2,5,3.771
166,571,2,2,5,3.771
166,571,2,2,5,3.771
166,571,2,2,5,3.771
166,571,2,2,5,3.771
166,571,2,2,5,3.771
199,62,2,2,7,4.666
199,62,2,2,7,4.666
199,62,2,2,7,4.666
199,62,2,2,7,4.666
199,368,2,2,4,1.66
199,368,2,2,4,1.66
199,368,2,2,4,1.66
199,368,2,2,4,1.66
267,138,2,2,2,1.076
267,138,2,2,2,1.076
267,138,2,2,2,1.076
267,138,2,2,2,1.076
267,368,2,2,5,4.532
267,368,2,2,5,4.532
267,368,2,2,5,4.532
267,368,2,2,5,4.532
364,109,2,2,2,0.848
364,109,2,2,2,0.848
364,109,2,2,2,0.848
364,109,2,2,2,0.848
368,71,2,2,7,7.997
368,71,2,2,7,7.997
368,71,2,2,7,7.997
368,71,2,2,7,7.997
368,199,2,2,4,1.66
368,199,2,2,4,1.66
368,199,2,2,4,1.66
368,199,2,2,4,1.66
368,267,2,2,5,4.532
368,267,2,2,5,4.532
368,267,2,2,5,4.532
368,267,2,2,5,4.532
368,571,2,2,5,4.824
368,571,2,2,5,4.824
368,571,2,2,5,4.824
368,571,2,2,5,4.824
368,571,2,2,5,4.824
368,571,2,2,5,4.824
571,137,2,2,5,4.508
571,137,2,2,5,4.508
571,137,2,2,5,4.508
571,137,2,2,5,4.508
571,137,2,2,5,4.508
571,137,2,2,5,4.508
571,166,2,2,4,3.771
571,166,2,2,4,3.771
571,166,2,2,4,3.771
571,166,2,2,4,3.771
571,166,2,2,4,3.771
571,166,2,2,4,3.771
571,368,2,2,5,4.824
571,368,2,2,5,4.824
571,368,2,2,5,4.824
571,368,2,2,5,4.824
571,368,2,2,5,4.824
571,368,2,2,5,4.824
299,571,4,4,14,5.392
299,571,4,4,14,5.392
299,571,4,4,14,5.392
299,571,4,4,14,5.392
299,571,4,4,14,5.392
299,571,4,4,14,5.392
299,702,4,4,10,5.521
299,702,4,4,10,5.521
299,702,4,4,10,5.521
299,702,4,4,10,5.521
470,299,4,4,10,5.82
470,299,4,4,10,5.82
470,299,4,4,10,5.82
470,299,4,4,10,5.82
571,299,4,4,10,5.392
571,299,4,4,10,5.392
571,299,4,4,10,5.392
571,299,4,4,10,5.392
571,299,4,4,10,5.392
571,299,4,4,10,5.392
571,766,4,4,15,5.385
571,766,4,4,15,5.385
571,766,4,4,15,5.385
571,766,4,4,15,5.385
571,766,4,4,15,5.385
571,766,4,4,15,5.385
766,571,4,4,15,5.385
766,571,4,4,15,5.385
766,571,4,4,15,5.385
766,571,4,4,15,5.385
766,571,4,4,15,5.385
766,571,4,4,15,5.385
1,2,5,5,1,0.281
1,10,5,5,1,0.21
2,1,5,5,1,0.281
2,110,5,5,1,0.175
3,110,5,5,1,0.196
3,520,5,5,1,0.218
4,74,5,5,1,0.44
4,274,5,5,1,0.466
5,236,5,5,1,0.191
5,237,5,5,1,0.212
6,234,5,5,1,0.148
6,458,5,5,1,0.252
7,10,5,5,1,0.138
7,37,5,5,1,0.171
8,31,5,5,1,0.302
8,394,5,5,1,0.386
9,461,5,5,1,0.343
9,533,5,5,1,0.388
10,1,5,5,1,0.21
10,7,5,5,1,0.138
11,14,5,5,2,0.691
11,243,5,5,1,0.401
12,243,5,5,1,0.367
12,524,5,5,1,0.25
13,384,5,5,1,0.46
13,588,5,5,1,0.322
13,703,5,5,1,0.24
14,11,5,5,2,0.691
14,244,5,5,1,0.93
14,298,5,5,6,1.861
15,611,5,5,1,0.457
15,612,5,5,1,0.506
15,620,5,5,1,0.201
16,17,5,5,1,0.303
16,421,5,5,1,0.267
16,485,5,5,1,0.498
16,486,5,5,1,0.325
17,16,5,5,1,0.303
17,17,5,5,1,0.0
17,20,5,5,1,0.29
17,198,5,5,1,0.34
17,422,5,5,1,0.247
18,19,5,5,1,0.367
18,21,5,5,1,0.444
19,18,5,5,1,0.367
19,19,5,5,1,0.0
19,137,5,5,1,0.831
19,137,5,5,1,0.831
19,161,5,5,1,0.179
19,563,5,5,1,0.479
20,17,5,5,1,0.29
20,21,5,5,1,0.256
20,24,5,5,2,0.58
20,198,5,5,1,0.149
21,18,5,5,1,0.444
21,20,5,5,1,0.256
21,21,5,5,1,0.0
21,24,5,5,1,0.347
21,198,5,5,1,0.279
22,25,5,5,1,0.28
22,543,5,5,1,0.562
22,564,5,5,1,0.21
22,751,5,5,1,0.178
23,527,5,5,1,0.605
23,564,5,5,1,0.251
24,21,5,5,1,0.347
24,25,5,5,1,0.291
25,22,5,5,1,0.28
25,24,5,5,1,0.291
26,28,5,5,1,0.205
26,589,5,5,1,1.292
26,706,5,5,1,0.247
27,28,5,5,2,0.348
27,158,5,5,1,0.189
27,551,5,5,1,0.49
27,552,5,5,1,0.242
28,26,5,5,1,0.205
28,27,5,5,1,0.348
28,30,5,5,1,0.502
28,157,5,5,1,0.204
28,158,5,5,1,0.165
29,62,5,5,1,0.708
29,62,5,5,1,0.708
29,258,5,5,1,0.315
29,707,5,5,1,0.273
30,28,5,5,1,0.502
30,157,5,5,1,0.3
30,195,5,5,1,0.152
30,255,5,5,1,0.189
31,8,5,5,1,0.302
31,44,5,5,1,0.222
32,33,5,5,1,0.376
32,199,5,5,1,0.76
32,199,5,5,1,0.76
33,32,5,5,1,0.376
33,34,5,5,1,0.357
33,433,5,5,1,0.376
34,33,5,5,1,0.357
34,75,5,5,4,1.831
34,261,5,5,3,2.101
34,311,5,5,1,0.373
34,535,5,5,6,0.622
35,274,5,5,1,0.315
35,391,5,5,3,0.559
35,397,5,5,1,0.489
36,37,5,5,1,0.312
36,432,5,5,1,0.383
37,7,5,5,1,0.171
37,36,5,5,1,0.312
37,199,5,5,1,0.592
37,199,5,5,1,0.592
38,39,5,5,1,0.343
38,63,5,5,1,0.276
38,737,5,5,1,0.2
39,38,5,5,1,0.343
39,272,5,5,1,0.43
40,63,5,5,1,0.364
40,688,5,5,1,0.48
40,737,5,5,1,0.387
40,749,5,5,1,0.382
41,81,5,5,1,0.248
41,395,5,5,1,0.385
42,268,5,5,1,0.497
42,275,5,5,1,0.373
42,479,5,5,1,0.657
42,504,5,5,3,1.385
43,257,5,5,1,0.502
43,295,5,5,1,0.176
44,31,5,5,1,0.222
44,194,5,5,1,0.391
45,576,5,5,1,0.156
45,717,5,5,1,0.241
46,101,5,5,1,0.161
46,410,5,5,1,0.348
47,126,5,5,1,0.632
47,469,5,5,1,0.267
47,476,5,5,1,0.218
48,49,5,5,1,0.173
48,51,5,5,1,0.36
49,48,5,5,1,0.173
49,203,5,5,1,0.273
50,51,5,5,1,0.199
50,193,5,5,1,0.34
50,205,5,5,1,0.418
51,48,5,5,1,0.36
51,50,5,5,1,0.199
51,193,5,5,1,0.254
51,204,5,5,1,0.6
52,52,5,5,1,0.0
52,53,5,5,1,0.269
52,416,5,5,1,0.357
52,444,5,5,1,0.348
52,482,5,5,1,0.269
52,584,5,5,1,0.28
53,52,5,5,1,0.269
53,54,5,5,1,0.248
54,53,5,5,1,0.248
54,55,5,5,1,0.3
55,54,5,5,1,0.3
55,56,5,5,1,0.279
56,55,5,5,1,0.279
56,56,5,5,1,0.0
56,57,5,5,1,0.206
56,211,5,5,2,0.699
56,609,5,5,1,0.247
57,56,5,5,1,0.206
57,58,5,5,1,0.228
57,441,5,5,1,0.505
58,57,5,5,1,0.228
58,59,5,5,1,0.312
59,58,5,5,1,0.312
59,60,5,5,1,0.19
60,59,5,5,1,0.19
60,61,5,5,1,0.206
61,60,5,5,1,0.206
61,320,5,5,1,0.213
62,29,5,5,1,0.708
62,29,5,5,1,0.708
62,62,5,5,1,0.0
62,62,5,5,1,0.0
62,62,5,5,1,0.0
62,62,5,5,1,0.0
62,136,5,5,1,0.581
62,136,5,5,1,0.581
62,176,5,5,1,0.499
62,176,5,5,1,0.499
62,331,5,5,1,0.593
62,331,5,5,1,0.593
62,547,5,5,1,0.532
62,547,5,5,1,0.532
62,674,5,5,1,0.442
62,674,5,5,1,0.442
63,38,5,5,1,0.276
63,40,5,5,1,0.364
63,63,5,5,1,0.0
63,65,5,5,2,0.752
63,66,5,5,1,0.292
63,271,5,5,2,1.33
63,571,5,5,12,4.697
63,571,5,5,12,4.697
63,571,5,5,12,4.697
63,737,5,5,1,0.079
64,66,5,5,1,0.216
64,456,5,5,1,0.19
65,63,5,5,2,0.752
65,64,5,5,2,0.561
65,66,5,5,1,0.472
65,68,5,5,1,0.461
65,226,5,5,1,0.993
65,454,5,5,1,0.215
66,63,5,5,1,0.292
66,64,5,5,2,0.216
66,65,5,5,1,0.472
66,737,5,5,1,0.371
67,223,5,5,1,0.601
67,293,5,5,1,0.596
68,65,5,5,1,0.461
68,226,5,5,1,0.535
68,603,5,5,1,0.42
69,70,5,5,1,0.243
69,223,5,5,2,0.603
69,316,5,5,2,1.101
70,69,5,5,1,0.243
70,292,5,5,1,0.447
71,625,5,5,1,0.304
71,625,5,5,1,0.304
