nodeid,lat,lon,layer
1,54.57731,-1.32392,5
2,54.57976,-1.32507,5
3,54.58185,-1.32603,5
4,54.58213,-1.32879,5
5,54.58193,-1.35918,5
6,54.58521,-1.35905,5
7,54.57498,-1.32353,5
8,54.5679,-1.36998,5
9,54.59,-1.35426,5
10,54.57581,-1.32192,5
11,54.552,-1.31562,5
12,54.55876,-1.31796,5
13,54.51192,-1.32044,5
14,54.54617,-1.3194,5
15,54.52533,-1.31875,5
16,54.55486,-1.22094,5
17,54.55253,-1.21848,5
18,54.54419,-1.21358,5
19,54.54145,-1.21039,5
20,54.54995,-1.21773,5
21,54.54768,-1.21695,5
22,54.5399,-1.21622,5
23,54.53804,-1.21778,5
24,54.54477,-1.21895,5
25,54.54237,-1.2171,5
26,54.59904,-1.29287,5
27,54.6013,-1.29699,5
28,54.59824,-1.29576,5
29,54.59956,-1.28323,5
30,54.59432,-1.29185,5
31,54.57059,-1.3707,5
32,54.5701,-1.33075,5
33,54.57117,-1.3363,5
34,54.57439,-1.33617,5
35,54.58295,-1.33947,5
36,54.57603,-1.32886,5
37,54.57397,-1.32554,5
38,54.54825,-1.17908,5
39,54.54541,-1.17697,5
40,54.55166,-1.17564,5
41,54.58525,-1.33645,5
42,54.57729,-1.27256,5
43,54.58912,-1.26902,5
44,54.57106,-1.36734,5
45,54.55723,-1.34618,5
46,54.54719,-1.29931,5
47,54.52222,-1.30677,5
48,54.56194,-1.35923,5
49,54.56248,-1.36176,5
50,54.56483,-1.35387,5
51,54.56491,-1.35696,5
52,54.55505,-1.24585,5
53,54.55483,-1.25002,5
54,54.55434,-1.25378,5
55,54.55415,-1.25844,5
56,54.55341,-1.26259,5
57,54.55524,-1.26199,5
58,54.5559,-1.25862,5
59,54.55608,-1.25378,5
60,54.55645,-1.25089,5
61,54.55694,-1.24779,5
62,54.60561,-1.27972,2
62,54.60561,-1.27972,5
63,54.5505,-1.18093,5
64,54.55382,-1.17917,5
65,54.5564,-1.18668,5
66,54.55302,-1.18223,5
67,54.5701,-1.18843,5
68,54.56011,-1.1899,5
69,54.5736,-1.19982,5
70,54.57386,-1.19606,5
71,54.49377,-1.35309,5
71,54.49377,-1.35309,2
