nodeid,lat,lon,layer
1,52.0343,-0.77414,2
1,52.0343,-0.77414,5
2,52.05042,-0.73918,4
2,52.05042,-0.73918,5
3,52.00164,-0.73969,5
4,52.00431,-0.69607,2
4,52.00431,-0.69607,5
5,51.9999,-0.71767,5
5,51.9999,-0.71767,2
6,52.0415,-0.75588,5
7,52.04414,-0.75129,5
8,52.03911,-0.76292,5
9,52.03715,-0.76755,5
10,52.02127,-0.74606,5
11,52.02125,-0.63233,2
11,52.02125,-0.63233,5
12,51.99534,-0.73632,2
12,51.99534,-0.73632,5
13,52.06428,-0.80688,2
13,52.06428,-0.80688,5
14,52.01816,-0.65408,5
14,52.01816,-0.65408,2
15,52.00903,-0.77205,5
16,52.00887,-0.77144,5
17,52.03208,-0.74681,5
18,52.0211,-0.80658,5
19,52.02105,-0.80668,5
20,52.08886,-0.74344,5
21,51.9956,-0.74709,5
22,51.99577,-0.74739,5
23,52.05005,-0.78131,5
24,52.05433,-0.80686,5
25,52.00231,-0.79433,5
26,51.9912,-0.75365,5
27,51.99128,-0.75343,5
28,52.08473,-0.72849,5
29,52.05128,-0.83754,5
30,52.05144,-0.83762,5
31,52.0609,-0.7469,5
32,52.06032,-0.7463,5
33,52.01682,-0.73274,5
34,52.02694,-0.78695,5
35,52.03344,-0.70081,5
36,52.08234,-0.74095,5
37,52.08445,-0.73516,5
38,51.99009,-0.72178,5
39,52.02715,-0.69076,5
40,52.02724,-0.69038,5
41,52.01151,-0.75218,5
42,52.01131,-0.75294,5
43,52.05183,-0.79083,5
44,52.05198,-0.79152,5
45,52.05064,-0.8003,5
46,52.05033,-0.80095,5
47,51.99248,-0.74346,5
48,52.02459,-0.75703,5
49,52.08526,-0.7309,5
50,52.06528,-0.74224,5
51,52.06588,-0.74139,5
52,52.00199,-0.71578,5
53,52.00177,-0.71559,5
54,52.01788,-0.74665,5
55,52.0217,-0.72606,5
56,52.0567,-0.82403,5
57,52.05429,-0.81804,5
58,52.0777,-0.75363,5
59,52.03216,-0.74451,5
60,52.08735,-0.73861,5
61,51.9945,-0.74485,5
62,52.05056,-0.78109,5
63,51.99698,-0.74645,5
64,52.00284,-0.74202,5
65,52.00079,-0.74412,5
66,51.99602,-0.72282,5
67,51.99531,-0.72685,5
68,52.02089,-0.77586,5
69,52.02093,-0.77579,5
70,52.04964,-0.69187,5
71,52.0596,-0.78548,5
72,52.05763,-0.78565,5
73,51.98446,-0.72905,5
74,52.04013,-0.80241,5
75,52.04316,-0.80338,5
76,51.9993,-0.75173,5
77,52.00088,-0.75047,5
78,52.018,-0.72519,5
79,52.01637,-0.72242,5
80,51.98947,-0.7234,5
81,52.03092,-0.74486,5
82,52.01142,-0.64093,5
83,52.01148,-0.64115,5
84,51.98943,-0.76946,5
85,52.02852,-0.75308,5
86,52.02846,-0.75279,5
87,52.01796,-0.69563,5
88,52.01803,-0.6957,5
89,52.03319,-0.74025,5
90,52.01566,-0.80657,5
91,52.02239,-0.72593,5
92,52.06638,-0.76205,5
93,52.06241,-0.81908,5
94,52.06214,-0.82339,5
95,52.06269,-0.81498,5
96,52.05356,-0.84636,5
97,52.05421,-0.848,5
98,52.05316,-0.81048,5
99,52.0533,-0.81064,5
100,52.05002,-0.69398,5
101,52.02469,-0.73416,5
102,52.00561,-0.74968,5
103,52.00634,-0.74985,5
104,52.04004,-0.80207,5
105,52.04342,-0.8032,5
106,52.05625,-0.78762,5
107,52.0564,-0.78802,5
108,52.08228,-0.74024,5
109,51.99208,-0.76373,5
110,52.016,-0.69922,5
111,52.0138,-0.69632,5
112,52.02374,-0.67777,5
113,52.0237,-0.67843,5
114,52.02422,-0.68001,5
115,52.08238,-0.7419,5
116,52.03687,-0.79854,5
117,52.03486,-0.8027,5
118,52.03497,-0.80287,5
119,52.00369,-0.77855,5
120,52.00364,-0.77878,5
121,52.02595,-0.80346,5
122,52.02583,-0.80344,5
123,51.99767,-0.75038,5
124,51.99761,-0.75006,5
125,52.00372,-0.76281,5
126,52.04803,-0.70889,5
127,52.04818,-0.70935,5
128,51.99465,-0.75935,5
129,52.03608,-0.68981,5
130,52.0506,-0.83544,5
131,52.03218,-0.79038,5
132,52.03491,-0.78735,5
133,52.03349,-0.80236,5
134,52.03159,-0.79779,5
135,51.98867,-0.75708,5
136,51.98747,-0.75835,5
137,52.00197,-0.72628,5
138,52.05111,-0.81742,5
139,52.05024,-0.69417,5
140,52.0346,-0.75033,5
141,52.03407,-0.75126,5
142,51.99609,-0.75946,5
143,51.99618,-0.75942,5
144,52.07825,-0.72941,5
145,52.02489,-0.68908,5
146,52.02468,-0.68942,5
147,52.0657,-0.79314,5
148,52.03933,-0.72908,5
149,52.03923,-0.72894,5
150,52.06093,-0.76192,5
151,52.02731,-0.80735,5
152,52.02738,-0.80729,5
153,51.98318,-0.72249,5
154,51.98111,-0.72505,5
155,52.08596,-0.7256,5
156,52.04648,-0.7777,5
157,52.08872,-0.7435,5
158,51.99468,-0.71889,5
159,51.99218,-0.72047,5
160,51.97782,-0.72922,5
161,51.98105,-0.72686,5
162,51.98161,-0.72951,5
163,52.03688,-0.79906,5
164,51.99938,-0.76322,5
165,51.99945,-0.76335,5
166,52.00695,-0.71492,5
167,52.00539,-0.79562,5
168,52.00157,-0.79494,5
169,52.05159,-0.78467,5
170,52.06727,-0.74011,5
171,52.03231,-0.69419,5
172,52.0325,-0.69798,5
173,52.03219,-0.69417,5
174,52.03256,-0.69785,5
175,52.03618,-0.73694,5
176,52.0575,-0.79631,5
177,52.05814,-0.79114,5
178,52.05799,-0.7911,5
179,52.02641,-0.78716,5
