ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,3,2,2,6,3.393
1,3,2,2,6,3.393
1,3,2,2,6,3.393
1,3,2,2,6,3.393
1,5,2,2,4,2.262
1,5,2,2,4,2.262
1,5,2,2,4,2.262
1,5,2,2,4,2.262
1,5,2,2,4,2.262
1,5,2,2,4,2.262
1,6,2,2,9,7.408
1,6,2,2,9,7.408
1,6,2,2,9,7.408
1,6,2,2,9,7.408
1,6,2,2,9,7.408
1,6,2,2,9,7.408
3,1,2,2,5,3.393
3,1,2,2,5,3.393
3,1,2,2,5,3.393
3,1,2,2,5,3.393
3,6,2,2,8,9.318
3,6,2,2,8,9.318
3,6,2,2,8,9.318
3,6,2,2,8,9.318
3,6,2,2,8,9.318
3,6,2,2,8,9.318
5,1,2,2,4,2.262
5,1,2,2,4,2.262
5,1,2,2,4,2.262
5,1,2,2,4,2.262
5,1,2,2,4,2.262
5,1,2,2,4,2.262
5,533,2,2,15,5.018
5,533,2,2,15,5.018
5,533,2,2,15,5.018
6,3,2,2,8,9.318
6,3,2,2,8,9.318
6,3,2,2,8,9.318
6,3,2,2,8,9.318
6,3,2,2,8,9.318
6,3,2,2,8,9.318
533,5,2,2,10,5.018
533,5,2,2,10,5.018
533,5,2,2,10,5.018
2,5,4,4,15,4.988
2,5,4,4,15,4.988
2,5,4,4,15,4.988
2,5,4,4,15,4.988
2,5,4,4,15,4.988
2,5,4,4,15,4.988
2,487,4,4,10,4.565
2,487,4,4,10,4.565
2,487,4,4,10,4.565
2,487,4,4,10,4.565
4,5,4,4,10,6.236
4,5,4,4,10,6.236
4,5,4,4,10,6.236
4,5,4,4,10,6.236
4,5,4,4,10,6.236
4,5,4,4,10,6.236
4,6,4,4,5,3.148
4,6,4,4,5,3.148
4,6,4,4,5,3.148
4,6,4,4,5,3.148
4,6,4,4,5,3.148
4,6,4,4,5,3.148
5,2,4,4,15,4.988
5,2,4,4,15,4.988
5,2,4,4,15,4.988
5,2,4,4,15,4.988
5,2,4,4,15,4.988
5,2,4,4,15,4.988
5,4,4,4,10,6.236
5,4,4,4,10,6.236
5,4,4,4,10,6.236
5,4,4,4,10,6.236
5,4,4,4,10,6.236
5,4,4,4,10,6.236
6,4,4,4,5,3.148
6,4,4,4,5,3.148
6,4,4,4,5,3.148
6,4,4,4,5,3.148
6,4,4,4,5,3.148
6,4,4,4,5,3.148
155,181,4,4,12,4.484
155,181,4,4,12,4.484
181,488,4,4,12,4.444
