nodeid,lat,lon,layer
1,54.07455,-2.83533,5
1,54.07455,-2.83533,2
2,54.05039,-2.80071,4
2,54.05039,-2.80071,5
3,54.04856,-2.80791,5
3,54.04856,-2.80791,2
4,54.10442,-2.79318,4
4,54.10442,-2.79318,5
5,54.07033,-2.86931,4
5,54.07033,-2.86931,2
5,54.07033,-2.86931,5
6,54.12969,-2.77123,4
6,54.12969,-2.77123,2
6,54.12969,-2.77123,5
7,54.02538,-2.79148,5
8,54.02706,-2.79088,5
9,54.03167,-2.78265,5
10,54.03054,-2.78487,5
11,54.02749,-2.79214,5
12,54.04755,-2.79417,5
13,54.06664,-2.83049,5
14,54.06497,-2.87859,5
15,54.06569,-2.87995,5
16,54.05698,-2.81666,5
17,54.03478,-2.7952,5
18,54.13391,-2.77074,5
19,54.03102,-2.91063,5
20,54.12097,-2.76057,5
21,54.12095,-2.76404,5
22,54.12317,-2.76465,5
23,54.12307,-2.76454,5
24,54.12586,-2.76282,5
25,54.12843,-2.76664,5
26,54.12959,-2.76647,5
27,54.08772,-2.81703,5
28,54.06637,-2.83191,5
29,54.06602,-2.88031,5
30,54.06381,-2.87614,5
31,54.06679,-2.83024,5
32,54.07262,-2.78438,5
33,54.0004,-2.79222,5
34,54.02878,-2.79524,5
35,54.03722,-2.79546,5
36,54.1004,-2.79381,5
37,54.03829,-2.89851,5
38,54.03558,-2.89715,5
39,54.06457,-2.84335,5
40,54.07646,-2.8595,5
41,54.06371,-2.87624,5
42,54.06468,-2.87779,5
43,54.02941,-2.79229,5
44,54.04149,-2.77555,5
45,54.03857,-2.77322,5
46,54.04883,-2.77659,5
47,54.0585,-2.82213,5
48,54.02556,-2.79139,5
49,54.07496,-2.80165,5
50,54.06685,-2.87408,5
51,54.05959,-2.88476,5
52,54.0666,-2.88055,5
53,54.04658,-2.80121,5
54,54.06474,-2.83528,5
55,54.05685,-2.81904,5
56,54.07154,-2.86426,5
57,54.0714,-2.86126,5
58,54.06968,-2.87631,5
59,54.06513,-2.85852,5
60,54.04829,-2.8867,5
61,54.05034,-2.88673,5
62,54.04021,-2.89861,5
63,54.02122,-2.88158,5
64,54.04565,-2.89589,5
65,54.04328,-2.89617,5
66,54.04587,-2.89334,5
67,54.04559,-2.89251,5
68,54.09374,-2.79605,5
69,54.08687,-2.80008,5
70,54.09331,-2.79597,5
71,54.08727,-2.80993,5
72,54.08219,-2.80665,5
73,54.05561,-2.81503,5
74,54.06014,-2.80791,5
75,54.06015,-2.83793,5
76,54.05846,-2.83348,5
77,54.06252,-2.84427,5
78,54.05992,-2.83688,5
79,54.06024,-2.81165,5
80,54.06047,-2.81153,5
81,54.057,-2.83016,5
82,54.05663,-2.81112,5
83,54.04802,-2.78155,5
84,54.06285,-2.88749,5
85,54.05106,-2.88687,5
86,54.07139,-2.87521,5
87,54.07031,-2.87343,5
88,54.07358,-2.86529,5
89,54.00944,-2.78249,5
90,54.00368,-2.79043,5
91,54.00302,-2.78782,5
92,54.0066,-2.78697,5
93,54.06977,-2.85395,5
94,54.06055,-2.88971,5
95,54.06457,-2.84952,5
96,54.02809,-2.80571,5
97,54.05543,-2.79156,5
98,54.09845,-2.79954,5
99,54.0947,-2.80596,5
100,54.09486,-2.80511,5
101,54.06809,-2.87823,5
102,54.07153,-2.86099,5
103,54.0714,-2.86089,5
104,54.07341,-2.85797,5
105,54.03798,-2.78961,5
