ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,4,2,2,12,13.304
2,16,2,2,11,12.773
2,16,2,2,11,12.773
2,16,2,2,11,12.773
2,16,2,2,11,12.773
2,16,2,2,11,12.773
2,16,2,2,11,12.773
2,25,2,2,7,9.873
2,25,2,2,7,9.873
2,25,2,2,7,9.873
2,25,2,2,7,9.873
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,2,2,2,11,13.304
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,8,2,2,14,12.56
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,16,2,2,2,0.934
4,25,2,2,12,21.949
4,25,2,2,12,21.949
4,25,2,2,12,21.949
4,25,2,2,12,21.949
4,25,2,2,12,21.949
4,25,2,2,12,21.949
4,25,2,2,12,21.949
4,25,2,2,12,21.949
8,4,2,2,19,12.56
8,4,2,2,19,12.56
8,4,2,2,19,12.56
8,4,2,2,19,12.56
8,4,2,2,19,12.56
8,4,2,2,19,12.56
8,4,2,2,19,12.56
8,4,2,2,19,12.56
16,2,2,2,10,12.773
16,2,2,2,10,12.773
16,2,2,2,10,12.773
16,2,2,2,10,12.773
16,2,2,2,10,12.773
16,2,2,2,10,12.773
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
16,4,2,2,2,0.934
25,2,2,2,7,9.873
25,2,2,2,7,9.873
25,2,2,2,7,9.873
25,2,2,2,7,9.873
25,4,2,2,16,21.949
25,4,2,2,16,21.949
25,4,2,2,16,21.949
25,4,2,2,16,21.949
25,4,2,2,16,21.949
25,4,2,2,16,21.949
25,4,2,2,16,21.949
25,4,2,2,16,21.949
1,11,3,3,1,0.73
1,19,3,3,2,1.21
1,19,3,3,2,1.21
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,4,3,3,1,0.634
3,6,3,3,2,0.476
3,6,3,3,2,0.476
