nodeid,lat,lon,layer
1,54.99359,-1.61048,3
2,55.08777,-1.5986,5
2,55.08777,-1.5986,2
3,54.97369,-1.61353,5
3,54.97369,-1.61353,3
4,54.9684,-1.61728,4
4,54.9684,-1.61728,2
4,54.9684,-1.61728,3
4,54.9684,-1.61728,5
5,55.04951,-1.74417,4
5,55.04951,-1.74417,5
6,54.97407,-1.62098,5
6,54.97407,-1.62098,3
7,54.98282,-1.57167,5
7,54.98282,-1.57167,3
8,54.97497,-1.81406,2
8,54.97497,-1.81406,5
9,55.01201,-1.62218,5
9,55.01201,-1.62218,3
10,55.01373,-1.64461,5
10,55.01373,-1.64461,3
11,55.00017,-1.61084,3
12,55.0142,-1.63488,5
12,55.0142,-1.63488,3
13,54.98548,-1.55907,5
13,54.98548,-1.55907,3
14,55.01012,-1.57861,5
14,55.01012,-1.57861,3
15,54.99223,-1.51592,5
15,54.99223,-1.51592,3
16,54.97276,-1.60474,5
16,54.97276,-1.60474,2
16,54.97276,-1.60474,3
17,54.99563,-1.49448,5
17,54.99563,-1.49448,3
18,54.97563,-1.52048,5
18,54.97563,-1.52048,3
19,54.98307,-1.60547,5
19,54.98307,-1.60547,3
20,55.03722,-1.70973,0
20,55.03722,-1.70973,2
20,55.03722,-1.70973,4
20,55.03722,-1.70973,5
20,55.03722,-1.70973,3
21,55.00576,-1.60831,5
21,55.00576,-1.60831,3
22,55.0088,-1.59157,5
22,55.0088,-1.59157,3
23,55.18381,-1.56794,4
23,55.18381,-1.56794,5
24,55.03676,-1.50499,5
24,55.03676,-1.50499,3
25,55.16251,-1.68292,5
25,55.16251,-1.68292,2
26,54.97614,-1.57956,5
26,54.97614,-1.57956,3
27,55.01402,-1.6781,5
27,55.01402,-1.6781,3
28,55.03255,-1.52116,5
28,55.03255,-1.52116,3
29,55.01437,-1.66509,5
29,55.01437,-1.66509,3
30,55.02789,-1.70361,5
30,55.02789,-1.70361,3
31,54.97751,-1.61388,5
31,54.97751,-1.61388,3
32,55.01371,-1.56778,5
32,55.01371,-1.56778,3
33,54.98961,-1.53233,5
33,54.98961,-1.53233,3
34,55.02394,-1.54089,5
34,55.02394,-1.54089,3
35,55.07725,-1.54708,5
36,55.18168,-1.55175,5
37,55.04545,-1.49296,5
38,55.04353,-1.48547,5
39,55.16297,-1.57607,5
40,55.16336,-1.57536,5
41,55.15928,-1.57599,5
42,55.07622,-1.64512,5
43,54.97181,-1.55848,5
44,54.97782,-1.61794,5
45,54.97997,-1.61338,5
46,54.98014,-1.61372,5
47,54.97775,-1.61801,5
48,54.96858,-1.64523,5
49,54.96966,-1.634,5
50,54.96881,-1.64073,5
51,54.96873,-1.64084,5
52,54.9693,-1.63674,5
53,54.96921,-1.63663,5
54,54.97541,-1.50592,5
55,55.11586,-1.62061,5
56,55.10993,-1.50094,5
57,54.97902,-1.6094,5
58,55.22876,-1.55691,5
59,54.99753,-1.78935,5
60,55.10756,-1.56871,5
61,54.98784,-1.68106,5
62,54.98972,-1.679,5
63,54.98211,-1.66636,5
64,54.9877,-1.66092,5
65,54.98455,-1.66407,5
66,55.13201,-1.58939,5
67,54.98173,-1.71175,5
68,54.97935,-1.71163,5
69,54.99207,-1.71018,5
70,54.98959,-1.7114,5
71,54.9848,-1.71228,5
72,55.10508,-1.49893,5
73,55.0072,-1.50545,5
74,55.10217,-1.58019,5
75,55.11895,-1.52487,5
76,55.11832,-1.52441,5
77,55.11916,-1.52404,5
78,54.97355,-1.9048,5
79,54.99667,-1.66979,5
80,55.06491,-1.58802,5
81,55.00683,-1.60486,5
82,55.0076,-1.59672,5
83,54.97091,-1.62381,5
84,54.9659,-1.62179,5
85,54.97081,-1.62215,5
86,55.07641,-1.64504,5
87,55.17291,-1.53595,5
88,55.13322,-1.61301,5
89,54.98748,-1.6809,5
90,55.03904,-1.76381,5
91,55.14382,-1.52085,5
92,55.14822,-1.5223,5
