ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
80,260,4,4,10,5.555
80,260,4,4,10,5.555
80,260,4,4,10,5.555
80,260,4,4,10,5.555
80,289,4,4,3,1.604
80,289,4,4,3,1.604
80,289,4,4,3,1.604
80,289,4,4,3,1.604
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
80,577,4,4,10,3.883
260,80,4,4,10,5.555
260,80,4,4,10,5.555
260,80,4,4,10,5.555
260,80,4,4,10,5.555
260,289,4,4,5,4.009
260,289,4,4,5,4.009
260,289,4,4,5,4.009
260,289,4,4,5,4.009
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
260,577,4,4,6,2.252
289,80,4,4,5,1.604
289,80,4,4,5,1.604
289,80,4,4,5,1.604
289,80,4,4,5,1.604
289,260,4,4,4,4.009
289,260,4,4,4,4.009
289,260,4,4,4,4.009
289,260,4,4,4,4.009
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,80,4,4,10,3.883
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
577,260,4,4,5,2.252
1,52,5,5,1,1.15
1,637,5,5,1,0.681
2,140,5,5,2,1.844
2,234,5,5,1,0.994
3,4,5,5,1,0.626
3,112,5,5,1,0.67
3,542,5,5,1,0.331
4,5,5,5,1,0.313
4,509,5,5,1,0.226
5,4,5,5,1,0.313
5,22,5,5,1,0.677
5,509,5,5,1,0.54
6,7,5,5,1,0.212
6,64,5,5,2,0.53
7,6,5,5,1,0.212
7,84,5,5,1,0.397
8,9,5,5,1,0.185
8,650,5,5,2,0.313
9,8,5,5,1,0.185
9,65,5,5,1,0.237
10,244,5,5,1,0.19
10,419,5,5,1,0.06
11,65,5,5,1,0.203
11,485,5,5,1,0.409
12,13,5,5,1,0.231
12,84,5,5,1,0.401
12,550,5,5,1,0.442
13,119,5,5,1,0.232
13,383,5,5,1,0.321
14,231,5,5,1,1.129
14,337,5,5,1,0.696
14,668,5,5,1,0.419
15,16,5,5,1,0.209
15,227,5,5,1,0.19
16,15,5,5,1,0.209
16,192,5,5,1,0.215
17,20,5,5,2,0.694
17,227,5,5,5,0.613
17,229,5,5,1,0.383
17,290,5,5,2,0.768
17,359,5,5,1,0.324
17,478,5,5,1,0.337
18,21,5,5,1,0.126
18,75,5,5,1,0.364
18,664,5,5,1,0.474
19,80,5,5,1,0.521
19,80,5,5,1,0.521
19,424,5,5,1,0.156
19,519,5,5,1,0.371
20,80,5,5,7,0.823
20,80,5,5,7,0.823
20,474,5,5,2,0.857
20,584,5,5,1,0.385
20,664,5,5,1,0.347
21,18,5,5,1,0.126
21,80,5,5,3,0.836
21,80,5,5,3,0.836
21,664,5,5,1,0.349
22,5,5,5,1,0.677
22,196,5,5,1,0.398
23,71,5,5,1,0.626
23,225,5,5,1,0.403
24,41,5,5,1,0.381
24,53,5,5,2,0.571
24,80,5,5,5,1.08
24,80,5,5,5,1.08
24,82,5,5,2,0.491
24,186,5,5,11,3.797
24,262,5,5,1,0.647
25,189,5,5,1,0.3
25,685,5,5,2,0.761
26,217,5,5,1,0.215
26,515,5,5,3,2.082
27,216,5,5,1,0.203
27,217,5,5,1,0.309
28,138,5,5,2,0.383
28,236,5,5,1,0.241
28,297,5,5,1,0.883
29,138,5,5,1,0.175
29,314,5,5,1,0.216
30,31,5,5,1,0.154
30,37,5,5,1,0.266
31,30,5,5,1,0.154
31,214,5,5,1,0.344
32,32,5,5,1,0.0
32,36,5,5,1,0.465
32,56,5,5,1,0.584
33,32,5,5,1,0.09
33,34,5,5,1,0.304
34,33,5,5,2,0.304
34,215,5,5,1,0.218
35,215,5,5,1,0.315
35,243,5,5,1,0.137
36,32,5,5,1,0.465
36,33,5,5,2,0.555
36,687,5,5,1,0.415
37,30,5,5,1,0.266
37,153,5,5,1,0.401
38,39,5,5,1,0.4
38,83,5,5,1,0.495
39,38,5,5,1,0.4
39,40,5,5,1,0.264
40,39,5,5,1,0.264
40,436,5,5,1,0.445
41,40,5,5,1,0.522
41,42,5,5,1,0.442
41,81,5,5,1,0.273
41,315,5,5,1,0.389
41,420,5,5,1,0.242
42,43,5,5,1,0.337
42,436,5,5,1,0.362
43,42,5,5,1,0.337
43,44,5,5,1,0.34
44,43,5,5,1,0.34
44,45,5,5,1,0.294
44,143,5,5,2,0.678
45,44,5,5,1,0.294
45,143,5,5,1,0.384
45,362,5,5,1,0.264
46,252,5,5,1,0.408
47,48,5,5,1,0.274
47,50,5,5,1,0.258
47,302,5,5,1,0.702
48,47,5,5,1,0.274
48,302,5,5,1,0.428
49,173,5,5,1,0.659
49,484,5,5,2,0.341
49,521,5,5,2,0.239
49,522,5,5,1,0.218
50,47,5,5,1,0.258
50,49,5,5,1,0.36
50,522,5,5,1,0.198
51,213,5,5,1,0.393
51,264,5,5,3,0.861
52,1,5,5,1,1.15
52,213,5,5,1,0.354
52,637,5,5,2,1.287
53,24,5,5,1,0.571
53,80,5,5,1,0.618
53,80,5,5,1,0.618
53,262,5,5,1,0.08
