nodeid,lat,lon,layer
1,52.65497,1.38498,5
2,52.67922,1.32966,5
3,52.68069,1.21106,5
4,52.68391,1.20342,5
5,52.6856,1.19968,5
6,52.6236,1.27678,5
7,52.62236,1.27438,5
8,52.62624,1.27517,5
9,52.62636,1.27242,5
10,52.62818,1.25964,5
11,52.62624,1.26589,5
12,52.62128,1.26416,5
13,52.62274,1.2617,5
14,52.5953,1.27543,5
15,52.61555,1.2901,5
16,52.6173,1.29128,5
17,52.61434,1.28296,5
18,52.62003,1.28372,5
19,52.62161,1.29187,5
20,52.62022,1.28647,5
21,52.62071,1.28522,5
22,52.6887,1.19101,5
23,52.64526,1.27636,5
24,52.63576,1.29645,5
25,52.63251,1.2204,5
26,52.68484,1.3193,5
27,52.68569,1.32698,5
28,52.65709,1.27896,5
29,52.65968,1.28495,5
30,52.63973,1.22597,5
31,52.64065,1.22424,5
32,52.64373,1.2217,5
33,52.64404,1.22046,5
34,52.6466,1.22209,5
35,52.64949,1.21593,5
36,52.64261,1.22836,5
37,52.63795,1.22862,5
38,52.64817,1.30574,5
39,52.64525,1.30226,5
40,52.64318,1.30032,5
41,52.63919,1.2962,5
42,52.64314,1.29709,5
43,52.64607,1.29844,5
44,52.649,1.29993,5
45,52.65149,1.30145,5
46,52.66416,1.38169,5
47,52.63792,1.36673,5
48,52.63999,1.36451,5
49,52.63362,1.36217,5
50,52.63678,1.36338,5
51,52.64557,1.36167,5
52,52.64976,1.37021,5
53,52.63082,1.29883,5
54,52.63668,1.32809,5
55,52.6469,1.20672,5
56,52.64501,1.21328,5
57,52.67376,1.23106,5
58,52.66966,1.23997,5
59,52.65992,1.25264,5
60,52.66448,1.24746,5
61,52.66189,1.25042,5
62,52.66042,1.27495,5
63,52.67003,1.25456,5
64,52.62742,1.2815,5
65,52.62633,1.2689,5
66,52.6462,1.23475,5
67,52.6758,1.22365,5
68,52.61706,1.21996,5
69,52.66047,1.32872,5
70,52.63064,1.27697,5
71,52.63985,1.27903,5
72,52.63617,1.28379,5
73,52.63461,1.28573,5
74,52.62961,1.28366,5
75,52.61829,1.27914,5
76,52.66607,1.26113,5
77,52.66794,1.25801,5
78,52.62582,1.22352,5
79,52.61487,1.23254,5
80,52.62616,1.29379,4
80,52.62616,1.29379,5
81,52.64047,1.29274,5
82,52.63808,1.30267,5
83,52.65133,1.31094,5
84,52.62011,1.26979,5
85,52.6286,1.24829,5
86,52.63316,1.26094,5
87,52.66117,1.25603,5
88,52.662,1.25863,5
89,52.66344,1.26126,5
90,52.66626,1.26644,5
91,52.64813,1.21324,5
92,52.64058,1.34235,5
93,52.63782,1.34288,5
94,52.63958,1.34995,5
95,52.64055,1.35116,5
96,52.63562,1.34329,5
97,52.63783,1.34751,5
98,52.641,1.35717,5
99,52.63293,1.35919,5
100,52.63595,1.35873,5
101,52.64441,1.23535,5
102,52.64223,1.23565,5
103,52.65397,1.15611,5
104,52.65828,1.29094,5
105,52.65808,1.30147,5
106,52.66895,1.29837,5
107,52.66616,1.3151,5
108,52.66302,1.29536,5
109,52.66096,1.29327,5
110,52.668,1.29636,5
111,52.66593,1.29653,5
112,52.67768,1.21969,5
113,52.61302,1.25056,5
114,52.61632,1.25104,5
115,52.62016,1.24683,5
116,52.62236,1.24772,5
117,52.61576,1.25493,5
118,52.61974,1.26071,5
119,52.62079,1.26297,5
120,52.61778,1.25133,5
121,52.61754,1.2566,5
122,52.67876,1.36825,5
123,52.68394,1.37425,5
124,52.62487,1.31502,5
125,52.61229,1.31719,5
126,52.62188,1.2967,5
127,52.61936,1.30358,5
128,52.61801,1.30654,5
129,52.61706,1.29944,5
130,52.62013,1.30062,5
131,52.61275,1.30005,5
132,52.61511,1.29918,5
133,52.65257,1.30761,5
134,52.65892,1.32618,5
135,52.6552,1.31792,5
136,52.65663,1.32112,5
137,52.65206,1.27977,5
138,52.65814,1.28439,5
139,52.6277,1.37103,5
140,52.66457,1.31675,5
141,52.66133,1.313,5
142,52.65914,1.31063,5
143,52.65485,1.30284,5
144,52.66969,1.30661,5
145,52.6765,1.31189,5
146,52.66653,1.31002,5
147,52.66622,1.31311,5
148,52.667,1.30247,5
149,52.66642,1.30528,5
150,52.65365,1.24985,5
151,52.63864,1.24159,5
152,52.63844,1.24621,5
153,52.63715,1.23443,5
154,52.64023,1.23773,5
155,52.63579,1.23473,5
156,52.63323,1.23364,5
157,52.63774,1.2531,5
158,52.63735,1.25764,5
159,52.63084,1.23847,5
160,52.63184,1.24146,5
161,52.63013,1.27289,5
162,52.63715,1.28212,5
163,52.62863,1.28658,5
164,52.62558,1.2882,5
165,52.62776,1.35293,5
166,52.62616,1.34531,5
167,52.62622,1.34112,5
168,52.62636,1.33718,5
169,52.62698,1.33002,5
170,52.62905,1.32744,5
171,52.62634,1.32404,5
172,52.6285,1.3655,5
173,52.62827,1.35792,5
174,52.65004,1.34161,5
175,52.65929,1.33381,5
176,52.60126,1.30468,5
177,52.65126,1.34633,5
178,52.61814,1.25636,5
179,52.65805,1.26468,5
180,52.65851,1.26831,5
181,52.65942,1.27116,5
182,52.65771,1.27498,5
183,52.65914,1.27262,5
184,52.66104,1.26946,5
185,52.66238,1.26724,5
186,52.66398,1.26459,5
187,52.63036,1.31338,5
188,52.62743,1.22686,5
189,52.62983,1.21983,5
190,52.64777,1.28218,5
191,52.64968,1.28086,5
192,52.61924,1.29136,5
193,52.60905,1.25139,5
194,52.62273,1.24265,5
195,52.61439,1.2669,5
196,52.68517,1.18997,5
197,52.6105,1.30075,5
198,52.64074,1.32879,5
199,52.63888,1.33428,5
200,52.63872,1.32006,5
201,52.63996,1.32271,5
202,52.63967,1.32724,5
203,52.63832,1.32826,5
204,52.63388,1.31742,5
205,52.63524,1.32198,5
206,52.6359,1.3219,5
207,52.63562,1.33671,5
208,52.62939,1.25745,5
209,52.62914,1.21918,5
210,52.62957,1.26892,5
211,52.62439,1.24848,5
212,52.62895,1.2513,5
213,52.64815,1.36567,5
214,52.63961,1.21942,5
215,52.64812,1.22003,5
216,52.68752,1.32696,5
217,52.6852,1.32245,5
218,52.69088,1.31878,5
