ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
33,1152,2,2,7,6.682
33,1152,2,2,7,6.682
33,1152,2,2,7,6.682
33,1152,2,2,7,6.682
33,1918,2,2,6,4.476
33,1918,2,2,6,4.476
33,1918,2,2,6,4.476
33,1918,2,2,6,4.476
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,481,2,2,7,4.814
83,608,2,2,5,3.283
83,608,2,2,5,3.283
83,608,2,2,5,3.283
83,608,2,2,5,3.283
83,1289,2,2,3,3.48
83,1289,2,2,3,3.48
83,1289,2,2,3,3.48
83,1289,2,2,3,3.48
83,1959,2,2,7,7.319
83,1959,2,2,7,7.319
83,1959,2,2,7,7.319
83,1959,2,2,7,7.319
261,266,2,2,7,9.498
261,266,2,2,7,9.498
261,266,2,2,7,9.498
261,266,2,2,7,9.498
261,481,2,2,21,22.634
261,481,2,2,21,22.634
261,481,2,2,21,22.634
261,481,2,2,21,22.634
261,481,2,2,21,22.634
261,481,2,2,21,22.634
261,481,2,2,21,22.634
261,481,2,2,21,22.634
266,261,2,2,7,9.498
266,261,2,2,7,9.498
266,261,2,2,7,9.498
266,261,2,2,7,9.498
266,481,2,2,15,14.655
266,481,2,2,15,14.655
266,481,2,2,15,14.655
266,481,2,2,15,14.655
266,481,2,2,15,14.655
266,481,2,2,15,14.655
266,481,2,2,15,14.655
266,481,2,2,15,14.655
273,1043,2,2,4,3.745
273,1043,2,2,4,3.745
273,1043,2,2,4,3.745
273,1043,2,2,4,3.745
273,1272,2,2,7,6.005
273,1272,2,2,7,6.005
273,1272,2,2,7,6.005
273,1272,2,2,7,6.005
273,1272,2,2,7,6.005
273,1272,2,2,7,6.005
273,1613,2,2,3,1.64
273,1613,2,2,3,1.64
273,1613,2,2,3,1.64
273,1613,2,2,3,1.64
273,1853,2,2,8,7.853
273,1853,2,2,8,7.853
273,1853,2,2,8,7.853
273,1853,2,2,8,7.853
273,1853,2,2,8,7.853
273,1853,2,2,8,7.853
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,33,2,2,15,11.717
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,83,2,2,6,4.814
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,261,2,2,20,22.634
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,266,2,2,14,14.655
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,556,2,2,9,6.726
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,608,2,2,10,7.347
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1152,2,2,4,5.035
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1289,2,2,8,8.173
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1853,2,2,12,10.652
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
481,1959,2,2,10,11.961
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,481,2,2,10,6.726
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
556,1853,2,2,5,4.284
608,83,2,2,4,3.283
608,83,2,2,4,3.283
608,83,2,2,4,3.283
608,83,2,2,4,3.283
608,481,2,2,14,7.347
608,481,2,2,14,7.347
608,481,2,2,14,7.347
608,481,2,2,14,7.347
608,481,2,2,14,7.347
608,481,2,2,14,7.347
608,481,2,2,14,7.347
608,481,2,2,14,7.347
