nodeid,lat,lon,layer
1,53.15842,-1.15516,5
2,53.15561,-1.17922,5
3,53.15574,-1.1586,5
4,53.14536,-1.15768,5
5,53.15788,-1.1477,5
6,53.15839,-1.14751,5
7,53.15271,-1.16521,5
8,52.91648,-1.16599,5
9,53.09162,-1.32362,5
10,53.00719,-1.1376,5
11,53.0096,-1.13584,5
12,52.97064,-1.06563,5
13,53.00557,-1.13432,5
14,53.00434,-1.13813,5
15,53.01147,-1.13334,5
16,53.11803,-1.32744,5
17,53.07395,-1.38579,5
18,53.07328,-1.39124,5
19,53.1669,-1.17377,5
20,53.16573,-1.17249,5
21,53.16805,-1.17106,5
22,52.90111,-1.17241,5
23,52.90042,-1.17032,5
24,52.90192,-1.17711,5
25,52.89399,-1.18573,5
26,52.9049,-1.1761,5
27,53.06157,-1.35051,5
28,52.96145,-1.32703,5
29,52.96018,-1.3295,5
30,52.96609,-1.18617,5
31,52.96401,-1.18749,5
32,52.96213,-1.18831,5
33,52.88515,-1.2881,2
33,52.88515,-1.2881,5
34,52.8787,-1.08102,5
35,52.90468,-1.18335,5
36,52.90322,-1.1812,5
37,52.94289,-1.30875,5
38,52.97854,-1.23029,5
39,52.9764,-1.22875,5
40,53.01252,-1.16492,5
41,53.01395,-1.16446,5
42,53.00967,-1.12968,5
43,53.01461,-1.16181,5
44,53.01301,-1.15945,5
45,52.97126,-1.11997,5
46,52.97851,-1.31012,5
47,52.97799,-1.30817,5
48,52.97004,-1.29575,5
49,52.96802,-1.29362,5
50,52.96615,-1.30454,5
51,52.96438,-1.30117,5
52,52.96851,-1.30243,5
53,52.97364,-1.31173,5
54,52.9663,-1.29566,5
55,52.99011,-1.31625,5
56,53.12971,-1.39326,5
57,52.91517,-1.16377,5
58,52.89975,-1.27055,5
59,53.07653,-1.36254,5
60,53.12639,-1.1611,5
61,53.02791,-1.22434,5
62,53.03867,-1.20525,5
63,53.03159,-1.21037,5
64,53.03878,-1.2112,5
65,52.90497,-1.24551,5
66,52.90781,-1.25847,5
67,53.00862,-1.15809,5
68,53.00558,-1.15612,5
69,53.1171,-1.10764,5
70,53.12193,-1.40509,5
71,53.00228,-1.16111,5
72,52.92828,-1.27747,5
73,52.92784,-1.12375,5
74,52.92507,-1.12239,5
75,53.08344,-1.16453,5
76,53.11733,-1.25986,5
77,53.13399,-1.26442,5
78,52.99811,-1.10229,5
79,53.15695,-1.1505,5
80,53.15293,-1.16143,5
81,53.13721,-1.2165,5
82,52.99824,-1.15315,5
83,52.96321,-1.07955,2
83,52.96321,-1.07955,5
84,52.9893,-1.14823,5
85,53.03102,-1.3087,5
86,52.99907,-1.06618,5
87,53.00054,-1.06517,5
88,53.00783,-1.06184,5
89,53.00269,-1.06027,5
90,53.12995,-1.26815,5
91,53.00636,-1.13186,5
92,52.94192,-1.16021,5
93,52.93811,-1.16004,5
94,52.89568,-1.26238,5
95,52.95648,-1.30105,5
96,52.95487,-1.32005,5
97,52.93125,-1.05511,5
98,52.95267,-1.03215,5
99,52.93101,-1.27387,5
100,52.93939,-1.261,5
101,52.9389,-1.26535,5
102,52.92409,-1.27427,5
103,52.93497,-1.27271,5
104,52.93116,-1.13737,5
105,52.99557,-1.14987,5
106,52.99703,-1.14583,5
107,52.98954,-1.16673,5
108,52.986,-1.20197,5
109,52.98431,-1.19811,5
110,52.98555,-1.19078,5
111,52.87372,-1.08957,5
112,52.98405,-1.18774,5
113,53.00148,-1.26162,5
114,52.99885,-1.26029,5
115,53.01108,-1.25777,5
116,52.99921,-1.24054,5
117,52.99554,-1.23362,5
118,53.0033,-1.24965,5
119,53.00024,-1.24549,5
120,52.99422,-1.24473,5
121,52.95426,-1.08727,5
122,52.97207,-1.08169,5
123,52.95756,-1.07883,5
124,52.97236,-1.08313,5
125,52.97385,-1.08751,5
126,52.9832,-1.1117,5
127,52.98402,-1.11463,5
128,52.99844,-1.13783,5
129,53.00162,-1.13878,5
130,52.97168,-1.10947,5
131,52.96762,-1.09243,5
132,52.96888,-1.09169,5
133,52.97338,-1.09894,5
134,52.97007,-1.09395,5
135,52.97551,-1.10567,5
136,53.00604,-1.00544,5
137,53.14584,-1.33825,5
138,53.12655,-1.34401,5
139,52.96102,-1.13451,5
140,52.87265,-1.08275,5
141,52.99657,-1.25562,5
142,52.94412,-1.23943,5
143,52.93643,-1.22541,5
144,53.08135,-1.3962,5
145,53.09259,-1.39338,5
146,53.08131,-1.38084,5
147,53.14353,-1.2711,5
148,53.14168,-1.27874,5
149,53.14259,-1.27194,5
150,53.14381,-1.26087,5
151,53.14127,-1.25404,5
152,53.12902,-1.25568,5
153,53.13045,-1.25777,5
154,52.96816,-1.17256,5
155,53.12467,-1.25945,5
156,53.07467,-1.31722,5
157,53.12392,-1.26921,5
158,53.04672,-1.2136,5
159,53.07908,-1.312,5
160,53.1154,-1.28655,5
161,53.00731,-1.17569,5
162,53.00515,-1.16175,5
163,53.00887,-1.16968,5
164,53.00841,-1.1727,5
165,52.94495,-1.23596,5
166,52.99259,-1.17391,5
167,52.99477,-1.17816,5
168,52.89602,-1.16081,5
169,52.89536,-1.15468,5
170,52.89667,-1.15035,5
171,52.90533,-1.15275,5
172,52.9537,-1.12337,5
173,52.95194,-1.12682,5
174,52.94886,-1.13014,5
175,52.9594,-1.13099,5
176,53.09372,-1.29821,5
177,53.09743,-1.23605,5
178,52.98169,-1.17858,5
178,52.98169,-1.17858,3
179,53.00638,-1.11836,5
180,53.00691,-1.11662,5
181,53.00594,-1.11592,5
182,53.01093,-1.12233,5
183,53.00164,-1.12863,5
184,52.99615,-1.13049,5
185,52.94436,-1.049,5
186,53.14468,-1.27252,5
187,53.13987,-1.27503,5
188,53.13745,-1.25298,5
189,53.05476,-1.29034,5
190,53.06859,-1.29355,5
191,53.14199,-1.27485,5
192,53.13692,-1.27038,5
193,52.98287,-1.14523,4
193,52.98287,-1.14523,5
194,53.00642,-1.199,5
195,53.00456,-1.1985,5
196,53.13299,-1.15726,5
197,52.96586,-1.22853,5
198,52.96318,-1.23708,5
199,52.9913,-1.28255,5
200,52.98898,-1.28357,5
201,53.00505,-1.21213,5
202,52.9824,-1.18449,5
203,52.94253,-1.1803,5
204,52.97596,-1.10824,5
205,52.99417,-1.28272,5
206,52.96155,-1.14678,5
207,52.96313,-1.14541,5
208,52.96534,-1.14435,5
209,52.95548,-1.29707,5
210,52.97561,-1.21177,5
211,52.98246,-1.20308,5
212,52.89719,-1.18098,5
213,53.02887,-1.18858,3
214,52.92461,-1.23675,5
215,52.89684,-1.18546,5
216,52.89721,-1.19003,5
217,52.90004,-1.27322,5
218,53.09664,-1.22688,5
219,53.10323,-1.23631,5
220,53.09107,-1.27514,5
221,53.1035,-1.25993,5
222,53.09806,-1.23906,5
223,53.10697,-1.26646,5
224,53.00485,-1.12729,5
225,53.02328,-1.17929,5
226,53.04055,-1.20881,5
227,52.96326,-1.09906,5
228,52.90513,-1.19176,5
229,53.15026,-1.13947,5
230,53.14943,-1.14513,5
231,53.16144,-1.13225,5
232,53.13633,-1.17986,5
233,53.13491,-1.18171,5
234,52.96935,-1.12614,5
235,53.10772,-1.3363,5
236,53.10613,-1.33269,5
237,52.972,-1.20259,5
238,52.97224,-1.20526,5
239,52.96923,-1.19463,5
240,52.97137,-1.19898,5
241,52.96718,-1.18695,5
242,52.97367,-1.18644,5
243,52.97583,-1.18869,5
244,52.96798,-1.18423,5
245,52.97056,-1.18455,5
246,53.14379,-1.14953,5
247,53.14265,-1.17174,5
248,53.15204,-1.17829,5
249,53.13256,-1.20123,5
250,53.15717,-1.17858,5
251,53.13464,-1.21766,5
252,52.95543,-1.18053,5
253,52.9553,-1.18787,5
254,52.95613,-1.16718,5
255,53.08183,-1.39374,5
256,53.00944,-1.1969,5
257,52.90891,-1.1451,5
258,52.91307,-1.14103,5
259,53.04941,-1.29656,5
260,53.09726,-1.23013,5
261,53.10046,-1.36969,5
261,53.10046,-1.36969,2
262,52.97058,-1.31007,5
263,53.15648,-1.17132,5
264,53.15825,-1.14353,5
265,52.99601,-1.18088,5
266,53.01808,-1.33124,2
266,53.01808,-1.33124,5
267,52.99306,-1.11376,5
268,52.94909,-1.19067,5
269,52.95469,-1.21109,5
270,52.95431,-1.19285,5
271,52.95198,-1.19127,5
272,52.96423,-1.17874,5
273,53.10012,-1.25306,2
273,53.10012,-1.25306,5
274,53.1266,-1.41087,5
275,52.97196,-1.11088,5
276,53.1393,-1.41776,5
277,53.12635,-1.41837,5
278,53.1201,-1.41303,5
279,53.13335,-1.41835,5
280,53.12761,-1.41836,5
281,52.9366,-1.13373,5
282,52.97597,-1.31052,5
283,53.11917,-1.11312,5
284,53.13489,-1.26618,5
285,53.03018,-1.19567,5
286,53.08389,-1.24146,5
287,53.05502,-1.22839,5
288,53.07569,-1.23363,5
289,53.07618,-1.24298,5
290,53.07776,-1.24912,5
291,53.06409,-1.32775,5
292,52.98156,-1.05121,5
293,52.97881,-1.0573,5
294,52.9883,-1.03631,5
295,53.10432,-1.33838,5
296,53.10164,-1.33651,5
297,53.00599,-1.28135,5
298,53.09091,-1.15605,5
299,52.9394,-1.17339,5
300,52.93691,-1.17344,5
301,52.94391,-1.17731,5
302,52.94223,-1.1738,5
303,52.93535,-1.17258,5
304,52.99799,-1.0652,5
305,52.995,-1.06969,5
306,52.96816,-1.07065,5
307,52.99329,-1.13853,5
308,52.99242,-1.13497,5
309,53.16849,-1.18032,5
310,53.15715,-1.19526,5
311,53.16059,-1.18701,5
312,53.16305,-1.18496,5
313,53.00612,-1.34816,5
314,53.14944,-1.16664,5
315,53.15705,-1.15912,5
316,52.99557,-1.14671,5
317,52.9556,-1.31992,5
318,53.13858,-1.39567,5
319,53.13709,-1.38258,5
320,53.15698,-1.15726,5
321,53.14522,-1.15505,5
322,52.93533,-1.22448,5
323,53.01793,-1.30567,5
324,52.90744,-1.26314,5
