ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
34,42,2,2,6,5.232
34,42,2,2,6,5.232
34,42,2,2,6,5.232
34,42,2,2,6,5.232
34,58,2,2,6,6.206
34,58,2,2,6,6.206
34,58,2,2,6,6.206
34,58,2,2,6,6.206
42,34,2,2,7,5.232
42,34,2,2,7,5.232
42,34,2,2,7,5.232
42,34,2,2,7,5.232
58,34,2,2,6,6.206
58,34,2,2,6,6.206
58,34,2,2,6,6.206
58,34,2,2,6,6.206
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
146,672,4,4,10,4.942
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
672,489,4,4,15,4.939
1,335,5,5,1,0.363
2,495,5,5,1,0.069
2,700,5,5,1,0.03
3,4,5,5,1,0.185
3,25,5,5,1,0.278
3,94,5,5,1,0.306
4,3,5,5,1,0.185
4,96,5,5,1,0.394
4,97,5,5,1,0.084
5,7,5,5,1,0.242
5,12,5,5,1,0.595
5,58,5,5,1,0.531
5,58,5,5,1,0.531
6,7,5,5,1,0.171
6,651,5,5,1,0.074
7,5,5,5,1,0.242
7,6,5,5,1,0.171
8,9,5,5,1,0.255
8,648,5,5,1,0.135
9,6,5,5,1,0.28
9,8,5,5,1,0.255
10,8,5,5,1,0.195
10,565,5,5,1,0.066
11,57,5,5,1,0.198
11,71,5,5,1,0.121
12,12,5,5,1,0.0
12,33,5,5,1,0.333
13,15,5,5,1,0.284
13,78,5,5,1,0.311
14,93,5,5,1,0.217
14,749,5,5,2,0.554
15,13,5,5,1,0.284
15,93,5,5,1,0.582
16,19,5,5,1,0.308
16,78,5,5,1,0.306
17,95,5,5,1,0.206
17,98,5,5,1,0.177
18,18,5,5,1,0.0
18,247,5,5,1,0.166
19,16,5,5,1,0.308
19,48,5,5,1,0.527
19,359,5,5,1,0.131
20,21,5,5,1,0.54
20,369,5,5,1,0.406
21,20,5,5,1,0.54
21,89,5,5,1,0.282
