nodeid,lat,lon,layer
1,52.5709,-1.34969,5
2,52.56932,-1.32013,5
3,52.55075,-1.36712,5
4,52.55227,-1.36597,5
5,52.53386,-1.37513,5
6,52.53379,-1.36992,5
7,52.53286,-1.37194,5
8,52.53113,-1.36348,5
9,52.53201,-1.36698,5
10,52.53081,-1.36063,5
11,52.54898,-1.38291,5
12,52.52914,-1.37093,5
13,52.57431,-1.32279,5
14,52.57881,-1.31,5
15,52.57554,-1.31909,5
16,52.57081,-1.3299,5
17,52.5532,-1.37134,5
18,52.575,-1.33968,5
19,52.56991,-1.33422,5
20,52.53516,-1.41526,5
21,52.53461,-1.40731,5
22,52.53932,-1.39251,5
23,52.53874,-1.39602,5
24,52.5646,-1.36402,5
25,52.55256,-1.36426,5
26,52.54046,-1.35836,5
27,52.54226,-1.36859,5
28,52.54204,-1.36303,5
29,52.55274,-1.35254,5
30,52.54399,-1.36999,5
31,52.54528,-1.37275,5
32,52.54575,-1.36804,5
33,52.52638,-1.36899,5
34,52.52639,-1.46387,2
34,52.52639,-1.46387,5
35,52.55072,-1.35717,5
36,52.54871,-1.3599,5
37,52.54977,-1.3574,5
38,52.5467,-1.36248,5
39,52.51946,-1.36872,5
40,52.53394,-1.34612,5
41,52.52343,-1.36775,5
42,52.47931,-1.46739,2
42,52.47931,-1.46739,5
43,52.54699,-1.44489,5
44,52.57049,-1.34443,5
45,52.56528,-1.34849,5
46,52.56304,-1.35367,5
47,52.5637,-1.36064,5
48,52.56801,-1.34139,5
49,52.56407,-1.33906,5
50,52.56013,-1.33728,5
51,52.56772,-1.34582,5
52,52.5445,-1.37457,5
53,52.54973,-1.3841,5
54,52.54522,-1.38314,5
55,52.54693,-1.38423,5
56,52.54594,-1.37628,5
57,52.5476,-1.38103,5
58,52.53861,-1.37419,5
58,52.53861,-1.37419,2
59,52.53687,-1.34687,5
60,52.53704,-1.35141,5
61,52.53524,-1.35083,5
62,52.53644,-1.34176,5
63,52.53113,-1.34946,5
64,52.5332,-1.35076,5
65,52.52821,-1.34836,5
66,52.53898,-1.35454,5
67,52.55185,-1.36174,5
68,52.55172,-1.37624,5
69,52.54844,-1.37651,5
70,52.55107,-1.37822,5
71,52.55005,-1.38328,5
72,52.54024,-1.39812,5
73,52.55076,-1.38715,5
74,52.52653,-1.36346,5
75,52.55054,-1.39125,5
76,52.56914,-1.32376,5
77,52.57066,-1.31767,5
78,52.57265,-1.32651,5
79,52.55555,-1.43951,5
80,52.55558,-1.43656,5
81,52.5542,-1.44048,5
82,52.52057,-1.3657,5
83,52.56935,-1.34528,5
84,52.53627,-1.38928,5
85,52.53556,-1.39242,5
86,52.53808,-1.38218,5
87,52.53763,-1.38511,5
88,52.53564,-1.39625,5
89,52.53527,-1.40327,5
90,52.56892,-1.32689,5
91,52.56867,-1.32812,5
92,52.52998,-1.3491,5
93,52.57691,-1.31076,5
94,52.54823,-1.36896,5
95,52.55272,-1.36838,5
96,52.55577,-1.365,5
97,52.55196,-1.36711,5
98,52.55242,-1.37363,5
99,52.55855,-1.36585,5
100,52.56163,-1.3667,5
