ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
4,6,2,2,4,3.21
4,6,2,2,4,3.21
4,6,2,2,4,3.21
4,6,2,2,4,3.21
6,4,2,2,4,3.21
6,4,2,2,4,3.21
6,4,2,2,4,3.21
6,4,2,2,4,3.21
6,41,2,2,5,3.659
6,41,2,2,5,3.659
6,41,2,2,5,3.659
6,41,2,2,5,3.659
7,41,2,2,6,3.544
7,41,2,2,6,3.544
7,41,2,2,6,3.544
7,41,2,2,6,3.544
31,34,2,2,3,3.096
31,34,2,2,3,3.096
31,34,2,2,3,3.096
31,34,2,2,3,3.096
31,34,2,2,3,3.096
31,34,2,2,3,3.096
34,31,2,2,4,3.096
34,31,2,2,4,3.096
34,31,2,2,4,3.096
34,31,2,2,4,3.096
34,31,2,2,4,3.096
34,31,2,2,4,3.096
36,41,2,2,4,2.213
36,41,2,2,4,2.213
36,41,2,2,4,2.213
36,41,2,2,4,2.213
36,41,2,2,4,2.213
36,41,2,2,4,2.213
41,6,2,2,4,3.659
41,6,2,2,4,3.659
41,6,2,2,4,3.659
41,6,2,2,4,3.659
41,36,2,2,4,2.213
41,36,2,2,4,2.213
41,36,2,2,4,2.213
41,36,2,2,4,2.213
41,36,2,2,4,2.213
41,36,2,2,4,2.213
21,29,4,4,5,2.787
21,29,4,4,5,2.787
21,29,4,4,5,2.787
21,29,4,4,5,2.787
29,21,4,4,5,2.787
29,21,4,4,5,2.787
29,21,4,4,5,2.787
29,21,4,4,5,2.787
29,34,4,4,3,2.016
29,34,4,4,3,2.016
29,34,4,4,3,2.016
29,34,4,4,3,2.016
29,34,4,4,3,2.016
29,34,4,4,3,2.016
34,29,4,4,3,2.016
34,29,4,4,3,2.016
34,29,4,4,3,2.016
34,29,4,4,3,2.016
34,29,4,4,3,2.016
34,29,4,4,3,2.016
34,1168,4,4,4,2.91
34,1168,4,4,4,2.91
34,1168,4,4,4,2.91
34,1168,4,4,4,2.91
34,1168,4,4,4,2.91
34,1168,4,4,4,2.91
36,2237,4,4,15,5.976
36,2237,4,4,15,5.976
36,2237,4,4,15,5.976
1168,34,4,4,4,2.91
1168,34,4,4,4,2.91
1168,34,4,4,4,2.91
1168,34,4,4,4,2.91
1168,34,4,4,4,2.91
1168,34,4,4,4,2.91
2237,36,4,4,15,5.976
2237,36,4,4,15,5.976
2237,36,4,4,15,5.976
1,8,5,5,1,0.115
1,40,5,5,1,0.329
2,30,5,5,1,0.304
2,33,5,5,1,0.556
2,38,5,5,1,0.462
2,39,5,5,1,0.395
3,20,5,5,1,0.269
3,1859,5,5,1,0.31
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,139,5,5,1,0.818
4,139,5,5,1,0.818
4,508,5,5,1,0.437
4,508,5,5,1,0.437
4,688,5,5,1,0.672
4,688,5,5,1,0.672
4,943,5,5,1,0.577
4,943,5,5,1,0.577
4,1919,5,5,1,0.479
4,1919,5,5,1,0.479
4,2027,5,5,2,0.718
4,2027,5,5,2,0.718
5,19,5,5,1,0.303
5,20,5,5,2,0.192
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,36,5,5,14,4.38
6,36,5,5,14,4.38
6,36,5,5,14,4.38
6,36,5,5,14,4.38
6,36,5,5,14,4.38
6,36,5,5,14,4.38
6,41,5,5,8,3.659
6,41,5,5,8,3.659
6,41,5,5,8,3.659
6,41,5,5,8,3.659
6,505,5,5,24,4.784
6,505,5,5,24,4.784
6,1095,5,5,13,4.474
6,1095,5,5,13,4.474
6,1315,5,5,1,0.364
6,1315,5,5,1,0.364
6,1345,5,5,1,0.345
6,1345,5,5,1,0.345
6,1821,5,5,1,0.331
6,1821,5,5,1,0.331
6,1834,5,5,8,3.369
6,1834,5,5,8,3.369
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,1023,5,5,1,0.445
7,1023,5,5,1,0.445
7,1742,5,5,1,0.45
7,1742,5,5,1,0.45
7,1877,5,5,1,0.356
7,1877,5,5,1,0.356
7,2077,5,5,1,0.328
7,2077,5,5,1,0.328
8,23,5,5,1,0.202
9,12,5,5,1,0.168
9,24,5,5,1,0.182
10,1,5,5,1,0.956
10,1,5,5,1,0.956
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,16,5,5,1,0.616
10,16,5,5,1,0.616
10,17,5,5,1,0.546
10,17,5,5,1,0.546
10,26,5,5,1,0.515
10,26,5,5,1,0.515
10,30,5,5,1,0.655
10,30,5,5,1,0.655
10,40,5,5,1,0.63
10,40,5,5,1,0.63
11,22,5,5,1,0.633
11,26,5,5,1,0.219
11,27,5,5,1,0.062
11,35,5,5,1,0.226
12,9,5,5,1,0.168
12,23,5,5,1,0.13
13,28,5,5,1,0.271
13,2264,5,5,1,0.381
14,585,5,5,1,0.085
14,1114,5,5,1,0.187
15,112,5,5,4,0.24
15,112,5,5,4,0.24
15,122,5,5,1,0.24
15,122,5,5,1,0.24
15,361,5,5,1,0.418
15,361,5,5,1,0.418
15,1971,5,5,1,0.396
15,1971,5,5,1,0.396
16,10,5,5,1,0.616
16,10,5,5,1,0.616
16,24,5,5,1,0.229
17,10,5,5,1,0.546
17,10,5,5,1,0.546
17,18,5,5,1,0.123
17,167,5,5,1,0.272
18,17,5,5,1,0.123
18,19,5,5,1,0.181
19,5,5,5,1,0.303
19,18,5,5,1,0.181
20,3,5,5,1,0.269
20,5,5,5,1,0.192
21,1146,5,5,1,0.667
21,1146,5,5,1,0.667
21,1501,5,5,1,0.389
21,1501,5,5,1,0.389
22,27,5,5,1,0.57
22,682,5,5,1,0.164
23,8,5,5,1,0.202
23,12,5,5,1,0.13
23,17,5,5,1,0.351
23,40,5,5,1,0.255
24,9,5,5,1,0.182
24,16,5,5,1,0.229
25,13,5,5,1,0.034
25,33,5,5,1,0.444
25,38,5,5,1,0.646
25,2264,5,5,1,0.391
26,35,5,5,1,0.154
26,2292,5,5,1,0.278
27,11,5,5,1,0.062
27,22,5,5,1,0.57
28,13,5,5,1,0.271
28,32,5,5,1,0.219
29,324,5,5,1,0.707
29,324,5,5,1,0.707
29,864,5,5,1,0.322
29,864,5,5,1,0.322
29,1815,5,5,1,0.244
29,1815,5,5,1,0.244
30,2,5,5,1,0.304
30,10,5,5,1,0.655
30,10,5,5,1,0.655
30,442,5,5,1,0.331
31,31,5,5,1,0.0
31,31,5,5,1,0.0
31,31,5,5,1,0.0
31,31,5,5,1,0.0
31,684,5,5,1,0.414
31,684,5,5,1,0.414
31,747,5,5,1,0.394
31,747,5,5,1,0.394
31,1783,5,5,1,0.521
31,1783,5,5,1,0.521
32,28,5,5,1,0.219
32,39,5,5,1,0.126
33,25,5,5,1,0.444
33,38,5,5,1,0.214
33,2264,5,5,2,0.808
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,51,5,5,1,0.718
34,51,5,5,1,0.718
34,51,5,5,1,0.718
34,134,5,5,1,0.555
34,134,5,5,1,0.555
34,134,5,5,1,0.555
34,401,5,5,5,1.772
34,401,5,5,5,1.772
34,401,5,5,5,1.772
34,574,5,5,1,0.416
34,574,5,5,1,0.416
34,574,5,5,1,0.416
34,879,5,5,1,0.468
34,879,5,5,1,0.468
34,879,5,5,1,0.468
34,1135,5,5,1,0.498
34,1135,5,5,1,0.498
34,1135,5,5,1,0.498
34,1308,5,5,1,0.424
34,1308,5,5,1,0.424
34,1308,5,5,1,0.424
34,1368,5,5,1,0.456
34,1368,5,5,1,0.456
34,1368,5,5,1,0.456
34,1738,5,5,1,0.488
34,1738,5,5,1,0.488
34,1738,5,5,1,0.488
34,1982,5,5,1,0.447
34,1982,5,5,1,0.447
34,1982,5,5,1,0.447
35,11,5,5,1,0.226
35,26,5,5,1,0.154
36,6,5,5,12,4.38
36,6,5,5,12,4.38
36,6,5,5,12,4.38
36,6,5,5,12,4.38
36,6,5,5,12,4.38
36,6,5,5,12,4.38
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,36,5,5,1,0.0
36,41,5,5,7,2.213
36,41,5,5,7,2.213
36,41,5,5,7,2.213
36,41,5,5,7,2.213
36,41,5,5,7,2.213
36,41,5,5,7,2.213
36,126,5,5,1,0.468
36,126,5,5,1,0.468
36,126,5,5,1,0.468
36,147,5,5,1,0.468
36,147,5,5,1,0.468
36,147,5,5,1,0.468
36,681,5,5,7,2.611
36,681,5,5,7,2.611
36,681,5,5,7,2.611
36,1144,5,5,1,0.269
36,1144,5,5,1,0.269
36,1144,5,5,1,0.269
36,1375,5,5,1,0.515
36,1375,5,5,1,0.515
36,1375,5,5,1,0.515
36,1481,5,5,1,0.316
36,1481,5,5,1,0.316
36,1481,5,5,1,0.316
36,1652,5,5,1,0.425
36,1652,5,5,1,0.425
36,1652,5,5,1,0.425
36,1816,5,5,1,0.834
36,1816,5,5,1,0.834
36,1816,5,5,1,0.834
36,2041,5,5,1,0.369
36,2041,5,5,1,0.369
