nodeid,lat,lon,layer
1,53.45537,-1.97661,5
2,53.46813,-1.97037,5
3,53.45786,-1.98632,5
4,53.53887,-2.01384,5
4,53.53887,-2.01384,2
5,53.46052,-1.9822,5
6,53.51499,-2.04128,5
6,53.51499,-2.04128,2
7,53.47465,-2.11371,5
7,53.47465,-2.11371,2
8,53.45568,-1.97827,5
9,53.4598,-1.9789,5
10,53.46076,-1.96533,2
10,53.46076,-1.96533,5
11,53.46325,-1.95566,5
12,53.45846,-1.97769,5
13,53.46976,-1.98149,5
14,53.45175,-1.93894,5
15,53.46074,-1.99706,4
15,53.46074,-1.99706,5
16,53.4613,-1.97461,5
17,53.45967,-1.9734,5
18,53.45931,-1.97516,5
19,53.45969,-1.97783,5
20,53.46017,-1.98506,5
21,53.49536,-2.21096,4
21,53.49536,-2.21096,5
22,53.46676,-1.96321,5
23,53.45735,-1.97702,5
24,53.46137,-1.97808,5
25,53.47,-1.98182,5
26,53.46168,-1.95768,5
27,53.46357,-1.95644,5
28,53.47007,-1.97742,5
29,53.50528,-2.17218,4
29,53.50528,-2.17218,5
30,53.46545,-1.97135,5
31,53.55132,-2.17151,2
31,53.55132,-2.17151,5
32,53.471,-1.97449,5
33,53.47191,-1.9759,5
34,53.52343,-2.17102,4
34,53.52343,-2.17102,2
34,53.52343,-2.17102,5
35,53.46121,-1.95548,5
36,53.49128,-2.09431,4
36,53.49128,-2.09431,2
36,53.49128,-2.09431,5
37,53.4521,-1.94981,5
38,53.47206,-1.97267,5
39,53.47141,-1.9727,5
40,53.45751,-1.97316,5
41,53.4846,-2.06274,2
41,53.4846,-2.06274,5
42,53.52636,-2.21178,5
43,53.53706,-2.04952,5
44,53.50205,-2.24485,5
45,53.49515,-2.17537,5
46,53.56703,-2.124,5
47,53.47058,-2.03474,5
48,53.55893,-2.14832,5
49,53.50932,-2.07782,5
50,53.50298,-2.09975,5
51,53.51701,-2.16968,5
52,53.50425,-2.15656,5
53,53.56152,-2.12018,5
54,53.48777,-2.19963,5
55,53.54062,-2.19121,5
56,53.4748,-2.07863,5
57,53.51097,-2.16949,5
58,53.51235,-2.0407,5
59,53.50035,-2.12029,5
60,53.5703,-2.10457,5
61,53.53708,-2.02897,5
62,53.54185,-2.13851,5
63,53.53248,-2.0927,5
64,53.54423,-2.18085,5
65,53.56892,-2.09836,5
66,53.5179,-2.0466,5
67,53.50735,-2.19291,5
68,53.5691,-2.13262,5
69,53.47347,-2.04086,5
70,53.50506,-2.04293,5
71,53.50741,-2.21158,5
72,53.5249,-2.15077,5
73,53.54428,-2.06787,5
74,53.53885,-2.17543,5
75,53.48416,-2.1501,5
76,53.55434,-2.08378,5
77,53.47394,-2.06881,5
78,53.55037,-2.09542,5
79,53.55694,-2.00645,5
80,53.51505,-2.07756,5
81,53.47969,-2.14996,5
82,53.50839,-2.14364,5
83,53.4788,-2.19912,5
84,53.54916,-2.16177,5
85,53.55823,-2.1323,5
86,53.53859,-2.12458,5
87,53.5355,-2.09729,5
88,53.53801,-2.12304,5
89,53.53375,-2.12403,5
90,53.50842,-2.13813,5
91,53.52297,-2.22028,5
92,53.49317,-2.078,5
93,53.54652,-2.08945,5
94,53.50283,-2.20031,5
95,53.5562,-2.01316,5
96,53.49735,-2.04257,5
97,53.52282,-2.12527,5
98,53.49795,-2.10295,5
99,53.49395,-2.18061,5
100,53.54692,-2.11506,5
101,53.49504,-2.19013,5
102,53.54623,-2.0634,5
103,53.54612,-2.09256,5
104,53.48871,-2.2225,5
105,53.48304,-2.2298,5
106,53.54469,-2.08847,5
107,53.50655,-2.21696,5
108,53.52815,-2.1077,5
109,53.47725,-2.14725,5
110,53.56753,-2.1235,5
111,53.53778,-2.05882,5
112,53.46289,-1.99664,5
113,53.51369,-2.14394,5
114,53.49532,-2.17139,5
115,53.53911,-2.11835,5
116,53.55416,-2.01659,5
117,53.54387,-2.09876,5
118,53.48564,-2.05703,5
119,53.49276,-2.05548,5
120,53.53708,-2.04127,5
121,53.52208,-2.03882,5
122,53.45992,-2.00042,5
123,53.49366,-2.08198,5
124,53.46407,-1.98925,5
125,53.46914,-2.07534,5
126,53.48943,-2.08794,5
127,53.48291,-2.15537,5
128,53.54703,-2.08838,5
129,53.52884,-2.20526,5
130,53.50503,-2.19297,5
131,53.4869,-2.19844,5
132,53.47782,-2.14277,5
133,53.5563,-2.14732,5
134,53.51884,-2.16767,5
135,53.47958,-2.19706,5
136,53.53788,-2.06374,5
137,53.55278,-2.13097,5
138,53.48303,-2.18186,5
139,53.54555,-2.0086,5
140,53.49225,-2.03348,5
141,53.5041,-2.18459,5
142,53.56431,-2.0209,5
143,53.50859,-2.08602,5
144,53.56075,-2.10329,5
145,53.54559,-2.10625,5
146,53.55375,-2.12095,5
147,53.49017,-2.08746,5
148,53.47079,-2.0616,5
149,53.48946,-2.15408,5
150,53.51309,-2.12764,5
151,53.4858,-2.04055,5
152,53.51757,-2.14667,5
153,53.52363,-2.20015,5
154,53.54437,-2.13784,5
155,53.54727,-2.07702,5
156,53.49916,-2.20012,5
157,53.52102,-2.05011,5
158,53.53984,-2.08829,5
159,53.55014,-2.07521,5
160,53.53487,-2.206,5
161,53.54507,-2.09544,5
162,53.49495,-2.18387,5
163,53.55067,-2.12974,5
164,53.53608,-2.12641,5
165,53.56785,-2.02386,5
166,53.5523,-2.08958,5
167,53.45788,-1.97622,5
168,53.50453,-2.15813,5
169,53.48711,-2.10339,5
170,53.57059,-2.13199,5
171,53.47373,-2.06162,5
172,53.57093,-2.09861,5
173,53.53778,-2.15116,5
174,53.49618,-2.12581,5
175,53.50929,-2.02823,5
176,53.54566,-2.14405,5
177,53.5267,-2.21029,5
178,53.5368,-2.04887,5
179,53.50234,-2.24489,5
180,53.51096,-2.0548,5
181,53.53678,-2.00889,5
182,53.53785,-2.14294,5
183,53.55838,-2.10426,5
184,53.47567,-2.09209,5
185,53.559,-2.1207,5
186,53.49357,-2.06038,5
187,53.54072,-2.19051,5
188,53.50049,-2.12056,5
189,53.53146,-2.14172,5
190,53.53061,-2.08924,5
191,53.49527,-2.08478,5
192,53.54459,-2.18173,5
193,53.52138,-2.16661,5
194,53.51675,-2.16823,5
195,53.50892,-2.19183,5
196,53.56981,-2.12915,5
197,53.47433,-2.04136,5
198,53.54395,-2.06759,5
199,53.5052,-2.04308,5
200,53.50731,-2.21082,5
201,53.52194,-2.03484,5
202,53.56028,-2.13177,5
203,53.56557,-2.07657,5
204,53.50254,-2.22529,5
205,53.52171,-2.15981,5
206,53.5523,-2.09306,5
207,53.51024,-2.07778,5
208,53.47958,-2.15026,5
209,53.50848,-2.1437,5
210,53.48243,-2.18315,5
211,53.56745,-1.99724,5
212,53.48344,-2.0392,5
213,53.50249,-2.1571,5
214,53.52843,-2.14046,5
215,53.53129,-2.12201,5
216,53.52245,-2.22402,5
217,53.49299,-2.07806,5
218,53.49295,-2.0772,5
219,53.5302,-2.17554,5
220,53.50216,-2.18348,5
221,53.49752,-2.04233,5
222,53.52235,-2.18265,5
223,53.47395,-2.14146,5
224,53.49402,-2.17882,5
225,53.54661,-2.11493,5
226,53.49574,-2.18818,5
227,53.54815,-2.06808,5
228,53.49978,-2.1787,5
229,53.50701,-2.2167,5
230,53.52843,-2.10764,5
231,53.53578,-2.18317,5
232,53.55493,-2.12287,5
233,53.47553,-2.15531,5
234,53.47206,-2.03221,5
235,53.51366,-2.14426,5
236,53.53575,-2.13103,5
237,53.53013,-2.06896,5
238,53.51571,-2.22745,5
239,53.47064,-2.06695,5
240,53.53722,-2.04929,5
241,53.52224,-2.03864,5
242,53.50952,-2.15509,5
243,53.54061,-2.13904,5
244,53.46395,-1.98922,5
245,53.54443,-2.11492,5
246,53.53291,-2.11496,5
247,53.54272,-2.17214,5
248,53.48206,-2.19563,5
249,53.54178,-2.13838,5
250,53.53762,-2.06881,5
251,53.49283,-2.07122,5
252,53.48252,-2.17905,5
253,53.5447,-2.00893,5
254,53.53794,-2.07374,5
255,53.49141,-2.03643,5
256,53.55536,-2.14876,5
257,53.50303,-2.18443,5
258,53.55376,-2.03226,5
259,53.50498,-2.14836,5
260,53.5088,-2.08191,5
261,53.49329,-2.10908,5
262,53.51855,-2.13244,5
263,53.56155,-2.10387,5
264,53.54721,-2.10623,5
265,53.51216,-2.1635,5
266,53.55058,-2.07633,5
267,53.53879,-2.17624,5
268,53.51353,-2.1272,5
269,53.50057,-2.07567,5
270,53.4719,-2.0557,5
271,53.50291,-2.19402,5
272,53.52275,-2.18533,5
273,53.53638,-2.10103,5
274,53.52664,-2.21277,5
275,53.49954,-2.06837,5
276,53.48979,-2.06829,5
277,53.54093,-2.17358,5
278,53.49368,-2.18967,5
279,53.5497,-2.12882,5
280,53.53669,-2.1327,5
281,53.51801,-2.03421,5
282,53.48287,-2.16754,5
283,53.55899,-2.07959,5
284,53.48661,-2.10467,5
285,53.54302,-2.09722,5
286,53.48252,-2.05636,5
287,53.48704,-2.0795,5
288,53.48748,-2.23219,5
289,53.56854,-2.09844,5
290,53.53968,-2.1501,5
291,53.51983,-2.0436,5
292,53.52322,-2.10112,5
293,53.46812,-2.02889,5
294,53.53576,-2.00549,5
295,53.53794,-2.14265,5
296,53.5466,-2.12013,5
297,53.47409,-2.09171,5
298,53.55906,-2.1205,5
299,53.48914,-2.05854,5
300,53.5378,-2.17985,5
301,53.49994,-2.11573,5
302,53.54241,-2.17547,5
303,53.51871,-2.04707,5
304,53.52205,-2.13026,5
305,53.50583,-2.22885,5
306,53.4994,-2.06187,5
307,53.53088,-2.20148,5
308,53.50911,-2.1915,5
309,53.47454,-2.04125,5
310,53.4895,-2.09754,5
311,53.51242,-2.24033,5
312,53.50261,-2.2587,5
313,53.52283,-2.03389,5
314,53.50215,-2.16346,5
315,53.56594,-2.07672,5
316,53.57153,-2.09828,5
317,53.48421,-2.05891,5
318,53.55002,-2.09631,5
319,53.5391,-2.13897,5
320,53.47934,-2.14429,5
321,53.47923,-2.1854,5
322,53.54963,-2.04137,5
323,53.48289,-2.15582,5
324,53.5115,-2.16987,5
325,53.52722,-2.138,5
326,53.53569,-2.12659,5
327,53.5423,-2.10367,5
328,53.47721,-2.16494,5
329,53.51665,-2.22042,5
330,53.51421,-2.10766,5
331,53.52572,-2.13552,5
332,53.52886,-2.17564,5
333,53.54069,-2.10966,5
334,53.49634,-2.10226,5
335,53.51953,-2.1825,5
336,53.54829,-2.18013,5
337,53.47839,-2.14619,5
338,53.54847,-2.06891,5
339,53.51953,-2.18153,5
340,53.471,-2.07365,5
341,53.49808,-2.24767,5
342,53.54548,-2.08273,5
343,53.51136,-2.18197,5
344,53.55625,-2.12431,5
345,53.5169,-2.12417,5
346,53.4754,-2.15749,5
347,53.51351,-2.02644,5
348,53.48141,-2.21808,5
349,53.50398,-2.15692,5
350,53.5358,-2.10326,5
351,53.49466,-2.20961,5
352,53.48101,-2.11855,5
353,53.50921,-2.1393,5
354,53.56986,-2.02505,5
355,53.48657,-2.04244,5
356,53.50937,-2.02841,5
357,53.53766,-2.0384,5
358,53.52378,-2.03699,5
359,53.50026,-2.17809,5
360,53.54792,-2.05353,5
361,53.46296,-1.99194,5
362,53.54467,-2.11509,5
363,53.55691,-2.12865,5
364,53.53796,-2.12996,5
365,53.49304,-2.07262,5
366,53.48405,-2.15008,5
367,53.48177,-2.20563,5
368,53.51118,-2.24459,5
369,53.48916,-2.22235,5
370,53.52542,-2.16349,5
371,53.49894,-2.1015,5
372,53.49786,-2.0687,5
373,53.55626,-2.14668,5
374,53.51333,-2.20753,5
375,53.55452,-2.0322,5
376,53.50816,-2.08212,5
377,53.54787,-2.08669,5
378,53.55794,-2.10422,5
379,53.47975,-2.15228,5
380,53.54879,-2.1069,5
381,53.52858,-2.03764,5
382,53.47087,-2.06043,5
383,53.51027,-2.16307,5
384,53.56434,-2.06731,5
385,53.51156,-2.13121,5
386,53.49318,-2.11092,5
387,53.51523,-2.15013,5
388,53.52288,-2.18852,5
389,53.52601,-2.21291,5
390,53.54143,-2.09184,5
391,53.48586,-2.17266,5
392,53.53657,-2.20484,5
393,53.48139,-2.16693,5
394,53.55662,-2.08206,5
395,53.54853,-2.12008,5
396,53.50654,-2.14998,5
397,53.53862,-2.17522,5
398,53.53775,-2.19371,5
399,53.50749,-2.14828,5
400,53.51657,-2.18947,5
401,53.53494,-2.1524,5
402,53.51994,-2.04366,5
403,53.52495,-2.10075,5
404,53.53102,-2.07309,5
405,53.49918,-2.21324,5
406,53.49898,-2.17716,5
407,53.45089,-1.9377,5
408,53.53745,-2.18072,5
409,53.5497,-2.13525,5
410,53.5377,-2.05369,5
411,53.5003,-2.11409,5
412,53.53295,-2.09384,5
413,53.5416,-2.17386,5
414,53.54741,-2.15207,5
415,53.49891,-2.06256,5
416,53.52687,-2.02528,5
417,53.56831,-2.12888,5
418,53.50503,-2.19667,5
419,53.47613,-2.04228,5
420,53.56408,-2.00054,5
421,53.48292,-2.16771,5
422,53.48427,-2.05709,5
423,53.50013,-2.17188,5
424,53.47957,-2.14639,5
425,53.47871,-2.18431,5
426,53.47037,-2.08822,5
427,53.50054,-2.15703,5
428,53.56692,-2.11823,5
429,53.53393,-2.12443,5
430,53.51384,-2.2236,5
431,53.49144,-2.08454,5
432,53.51471,-2.10796,5
