ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,118,2,2,2,2.137
1,118,2,2,2,2.137
1,118,2,2,2,2.137
1,118,2,2,2,2.137
1,158,2,2,4,5.127
1,158,2,2,4,5.127
1,158,2,2,4,5.127
1,158,2,2,4,5.127
1,158,2,2,4,5.127
1,158,2,2,4,5.127
1,188,2,2,4,4.572
1,188,2,2,4,4.572
1,188,2,2,4,4.572
1,188,2,2,4,4.572
53,121,2,2,6,6.665
53,121,2,2,6,6.665
53,121,2,2,6,6.665
53,121,2,2,6,6.665
53,158,2,2,1,1.236
53,158,2,2,1,1.236
53,158,2,2,1,1.236
53,158,2,2,1,1.236
53,158,2,2,1,1.236
53,158,2,2,1,1.236
118,1,2,2,2,2.137
118,1,2,2,2,2.137
118,1,2,2,2,2.137
118,1,2,2,2,2.137
118,188,2,2,3,2.457
118,188,2,2,3,2.457
118,188,2,2,3,2.457
118,188,2,2,3,2.457
121,53,2,2,5,6.665
121,53,2,2,5,6.665
121,53,2,2,5,6.665
121,53,2,2,5,6.665
121,158,2,2,4,7.749
121,158,2,2,4,7.749
121,158,2,2,4,7.749
121,158,2,2,4,7.749
121,158,2,2,4,7.749
121,158,2,2,4,7.749
136,154,2,2,3,1.572
136,154,2,2,3,1.572
136,154,2,2,3,1.572
136,154,2,2,3,1.572
154,136,2,2,3,1.572
154,136,2,2,3,1.572
154,136,2,2,3,1.572
154,136,2,2,3,1.572
158,1,2,2,2,5.127
158,1,2,2,2,5.127
158,1,2,2,2,5.127
158,1,2,2,2,5.127
158,1,2,2,2,5.127
158,1,2,2,2,5.127
158,53,2,2,2,1.236
158,53,2,2,2,1.236
158,53,2,2,2,1.236
158,53,2,2,2,1.236
158,53,2,2,2,1.236
158,53,2,2,2,1.236
158,121,2,2,4,7.749
158,121,2,2,4,7.749
158,121,2,2,4,7.749
158,121,2,2,4,7.749
158,121,2,2,4,7.749
158,121,2,2,4,7.749
188,1,2,2,4,4.572
188,1,2,2,4,4.572
188,1,2,2,4,4.572
188,1,2,2,4,4.572
188,118,2,2,1,2.457
188,118,2,2,1,2.457
188,118,2,2,1,2.457
188,118,2,2,1,2.457
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,96,5,5,1,0.578
1,96,5,5,1,0.578
1,185,5,5,2,0.667
1,185,5,5,2,0.667
1,192,5,5,1,0.531
1,192,5,5,1,0.531
1,364,5,5,1,0.644
1,364,5,5,1,0.644
1,426,5,5,1,0.692
1,426,5,5,1,0.692
2,123,5,5,1,0.267
3,192,5,5,1,0.328
3,257,5,5,1,0.267
4,147,5,5,1,0.66
4,433,5,5,1,0.541
5,178,5,5,3,0.6
5,178,5,5,3,0.6
5,178,5,5,3,0.6
5,199,5,5,1,0.239
6,7,5,5,1,0.262
6,474,5,5,1,0.393
7,6,5,5,1,0.262
7,154,5,5,1,0.618
7,154,5,5,1,0.618
8,94,5,5,1,0.252
9,349,5,5,1,0.194
9,525,5,5,1,0.158
10,22,5,5,1,0.127
10,108,5,5,1,0.164
11,110,5,5,1,0.173
11,288,5,5,1,0.216
12,182,5,5,1,0.249
12,197,5,5,1,0.316
13,14,5,5,1,0.257
13,59,5,5,1,0.184
14,13,5,5,1,0.257
14,45,5,5,4,1.014
14,392,5,5,1,0.241
15,158,5,5,2,1.207
15,158,5,5,2,1.207
15,158,5,5,2,1.207
15,186,5,5,3,0.532
15,194,5,5,1,0.437
15,251,5,5,1,0.43
15,302,5,5,1,0.299
15,406,5,5,1,0.234
16,39,5,5,1,0.157
16,269,5,5,1,0.27
16,479,5,5,1,0.194
17,212,5,5,3,0.652
17,390,5,5,2,0.27
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,54,5,5,1,0.534
18,54,5,5,1,0.534
18,89,5,5,1,0.555
18,89,5,5,1,0.555
19,24,5,5,1,0.333
19,311,5,5,1,0.141
20,155,5,5,1,0.134
20,183,5,5,1,0.273
20,307,5,5,1,0.299
21,195,5,5,1,0.222
21,318,5,5,1,0.196
22,10,5,5,1,0.127
22,377,5,5,1,0.325
22,391,5,5,1,0.238
23,24,5,5,1,0.379
23,156,5,5,1,0.189
24,19,5,5,1,0.333
24,23,5,5,1,0.379
25,90,5,5,1,0.344
25,419,5,5,1,0.592
26,27,5,5,1,0.109
26,164,5,5,1,0.126
