nodeid,lat,lon,layer
1,55.83469,-4.50362,5
1,55.83469,-4.50362,2
2,55.89812,-4.45061,5
3,55.83563,-4.49028,5
4,55.8444,-4.51032,5
5,55.86119,-4.42454,5
6,55.83453,-4.39531,5
7,55.83688,-4.39579,5
8,55.86674,-4.39341,5
9,55.91233,-4.51355,5
10,55.845,-4.43647,5
11,55.85176,-4.45269,5
12,55.83131,-4.51497,5
13,55.83313,-4.44333,5
14,55.83513,-4.44123,5
15,55.84086,-4.44006,5
16,55.82846,-4.46506,5
17,55.8509,-4.40448,5
18,55.96037,-4.65306,2
18,55.96037,-4.65306,5
19,55.82084,-4.42407,5
20,55.8246,-4.43331,5
21,55.84037,-4.4564,5
22,55.84442,-4.43471,5
23,55.81926,-4.43368,5
24,55.81863,-4.4277,5
25,55.88606,-4.43815,5
26,55.83249,-4.49022,5
27,55.8321,-4.4886,5
28,55.83438,-4.48049,5
29,55.83672,-4.48058,5
30,55.83762,-4.47937,5
31,55.82959,-4.48557,5
32,55.83219,-4.48088,5
33,55.94885,-4.59794,5
34,55.85407,-4.40305,5
35,55.85264,-4.41277,5
36,55.86562,-4.40223,5
37,55.77973,-4.44024,5
38,55.85829,-4.53528,5
39,55.82735,-4.46663,5
40,55.91418,-4.50191,5
41,55.8498,-4.49112,5
42,55.847,-4.48506,5
43,55.83636,-4.44525,5
44,55.87197,-4.39675,5
45,55.82604,-4.44298,5
46,55.85663,-4.42628,5
47,55.82912,-4.4581,5
48,55.84543,-4.41207,5
49,55.89201,-4.43901,5
50,55.85539,-4.43325,5
51,55.91197,-4.51532,5
52,55.84411,-4.46514,5
53,55.8521,-4.44244,2
53,55.8521,-4.44244,5
54,55.95828,-4.64532,5
55,55.84067,-4.51988,5
56,55.83575,-4.55223,5
57,55.83435,-4.54881,5
58,55.83326,-4.5435,5
59,55.83376,-4.44607,5
60,55.821,-4.53828,5
61,55.82654,-4.52311,5
62,55.8367,-4.41145,5
63,55.85911,-4.52269,5
64,55.86106,-4.52515,5
65,55.85992,-4.53077,5
66,55.83778,-4.41345,5
67,55.81705,-4.54253,5
68,55.83864,-4.47239,5
69,55.85474,-4.43168,5
70,55.90992,-4.50968,5
71,55.88011,-4.44444,5
72,55.88067,-4.43973,5
73,55.82081,-4.44808,5
74,55.91692,-4.53096,5
75,55.88806,-4.42824,5
76,55.88952,-4.43206,5
77,55.84992,-4.49327,5
78,55.85751,-4.43035,5
79,55.85636,-4.52402,5
80,55.973,-4.67569,5
81,55.96956,-4.66957,5
82,55.97988,-4.68309,5
83,55.9759,-4.67846,5
84,55.96681,-4.66352,5
85,55.83069,-4.52676,5
86,55.83462,-4.5171,5
87,55.83313,-4.52079,5
88,55.83743,-4.51606,5
89,55.96455,-4.65798,5
90,55.88355,-4.4349,5
91,55.8503,-4.5047,5
92,55.81314,-4.55357,5
93,55.86434,-4.39564,5
94,55.86553,-4.39684,5
95,55.85077,-4.50999,5
96,55.83671,-4.51217,5
97,55.82955,-4.53073,5
98,55.89991,-4.4654,5
99,55.90193,-4.47123,5
100,55.90113,-4.47597,5
101,55.85314,-4.43254,5
102,55.84687,-4.45715,5
103,55.85638,-4.43263,5
104,55.79008,-4.414,5
105,55.83048,-4.40536,5
106,55.81691,-4.41059,5
107,55.98535,-4.68841,5
108,55.84621,-4.438,5
109,55.84837,-4.45577,5
110,55.85037,-4.45395,5
111,55.82043,-4.53614,5
112,55.82928,-4.42934,5
