ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,299,5,5,1,0.781
1,300,5,5,2,0.546
1,336,5,5,1,0.754
1,353,5,5,1,0.407
2,66,5,5,1,0.457
2,69,5,5,1,0.52
3,167,5,5,1,0.278
3,278,5,5,1,0.224
4,5,5,5,4,0.741
5,4,5,5,3,0.741
5,152,5,5,1,1.296
6,90,5,5,1,0.371
6,263,5,5,1,0.366
7,34,5,5,1,0.993
7,189,5,5,1,0.529
7,231,5,5,3,1.114
7,313,5,5,3,2.399
8,9,5,5,1,0.282
8,103,5,5,1,0.442
8,142,5,5,1,0.333
9,8,5,5,1,0.282
9,103,5,5,1,0.16
10,11,5,5,1,0.302
10,17,5,5,1,0.414
11,10,5,5,1,0.302
11,12,5,5,1,0.253
12,11,5,5,1,0.253
12,13,5,5,1,0.284
12,324,5,5,1,0.206
13,12,5,5,1,0.284
13,48,5,5,1,0.142
14,15,5,5,1,0.197
14,198,5,5,1,0.556
15,14,5,5,1,0.197
15,16,5,5,1,0.263
16,15,5,5,1,0.263
16,17,5,5,1,0.485
16,342,5,5,3,0.514
17,10,5,5,1,0.414
17,16,5,5,1,0.485
18,19,5,5,1,0.294
18,138,5,5,1,0.671
18,231,5,5,6,3.537
18,246,5,5,4,2.083
19,18,5,5,1,0.294
19,38,5,5,1,0.758
19,38,5,5,1,0.758
19,38,5,5,1,0.758
20,191,5,5,1,0.274
20,301,5,5,1,0.243
21,183,5,5,1,0.507
21,190,5,5,1,0.65
21,231,5,5,4,0.97
22,38,5,5,1,0.772
22,38,5,5,1,0.772
22,38,5,5,1,0.772
22,40,5,5,1,0.316
22,96,5,5,1,0.287
23,24,5,5,1,0.374
23,38,5,5,3,0.932
23,38,5,5,3,0.932
23,38,5,5,3,0.932
23,46,5,5,1,0.366
23,117,5,5,1,0.164
24,23,5,5,1,0.374
24,112,5,5,1,0.348
24,117,5,5,2,0.393
24,232,5,5,1,0.379
25,175,5,5,1,0.35
25,341,5,5,1,0.204
26,130,5,5,1,0.861
26,225,5,5,1,0.909
27,38,5,5,1,0.594
27,38,5,5,1,0.594
27,38,5,5,1,0.594
27,197,5,5,1,0.378
27,230,5,5,6,2.523
27,258,5,5,1,0.271
28,159,5,5,7,1.681
28,161,5,5,2,0.582
28,229,5,5,1,0.182
28,359,5,5,1,0.452
29,233,5,5,2,0.338
29,320,5,5,1,0.184
30,32,5,5,1,0.365
30,97,5,5,1,0.195
31,128,5,5,1,0.054
31,388,5,5,1,0.079
32,30,5,5,1,0.365
32,296,5,5,1,0.081
32,356,5,5,1,0.365
33,104,5,5,2,0.175
33,124,5,5,1,0.344
34,7,5,5,1,0.993
34,104,5,5,1,0.14
34,189,5,5,3,1.414
35,109,5,5,1,0.286
35,421,5,5,1,0.111
36,127,5,5,1,0.296
36,216,5,5,1,0.187
36,223,5,5,1,0.257
37,149,5,5,1,0.907
37,160,5,5,1,0.471
38,18,5,5,1,1.042
38,18,5,5,1,1.042
38,18,5,5,1,1.042
38,19,5,5,1,0.758
38,19,5,5,1,0.758
38,19,5,5,1,0.758
38,22,5,5,1,0.772
38,22,5,5,1,0.772
38,22,5,5,1,0.772
38,23,5,5,3,0.932
38,23,5,5,3,0.932
38,23,5,5,3,0.932
38,27,5,5,1,0.594
38,27,5,5,1,0.594
38,27,5,5,1,0.594
38,28,5,5,5,2.96
38,28,5,5,5,2.96
38,28,5,5,5,2.96
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,38,5,5,2,0.0
38,49,5,5,1,0.705
38,49,5,5,1,0.705
38,49,5,5,1,0.705
38,82,5,5,15,5.166
38,82,5,5,15,5.166
38,82,5,5,15,5.166
38,139,5,5,5,1.049
38,139,5,5,5,1.049
38,139,5,5,5,1.049
38,159,5,5,1,2.803
38,159,5,5,1,2.803
38,159,5,5,1,2.803
38,232,5,5,1,0.574
38,232,5,5,1,0.574
38,232,5,5,1,0.574
38,280,5,5,1,0.577
38,280,5,5,1,0.577
38,280,5,5,1,0.577
38,312,5,5,1,0.355
38,312,5,5,1,0.355
38,312,5,5,1,0.355
38,329,5,5,1,3.115
38,329,5,5,1,3.115
38,329,5,5,1,3.115
38,376,5,5,1,0.517
38,376,5,5,1,0.517
38,376,5,5,1,0.517
38,416,5,5,2,5.337
38,416,5,5,2,5.337
38,416,5,5,2,5.337
39,59,5,5,2,0.743
39,295,5,5,1,0.356
39,348,5,5,1,0.357
40,22,5,5,1,0.316
40,117,5,5,2,0.383
40,125,5,5,1,0.305
41,54,5,5,1,0.296
41,210,5,5,1,0.234
41,213,5,5,1,0.218
41,214,5,5,1,0.503
41,346,5,5,1,0.246
42,76,5,5,1,0.372
42,77,5,5,1,0.309
42,140,5,5,1,0.126
42,169,5,5,1,0.407
43,61,5,5,1,0.321
43,339,5,5,1,0.344
43,340,5,5,1,0.454
44,202,5,5,1,0.243
44,339,5,5,1,0.295
45,96,5,5,1,0.264
45,252,5,5,1,0.268
46,23,5,5,1,0.366
46,47,5,5,1,0.264
47,46,5,5,1,0.264
47,251,5,5,1,0.208
48,13,5,5,1,0.142
48,261,5,5,1,0.226
49,38,5,5,1,0.705
49,38,5,5,1,0.705
49,38,5,5,1,0.705
49,106,5,5,1,0.47
49,121,5,5,2,0.902
49,175,5,5,3,0.414
49,203,5,5,1,0.349
50,50,5,5,1,0.0
50,78,5,5,1,0.455
50,126,5,5,1,0.294
50,129,5,5,1,0.32
50,260,5,5,1,0.313
50,266,5,5,1,0.213
51,52,5,5,1,0.311
51,53,5,5,1,0.462
52,51,5,5,1,0.311
52,239,5,5,3,1.821
53,51,5,5,1,0.462
53,194,5,5,1,0.204
54,41,5,5,1,0.296
54,332,5,5,1,0.166
55,79,5,5,1,0.797
55,156,5,5,2,0.662
55,331,5,5,1,0.51
56,177,5,5,1,0.267
56,411,5,5,1,0.472
57,66,5,5,1,0.427
57,67,5,5,1,0.472
58,58,5,5,1,0.0
58,155,5,5,1,0.588
58,222,5,5,1,0.381
58,367,5,5,1,0.464
59,39,5,5,3,0.743
59,153,5,5,3,0.67
59,169,5,5,1,0.31
60,55,5,5,1,0.296
60,60,5,5,1,0.0
60,231,5,5,4,2.664
60,331,5,5,1,0.277
61,43,5,5,1,0.321
61,70,5,5,1,0.202
61,95,5,5,2,0.363
62,119,5,5,1,0.362
62,185,5,5,1,0.243
62,412,5,5,1,0.367
63,64,5,5,1,0.474
63,163,5,5,1,0.431
63,354,5,5,1,0.557
64,63,5,5,1,0.474
64,253,5,5,1,0.461
64,255,5,5,1,0.463
64,306,5,5,1,0.452
65,176,5,5,1,0.303
65,328,5,5,1,0.306
66,2,5,5,1,0.457
66,57,5,5,1,0.427
67,57,5,5,1,0.472
67,176,5,5,1,0.445
68,69,5,5,1,0.39
68,254,5,5,1,0.701
68,360,5,5,2,0.606
69,2,5,5,1,0.52
69,68,5,5,1,0.39
70,61,5,5,1,0.202
70,140,5,5,1,0.31
71,72,5,5,1,0.132
71,95,5,5,1,0.3
72,71,5,5,1,0.132
72,73,5,5,1,0.348
73,72,5,5,1,0.348
73,74,5,5,1,0.167
74,73,5,5,1,0.167
74,75,5,5,1,0.186
75,74,5,5,1,0.186
75,147,5,5,1,0.235
75,343,5,5,1,0.309
75,396,5,5,1,0.134
76,42,5,5,1,0.372
76,147,5,5,1,0.219
77,42,5,5,1,0.309
77,78,5,5,1,0.24
78,50,5,5,1,0.455
78,77,5,5,1,0.24
79,55,5,5,2,0.797
79,226,5,5,1,0.215
80,118,5,5,1,1.393
80,160,5,5,1,0.481
81,115,5,5,1,0.426
81,118,5,5,1,0.712
81,143,5,5,1,0.403
81,246,5,5,1,0.346
82,38,5,5,17,5.166
82,38,5,5,17,5.166
82,38,5,5,17,5.166
82,83,5,5,1,0.284
82,85,5,5,1,0.23
83,37,5,5,2,0.589
83,82,5,5,1,0.284
83,160,5,5,1,0.158
84,87,5,5,1,0.337
84,289,5,5,1,0.207
84,290,5,5,1,0.284
85,82,5,5,1,0.23
85,118,5,5,2,1.349
85,291,5,5,1,0.186
86,87,5,5,1,0.371
86,89,5,5,1,0.184
87,84,5,5,1,0.337
87,86,5,5,1,0.371
88,89,5,5,1,0.351
88,118,5,5,2,0.776
89,86,5,5,1,0.184
89,88,5,5,1,0.351
90,5,5,5,1,0.932
90,6,5,5,1,0.371
90,152,5,5,1,0.607
91,6,5,5,1,0.106
91,275,5,5,1,0.337
92,173,5,5,1,0.163
92,243,5,5,1,0.146
92,250,5,5,1,0.264
93,192,5,5,1,0.223
93,211,5,5,1,0.3
94,195,5,5,1,0.468
95,61,5,5,2,0.363
95,71,5,5,1,0.3
95,406,5,5,2,0.479
96,22,5,5,1,0.287
96,45,5,5,1,0.264
97,30,5,5,1,0.195
97,139,5,5,1,0.265
97,285,5,5,1,0.305
97,360,5,5,6,1.0
98,107,5,5,1,0.414
98,384,5,5,1,0.19
99,100,5,5,1,0.348
99,101,5,5,1,0.487
99,138,5,5,1,0.437
100,99,5,5,1,0.348
100,286,5,5,1,0.388
101,65,5,5,1,0.346
101,99,5,5,1,0.487
102,125,5,5,1,0.334
102,126,5,5,1,0.305
102,386,5,5,1,0.232
103,8,5,5,1,0.442
103,9,5,5,1,0.16
103,104,5,5,1,0.353
104,33,5,5,1,0.175
104,34,5,5,1,0.14
104,103,5,5,2,0.353
104,121,5,5,1,0.511
104,141,5,5,1,0.741
105,144,5,5,1,0.36
105,148,5,5,1,0.298
105,188,5,5,1,0.38
105,230,5,5,1,0.414
105,241,5,5,1,0.222
106,121,5,5,1,0.448
106,141,5,5,1,0.3
106,175,5,5,1,0.406
107,98,5,5,1,0.414
107,138,5,5,1,0.288
108,123,5,5,1,0.222
108,165,5,5,1,0.461
108,419,5,5,1,0.223
109,35,5,5,1,0.286
109,157,5,5,1,0.374
110,60,5,5,1,0.155
110,158,5,5,1,0.319
111,158,5,5,1,0.316
112,24,5,5,1,0.348
112,232,5,5,2,0.721
112,234,5,5,1,0.427
113,214,5,5,1,0.514
113,332,5,5,1,0.373
114,156,5,5,1,0.057
114,338,5,5,1,0.081
115,81,5,5,2,0.426
115,116,5,5,1,0.265
116,115,5,5,1,0.265
116,245,5,5,1,0.395
117,24,5,5,1,0.393
117,40,5,5,1,0.383
118,81,5,5,1,0.712
118,118,5,5,1,0.0
118,143,5,5,1,0.311
118,245,5,5,1,0.531
118,268,5,5,1,0.435
118,377,5,5,1,0.23
119,62,5,5,2,0.362
119,179,5,5,1,0.309
119,412,5,5,1,0.431
120,170,5,5,1,0.188
120,404,5,5,1,0.056
121,104,5,5,1,0.511
121,141,5,5,1,0.233
122,141,5,5,1,0.261
122,214,5,5,1,0.363
122,414,5,5,1,0.264
123,108,5,5,1,0.222
123,287,5,5,1,0.415
123,288,5,5,1,0.192
123,360,5,5,1,0.606
124,33,5,5,1,0.344
124,212,5,5,1,0.331
125,40,5,5,1,0.305
125,102,5,5,1,0.334
126,50,5,5,1,0.294
126,102,5,5,1,0.305
126,260,5,5,3,0.6
127,36,5,5,1,0.296
127,130,5,5,1,0.522
128,31,5,5,1,0.054
128,133,5,5,1,0.191
128,271,5,5,1,0.322
128,274,5,5,1,0.162
129,28,5,5,1,0.786
129,50,5,5,1,0.32
129,159,5,5,8,1.777
129,161,5,5,3,1.16
129,264,5,5,1,0.188
129,378,5,5,1,0.301
130,26,5,5,1,0.861
130,127,5,5,1,0.522
130,229,5,5,1,0.575
130,321,5,5,1,0.304
131,132,5,5,2,0.258
131,134,5,5,1,0.242
132,131,5,5,2,0.258
132,217,5,5,3,0.262
133,128,5,5,1,0.191
133,134,5,5,1,0.147
134,131,5,5,1,0.242
134,133,5,5,1,0.147
135,193,5,5,1,0.167
135,226,5,5,1,0.25
136,154,5,5,1,0.225
136,174,5,5,1,0.358
137,137,5,5,1,0.0
137,151,5,5,1,0.358
137,217,5,5,1,0.315
137,409,5,5,1,0.383
138,18,5,5,1,0.671
138,99,5,5,1,0.437
138,107,5,5,1,0.288
138,176,5,5,1,0.81
139,38,5,5,6,1.049
139,38,5,5,6,1.049
139,38,5,5,6,1.049
139,97,5,5,1,0.265
139,385,5,5,1,0.144
140,42,5,5,1,0.126
140,70,5,5,1,0.31
140,202,5,5,1,0.203
141,49,5,5,1,0.769
141,122,5,5,1,0.261
141,334,5,5,1,0.181
142,8,5,5,1,0.333
142,231,5,5,3,1.36
143,81,5,5,1,0.403
143,118,5,5,1,0.311
143,246,5,5,2,0.735
143,377,5,5,1,0.531
144,105,5,5,1,0.36
144,145,5,5,1,0.322
145,144,5,5,1,0.322
145,413,5,5,1,0.177
146,75,5,5,1,0.264
147,75,5,5,1,0.235
147,76,5,5,1,0.219
147,146,5,5,1,0.494
148,105,5,5,1,0.298
148,236,5,5,1,0.393
149,37,5,5,1,0.907
150,151,5,5,1,0.189
150,243,5,5,1,0.417
150,374,5,5,1,0.319
151,137,5,5,1,0.358
151,150,5,5,1,0.189
152,5,5,5,1,1.296
152,90,5,5,1,0.607
152,155,5,5,1,0.927
153,59,5,5,3,0.67
153,248,5,5,1,0.54
153,249,5,5,1,0.258
154,136,5,5,1,0.225
154,172,5,5,1,0.359
154,173,5,5,1,0.31
155,58,5,5,1,0.588
155,152,5,5,1,0.927
155,225,5,5,1,0.521
156,60,5,5,1,0.494
156,418,5,5,1,0.117
157,109,5,5,2,0.374
157,156,5,5,1,0.512
157,393,5,5,1,0.219
157,417,5,5,1,0.348
158,110,5,5,1,0.319
158,111,5,5,1,0.316
159,28,5,5,6,1.681
159,38,5,5,1,2.803
159,38,5,5,1,2.803
159,38,5,5,1,2.803
159,68,5,5,1,0.543
159,253,5,5,1,0.722
159,255,5,5,1,0.711
159,360,5,5,1,0.591
159,429,5,5,1,0.221
160,37,5,5,1,0.471
160,80,5,5,1,0.481
160,83,5,5,1,0.158
161,28,5,5,2,0.582
161,162,5,5,1,0.73
161,164,5,5,1,0.453
161,359,5,5,10,0.851
162,161,5,5,2,0.73
162,267,5,5,2,0.328
163,63,5,5,1,0.431
163,164,5,5,1,0.367
163,355,5,5,1,0.406
164,161,5,5,1,0.453
164,163,5,5,1,0.367
165,267,5,5,1,0.223
165,420,5,5,1,0.185
166,297,5,5,1,0.212
166,424,5,5,1,0.053
167,3,5,5,1,0.278
167,174,5,5,1,0.407
168,228,5,5,1,0.511
168,364,5,5,1,0.297
169,42,5,5,1,0.407
169,59,5,5,1,0.31
170,120,5,5,1,0.188
