nodeid,lat,lon,layer
1,52.56204,-0.25883,5
2,52.57802,-0.29077,5
3,52.60576,-0.2392,5
4,52.64322,-0.31557,5
5,52.6376,-0.30963,5
6,52.6383,-0.29806,5
7,52.54834,-0.24998,5
8,52.55544,-0.25934,5
9,52.55587,-0.25522,5
10,52.57583,-0.20824,5
11,52.5771,-0.21221,5
12,52.57867,-0.21493,5
13,52.57925,-0.21083,5
14,52.57103,-0.22486,5
15,52.57096,-0.22194,5
16,52.57096,-0.21803,5
17,52.57262,-0.21138,5
18,52.57288,-0.26488,5
19,52.57289,-0.26052,5
20,52.55744,-0.26487,5
21,52.54806,-0.27008,5
22,52.5807,-0.24329,5
23,52.5804,-0.23925,5
24,52.57711,-0.24045,5
25,52.56537,-0.25142,5
26,52.61145,-0.27944,5
27,52.57405,-0.24116,5
28,52.60017,-0.26427,5
29,52.57891,-0.22784,5
30,52.5824,-0.26105,5
31,52.60613,-0.26367,5
32,52.57911,-0.26121,5
33,52.55774,-0.24711,5
34,52.55729,-0.24971,5
35,52.55329,-0.20727,5
36,52.61207,-0.27636,5
37,52.54847,-0.32768,5
38,52.57499,-0.24983,2
38,52.57499,-0.24983,5
38,52.57499,-0.24983,4
39,52.60616,-0.24727,5
40,52.58332,-0.24514,5
41,52.55815,-0.22924,5
42,52.59537,-0.24175,5
43,52.59076,-0.23751,5
44,52.59061,-0.24041,5
45,52.58541,-0.2424,5
46,52.58354,-0.23755,5
47,52.58582,-0.23868,5
48,52.58035,-0.20975,5
49,52.57009,-0.24318,5
50,52.59216,-0.25453,5
51,52.60729,-0.19658,5
52,52.60524,-0.19974,5
53,52.60901,-0.19033,5
54,52.55581,-0.22711,5
55,52.54907,-0.22799,5
56,52.55355,-0.21611,5
57,52.57131,-0.29594,5
58,52.61827,-0.28582,5
59,52.59961,-0.2496,5
60,52.55136,-0.22573,5
61,52.59269,-0.23396,5
62,52.54247,-0.30095,5
63,52.60388,-0.28626,5
64,52.59992,-0.28891,5
65,52.57301,-0.28115,5
66,52.57516,-0.29565,5
67,52.57305,-0.28955,5
68,52.58582,-0.28664,5
69,52.5824,-0.28802,5
70,52.59408,-0.2359,5
71,52.59657,-0.23444,5
72,52.59731,-0.23598,5
73,52.59914,-0.23178,5
74,52.60054,-0.23087,5
75,52.6009,-0.23357,5
76,52.59802,-0.23837,5
77,52.59584,-0.24627,5
78,52.59485,-0.24944,5
79,52.54192,-0.22908,5
80,52.55133,-0.3146,5
81,52.55488,-0.28412,5
82,52.55347,-0.31771,5
83,52.55198,-0.32113,5
84,52.55509,-0.31427,5
85,52.55284,-0.31445,5
86,52.55819,-0.31265,5
87,52.55718,-0.3179,5
88,52.55557,-0.30605,5
89,52.55755,-0.31012,5
90,52.63511,-0.29641,5
91,52.63898,-0.29695,5
92,52.61108,-0.256,5
93,52.55784,-0.22138,5
94,52.61932,-0.18665,5
95,52.59523,-0.23057,5
96,52.58325,-0.24405,5
97,52.58254,-0.26394,5
98,52.57837,-0.26528,5
99,52.579,-0.27466,5
100,52.57989,-0.27961,5
101,52.57606,-0.28003,5
102,52.5889,-0.24752,5
103,52.5562,-0.25291,5
104,52.55854,-0.24935,5
105,52.58883,-0.21829,5
106,52.56587,-0.24249,5
107,52.57656,-0.27065,5
108,52.58528,-0.26975,5
109,52.55089,-0.20571,5
110,52.551,-0.2235,5
111,52.54717,-0.21842,5
112,52.57992,-0.23814,5
113,52.55736,-0.22955,5
114,52.55111,-0.21867,5
115,52.55348,-0.29,5
116,52.55109,-0.28975,5
117,52.58058,-0.24167,5
118,52.55459,-0.29466,5
119,52.54506,-0.30423,5
120,52.59978,-0.25133,5
121,52.56199,-0.24433,5
122,52.56088,-0.24119,5
123,52.58328,-0.26983,5
124,52.5578,-0.242,5
125,52.586,-0.24619,5
126,52.59028,-0.25144,5
127,52.60964,-0.27452,5
128,52.60591,-0.2644,5
129,52.59437,-0.25758,5
130,52.60523,-0.27181,5
131,52.60983,-0.26859,5
132,52.61198,-0.27005,5
133,52.60762,-0.26473,5
134,52.6089,-0.26533,5
135,52.53782,-0.22875,5
136,52.61123,-0.24714,5
137,52.61503,-0.26683,5
138,52.57507,-0.27415,5
139,52.58211,-0.26007,5
140,52.59455,-0.24044,5
141,52.56323,-0.24153,5
142,52.55331,-0.26282,5
143,52.55445,-0.29005,5
144,52.59126,-0.21475,5
145,52.59393,-0.21286,5
146,52.60195,-0.23005,5
147,52.59946,-0.23613,5
148,52.58857,-0.22269,5
149,52.54387,-0.33879,5
150,52.61059,-0.2634,5
151,52.61222,-0.26422,5
152,52.62967,-0.2955,5
153,52.60562,-0.24867,5
154,52.61268,-0.24948,5
155,52.62148,-0.29277,5
156,52.5506,-0.21851,5
157,52.54988,-0.21101,5
158,52.54815,-0.22282,5
159,52.59019,-0.28302,5
160,52.55058,-0.32162,5
161,52.59928,-0.27278,5
162,52.59339,-0.26795,5
163,52.60496,-0.28012,5
164,52.60293,-0.27581,5
165,52.58892,-0.26644,5
166,52.59924,-0.25629,5
167,52.60794,-0.23716,5
168,52.60255,-0.25225,5
169,52.59738,-0.24681,5
170,52.59972,-0.25412,5
171,52.61601,-0.25511,5
172,52.61573,-0.25125,5
173,52.61164,-0.25376,5
174,52.60964,-0.24251,5
175,52.56762,-0.24778,5
176,52.57089,-0.28399,5
177,52.55412,-0.21996,5
178,52.55181,-0.30595,5
