ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,9,1,1,7,0.92
1,9,1,1,7,0.92
1,9,1,1,7,0.92
1,9,1,1,7,0.92
3,5,1,1,7,0.634
3,5,1,1,7,0.634
3,5,1,1,7,0.634
3,5,1,1,7,0.634
5,3,1,1,7,0.634
5,3,1,1,7,0.634
5,3,1,1,7,0.634
5,3,1,1,7,0.634
6,11,1,1,4,0.588
6,11,1,1,4,0.588
6,11,1,1,4,0.588
6,11,1,1,4,0.588
9,1,1,1,7,0.92
9,1,1,1,7,0.92
9,1,1,1,7,0.92
9,1,1,1,7,0.92
11,6,1,1,4,0.588
11,6,1,1,4,0.588
11,6,1,1,4,0.588
11,6,1,1,4,0.588
2,4,2,2,4,1.94
2,4,2,2,4,1.94
2,4,2,2,4,1.94
2,4,2,2,4,1.94
2,7,2,2,6,4.199
2,7,2,2,6,4.199
2,7,2,2,6,4.199
2,7,2,2,6,4.199
2,7,2,2,6,4.199
2,7,2,2,6,4.199
2,12,2,2,1,0.546
2,12,2,2,1,0.546
2,12,2,2,1,0.546
2,12,2,2,1,0.546
4,2,2,2,2,1.94
4,2,2,2,2,1.94
4,2,2,2,2,1.94
4,2,2,2,2,1.94
4,7,2,2,8,5.696
4,7,2,2,8,5.696
4,7,2,2,8,5.696
4,7,2,2,8,5.696
4,7,2,2,8,5.696
4,7,2,2,8,5.696
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,8,2,2,6,4.04
4,10,2,2,6,4.116
4,10,2,2,6,4.116
4,10,2,2,6,4.116
4,10,2,2,6,4.116
7,2,2,2,7,4.199
7,2,2,2,7,4.199
7,2,2,2,7,4.199
7,2,2,2,7,4.199
7,2,2,2,7,4.199
7,2,2,2,7,4.199
7,4,2,2,8,5.696
7,4,2,2,8,5.696
7,4,2,2,8,5.696
7,4,2,2,8,5.696
7,4,2,2,8,5.696
7,4,2,2,8,5.696
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
7,8,2,2,4,1.711
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,4,2,2,7,4.04
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,7,2,2,4,1.711
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
8,13,2,2,2,1.376
10,13,2,2,2,1.455
10,13,2,2,2,1.455
10,13,2,2,2,1.455
10,13,2,2,2,1.455
12,2,2,2,2,0.546
12,2,2,2,2,0.546
12,2,2,2,2,0.546
12,2,2,2,2,0.546
12,13,2,2,2,0.895
12,13,2,2,2,0.895
12,13,2,2,2,0.895
12,13,2,2,2,0.895
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,8,2,2,1,1.376
13,10,2,2,2,1.455
13,10,2,2,2,1.455
13,10,2,2,2,1.455
13,10,2,2,2,1.455
13,12,2,2,2,0.895
13,12,2,2,2,0.895
13,12,2,2,2,0.895
13,12,2,2,2,0.895
7,573,4,4,20,6.526
7,573,4,4,20,6.526
7,573,4,4,20,6.526
7,705,4,4,3,1.597
7,705,4,4,3,1.597
7,705,4,4,3,1.597
7,705,4,4,3,1.597
7,705,4,4,3,1.597
7,705,4,4,3,1.597
573,7,4,4,10,6.526
573,7,4,4,10,6.526
573,7,4,4,10,6.526
705,7,4,4,3,1.597
705,7,4,4,3,1.597
705,7,4,4,3,1.597
705,7,4,4,3,1.597
705,7,4,4,3,1.597
705,7,4,4,3,1.597
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
757,1524,4,4,5,0.683
