nodeid,lat,lon,layer
1,50.36055,-4.17478,5
1,50.36055,-4.17478,1
2,50.37852,-4.17075,2
2,50.37852,-4.17075,5
3,50.37614,-4.18412,5
3,50.37614,-4.18412,1
4,50.37782,-4.14336,5
4,50.37782,-4.14336,2
5,50.37541,-4.193,5
5,50.37541,-4.193,1
6,50.36101,-4.13023,5
6,50.36101,-4.13023,1
7,50.40735,-4.20916,4
7,50.40735,-4.20916,2
7,50.40735,-4.20916,5
8,50.40138,-4.18686,5
8,50.40138,-4.18686,5
8,50.40138,-4.18686,2
8,50.40138,-4.18686,2
9,50.3656,-4.16447,5
9,50.3656,-4.16447,1
10,50.402,-4.18745,2
10,50.402,-4.18745,5
11,50.36567,-4.13418,5
11,50.36567,-4.13418,1
12,50.38216,-4.17594,2
12,50.38216,-4.17594,5
13,50.38987,-4.17964,2
13,50.38987,-4.17964,5
14,50.39018,-4.09737,5
15,50.38511,-4.06517,5
16,50.35331,-4.11283,5
17,50.35635,-4.11827,5
18,50.38671,-4.04681,5
19,50.38636,-4.04692,5
20,50.3825,-4.04283,5
21,50.38337,-4.04276,5
22,50.38403,-4.04552,5
23,50.38396,-4.04618,5
24,50.48418,-4.09424,5
25,50.48422,-4.09451,5
26,50.49173,-4.086,5
27,50.40708,-4.22795,5
28,50.3952,-4.14541,5
29,50.41555,-4.17187,5
30,50.35314,-4.10099,5
31,50.37888,-4.11362,5
32,50.43097,-4.13508,5
33,50.35797,-4.06371,5
34,50.36106,-4.08188,5
35,50.36457,-4.08337,5
36,50.36376,-4.08122,5
37,50.36149,-4.07274,5
38,50.36113,-4.06993,5
39,50.42984,-4.12531,5
40,50.35174,-4.10357,5
41,50.36246,-4.08582,5
42,50.35058,-4.10192,5
43,50.35362,-4.09547,5
44,50.36121,-4.09661,5
45,50.35623,-4.11834,5
46,50.35315,-4.09194,5
47,50.42664,-4.14483,5
48,50.43289,-4.11093,5
49,50.40067,-4.1264,5
50,50.3868,-4.01644,5
51,50.38749,-4.01772,5
52,50.38767,-4.01936,5
53,50.39783,-4.15269,5
54,50.39654,-4.15127,5
55,50.39923,-4.14947,5
56,50.3977,-4.14916,5
57,50.39691,-4.14641,5
58,50.39691,-4.14673,5
59,50.4261,-4.11799,5
60,50.41034,-4.17795,5
61,50.40917,-4.17784,5
62,50.39132,-4.17063,5
63,50.39026,-4.16818,5
64,50.38871,-4.16584,5
65,50.38749,-4.16386,5
66,50.38677,-4.1598,5
67,50.38431,-4.15501,5
68,50.41016,-4.17777,5
69,50.34647,-4.22046,5
70,50.34715,-4.22582,5
71,50.35455,-4.24036,5
72,50.35264,-4.23354,5
73,50.35442,-4.24057,5
74,50.35396,-4.25891,5
75,50.35559,-4.26438,5
76,50.35483,-4.25435,5
77,50.3548,-4.25478,5
78,50.41046,-4.13669,5
79,50.40879,-4.13298,5
80,50.41197,-4.144,5
81,50.4113,-4.13974,5
82,50.40223,-4.14027,5
83,50.40234,-4.14025,5
84,50.40146,-4.13759,5
85,50.40147,-4.13818,5
86,50.40322,-4.14319,5
87,50.40328,-4.14308,5
88,50.37482,-4.23751,5
89,50.36788,-4.14382,5
90,50.41088,-4.2354,5
91,50.41007,-4.23149,5
92,50.42921,-4.12622,5
93,50.43574,-4.11662,5
94,50.42862,-4.11654,5
95,50.42969,-4.11915,5
96,50.42978,-4.12138,5
97,50.43351,-4.11523,5
98,50.43346,-4.11544,5
99,50.43612,-4.1136,5
100,50.35009,-4.08487,5
101,50.36948,-4.16974,5
102,50.36953,-4.16964,5
103,50.3653,-4.08261,5
104,50.36039,-4.10501,5
105,50.35017,-4.08514,5
106,50.38389,-4.06397,5
107,50.38483,-4.06508,5
108,50.41895,-4.13807,5
109,50.42427,-4.14156,5
110,50.38118,-4.13401,5
111,50.36996,-4.11796,5
112,50.37108,-4.15182,5
113,50.37138,-4.15328,5
114,50.41926,-4.15671,5
115,50.41886,-4.15649,5
116,50.38012,-4.15133,5
117,50.42203,-4.16145,5
118,50.42159,-4.16126,5
119,50.4207,-4.16032,5
120,50.42049,-4.16003,5
121,50.3647,-4.07941,5
122,50.36444,-4.0963,5
123,50.35915,-4.06395,5
124,50.35769,-4.07609,5
125,50.3224,-4.10986,5
126,50.4121,-4.09574,5
127,50.418,-4.1713,5
128,50.41632,-4.17203,5
129,50.41492,-4.17306,5
130,50.41527,-4.17255,5
131,50.41291,-4.17484,5
132,50.41268,-4.17524,5
133,50.41314,-4.17217,5
134,50.38976,-4.04968,5
135,50.38881,-4.04982,5
136,50.38832,-4.05022,5
137,50.38719,-4.05314,5
138,50.38402,-4.03608,5
139,50.38723,-4.04731,5
140,50.38738,-4.04935,5
141,50.39038,-4.04954,5
