ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
8,34,2,2,2,0.968
8,34,2,2,2,0.968
8,34,2,2,2,0.968
8,34,2,2,2,0.968
8,63,2,2,3,2.926
8,63,2,2,3,2.926
8,63,2,2,3,2.926
8,63,2,2,3,2.926
8,63,2,2,3,2.926
8,63,2,2,3,2.926
8,102,2,2,3,1.687
8,102,2,2,3,1.687
8,102,2,2,3,1.687
8,102,2,2,3,1.687
15,37,2,2,4,2.994
15,37,2,2,4,2.994
15,37,2,2,4,2.994
15,37,2,2,4,2.994
15,46,2,2,2,0.775
15,46,2,2,2,0.775
15,46,2,2,2,0.775
15,46,2,2,2,0.775
15,68,2,2,3,2.803
15,68,2,2,3,2.803
15,68,2,2,3,2.803
15,68,2,2,3,2.803
15,102,2,2,3,2.142
15,102,2,2,3,2.142
15,102,2,2,3,2.142
15,102,2,2,3,2.142
15,191,2,2,7,7.84
15,191,2,2,7,7.84
15,191,2,2,7,7.84
15,191,2,2,7,7.84
29,49,2,2,3,1.887
29,49,2,2,3,1.887
29,49,2,2,3,1.887
29,49,2,2,3,1.887
34,8,2,2,3,0.968
34,8,2,2,3,0.968
34,8,2,2,3,0.968
34,8,2,2,3,0.968
34,169,2,2,2,1.268
34,169,2,2,2,1.268
34,169,2,2,2,1.268
34,169,2,2,2,1.268
37,15,2,2,3,2.994
37,15,2,2,3,2.994
37,15,2,2,3,2.994
37,15,2,2,3,2.994
37,191,2,2,5,4.846
37,191,2,2,5,4.846
37,191,2,2,5,4.846
37,191,2,2,5,4.846
46,15,2,2,2,0.775
46,15,2,2,2,0.775
46,15,2,2,2,0.775
46,15,2,2,2,0.775
46,54,2,2,4,2.379
46,54,2,2,4,2.379
46,54,2,2,4,2.379
46,54,2,2,4,2.379
49,29,2,2,3,1.887
49,29,2,2,3,1.887
49,29,2,2,3,1.887
49,29,2,2,3,1.887
54,46,2,2,3,2.379
54,46,2,2,3,2.379
54,46,2,2,3,2.379
54,46,2,2,3,2.379
63,8,2,2,3,2.926
63,8,2,2,3,2.926
63,8,2,2,3,2.926
63,8,2,2,3,2.926
63,8,2,2,3,2.926
63,8,2,2,3,2.926
64,77,2,2,3,1.506
64,77,2,2,3,1.506
64,77,2,2,3,1.506
64,77,2,2,3,1.506
64,169,2,2,3,1.412
64,169,2,2,3,1.412
64,169,2,2,3,1.412
64,169,2,2,3,1.412
68,15,2,2,4,2.803
68,15,2,2,4,2.803
68,15,2,2,4,2.803
68,15,2,2,4,2.803
77,64,2,2,3,1.506
77,64,2,2,3,1.506
77,64,2,2,3,1.506
77,64,2,2,3,1.506
102,8,2,2,3,1.687
102,8,2,2,3,1.687
102,8,2,2,3,1.687
102,8,2,2,3,1.687
102,15,2,2,3,2.142
102,15,2,2,3,2.142
102,15,2,2,3,2.142
102,15,2,2,3,2.142
169,34,2,2,2,1.268
169,34,2,2,2,1.268
169,34,2,2,2,1.268
169,34,2,2,2,1.268
169,64,2,2,3,1.412
169,64,2,2,3,1.412
169,64,2,2,3,1.412
169,64,2,2,3,1.412
191,37,2,2,5,4.846
191,37,2,2,5,4.846
191,37,2,2,5,4.846
191,37,2,2,5,4.846
63,195,4,4,3,2.863
63,195,4,4,3,2.863
63,195,4,4,3,2.863
63,195,4,4,3,2.863
63,195,4,4,3,2.863
63,195,4,4,3,2.863
195,63,4,4,3,2.863
195,63,4,4,3,2.863
195,63,4,4,3,2.863
195,63,4,4,3,2.863
195,63,4,4,3,2.863
195,63,4,4,3,2.863
1,26,5,5,1,0.456
1,223,5,5,1,0.326
2,54,5,5,1,0.561
2,54,5,5,1,0.561
2,121,5,5,1,0.247
3,122,5,5,1,0.261
3,124,5,5,1,0.355
4,29,5,5,1,0.702
4,29,5,5,1,0.702
4,36,5,5,1,1.041
5,8,5,5,1,0.744
5,8,5,5,1,0.744
5,102,5,5,1,1.076
5,102,5,5,1,1.076
6,8,5,5,1,0.618
6,8,5,5,1,0.618
6,56,5,5,1,0.245
7,130,5,5,1,0.459
7,213,5,5,1,0.449
7,227,5,5,2,0.573
8,5,5,5,1,0.744
8,5,5,5,1,0.744
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,32,5,5,1,0.744
8,32,5,5,1,0.744
8,34,5,5,1,0.968
8,34,5,5,1,0.968
8,34,5,5,1,0.968
8,34,5,5,1,0.968
8,41,5,5,1,0.784
8,41,5,5,1,0.784
8,171,5,5,1,0.51
8,171,5,5,1,0.51
8,179,5,5,1,0.776
8,179,5,5,1,0.776
8,222,5,5,3,0.718
8,222,5,5,3,0.718
8,225,5,5,1,0.379
8,225,5,5,1,0.379
8,247,5,5,1,0.344
8,247,5,5,1,0.344
8,251,5,5,1,0.284
8,251,5,5,1,0.284
9,32,5,5,1,0.407
10,78,5,5,1,0.57
10,169,5,5,1,1.343
10,169,5,5,1,1.343
11,127,5,5,1,0.22
11,173,5,5,1,0.349
12,112,5,5,1,0.858
12,147,5,5,2,0.955
13,110,5,5,1,0.148
13,183,5,5,1,0.43
14,38,5,5,1,0.475
14,161,5,5,1,0.189
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,38,5,5,2,0.606
15,38,5,5,2,0.606
15,46,5,5,1,0.775
15,46,5,5,1,0.775
15,46,5,5,1,0.775
15,46,5,5,1,0.775
15,128,5,5,1,0.943
15,128,5,5,1,0.943
15,130,5,5,3,1.582
15,130,5,5,3,1.582
15,131,5,5,1,0.683
15,131,5,5,1,0.683
15,227,5,5,9,1.336
15,227,5,5,9,1.336
16,115,5,5,1,0.373
16,131,5,5,1,0.389
17,118,5,5,1,0.395
17,194,5,5,1,0.422
18,84,5,5,1,0.139
18,221,5,5,1,0.154
19,134,5,5,1,0.805
19,185,5,5,1,0.39
20,37,5,5,1,0.787
20,37,5,5,1,0.787
20,135,5,5,1,0.3
21,22,5,5,1,0.308
21,201,5,5,1,0.217
22,21,5,5,1,0.308
22,241,5,5,1,0.296
23,93,5,5,1,0.187
24,117,5,5,1,0.573
24,146,5,5,1,0.317
24,228,5,5,1,0.338
25,83,5,5,1,0.235
25,239,5,5,1,0.379
26,1,5,5,1,0.456
26,229,5,5,1,0.265
27,52,5,5,1,0.355
27,84,5,5,2,0.615
27,151,5,5,1,0.562
28,73,5,5,1,0.41
28,74,5,5,1,0.666
29,4,5,5,1,0.702
29,4,5,5,1,0.702
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,36,5,5,1,0.541
29,36,5,5,1,0.541
29,49,5,5,4,1.887
29,49,5,5,4,1.887
29,49,5,5,4,1.887
29,49,5,5,4,1.887
29,53,5,5,1,0.613
29,53,5,5,1,0.613
29,204,5,5,1,0.533
29,204,5,5,1,0.533
29,243,5,5,2,0.883
29,243,5,5,2,0.883
30,35,5,5,1,0.275
30,203,5,5,2,0.294
30,207,5,5,1,0.486
31,54,5,5,1,0.805
31,54,5,5,1,0.805
31,188,5,5,2,0.886
32,8,5,5,1,0.744
32,8,5,5,1,0.744
32,9,5,5,1,0.407
33,49,5,5,2,0.725
33,49,5,5,2,0.725
33,145,5,5,1,0.316
33,149,5,5,1,0.194
34,8,5,5,1,0.968
34,8,5,5,1,0.968
34,8,5,5,1,0.968
34,8,5,5,1,0.968
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,34,5,5,1,0.0
34,176,5,5,1,0.614
34,176,5,5,1,0.614
34,209,5,5,1,0.491
34,209,5,5,1,0.491
35,30,5,5,1,0.275
35,150,5,5,1,0.54
