nodeid,lat,lon,layer
1,51.3439,-0.18511,5
2,51.28322,-0.0862,5
3,51.29087,-0.07539,5
4,51.34932,-0.19386,5
5,51.33091,-0.11294,5
6,51.34248,-0.10978,5
7,51.31548,-0.06147,5
8,51.33758,-0.11403,5
8,51.33758,-0.11403,2
9,51.34763,-0.10993,5
10,51.33371,-0.13954,5
11,51.31472,-0.21031,5
12,51.28215,0.0009,5
13,51.28124,-0.10589,5
14,51.30144,-0.08828,5
15,51.30996,-0.08114,5
15,51.30996,-0.08114,2
16,51.31886,-0.08664,5
17,51.32727,-0.19222,5
18,51.30197,-0.11374,5
19,51.25761,0.02466,5
20,51.29677,-0.05599,5
21,51.33153,-0.07551,5
22,51.32903,-0.07357,5
23,51.33448,-0.08176,5
24,51.30696,-0.12009,5
25,51.31404,-0.04537,5
26,51.34735,-0.18154,5
27,51.29624,-0.10888,5
28,51.27551,0.01859,5
29,51.34381,-0.19885,5
29,51.34381,-0.19885,2
30,51.24982,0.03661,5
31,51.2761,-0.07187,5
32,51.34411,-0.1116,5
33,51.32777,-0.22331,5
34,51.33112,-0.12341,5
34,51.33112,-0.12341,2
35,51.24764,0.03472,5
36,51.33994,-0.19411,5
37,51.29016,-0.05186,2
37,51.29016,-0.05186,5
38,51.30554,-0.08628,5
39,51.30562,-0.1144,5
40,51.28845,-0.03932,5
41,51.33204,-0.10702,5
42,51.32424,-0.17613,5
43,51.32397,-0.2193,5
44,51.30435,-0.14818,5
45,51.32828,-0.10629,5
46,51.30355,-0.07669,2
46,51.30355,-0.07669,5
47,51.34506,-0.23403,5
48,51.30422,-0.03235,5
49,51.32935,-0.21316,5
49,51.32935,-0.21316,2
50,51.287,-0.08883,5
51,51.32181,-0.21074,5
52,51.29441,-0.10467,5
53,51.34869,-0.20301,5
54,51.28214,-0.0783,2
54,51.28214,-0.0783,5
55,51.29088,-0.09634,5
56,51.3439,-0.10707,5
57,51.33243,-0.18041,5
58,51.29223,-0.09016,5
59,51.31871,-0.116,5
60,51.25681,0.01591,5
61,51.2771,-0.03372,5
62,51.31564,-0.16441,5
63,51.31584,-0.13788,4
63,51.31584,-0.13788,2
63,51.31584,-0.13788,5
64,51.31902,-0.15426,2
64,51.31902,-0.15426,5
65,51.32734,-0.19406,5
66,51.30573,-0.07017,5
67,51.34307,-0.13616,5
68,51.33249,-0.09938,2
68,51.33249,-0.09938,5
69,51.34569,-0.22783,5
70,51.31717,-0.12787,5
71,51.32213,-0.20375,5
72,51.28479,-0.09613,5
73,51.27915,0.01754,5
74,51.26951,0.01874,5
75,51.28208,0.01043,5
76,51.34811,-0.22439,5
77,51.30932,-0.16943,2
77,51.30932,-0.16943,5
78,51.33825,-0.14339,5
79,51.29221,-0.09997,5
80,51.31672,-0.17096,5
81,51.32451,-0.18259,5
