ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
64,111,2,2,6,4.213
64,111,2,2,6,4.213
64,111,2,2,6,4.213
64,111,2,2,6,4.213
64,500,2,2,2,1.906
64,500,2,2,2,1.906
64,500,2,2,2,1.906
64,500,2,2,2,1.906
97,111,2,2,3,1.326
97,111,2,2,3,1.326
97,111,2,2,3,1.326
97,111,2,2,3,1.326
97,144,2,2,6,6.348
97,144,2,2,6,6.348
97,144,2,2,6,6.348
97,144,2,2,6,6.348
101,111,2,2,6,7.736
101,111,2,2,6,7.736
101,111,2,2,6,7.736
101,111,2,2,6,7.736
101,420,2,2,4,2.731
101,420,2,2,4,2.731
101,420,2,2,4,2.731
101,420,2,2,4,2.731
111,64,2,2,5,4.213
111,64,2,2,5,4.213
111,64,2,2,5,4.213
111,64,2,2,5,4.213
111,97,2,2,2,1.326
111,97,2,2,2,1.326
111,97,2,2,2,1.326
111,97,2,2,2,1.326
111,101,2,2,6,7.736
111,101,2,2,6,7.736
111,101,2,2,6,7.736
111,101,2,2,6,7.736
111,135,2,2,6,7.296
111,135,2,2,6,7.296
111,135,2,2,6,7.296
111,135,2,2,6,7.296
111,144,2,2,7,7.668
111,144,2,2,7,7.668
111,144,2,2,7,7.668
111,144,2,2,7,7.668
111,450,2,2,3,4.25
111,450,2,2,3,4.25
111,450,2,2,3,4.25
111,450,2,2,3,4.25
135,111,2,2,9,7.296
135,111,2,2,9,7.296
135,111,2,2,9,7.296
135,111,2,2,9,7.296
135,500,2,2,2,1.232
135,500,2,2,2,1.232
135,500,2,2,2,1.232
135,500,2,2,2,1.232
144,97,2,2,6,6.348
144,97,2,2,6,6.348
144,97,2,2,6,6.348
144,97,2,2,6,6.348
144,111,2,2,8,7.668
144,111,2,2,8,7.668
144,111,2,2,8,7.668
144,111,2,2,8,7.668
144,293,2,2,5,5.63
144,293,2,2,5,5.63
144,293,2,2,5,5.63
144,293,2,2,5,5.63
293,144,2,2,5,5.63
293,144,2,2,5,5.63
293,144,2,2,5,5.63
293,144,2,2,5,5.63
347,450,2,2,3,4.467
347,450,2,2,3,4.467
347,450,2,2,3,4.467
347,450,2,2,3,4.467
347,451,2,2,4,4.971
347,451,2,2,4,4.971
347,451,2,2,4,4.971
347,451,2,2,4,4.971
408,420,2,2,3,1.644
408,420,2,2,3,1.644
408,420,2,2,3,1.644
408,420,2,2,3,1.644
420,101,2,2,5,2.731
420,101,2,2,5,2.731
420,101,2,2,5,2.731
420,101,2,2,5,2.731
420,408,2,2,3,1.644
420,408,2,2,3,1.644
420,408,2,2,3,1.644
420,408,2,2,3,1.644
450,111,2,2,4,4.25
450,111,2,2,4,4.25
450,111,2,2,4,4.25
450,111,2,2,4,4.25
