nodeid,lat,lon,layer
1,51.38895,-0.90198,5
2,51.48289,-0.95966,5
3,51.48558,-0.86904,5
4,51.44642,-0.90546,5
5,51.4581,-0.92598,5
6,51.36598,-0.96567,5
7,51.50399,-0.82066,5
8,51.45983,-0.89016,5
9,51.45499,-0.98137,5
10,51.4746,-0.8896,5
11,51.47721,-0.99174,5
12,51.37852,-0.95841,5
13,51.52259,-1.14845,5
14,51.45121,-1.05576,5
15,51.4528,-1.02105,5
16,51.43547,-0.91802,5
17,51.45533,-1.03648,5
18,51.44544,-0.93373,5
19,51.40085,-0.97251,5
20,51.44296,-1.0328,5
21,51.42382,-0.95967,5
22,51.45295,-1.03177,5
23,51.37738,-0.96364,5
24,51.46819,-0.97435,5
25,51.45018,-0.96456,5
26,51.45337,-0.92853,5
27,51.43158,-0.96214,5
28,51.45165,-0.90866,5
29,51.43595,-0.9731,5
30,51.48674,-0.96022,5
31,51.4576,-0.88884,5
32,51.45949,-1.04829,5
33,51.40055,-0.9159,5
34,51.45471,-1.01439,5
35,51.44278,-0.95477,5
36,51.44694,-0.91375,5
37,51.47353,-0.90352,5
38,51.40397,-0.93118,5
39,51.44097,-0.93115,5
40,51.42962,-0.90284,5
41,51.43663,-0.94971,5
42,51.4459,-1.00736,5
43,51.46846,-0.9595,5
44,51.456,-0.89786,5
45,51.42299,-0.92689,5
46,51.42533,-0.98457,5
47,51.42358,-0.98812,5
48,51.43376,-0.94851,5
49,51.50922,-1.13231,5
50,51.45104,-0.92331,5
51,51.4367,-0.93513,5
52,51.44894,-0.99196,5
53,51.45376,-0.90899,5
54,51.42435,-0.88217,5
55,51.48069,-1.05237,5
56,51.46392,-1.0473,5
57,51.4368,-0.96802,5
58,51.45085,-1.04677,5
59,51.44269,-1.01802,5
60,51.48023,-0.85704,5
61,51.444,-0.92941,5
62,51.45686,-1.04404,5
63,51.4675,-0.85657,5
64,51.4411,-0.91799,2
64,51.4411,-0.91799,5
65,51.4578,-1.0107,5
66,51.41672,-0.96405,5
67,51.44011,-0.94837,5
68,51.43341,-0.91078,5
69,51.44705,-0.97645,5
70,51.40388,-0.90444,5
71,51.48054,-1.09491,5
72,51.47453,-0.89416,5
73,51.42792,-0.91186,5
74,51.51544,-0.86967,5
75,51.4027,-0.90682,5
76,51.47681,-0.94608,5
77,51.44764,-0.99539,5
78,51.43166,-0.90774,5
79,51.43094,-0.94643,5
80,51.43464,-0.91322,5
81,51.44424,-1.04896,5
82,51.45339,-1.02872,5
83,51.38838,-0.89926,5
84,51.46709,-1.03137,5
85,51.40936,-0.97429,5
86,51.40868,-0.94805,5
87,51.4852,-0.96511,5
88,51.38611,-0.97351,5
89,51.50385,-1.12298,5
90,51.47488,-0.94229,5
91,51.43075,-0.96861,5
92,51.44089,-0.93185,5
93,51.41357,-0.94965,5
94,51.45707,-0.88347,5
95,51.45697,-0.93146,5
96,51.42434,-0.9305,5
97,51.45545,-0.99029,2
97,51.45545,-0.99029,5
98,51.42501,-0.91554,5
99,51.51414,-1.14215,5
100,51.43364,-0.96846,5
101,51.47553,-0.86329,5
101,51.47553,-0.86329,2
102,51.43649,-0.92624,5
103,51.46736,-1.02248,5
104,51.455,-0.88548,5
105,51.50196,-0.84538,5
106,51.44174,-1.03431,5
107,51.45898,-0.95882,5
108,51.4261,-0.91768,5
109,51.43828,-0.90205,5
110,51.4311,-1.02231,5
111,51.45878,-0.97187,2
111,51.45878,-0.97187,5
112,51.46379,-1.01594,5
113,51.47854,-1.04756,5
114,51.43072,-0.97528,5
115,51.45937,-0.89423,5
116,51.4725,-0.91263,5
117,51.44266,-0.9319,5
118,51.47492,-0.98913,5
119,51.44948,-0.93003,5
120,51.44209,-1.026,5
121,51.45306,-0.95045,5
122,51.43838,-0.90906,5
123,51.44432,-1.00084,5
124,51.44558,-0.96566,5
125,51.45487,-0.94126,5
126,51.46944,-1.04418,5
127,51.47089,-1.0547,5
128,51.44041,-1.0476,5
129,51.48594,-0.86482,5
130,51.42857,-0.94602,5
131,51.46103,-1.01844,5
132,51.447,-0.90169,5
133,51.46254,-1.03399,5
134,51.4589,-1.02757,5
135,51.43028,-0.87686,5
