ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,176,2,2,6,7.622
2,176,2,2,6,7.622
2,176,2,2,6,7.622
2,176,2,2,6,7.622
2,245,2,2,7,9.194
2,245,2,2,7,9.194
2,245,2,2,7,9.194
2,245,2,2,7,9.194
2,269,2,2,4,3.61
2,269,2,2,4,3.61
2,269,2,2,4,3.61
2,269,2,2,4,3.61
2,341,2,2,3,1.71
2,341,2,2,3,1.71
2,341,2,2,3,1.71
2,341,2,2,3,1.71
2,341,2,2,3,1.71
2,341,2,2,3,1.71
7,183,2,2,3,2.001
7,183,2,2,3,2.001
7,183,2,2,3,2.001
7,183,2,2,3,2.001
14,292,2,2,5,7.024
14,292,2,2,5,7.024
14,292,2,2,5,7.024
14,292,2,2,5,7.024
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
14,300,2,2,7,11.378
52,80,2,2,3,2.873
52,80,2,2,3,2.873
52,80,2,2,3,2.873
52,80,2,2,3,2.873
53,105,2,2,3,2.899
53,105,2,2,3,2.899
53,105,2,2,3,2.899
53,105,2,2,3,2.899
53,129,2,2,3,3.661
53,129,2,2,3,3.661
53,129,2,2,3,3.661
53,129,2,2,3,3.661
72,97,2,2,6,6.657
72,97,2,2,6,6.657
72,97,2,2,6,6.657
72,97,2,2,6,6.657
80,52,2,2,4,2.873
80,52,2,2,4,2.873
80,52,2,2,4,2.873
80,52,2,2,4,2.873
80,105,2,2,2,1.469
80,105,2,2,2,1.469
80,105,2,2,2,1.469
80,105,2,2,2,1.469
80,129,2,2,6,7.937
80,129,2,2,6,7.937
80,129,2,2,6,7.937
80,129,2,2,6,7.937
80,287,2,2,3,2.643
80,287,2,2,3,2.643
80,287,2,2,3,2.643
80,287,2,2,3,2.643
80,289,2,2,4,2.68
80,289,2,2,4,2.68
80,289,2,2,4,2.68
80,289,2,2,4,2.68
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
80,300,2,2,7,9.274
97,72,2,2,7,6.657
97,72,2,2,7,6.657
97,72,2,2,7,6.657
97,72,2,2,7,6.657
97,216,2,2,2,1.374
97,216,2,2,2,1.374
97,216,2,2,2,1.374
97,216,2,2,2,1.374
97,225,2,2,2,1.481
97,225,2,2,2,1.481
97,225,2,2,2,1.481
97,225,2,2,2,1.481
97,287,2,2,6,8.37
97,287,2,2,6,8.37
97,287,2,2,6,8.37
97,287,2,2,6,8.37
97,341,2,2,16,19.418
97,341,2,2,16,19.418
97,341,2,2,16,19.418
97,341,2,2,16,19.418
97,341,2,2,16,19.418
97,341,2,2,16,19.418
105,53,2,2,3,2.899
105,53,2,2,3,2.899
105,53,2,2,3,2.899
105,53,2,2,3,2.899
105,80,2,2,3,1.469
105,80,2,2,3,1.469
105,80,2,2,3,1.469
105,80,2,2,3,1.469
105,129,2,2,6,6.537
105,129,2,2,6,6.537
105,129,2,2,6,6.537
105,129,2,2,6,6.537
129,14,2,2,9,12.687
129,14,2,2,9,12.687
129,14,2,2,9,12.687
129,14,2,2,9,12.687
129,53,2,2,3,3.661
129,53,2,2,3,3.661
129,53,2,2,3,3.661
129,53,2,2,3,3.661
129,80,2,2,6,7.937
129,80,2,2,6,7.937
129,80,2,2,6,7.937
129,80,2,2,6,7.937
129,292,2,2,5,5.756
129,292,2,2,5,5.756
129,292,2,2,5,5.756
129,292,2,2,5,5.756
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
129,300,2,2,2,1.346
163,295,2,2,4,3.469
163,295,2,2,4,3.469
163,295,2,2,4,3.469
163,295,2,2,4,3.469
163,331,2,2,3,2.43
163,331,2,2,3,2.43
163,331,2,2,3,2.43
163,331,2,2,3,2.43
170,183,2,2,3,1.738
170,183,2,2,3,1.738
170,183,2,2,3,1.738
170,183,2,2,3,1.738
176,2,2,2,6,7.622
176,2,2,2,6,7.622
176,2,2,2,6,7.622
176,2,2,2,6,7.622
176,245,2,2,3,1.994
176,245,2,2,3,1.994
176,245,2,2,3,1.994
176,245,2,2,3,1.994
176,269,2,2,4,4.014
176,269,2,2,4,4.014
176,269,2,2,4,4.014
176,269,2,2,4,4.014
183,7,2,2,3,2.001
183,7,2,2,3,2.001
183,7,2,2,3,2.001
183,7,2,2,3,2.001
183,170,2,2,3,1.738
183,170,2,2,3,1.738
183,170,2,2,3,1.738
183,170,2,2,3,1.738
216,97,2,2,1,1.374
216,97,2,2,1,1.374
216,97,2,2,1,1.374
216,97,2,2,1,1.374
225,97,2,2,2,1.481
225,97,2,2,2,1.481
225,97,2,2,2,1.481
225,97,2,2,2,1.481
245,2,2,2,7,9.194
245,2,2,2,7,9.194
245,2,2,2,7,9.194
245,2,2,2,7,9.194
245,176,2,2,2,1.994
245,176,2,2,2,1.994
245,176,2,2,2,1.994
245,176,2,2,2,1.994
245,292,2,2,3,1.852
245,292,2,2,3,1.852
245,292,2,2,3,1.852
245,292,2,2,3,1.852
245,341,2,2,8,10.571
245,341,2,2,8,10.571
245,341,2,2,8,10.571
245,341,2,2,8,10.571
245,341,2,2,8,10.571
245,341,2,2,8,10.571
252,331,2,2,6,7.587
252,331,2,2,6,7.587
252,331,2,2,6,7.587
252,331,2,2,6,7.587
269,2,2,2,4,3.61
269,2,2,2,4,3.61
269,2,2,2,4,3.61
269,2,2,2,4,3.61
269,176,2,2,4,4.014
269,176,2,2,4,4.014
269,176,2,2,4,4.014
269,176,2,2,4,4.014
287,80,2,2,4,2.643
287,80,2,2,4,2.643
287,80,2,2,4,2.643
287,80,2,2,4,2.643
287,97,2,2,6,8.37
287,97,2,2,6,8.37
287,97,2,2,6,8.37
287,97,2,2,6,8.37
289,80,2,2,5,2.68
289,80,2,2,5,2.68
289,80,2,2,5,2.68
289,80,2,2,5,2.68
292,14,2,2,6,7.024
292,14,2,2,6,7.024
292,14,2,2,6,7.024
292,14,2,2,6,7.024
292,129,2,2,6,5.756
292,129,2,2,6,5.756
292,129,2,2,6,5.756
292,129,2,2,6,5.756
292,245,2,2,3,1.852
292,245,2,2,3,1.852
292,245,2,2,3,1.852
292,245,2,2,3,1.852
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
292,300,2,2,4,4.417
295,163,2,2,4,3.469
295,163,2,2,4,3.469
295,163,2,2,4,3.469
295,163,2,2,4,3.469
299,341,2,2,4,3.774
299,341,2,2,4,3.774
299,341,2,2,4,3.774
299,341,2,2,4,3.774
299,341,2,2,4,3.774
299,341,2,2,4,3.774
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,14,2,2,8,11.378
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,80,2,2,7,9.274
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,129,2,2,2,1.346
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
300,292,2,2,4,4.417
331,163,2,2,3,2.43
331,163,2,2,3,2.43
331,163,2,2,3,2.43
331,163,2,2,3,2.43
331,252,2,2,7,7.587
331,252,2,2,7,7.587
331,252,2,2,7,7.587
331,252,2,2,7,7.587
341,2,2,2,3,1.71
341,2,2,2,3,1.71
341,2,2,2,3,1.71
341,2,2,2,3,1.71
341,2,2,2,3,1.71
341,2,2,2,3,1.71
341,245,2,2,8,10.571
341,245,2,2,8,10.571
341,245,2,2,8,10.571
341,245,2,2,8,10.571
341,245,2,2,8,10.571
341,245,2,2,8,10.571
341,299,2,2,3,3.774
341,299,2,2,3,3.774
341,299,2,2,3,3.774
341,299,2,2,3,3.774
341,299,2,2,3,3.774
341,299,2,2,3,3.774
300,300,3,3,4,0.0
300,300,3,3,4,0.0
300,300,3,3,4,0.0
300,300,3,3,4,0.0
300,300,3,3,4,0.0
