nodeid,lat,lon,layer
1,51.21953,-0.20039,5
2,51.07974,-0.30797,5
2,51.07974,-0.30797,2
3,51.23476,-0.19489,5
4,51.18862,-0.32206,5
5,51.23725,-0.19228,5
6,51.31177,-0.22318,5
7,51.30918,-0.24261,2
7,51.30918,-0.24261,5
8,51.1651,0.0062,5
9,51.19551,-0.12207,5
10,51.19329,-0.1118,5
11,51.18944,-0.10506,5
12,51.22273,-0.12313,5
13,51.15355,-0.02383,5
14,51.05551,-0.13693,5
14,51.05551,-0.13693,2
15,51.24072,-0.09143,5
16,51.17898,-0.15717,5
17,51.20579,-0.20316,5
18,51.20442,-0.20888,5
19,51.23189,-0.17247,5
20,51.19131,-0.16363,5
21,51.231,-0.32343,5
22,51.22279,-0.19246,5
23,51.17527,-0.1157,5
24,51.22194,-0.20684,5
25,51.22739,-0.21012,5
26,51.28525,-0.15494,5
27,51.17762,-0.18099,5
28,51.25986,-0.13962,5
29,51.22442,-0.33287,5
30,51.23894,-0.33193,5
31,51.21527,-0.2805,5
32,51.23437,-0.32687,5
33,51.15864,-0.0226,5
34,51.24689,-0.17674,5
35,51.23079,-0.20268,5
36,51.22824,-0.2075,5
37,51.23317,-0.16361,5
38,51.24864,-0.16076,5
39,51.17254,-0.11608,5
40,51.1755,-0.02085,5
41,51.21405,-0.32772,5
42,51.19344,-0.09509,5
43,51.23419,-0.19833,5
44,51.31089,-0.22795,5
45,51.27857,-0.12074,5
46,51.1749,-0.13325,5
47,51.28901,-0.15532,5
48,51.22353,-0.19561,5
49,51.17062,-0.00295,5
50,51.28948,-0.30708,5
51,51.23405,-0.20383,5
52,51.26415,-0.15022,5
52,51.26415,-0.15022,2
53,51.20174,-0.16249,2
53,51.20174,-0.16249,5
54,51.18058,-0.15841,5
55,51.22123,-0.13255,5
56,51.24124,-0.29108,5
57,51.19866,-0.12252,5
58,51.13985,-0.03966,4
58,51.13985,-0.03966,5
59,51.2529,-0.16485,5
60,51.25371,-0.16621,5
61,51.25571,-0.14959,5
62,51.21026,-0.25732,5
63,51.24076,-0.09986,5
64,51.1925,-0.19686,5
65,51.27869,-0.21656,5
66,51.16882,-0.17523,5
67,51.22617,-0.36042,5
68,51.18166,-0.01271,5
69,51.31698,-0.23671,5
70,51.17914,-0.17603,5
71,51.17906,-0.17461,5
72,51.181,-0.32109,5
72,51.181,-0.32109,2
73,51.22283,-0.33219,5
74,51.22804,-0.18897,5
75,51.23312,-0.32256,5
76,51.20974,-0.26086,5
77,51.14359,-0.11251,5
78,51.16371,0.00698,5
79,51.24044,-0.28366,5
80,51.2402,-0.1659,5
80,51.2402,-0.1659,2
81,51.18349,-0.10944,5
82,51.23398,-0.13078,5
83,51.17818,-0.11495,5
84,51.17182,-0.10639,5
85,51.17452,-0.0956,5
86,51.18103,-0.08802,5
87,51.22868,-0.17781,5
88,51.17952,-0.19519,5
89,51.23171,-0.1652,5
90,51.18308,-0.08818,5
91,51.22649,-0.28354,5
92,51.16723,-0.01738,5
93,51.23717,-0.31572,5
94,51.27883,-0.12546,5
95,51.124,-0.00775,4
95,51.124,-0.00775,5
96,51.30545,-0.22919,5
97,51.24093,-0.32424,2
97,51.24093,-0.32424,5
98,51.21621,-0.17068,5
99,51.21798,-0.17058,5
100,51.16873,-0.03699,5
101,51.17725,-0.1809,5
102,51.16413,-0.18725,5
103,51.2341,-0.20247,5
104,51.2111,-0.16978,5
105,51.22733,-0.17082,2
105,51.22733,-0.17082,5
106,51.19367,-0.10187,5
107,51.22363,-0.16654,5
108,51.2219,-0.12846,5
109,51.24706,-0.07862,5
110,51.27374,-0.214,5
111,51.23222,-0.2867,5
112,51.25081,-0.15911,5
113,51.18319,-0.16355,5
114,51.23538,-0.2886,5
115,51.14565,0.00442,5
116,51.2508,-0.16549,5
117,51.16795,-0.17515,5
118,51.26051,-0.14491,5
119,51.16246,-0.19493,5
120,51.24628,-0.1654,5
121,51.26163,-0.32188,5
122,51.18057,-0.20829,5
123,51.15353,-0.11098,5
124,51.24052,-0.22208,5
125,51.20395,-0.25385,5
126,51.20652,-0.2494,5
127,51.22397,-0.1995,5
128,51.22479,-0.1996,5
129,51.16877,-0.16105,5
129,51.16877,-0.16105,2
130,51.24013,-0.26319,5
131,51.24728,-0.16681,5
132,51.24582,-0.16671,5
133,51.23927,-0.05288,5
134,51.20813,-0.25008,5
135,51.24997,-0.02576,5
136,51.16698,-0.11501,5
137,51.19001,-0.19647,5
138,51.17873,-0.1532,5
139,51.21883,-0.16471,5
140,51.18798,-0.07647,5
141,51.26783,-0.32386,5
142,51.24098,-0.05731,5
143,51.24492,-0.17065,5
144,51.23563,-0.18771,5
145,51.23863,-0.31659,5
146,51.17865,-0.08171,5
147,51.18559,-0.01565,5
148,51.15951,0.00571,5
149,51.24145,-0.27926,5
150,51.24231,-0.08787,5
151,51.20223,-0.21277,5
152,51.16365,-0.05327,5
153,51.30494,-0.23203,5
154,51.24954,-0.32418,5
155,51.27326,-0.14653,5
156,51.24052,-0.266,5
157,51.22304,-0.31915,5
158,51.13857,-0.04963,5
159,51.25926,-0.15598,5
160,51.25092,-0.14931,5
161,51.22307,-0.20284,5
162,51.19413,-0.21387,5
163,51.15517,0.00103,2
163,51.15517,0.00103,5
164,51.17628,-0.15283,5
165,51.29858,-0.22434,5
166,51.28613,-0.2207,5
167,51.15958,-0.19953,5
168,51.17437,-0.01754,5
169,51.22713,-0.33551,5
170,51.29486,-0.21146,2
170,51.29486,-0.21146,5
171,51.19541,-0.1639,5
172,51.0996,0.0334,4
172,51.0996,0.0334,5
173,51.21666,-0.20177,5
174,51.30242,-0.22846,5
175,51.22023,-0.28179,5
176,51.11562,-0.21477,2
176,51.11562,-0.21477,5
177,51.23538,-0.32403,5
178,51.1505,-0.02376,5
179,51.17471,-0.15681,5
180,51.24513,-0.06487,5
181,51.30207,-0.23463,5
182,51.24391,-0.18203,5
183,51.29164,-0.23596,2
183,51.29164,-0.23596,5
184,51.1738,-0.11985,5
185,51.23754,-0.1459,5
186,51.31157,-0.22582,5
187,51.17572,-0.17647,5
188,51.20276,-0.3291,5
189,51.16464,-0.1858,5
190,51.23108,-0.1907,5
191,51.23837,-0.14036,5
192,51.24067,-0.18809,5
193,51.17027,-0.0003,5
194,51.25049,-0.03762,5
195,51.16468,-0.0496,5
196,51.241,-0.23093,5
197,51.17499,-0.15431,5
198,51.29799,-0.23721,5
199,51.26959,-0.21145,5
200,51.25172,-0.1717,5
201,51.20971,-0.2529,5
202,51.25159,-0.15303,5
203,51.25003,-0.17004,5
204,51.24094,-0.11865,5
205,51.26165,-0.2002,5
206,51.28266,-0.21899,5
207,51.15864,-0.11359,5
208,51.2133,-0.32838,5
209,51.28028,-0.13436,5
210,51.27713,-0.13934,5
211,51.17235,-0.16549,5
212,51.23597,-0.18551,5
213,51.21698,-0.32315,5
