ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,37,2,2,3,1.85
2,37,2,2,3,1.85
2,37,2,2,3,1.85
2,37,2,2,3,1.85
2,45,2,2,5,2.717
2,45,2,2,5,2.717
2,45,2,2,5,2.717
2,45,2,2,5,2.717
13,53,2,2,4,4.652
13,53,2,2,4,4.652
13,53,2,2,4,4.652
13,53,2,2,4,4.652
13,915,2,2,2,1.062
13,915,2,2,2,1.062
17,22,2,2,3,3.244
17,22,2,2,3,3.244
17,22,2,2,3,3.244
17,22,2,2,3,3.244
22,17,2,2,3,3.244
22,17,2,2,3,3.244
22,17,2,2,3,3.244
22,17,2,2,3,3.244
22,2573,2,2,3,2.468
22,2573,2,2,3,2.468
29,45,2,2,3,2.589
29,45,2,2,3,2.589
29,45,2,2,3,2.589
29,45,2,2,3,2.589
29,915,2,2,2,1.102
29,915,2,2,2,1.102
30,46,2,2,7,7.87
30,46,2,2,7,7.87
30,46,2,2,7,7.87
30,46,2,2,7,7.87
30,64,2,2,10,12.026
30,64,2,2,10,12.026
30,64,2,2,10,12.026
30,64,2,2,10,12.026
30,77,2,2,3,1.974
30,77,2,2,3,1.974
30,77,2,2,3,1.974
30,77,2,2,3,1.974
33,64,2,2,3,2.617
33,64,2,2,3,2.617
33,64,2,2,3,2.617
33,64,2,2,3,2.617
34,45,2,2,4,4.513
34,45,2,2,4,4.513
34,45,2,2,4,4.513
34,45,2,2,4,4.513
34,2573,2,2,3,3.047
34,2573,2,2,3,3.047
37,2,2,2,1,1.85
37,2,2,2,1,1.85
37,2,2,2,1,1.85
37,2,2,2,1,1.85
45,2,2,2,5,2.717
45,2,2,2,5,2.717
45,2,2,2,5,2.717
45,2,2,2,5,2.717
45,29,2,2,3,2.589
45,29,2,2,3,2.589
45,29,2,2,3,2.589
45,29,2,2,3,2.589
45,34,2,2,4,4.513
45,34,2,2,4,4.513
45,34,2,2,4,4.513
45,34,2,2,4,4.513
45,2573,2,2,6,7.516
45,2573,2,2,6,7.516
46,30,2,2,7,7.87
46,30,2,2,7,7.87
46,30,2,2,7,7.87
46,30,2,2,7,7.87
46,66,2,2,2,1.645
46,66,2,2,2,1.645
46,66,2,2,2,1.645
46,66,2,2,2,1.645
46,77,2,2,6,5.949
46,77,2,2,6,5.949
46,77,2,2,6,5.949
46,77,2,2,6,5.949
53,13,2,2,5,4.652
53,13,2,2,5,4.652
53,13,2,2,5,4.652
53,13,2,2,5,4.652
64,30,2,2,11,12.026
64,30,2,2,11,12.026
64,30,2,2,11,12.026
64,30,2,2,11,12.026
64,33,2,2,3,2.617
64,33,2,2,3,2.617
64,33,2,2,3,2.617
64,33,2,2,3,2.617
64,46,2,2,5,5.309
64,46,2,2,5,5.309
64,46,2,2,5,5.309
64,46,2,2,5,5.309
64,66,2,2,4,3.665
64,66,2,2,4,3.665
64,66,2,2,4,3.665
64,66,2,2,4,3.665
66,46,2,2,3,1.645
66,46,2,2,3,1.645
66,46,2,2,3,1.645
66,46,2,2,3,1.645
66,64,2,2,3,3.665
66,64,2,2,3,3.665
66,64,2,2,3,3.665
66,64,2,2,3,3.665
77,30,2,2,3,1.974
77,30,2,2,3,1.974
77,30,2,2,3,1.974
77,30,2,2,3,1.974
77,46,2,2,6,5.949
77,46,2,2,6,5.949
77,46,2,2,6,5.949
77,46,2,2,6,5.949
915,13,2,2,2,1.062
915,13,2,2,2,1.062
915,29,2,2,2,1.102
915,29,2,2,2,1.102
2573,17,2,2,5,5.691
2573,17,2,2,5,5.691
2573,22,2,2,3,2.468
2573,22,2,2,3,2.468
2573,34,2,2,2,3.047
2573,34,2,2,2,3.047
2573,45,2,2,6,7.516
2573,45,2,2,6,7.516
3,57,3,3,3,2.121
3,57,3,3,3,2.121
3,57,3,3,3,2.121
3,57,3,3,3,2.121
3,67,3,3,1,1.181
3,67,3,3,1,1.181
3,67,3,3,1,1.181
3,67,3,3,1,1.181
10,57,3,3,2,3.577
10,57,3,3,2,3.577
10,57,3,3,2,3.577
10,57,3,3,2,3.577
10,57,3,3,2,3.577
10,57,3,3,2,3.577
24,67,3,3,2,0.914
24,67,3,3,2,0.914
24,67,3,3,2,0.914
24,67,3,3,2,0.914
24,69,3,3,2,1.158
24,69,3,3,2,1.158
24,69,3,3,2,1.158
24,69,3,3,2,1.158
39,75,3,3,2,0.943
39,75,3,3,2,0.943
39,75,3,3,2,0.943
39,75,3,3,2,0.943
57,3,3,3,3,2.121
57,3,3,3,3,2.121
57,3,3,3,3,2.121
57,3,3,3,3,2.121
57,10,3,3,2,3.577
57,10,3,3,2,3.577
57,10,3,3,2,3.577
57,10,3,3,2,3.577
57,10,3,3,2,3.577
57,10,3,3,2,3.577
67,3,3,3,1,1.181
67,3,3,3,1,1.181
67,3,3,3,1,1.181
67,3,3,3,1,1.181
67,24,3,3,2,0.914
67,24,3,3,2,0.914
67,24,3,3,2,0.914
67,24,3,3,2,0.914
69,24,3,3,2,1.158
69,24,3,3,2,1.158
69,24,3,3,2,1.158
69,24,3,3,2,1.158
69,75,3,3,2,1.338
69,75,3,3,2,1.338
69,75,3,3,2,1.338
69,75,3,3,2,1.338
75,39,3,3,2,0.943
75,39,3,3,2,0.943
75,39,3,3,2,0.943
75,39,3,3,2,0.943
75,69,3,3,2,1.338
75,69,3,3,2,1.338
75,69,3,3,2,1.338
75,69,3,3,2,1.338
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
10,3706,4,4,25,9.839
32,3713,4,4,15,2.957
32,3713,4,4,15,2.957
32,3713,4,4,15,2.957
32,3713,4,4,15,2.957
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3706,10,4,4,15,9.839
3713,32,4,4,10,2.957
3713,32,4,4,10,2.957
3713,32,4,4,10,2.957
3713,32,4,4,10,2.957
1,42,5,5,1,0.268
