nodeid,lat,lon,layer
1,53.6869,-2.09732,5
2,53.59744,-2.41311,5
2,53.59744,-2.41311,2
3,53.55127,-2.29514,5
3,53.55127,-2.29514,3
4,53.72433,-2.11388,5
5,53.72036,-2.10656,5
6,53.72136,-2.10863,5
7,53.72302,-2.1113,5
8,53.72576,-2.11719,5
9,53.70496,-2.10572,5
10,53.59098,-2.29711,4
10,53.59098,-2.29711,5
10,53.59098,-2.29711,3
11,53.72294,-2.10499,5
12,53.70622,-2.11788,5
13,53.54415,-2.37512,5
13,53.54415,-2.37512,2
14,53.71066,-2.13902,5
15,53.70951,-2.15234,5
16,53.71044,-2.15454,5
17,53.61295,-2.60306,5
17,53.61295,-2.60306,2
18,53.72636,-2.05485,5
19,53.72819,-2.05302,5
20,53.70181,-2.10661,5
21,53.70666,-2.10392,5
22,53.59154,-2.56953,2
22,53.59154,-2.56953,5
23,53.71239,-2.16132,5
24,53.53404,-2.28304,5
24,53.53404,-2.28304,3
25,53.70924,-2.12576,5
26,53.70979,-2.13037,5
27,53.70977,-2.14973,5
28,53.71159,-2.15897,5
29,53.556,-2.40119,2
29,53.556,-2.40119,5
30,53.71384,-2.09965,2
30,53.71384,-2.09965,5
31,53.70319,-2.10632,5
32,53.60158,-2.43259,4
32,53.60158,-2.43259,5
33,53.59186,-2.17823,2
33,53.59186,-2.17823,5
34,53.57294,-2.49427,2
34,53.57294,-2.49427,5
35,53.70831,-2.10296,5
36,53.70673,-2.10438,5
37,53.61406,-2.4109,2
37,53.61406,-2.4109,5
38,53.71437,-2.0905,5
39,53.51743,-2.24104,5
39,53.51743,-2.24104,3
40,53.67756,-2.0855,5
41,53.69019,-2.10182,5
42,53.68832,-2.10062,5
43,53.67504,-2.08429,5
44,53.68249,-2.09012,5
45,53.57416,-2.42583,2
45,53.57416,-2.42583,5
46,53.64301,-2.09465,2
46,53.64301,-2.09465,5
47,53.72496,-2.05574,5
48,53.72244,-2.05804,5
49,53.72004,-2.06184,5
50,53.71841,-2.07057,5
51,53.71866,-2.06578,5
52,53.71784,-2.07416,5
53,53.5225,-2.31475,2
53,53.5225,-2.31475,5
54,53.68351,-2.09228,5
55,53.70485,-2.11374,5
56,53.70433,-2.11181,5
57,53.5622,-2.32152,5
57,53.5622,-2.32152,3
58,53.7187,-2.10191,5
59,53.71354,-2.08521,5
60,53.71621,-2.08826,5
61,53.66664,-1.99504,5
62,53.6913,-2.10105,5
63,53.70306,-2.10688,5
64,53.61032,-2.15352,5
64,53.61032,-2.15352,2
65,53.7075,-2.06893,5
66,53.63327,-2.1135,2
66,53.63327,-2.1135,5
67,53.54207,-2.28615,5
67,53.54207,-2.28615,3
68,53.71351,-2.16306,5
69,53.53037,-2.26661,5
69,53.53037,-2.26661,3
70,53.70632,-2.07741,5
71,53.70489,-2.08388,5
72,53.70408,-2.10514,5
73,53.70523,-2.10675,5
74,53.70091,-2.10529,5
75,53.52454,-2.24886,5
75,53.52454,-2.24886,3
76,53.71829,-2.09774,5
77,53.69628,-2.10446,5
77,53.69628,-2.10446,2
78,53.71708,-2.07855,5
79,53.71628,-2.08507,5
80,53.71514,-2.0882,5
81,53.71655,-2.08216,5
82,53.68464,-2.09419,5
83,53.64504,-2.18071,5
84,53.64065,-2.17863,5
85,53.63956,-2.17675,5
86,53.52453,-2.33636,5
87,53.5693,-2.42306,5
88,53.62284,-2.18919,5
89,53.56146,-2.36934,5
90,53.58215,-2.43697,5
91,53.56634,-2.29229,5
92,53.5999,-2.32234,5
93,53.63108,-2.18585,5
94,53.56697,-2.45458,5
95,53.52167,-2.2931,5
96,53.6021,-2.27381,5
97,53.6151,-2.10926,5
98,53.5867,-2.2855,5
99,53.64404,-2.10935,5
100,53.5511,-2.19518,5
101,53.59539,-2.30968,5
102,53.62082,-2.15362,5
103,53.59563,-2.47431,5
104,53.59499,-2.5425,5
105,53.59248,-2.04078,5
106,53.55609,-2.32051,5
107,53.5314,-2.28402,5
108,53.61724,-2.4379,5
109,53.62129,-2.16074,5
110,53.59055,-2.47712,5
111,53.63146,-2.44265,5
112,53.56762,-2.34565,5
113,53.60521,-2.33685,5
114,53.59285,-2.21264,5
115,53.59452,-2.18145,5
116,53.57463,-2.52708,5
117,53.58141,-2.51352,5
118,53.60189,-2.30465,5
119,53.53601,-2.4187,5
120,53.60387,-2.43621,5
121,53.57133,-2.43007,5
122,53.62632,-2.20644,5
123,53.56147,-2.52743,5
124,53.56468,-2.47031,5
125,53.62851,-2.18322,5
126,53.55336,-2.43006,5
127,53.58525,-2.29259,5
128,53.61018,-2.14929,5
129,53.54717,-2.27574,5
130,53.54168,-2.36054,5
131,53.61062,-2.10788,5
132,53.64841,-2.18036,5
133,53.57945,-2.41622,5
134,53.62213,-2.18258,5
135,53.6391,-2.32713,5
136,53.62695,-2.15653,5
137,53.63203,-2.1071,5
138,53.54856,-2.39498,5
139,53.59552,-2.49905,5
140,53.63262,-2.10064,5
141,53.58106,-2.20794,5
142,53.57832,-2.41468,5
143,53.60383,-2.54024,5
144,53.61874,-2.45772,5
145,53.56226,-2.53096,5
146,53.5985,-2.38422,5
147,53.62107,-2.29637,5
148,53.6439,-2.11077,5
149,53.63782,-2.39855,5
150,53.63824,-2.39751,5
151,53.542,-2.27299,5
152,53.56931,-2.4577,5
153,53.59229,-2.3225,5
154,53.55107,-2.19903,5
155,53.58011,-2.45711,5
156,53.51891,-2.33738,5
157,53.60458,-2.29221,5
158,53.58959,-2.38238,5
159,53.59627,-2.16977,5
160,53.60262,-2.22363,5
161,53.55012,-2.40432,5
162,53.64546,-2.07338,5
163,53.59265,-2.23646,5
164,53.58619,-2.48234,5
165,53.57414,-2.17536,5
166,53.54009,-2.38296,5
167,53.57008,-2.39764,5
168,53.62319,-2.18195,5
169,53.52559,-2.23656,5
170,53.59362,-2.31056,5
171,53.67897,-2.16591,5
172,53.67544,-2.1684,5
173,53.67097,-2.17103,5
174,53.66608,-2.17049,5
175,53.65594,-2.17741,5
176,53.5778,-2.30774,5
177,53.60076,-2.14569,5
178,53.58607,-2.11517,5
179,53.64539,-2.07349,5
180,53.6218,-2.16439,5
181,53.55277,-2.28901,5
182,53.58688,-2.47082,5
183,53.54787,-2.47093,5
184,53.61184,-2.29118,5
185,53.60771,-2.3123,5
186,53.57088,-2.40458,5
187,53.60826,-2.16471,5
188,53.54017,-2.28402,5
189,53.56891,-2.28781,5
190,53.58126,-2.39364,5
191,53.57724,-2.44121,5
192,53.61767,-2.1552,5
193,53.58718,-2.57256,5
194,53.51952,-2.34138,5
195,53.64503,-2.13456,5
196,53.54684,-2.34508,5
197,53.54863,-2.2564,5
198,53.56005,-2.41286,5
199,53.5933,-2.23802,5
200,53.64256,-2.10097,5
201,53.56439,-2.2094,5
202,53.68116,-2.16482,5
203,53.59389,-2.59008,5
204,53.56661,-2.47801,5
205,53.60061,-2.26176,5
206,53.54547,-2.4183,5
207,53.59855,-2.52476,5
208,53.52739,-2.28326,5
209,53.56247,-2.45485,5
210,53.59252,-2.27917,5
211,53.61556,-2.32046,5
212,53.6053,-2.42732,5
213,53.60462,-2.40628,5
214,53.54189,-2.40322,5
215,53.61997,-2.43061,5
216,53.51407,-2.28308,5
217,53.55641,-2.28027,5
218,53.58569,-2.10976,5
219,53.5475,-2.46906,5
220,53.57731,-2.10654,5
221,53.56983,-2.34748,5
222,53.63465,-2.13475,5
223,53.58154,-2.08649,5
